California Cities by Population Rank,City,Population
1,Los Angeles,3949776
2,San Diego,1390966
3,San Jose,1023031
4,San Francisco,864263
5,Fresno,519037
6,Sacramento,489650
7,Long Beach,470489
8,Oakland,417442
9,Bakersfield,372680
10,Anaheim,349007
11,Santa Ana,334493
12,Riverside,321570
13,Stockton,304358
14,Chula Vista,264101
15,Irvine,256877
16,Fremont,230964
17,San Bernardino,215252
18,Modesto,210166
19,Santa Clarita,209489
20,Fontana,207086
21,Oxnard,206732
22,Moreno Valley,203691
23,Huntington Beach,200415
24,Glendale,199750
25,Garden Grove,174812
26,Oceanside,174811
27,Rancho Cucamonga,174573
28,Santa Rosa,174244
29,Ontario,171041
30,Elk Grove,166228
31,Corona,163585
32,Lancaster,160113
33,Palmdale,157358
34,Hayward,156917
35,Salinas,156811
36,Pomona,152366
37,Sunnyvale,151565
38,Escondido,150783
39,Torrance,147190
40,Pasadena,141231
41,Orange,140289
42,Fullerton,139976
43,Roseville,130705
44,Visalia,130047
45,Thousand Oaks,128909
46,Concord,128160
47,Simi Valley,126546
48,Santa Clara,124635
49,East Los Angeles,123905
50,Victorville,121721
51,Vallejo,120599
52,Berkeley,120179
53,El Monte,115958
54,Downey,113358
55,Carlsbad,113147
56,Costa Mesa,112930
57,Fairfield,112790
58,Inglewood,111006
59,Temecula,110722
60,San Buenaventura (Ventura),110153
61,Murrieta,110043
62,Antioch,110026
63,Richmond,108853
64,West Covina,107786
65,Daly City,106480
66,Norwalk,106404
67,Santa Maria,104791
68,Burbank,104765
69,Clovis,104411
70,San Mateo,103500
71,El Cajon,103314
72,Rialto,102708
73,Jurupa Valley,102202
74,Vista,99496
75,Arden-Arcade,98616
76,Compton,97847
77,Vacaville,96918
78,Mission Viejo,96535
79,South Gate,95420
80,San Marcos,93493
81,Hesperia,93190
82,Carson,92927
83,Santa Monica,92495
84,Westminster,91785
85,Santa Barbara,91443
86,Redding,91236
87,Chico,90660
88,San Leandro,89910
89,Livermore,88232
90,Tracy,87613
91,Hawthorne,87425
92,Indio,86867
93,Whittier,86852
94,Menifee,86820
95,Newport Beach,86793
96,Citrus Heights,86618
97,Chino,85609
98,Alhambra,85168
99,Redwood City,84368
100,Hemet,83604
101,Buena Park,83020
102,Merced,82008
103,Lake Forest,81812
104,Lakewood,81106
105,Mountain View city,80076
106,Tustin,80007
107,Napa,79722
108,Pleasanton,79341
109,Alameda,78246
110,Chino Hills,78025
111,Bellflower,77852
112,Baldwin Park,76572
113,Upland,76155
114,Folsom,75897
115,Milpitas,75498
116,Manteca,75314
117,San Ramon,75048
118,Perris,75011
119,Union City,74354
120,Apple Valley,71916
121,Turlock,71906
122,Lynwood,71350
123,Rancho Cordova,70785
124,Redlands,70765
125,Pittsburg,69449
126,Walnut Creek,68516
127,Redondo Beach,67950
128,Yorba Linda,67740
129,Davis,67500
130,South San Francisco,67120
131,Camarillo,67116
132,Palo Alto,67082
133,Yuba City,66229
134,Laguna Niguel,65429
135,San Clemente,65226
136,Carmichael,65091
137,Lodi,64403
138,Madera,64058
139,Santa Cruz,63993
140,Florence-Graham,63821
141,Pico Rivera,63750
142,Castro Valley,63625
143,Montebello,63468
144,Encinitas,62595
145,Tulare,62296
146,Lake Elsinore,62229
147,La Habra,61965
148,Rocklin,61697
149,Monterey Park,61056
150,National City,60715
151,Cupertino,60687
152,Petaluma,60210
153,Gardena,60096
154,South Whittier,60000
155,Eastvale,59733
156,La Mesa,59479
157,San Rafael,59180
158,Huntington Park,58993
159,Brentwood,58828
160,Porterville,58782
161,Woodland,58324
162,Arcadia,58156
163,Santee,57376
164,Dublin,57022
165,Fountain Valley,56640
166,Diamond Bar,56600
167,Hanford,55599
168,Novato,55378
169,Paramount,55020
170,Highland,54704
171,Rosemead,54615
172,Colton,54200
173,Gilroy,54159
174,Hacienda Heights,54155
175,Cathedral City,53733
176,Watsonville,53452
177,Yucaipa,53151
178,Delano,52709
179,Placentia,52294
180,West Sacramento,52206
181,Glendora,51891
182,Palm Desert,51675
183,Aliso Viejo,50691
184,Rowland Heights,50572
185,Cerritos,50145
186,Poway,49874
187,Florin,49226
188,La Mirada,49162
189,Cypress,49108
190,Rancho Santa Margarita,49078
191,Azusa,49029
192,Covina,48601
193,Antelope,47728
194,Ceres,47650
195,North Highlands,47357
196,Palm Springs,47140
197,San Luis Obispo,46997
198,San Jacinto,46932
199,Lincoln,46404
200,Newark,45554
201,Altadena,45236
202,El Dorado Hills,45104
203,Coachella,44382
204,Danville,44205
205,El Centro,43932
206,Lompoc,43762
207,Beaumont,43641
208,Morgan Hill,43136
209,San Bruno,43105
210,Bell Gardens,42845
211,Rancho Palos Verdes,42463
212,Rohnert Park,42305
213,Brea,41921
214,Campbell,41164
215,La Puente,40451
216,San Gabriel,40315
217,La Quinta,40305
218,Calexico,39953
219,Oakley,39950
220,Culver City,39432
221,Pacifica,39141
222,Stanton,38648
223,Montclair,38613
224,Martinez,37902
225,Los Banos,37559
226,Hollister,37182
227,Monrovia,37138
228,La Presa,36225
229,Temple City,36214
230,West Hollywood,36148
231,Moorpark,36060
232,Claremont,35949
233,San Juan Capistrano,35948
234,Bell,35942
235,Manhattan Beach,35698
236,Wildomar,35492
237,Pleasant Hill,34662
238,Beverly Hills,34506
239,Oildale,34496
240,Orangevale,34467
241,San Dimas,34334
242,Seaside,34259
243,Dana Point,34028
244,Menlo Park,33661
245,Foothill Farms,33627
246,Westmont,33532
247,Foster City,33529
248,Lawndale,33191
249,Adelanto,32867
250,La Verne,32320
251,El Paso de Robles (Paso Robles),31409
252,French Valley,31353
253,Laguna Hills,31235
254,Fallbrook,31121
255,Saratoga,31013
256,Goleta,30847
257,Banning,30824
258,San Pablo,30720
259,Los Gatos,30709
260,Fair Oaks,30704
261,Los Altos,30527
262,Spring Valley CDP,30439
263,Burlingame,30401
264,Santa Paula,30344
265,Walnut,30062
266,Orcutt,30001
267,San Carlos,29954
268,Atascadero,29797
269,East Palo Alto,29646
270,Suisun City,29280
271,Atwater,29118
272,Ladera Ranch,28769
273,Ridgecrest,28728
274,Monterey,28671
275,Desert Hot Springs,28298
276,Benicia,28011
277,Maywood,27700
278,Vineyard,27585
279,Isla Vista,27484
280,Windsor,27423
281,Imperial Beach,27270
282,Belmont,27110
283,Eureka,27024
284,West Whittier-Los Nietos,27002
285,Norco,26711
286,Lemon Grove,26645
287,Paradise,26437
288,Wasco,26378
289,Twentynine Palms,25995
290,South Pasadena,25974
291,Brawley,25959
292,Lafayette,25792
293,Soledad,25603
294,Lemoore,25525
295,Reedley,25419
296,Temescal Valley,25411
297,North Tustin,25364
298,Hercules,25260
299,Galt,25222
300,San Lorenzo,25101
301,Valinda,25080
302,El Cerrito,24982
303,Sanger,24883
304,San Fernando,24581
305,Selma,24537
306,Seal Beach,24510
307,Ashland,24477
308,Calabasas,24169
309,Cudahy,24146
310,Coronado,24053
311,Riverbank,24047
312,Loma Linda,23961
313,Dinuba,23712
314,Bay Point,23708
315,Rosemont,23700
316,Barstow,23609
317,West Rancho Dominguez,23537
318,West Puente Valley,23487
319,Laguna Beach,23224
320,Millbrae,22738
321,Willowbrook,22654
322,Corcoran,22650
323,Granite Bay,22479
324,Bloomington,22377
325,Port Hueneme,22262
326,West Carson,22260
327,Oakdale,22256
328,Winter Gardens,22237
329,Ramona,21871
330,Duarte,21832
331,Lakeside,21827
332,South Lake Tahoe,21680
333,Rancho San Diego,21651
334,Lennox,21537
335,Patterson,21497
336,Yucca Valley,21483
337,Marina,21227
338,Lathrop,21050
339,Prunedale,20928
340,Arvin,20826
341,Agoura Hills,20736
342,South El Monte,20712
343,Lomita,20707
344,La Cañada Flintridge,20474
345,South San Jose Hills,20423
346,Mead Valley,20402
347,American Canyon,20341
348,Casa de Oro-Mount Helix,20196
349,Rosamond,20024
350,East Hemet,19951
351,Hermosa Beach,19750
352,Cameron Park,19706
353,Albany,19682
354,Stevenson Ranch,19666
355,La Crescenta-Montrose,19658
356,Dixon,19488
357,Blythe,19486
358,Castaic,19299
359,Orinda,19248
360,Pinole,19191
361,Linda,19072
362,Oroville,18932
363,Shafter,18433
364,Chowchilla,18314
365,Rancho Mirage,17975
366,Arroyo Grande,17971
367,Arcata,17814
368,Santa Fe Springs,17669
369,Rosedale,17603
370,Bostonia,17600
371,Vincent,17485
372,Moraga,17231
373,Live Oak,17213
374,Greenfield city,17188
375,McKinleyville,16963
376,Imperial,16931
377,El Segundo,16929
378,Artesia,16853
379,Nipomo,16706
380,Valle Vista,16672
381,Coalinga,16612
382,Woodcrest,16527
383,Laguna Woods,16314
384,Truckee,16308
385,Avocado Heights,16213
386,Parkway,16166
387,East Rancho Dominguez,16027
388,Cherryland,15999
389,Ukiah,15917
390,Walnut Park,15915
391,East San Gabriel,15832
392,La Palma,15814
393,Los Osos,15714
394,Pacific Grove,15617
395,Lamont,15597
396,Fillmore,15529
397,Discovery Bay,15525
398,Alamo,15521
399,North Fair Oaks,15454
400,Susanville,15286
401,Stanford,15277
402,Rio Linda,15228
403,Ripon,15173
404,Phelan,15123
405,Clearlake,15061
406,Parlier,15051
407,Mountain House,15010
408,Coto de Caza,14799
409,Alpine,14795
410,Kerman,14537
411,Hawaiian Gardens,14465
412,El Sobrante CDP,14451
413,Oak Park,14440
414,Salida,14424
415,Mill Valley,14392
416,Lemon Hill,14182
417,Red Bluff,14111
418,McFarland,13930
419,Auburn,13911
420,Livingston,13831
421,King City,13721
422,Carpinteria,13593
423,Palos Verdes Estates,13591
424,Grover Beach,13524
425,Olivehurst,13500
426,California City,13495
427,North Auburn,13395
428,Solana Beach,13362
429,El Sobrante,13358
430,Lakeland Village,13343
431,San Marino,13331
432,Big Bear City,13186
433,Lindsay,13167
434,Avenal,13119
435,Bonita,13082
436,Commerce,12998
437,Muscoy,12968
438,Tehachapi,12948
439,Grass Valley,12893
440,Malibu,12871
441,Sun Village,12794
442,Camp Pendleton South,12770
443,San Anselmo,12619
444,Half Moon Bay,12565
445,Grand Terrace,12439
446,Larkspur,12367
447,Magalia,12346
448,Marysville,12225
449,Alum Rock,12128
450,Home Gardens,11997
451,Fortuna,11981
452,Scotts Valley,11892
453,Clayton,11838
454,Lake Los Angeles,11820
455,Kingsburg,11794
456,Healdsburg,11721
457,Diamond Springs,11717
458,Los Alamitos,11639
459,Delhi,11622
460,Emeryville,11524
461,Signal Hill,11508
462,Citrus,11489
463,Winton,11487
464,Hillsborough,11436
465,Mendota,11396
466,View Park-Windsor Hills,11308
467,Piedmont,11296
468,Soquel,11241
469,Sierra Madre,11061
470,Canyon Lake,11043
471,Sonoma,11014
472,Newman,10951
473,Garden Acres,10931
474,Rossmoor,10920
475,Tamalpais-Homestead Valley,10853
476,Farmersville,10738
477,La Riviera,10693
478,Placerville,10681
479,San Diego Country Estates,10633
480,Del Aire,10614
481,Lake Arrowhead,10612
482,Morro Bay,10568
483,Oak Hills,10541
484,East Whittier,10540
485,Exeter,10520
486,Fairview,10222
487,Anderson,10176
488,Rodeo,10174
489,Capitola,10158
490,Mentone,10129
491,Shasta Lake,10125
492,Quartz Hill,10098
493,Madera Acres,9947
494,Country Club,9914
495,Blackhawk,9912
496,Valley Center,9842
497,Corte Madera,9811
498,Marina del Rey,9691
499,Rio del Mar,9621
500,Crestline,9581
501,Orange Cove,9567
502,Charter Oak,9481
503,Good Hope,9369
504,Taft,9224
505,Tiburon,9205
506,Larkfield-Wikiup,9184
507,Fort Irwin,9053
508,Montecito,8984
509,South San Gabriel,8964
510,Golden Hills,8889
511,Earlimart,8824
512,Midway City,8819
513,Cloverdale,8810
514,Waterford,8786
515,West Athens,8746
516,Bonadelle Ranchos-Madera Ranchos,8647
517,Live Oak city,8537
518,Calimesa,8517
519,Los Altos Hills,8490
520,Gonzales,8462
521,Westlake Village,8450
522,Rio Vista,8350
523,Firebaugh,8275
524,Rolling Hills Estates,8229
525,Mammoth Lakes,8092
526,Pismo Beach,8060
527,Templeton,7989
528,August,7942
529,Cherry Valley,7924
530,Mecca,7893
531,Oceano,7788
532,Orosi,7760
533,Topanga,7705
534,Sebastopol,7653
535,Woodlake,7631
536,Fairfax,7616
537,Ojai,7594
538,Piñon Hills,7583
539,Yreka,7571
540,Corning,7550
541,Vandenberg Village,7541
542,Orland,7532
543,Franklin and Homeland,7471
544,Gold River,7460
545,Escalon,7449
546,Cotati,7448
547,Camp Pendleton North,7443
548,Alondra Park,7441
549,Calipatria,7426
550,Spring Valley Lake and Thousand Palms,7356
551,Oroville East,7349
552,Boyes Hot Springs,7332
553,San Martin and Guadalupe,7313
554,Hughson,7295
555,Acton,7278
556,Pollock Pines and Fort Bragg,7269
557,Bermuda Dunes,7243
558,El Rio,7229
559,University of California-Davis,7221
560,Atherton,7182
561,Ione,7161
562,Sausalito,7147
563,Ladera Heights,7081
564,Winters,7059
565,Lucas Valley-Marinwood,7054
566,Joshua Tree,7020
567,Nuevo,7017
568,South Monrovia Island,6989
569,Plumas Lake,6976
570,Alta Sierra,6960
571,Desert Palms,6949
572,Kentfield,6927
573,Huron,6926
574,Ben Lomond,6923
575,Mira Monte,6916
576,Thermalito,6905
577,Crescent City,6751
578,Loomis,6727
579,Interlaken,6725
580,Castroville,6689
581,Lemoore Station,6601
582,Gridley,6576
583,East Porterville,6519
584,Contra Costa Centre,6440
585,Silver Lakes and Rancho Calaveras,6437
586,East Foothills,6405
587,Lake Mathews,6402
588,Pleasure Point,6381
589,Holtville,6355
590,East Pasadena,6288
591,El Granada,6286
592,Keyes,6237
593,Saranap,6235
594,Fowler,6200
595,Fruitridge Pocket,6074
596,St. Helena,6056
597,Willows,6055
598,Colusa,5938
599,Villa Park,5935
600,Cambria,5934
601,Jamul,5895
602,Cutler,5850
603,Garnet,5831
604,Mayflower Village,5828
605,Durham,5819
606,Eucalyptus Hills,5798
607,West Modesto,5786
608,Aptos,5775
609,Gustine and Hidden Valley Lake,5735
610,Roseland,5717
611,Palermo,5713
612,Greenacres,5705
613,Las Flores,5665
614,Solvang,5650
615,Elverta,5606
616,Kensington,5573
617,Twin Lakes,5570
618,Strawberry,5558
619,Woodside,5550
620,Old Fig Garden,5522
621,El Cerrito CDP,5508
622,Salton City,5487
623,Lucerne Valley,5472
624,La Habra Heights,5425
625,Rancho Murieta,5424
626,Hilmar-Irwin,5407
627,Bear Valley Springs,5389
628,Bret Harte,5367
629,Lake Wildwood,5315
630,Calistoga,5281
631,Yosemite Lakes,5274
632,Indian Wells,5267
633,Williams,5208
634,Big Bear Lake,5190
635,Dos Palos,5186
636,Tara Hills,5160
637,Myrtletown,5145
638,Broadmoor,5112
639,Wilton,5097
640,Buellton,5087
641,Denair,4988
642,Needles,4984
643,Mayfair,4953
644,Burbank CDP,4939
645,Lincoln Village,4931
646,Santa Venetia and Lake San Marcos,4924
647,Fetters Hot Springs-Agua Caliente,4848
648,Willits,4844
649,Sonora,4824
650,Lakeport,4766
651,Jackson,4656
652,Emerald Lake Hills,4648
653,Brisbane,4642
654,Portola Valley,4589
655,Del Monte Forest,4575
656,Guerneville,4570
657,Morada,4478
658,Oak View and Planada,4472
659,Sunnyside,4454
660,Running Springs,4427
661,Ford City,4388
662,Santa Ynez,4377
663,McSwain,4363
664,Boulder Creek,4359
665,Bonsall,4341
666,Del Mar,4338
667,Pacheco,4334
668,Highgrove,4302
669,Lake Isabella,4287
670,Wrightwood,4286
671,Phoenix Lake,4278
672,Heber,4273
673,Lenwood,4255
674,Highlands-Baywood Park,4245
675,Mojave,4222
676,Humboldt Hill,4217
677,Copperopolis,4214
678,Mather,4201
679,Harbison Canyon,4199
680,Lake of the Pines,4193
681,Empire,4177
682,Bystrom,4136
683,Vine Hill,4108
684,Shingle Springs,4100
685,Riverdale,4095
686,San Joaquin,4025
687,Mission Hills,4014
688,Carmel Valley Village,4011
689,Pixley,4008
690,Woodbridge,3993
691,Cabazon,3928
692,Moss Beach,3915
693,Carmel-by-the-Sea,3876
694,Mountain View Acres,3869
695,North El Monte,3832
696,Day Valley,3816
697,Ivanhoe,3804
698,Bishop,3802
699,Avalon,3778
700,Reliez Valley,3769
701,Las Lomas,3762
702,Angels,3760
703,West Menlo Park,3744
704,North Richmond,3738
705,Esparto,3732
706,Armona,3730
707,Camino Tassajara,3717
708,French Camp,3710
709,Brooktrails,3705
710,Burney,3676
711,Wheatland and Felton,3671
712,El Verano,3663
713,East Richmond Heights and Forestville,3658
714,Kelseyville,3647
715,Pajaro,3644
716,Auburn Lake Trails,3632
717,Strathmore,3617
718,Clearlake Riviera,3616
719,Oakhurst,3605
720,Agua Dulce,3598
721,Goshen,3561
722,Monte Sereno,3551
723,Arbuckle,3548
724,Rollingwood,3477
725,Kennedy,3468
726,Angwin,3463
727,Santa Rosa Valley,3456
728,Vandenberg AFB,3450
729,Loyola and Meadow Vista,3448
730,Stallion Springs,3417
731,Greenfield,3405
732,Casa Conejo and Hoopa,3393
733,Rio Dell,3385
734,Hidden Meadows,3382
735,North Shore,3349
736,Mono Vista,3346
737,Valley Springs,3321
738,Vista Santa Rosa,3318
739,Weaverville,3303
740,Anza,3284
741,Lockeford and North Lakeport,3283
742,Mount Shasta,3281
743,Cottonwood,3268
744,San Andreas,3241
745,Oasis,3240
746,Morongo Valley and Seacliff,3231
747,Tarpey Village,3200
748,Freedom,3183
749,Meiners Oaks,3182
750,Desert Edge,3156
751,Tipton,3152
752,East Oakdale,3146
753,Lucerne,3144
754,Crockett,3142
755,San Miguel,3137
756,Nevada City,3112
757,Loma Rica,3111
758,Terra Bella,3110
759,Cambrian Park,3098
760,San Antonio Heights,3092
761,Bonny Doon,3086
762,South Oroville,3062
763,Squaw Valley,3044
764,Parksdale,3029
765,Fairbanks Ranch,3024
766,Ridgemark,3020
767,Marin City,3016
768,Homestead Valley,2987
769,Pine Hills,2986
770,Caruthers,2984
771,Yountville,2978
772,Campo,2971
773,Coronita,2961
774,Sutter,2948
775,Val Verde,2928
776,Richgrove and West Bishop,2923
777,Penngrove,2922
778,Corralitos,2920
779,Montara,2909
780,Cutten,2907
781,Lake California,2888
782,Granite Hills,2873
783,Amesti,2851
784,Cayucos,2847
785,San Miguel CDP and Kings Beach,2824
786,Rose Hills,2817
787,Hartley,2807
788,Lake Nacimiento,2806
789,Montalvin Manor,2800
790,Arnold,2798
791,Green Acres,2776
792,Bella Vista,2771
793,Crest,2767
794,La Selva Beach,2746
795,Dixon Lane-Meadow Creek,2738
796,Winchester and Taft Heights,2721
797,Weed,2707
798,Twain Harte,2694
799,Poplar-Cotton Center,2660
800,Channel Islands Beach,2659
801,Meadowbrook,2656
802,Mission Canyon,2651
803,Aromas,2650
804,Hayfork,2641
805,Jamestown,2618
806,Alturas,2613
807,Idyllwild-Pine Cove,2590
808,Auberry,2582
809,Dogtown,2548
810,Kelly Ridge,2540
811,Lexington Hills,2531
812,Sutter Creek,2517
813,Desert View Highlands,2514
814,Nice,2496
815,East Quincy,2494
816,Brookdale,2490
817,Bayview CDP,2466
818,China Lake Acres,2446
819,Frazier Park,2440
820,Sky Valley,2430
821,Rancho Santa Fe,2428
822,Edwards AFB,2410
823,Boron,2406
824,Lakeview,2399
825,Mountain View,2398
826,Georgetown,2393
827,Westmorland,2382
828,Bethel Island,2379
829,Hamilton City,2357
830,Soulsbyville,2348
831,Pine Mountain Lake,2343
832,Ahwahnee,2340
833,Parkwood,2334
834,Columbia,2329
835,Patterson Tract,2320
836,East Sonora,2319
837,Collierville,2315
838,Ross,2311
839,Aptos Hills-Larkin Valley,2291
840,Buckhorn,2281
841,Clearlake Oaks,2275
842,Chester,2274
843,Shingletown,2261
844,Rancho Tehama Reserve,2259
845,Three Rivers,2243
846,Sleepy Hollow,2239
847,San Juan Bautista,2212
848,South Dos Palos,2201
849,Colfax,2187
850,Weldon,2185
851,Thermal,2166
852,Belvedere,2156
853,Bell Canyon,2150
854,Bertsch-Oceanview,2140
855,Pine Grove,2137
856,Linden,2102
857,Easton,2087
858,Romoland,2081
859,Borrego Springs,2077
860,Murphys,2070
861,Lost Hills,2055
862,Weedpatch,2052
863,Rouse,2044
864,Rainbow,2041
865,Monument Hills,2038
866,Biggs,2034
867,Portola,2033
868,Fairmead,2005
869,Littlerock,1998
870,Pine Canyon,1995
871,Santa Nella,1976
872,San Pasqual,1966
873,Quincy,1936
874,Los Molinos,1928
875,Laton,1921
876,Penn Valley,1892
877,Elizabeth Lake,1884
878,Home Garden,1881
879,Pine Valley,1878
880,London,1872
881,Red Corral,1850
882,Lake Sherwood,1832
883,Graton,1827
884,Piru,1808
885,Lagunitas-Forest Knolls,1790
886,Shasta,1776
887,Bayview,1771
888,Woodville,1770
889,Lone Pine,1767
890,Redwood Valley,1747
891,Forest Meadows,1715
892,Rolling Hills,1684
893,Callender,1679
894,Hidden Hills,1676
895,Westwood,1662
896,Los Ranchos,1658
897,Camino,1652
898,Temelec,1641
899,Le Grand,1637
900,Leona Valley,1615
901,Wofford Heights,1606
902,Big Pine,1605
903,Toro Canyon,1602
904,Dunsmuir,1594
905,Bodfish,1593
906,Descanso and Searles Valley,1592
907,Knightsen,1576
908,Woodacre and Kettleman City,1574
909,Seeley,1573
910,Pine Mountain Club,1571
911,Lebec,1557
