alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
signature-pho-and-desserts-laguna-niguel-2,"['desserts', 'coffee', 'vietnamese']","['Desserts', 'Coffee & Tea', 'Vietnamese']",33.55516,-117.69915,(949) 328-9951,3070.8793063140097,x2rm_KAYL4pqUz7U6fN4tw,https://s3-media2.fl.yelpcdn.com/bphoto/4bgXeDECssd-kRBUCW5j5A/o.jpg,28083 Moulton Pkwy,Ste C4,,Laguna Niguel,US,CA,92677,Signature Pho & Desserts,+19493289951,$$,4.0,435,['pickup'],https://www.yelp.com/biz/signature-pho-and-desserts-laguna-niguel-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-the-bowl-laguna-niguel,['vietnamese'],['Vietnamese'],33.55622,-117.71024,(949) 360-8027,2331.2540651166196,SM4fEp1dgKBGzHtD3Ej25Q,https://s3-media1.fl.yelpcdn.com/bphoto/mhmW0oaIOho14nHbJsgFqg/o.jpg,27931 La Paz Rd,Ste A,,Laguna Niguel,US,CA,92677,Pho the Bowl,+19493608027,$$,3.0,450,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-the-bowl-laguna-niguel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
urbane-cafe-aliso-viejo-2,"['newamerican', 'sandwiches', 'salad']","['American (New)', 'Sandwiches', 'Salad']",33.57166,-117.72367,(949) 407-5154,398.6698809093279,bs0g1O_HYTrVjcyWZ0PgdQ,https://s3-media3.fl.yelpcdn.com/bphoto/o4EHs4WhLPWuM5g6jmlg3g/o.jpg,26921 Aliso Creek Rd,Ste 2C & 2D,,Aliso Viejo,US,CA,92656,Urbane Cafe,+19494075154,,4.5,108,['delivery'],https://www.yelp.com/biz/urbane-cafe-aliso-viejo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
healthy-n-tasty-laguna-hills,"['vietnamese', 'korean', 'bubbletea']","['Vietnamese', 'Korean', 'Bubble Tea']",33.5935721,-117.6980953,(949) 472-2267,3095.4361922076914,I1rdpqeUJxRzGbcleblFCQ,https://s3-media1.fl.yelpcdn.com/bphoto/Pqrgv3rDBgFLZBXdIOhssQ/o.jpg,25381 Alicia Pkwy,Ste F,,Laguna Hills,US,CA,92653,Healthy N Tasty,+19494722267,$,3.5,105,"['pickup', 'delivery']",https://www.yelp.com/biz/healthy-n-tasty-laguna-hills?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
beyond-thai-cuisine-aliso-viejo,['thai'],['Thai'],33.5751438110032,-117.724698822785,(949) 831-7808,186.06216825418343,RXaoKBvs327xft_G1D64HQ,https://s3-media2.fl.yelpcdn.com/bphoto/i1-pxbedD9li9gMjtUr1cg/o.jpg,26841 Aliso Creek Rd,Ste D,,Aliso Viejo,US,CA,92656,Beyond Thai Cuisine,+19498317808,$$,4.0,297,[],https://www.yelp.com/biz/beyond-thai-cuisine-aliso-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-king-way-noodles-and-grill-mission-viejo,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.613378,-117.679049,(949) 472-5464,5952.841901306383,eAI6HPlrHe56LvEPcsB67g,https://s3-media2.fl.yelpcdn.com/bphoto/7dxOewAg7YnzDBB3q99Pyg/o.jpg,24000 Alicia Pkwy,Ste 22,,Mission Viejo,US,CA,92691,Pho King Way Noodles and Grill,+19494725464,$,3.5,449,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-king-way-noodles-and-grill-mission-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-bite-aliso-viejo,['thai'],['Thai'],33.571123,-117.724441,(949) 643-0627,378.005514204434,HNVKFw1wmhdW7-CC45amtA,https://s3-media1.fl.yelpcdn.com/bphoto/yb58kF5XX0ixRiwHRWaFPw/o.jpg,26921 Aliso Creek Rd,Ste J,,Aliso Viejo,US,CA,92656,Thai Bite,+19496430627,$$,4.0,594,[],https://www.yelp.com/biz/thai-bite-aliso-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
siamese-express-aliso-viejo,['thai'],['Thai'],33.5715,-117.70708,(949) 831-0882,1506.0511015871134,o1vMTA-RfUnV50q2j556pw,https://s3-media2.fl.yelpcdn.com/bphoto/KEeyWNHcYyBgY1WTO6zOHw/o.jpg,26952 La Paz Rd,Ste C,,Aliso Viejo,US,CA,92656,Siamese Express,+19498310882,$,4.0,221,['pickup'],https://www.yelp.com/biz/siamese-express-aliso-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
urban-plates-aliso-viejo,"['newamerican', 'salad', 'sandwiches']","['American (New)', 'Salad', 'Sandwiches']",33.576775,-117.725074,(949) 424-6160,372.9441917838089,a7FyzXrTkoqia7OntCPZhg,https://s3-media4.fl.yelpcdn.com/bphoto/hmriRZmsD1xrm2XsDj9FZg/o.jpg,26661 Aliso Creek Rd,Ste B,,Aliso Viejo,US,CA,92656,Urban Plates,+19494246160,$$,4.0,441,"['pickup', 'delivery']",https://www.yelp.com/biz/urban-plates-aliso-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
break-of-dawn-laguna-hills-2,"['breakfast_brunch', 'asianfusion']","['Breakfast & Brunch', 'Asian Fusion']",33.6076639636028,-117.703425027108,(949) 587-9418,4128.65737449791,Vkl5oqd82-XyR604tgRvCg,https://s3-media2.fl.yelpcdn.com/bphoto/oBLulOVEhz8vWaxX6qEfEw/o.jpg,24291 Avenida De La Carlota,Ste P-4,,Laguna Hills,US,CA,92653,Break of Dawn,+19495879418,$$,4.0,1513,[],https://www.yelp.com/biz/break-of-dawn-laguna-hills-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
