alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-huong-viet-noodle-house-vallejo,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.1551489904289,-122.254158384077,(707) 649-9999,2578.1931657969,j1OVMOruD9GmpdZ9VKYaiw,https://s3-media3.fl.yelpcdn.com/bphoto/Le5lXM_1cGg3v1G6Wgp6Ow/o.jpg,5201 Sonoma Blvd,Ste 37,,Vallejo,US,CA,94589,Pho Huong Viet Noodle House,+17076499999,$,4.5,156,[],https://www.yelp.com/biz/pho-huong-viet-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-1-vallejo,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.1266670227051,-122.256126403809,(707) 553-9859,5730.228690235777,1VxBZ-4qmygsiM6j7IMWYg,https://s3-media4.fl.yelpcdn.com/bphoto/WBWckN2EfBL1mSx22DjP4Q/o.jpg,3885 Sonoma Blvd,,,Vallejo,US,CA,94589,Pho 1,+17075539859,$,4.0,478,[],https://www.yelp.com/biz/pho-1-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-village-noodle-house-vallejo,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",38.1238496636739,-122.253961014274,(707) 534-6286,6055.487126745769,pBTdaGcpMOEdQ4Iylm_SQQ,https://s3-media2.fl.yelpcdn.com/bphoto/oNbl1B8_kls2qMRdxBAF8w/o.jpg,3636 Sonoma Blvd,,,Vallejo,US,CA,94590,Pho Saigon Village Noodle House,+17075346286,$,4.5,164,[],https://www.yelp.com/biz/pho-saigon-village-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lv-vietnamese-pho-and-sandwiches-vallejo,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",38.10542,-122.208223,(707) 561-0070,9123.70485164721,zNmYG41AJ-iYj5gUP705Ag,https://s3-media3.fl.yelpcdn.com/bphoto/-x4rtZA0XM65TpMRMpNr9w/o.jpg,2621 Springs Rd,,,Vallejo,US,CA,94591,LV Vietnamese Pho and Sandwiches,+17075610070,$,4.0,205,[],https://www.yelp.com/biz/lv-vietnamese-pho-and-sandwiches-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vallejo-noodle-house-vallejo-3,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.1320293799937,-122.221727947639,(707) 557-5427,5961.083671934746,7_gyln_BHsu3ps3FVqYGyg,https://s3-media2.fl.yelpcdn.com/bphoto/KlZmcyatWWrbkt3CKZTLUQ/o.jpg,908 Admiral Callaghan Ln,,,Vallejo,US,CA,94591,Pho Vallejo Noodle House,+17075575427,,4.0,97,[],https://www.yelp.com/biz/pho-vallejo-noodle-house-vallejo-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lee-hoa-phat-2-vallejo-3,['vietnamese'],['Vietnamese'],38.1224127025499,-122.258621526624,(707) 557-2780,6215.696034304742,w1W9ka2BfwEKl3coW3_3sw,https://s3-media3.fl.yelpcdn.com/bphoto/PwVDberfTZKEH0-DCAI69Q/o.jpg,3495 Sonoma Blvd,Ste H,,Vallejo,US,CA,94590,Pho Lee Hoa Phat 2,+17075572780,$,3.0,177,[],https://www.yelp.com/biz/pho-lee-hoa-phat-2-vallejo-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
maya-thai-house-vallejo-2,['thai'],['Thai'],38.1233023,-122.2549887,(707) 654-8969,6061.532906708743,vXCe-5mZ-Vwj9SFyUDUUCA,https://s3-media4.fl.yelpcdn.com/bphoto/r35JVrKFATKlmY0kEklPnQ/o.jpg,3624 Sonoma Blvd,,,Vallejo,US,CA,94590,Maya Thai House,+17076548969,$$,4.5,396,[],https://www.yelp.com/biz/maya-thai-house-vallejo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lee-hoa-phat-vallejo-2,['vietnamese'],['Vietnamese'],38.10499,-122.21532,(707) 649-0888,8904.919940224021,18sGcXHM-r2TfXIWbpsu3w,https://s3-media2.fl.yelpcdn.com/bphoto/6XzqvR2KuJLarkJE8Vh9Iw/o.jpg,102 Springstowne Ctr,,,Vallejo,US,CA,94591,Pho Lee Hoa Phat,+17076490888,$,3.0,161,[],https://www.yelp.com/biz/pho-lee-hoa-phat-vallejo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
crave-cafe-and-catering-american-canyon,"['bubbletea', 'asianfusion', 'cafes']","['Bubble Tea', 'Asian Fusion', 'Cafes']",38.1689755277082,-122.254305819574,(707) 642-7283,1047.7561293932552,0Db7RNN-HHIiL5U4aAWKOg,https://s3-media1.fl.yelpcdn.com/bphoto/yBGgBxAHDUvHOKwqNmFQRg/o.jpg,3419 Broadway St,Ste H-12,,American Canyon,US,CA,94503,Crave Cafe & Catering,+17076427283,$,3.0,269,[],https://www.yelp.com/biz/crave-cafe-and-catering-american-canyon?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simple-thai-vallejo,['thai'],['Thai'],38.1097974,-122.2480239,(707) 557-4834,7648.368690874334,5YP7PuLkVX9E8ESMPgRVaw,https://s3-media2.fl.yelpcdn.com/bphoto/xejJnw6ksLX386TbsBIrOA/o.jpg,907 Tennessee St,,,Vallejo,US,CA,94590,Simple Thai,+17075574834,$,4.0,476,[],https://www.yelp.com/biz/simple-thai-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
