alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
viet-house-sebastopol,"['vietnamese', 'gluten_free', 'soup']","['Vietnamese', 'Gluten-Free', 'Soup']",38.3913045,-122.8171215,(707) 824-8888,80318.67756906107,V8zmYv8tGx_YQ7Y9Gns-fQ,https://s3-media1.fl.yelpcdn.com/bphoto/q9cG06IfxrcDeSu1aeehoQ/o.jpg,966 Gravenstein Hwy S,,,Sebastopol,US,CA,95472,Viet House,+17078248888,$$,4.0,115,[],https://www.yelp.com/biz/viet-house-sebastopol?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ks-tian-yuen-restaurant-cloverdale,"['chinese', 'japanese', 'sushi']","['Chinese', 'Japanese', 'Sushi Bars']",38.800350189209,-123.017036437988,(707) 894-5697,48593.11780141484,GT3BntVo-Ves8ZywrmHTkg,https://s3-media2.fl.yelpcdn.com/bphoto/ZUxipGvTbNL8-D-xviIPhA/o.jpg,421 S Cloverdale Blvd,,,Cloverdale,US,CA,95425,KS Tian Yuen Restaurant,+17078945697,$$,4.0,117,['pickup'],https://www.yelp.com/biz/ks-tian-yuen-restaurant-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-buffet-fort-bragg,"['chinese', 'buffets']","['Chinese', 'Buffets']",39.4372825622559,-123.80419921875,(707) 964-8938,73219.70106525706,wK_mHLeCXeRgVryJ4SxvtQ,https://s3-media4.fl.yelpcdn.com/bphoto/0fcVcFx9fLD4hbomtN8dTQ/o.jpg,450 S Franklin St,,,Fort Bragg,US,CA,95437,Asian Buffet,+17079648938,$,3.5,66,[],https://www.yelp.com/biz/asian-buffet-fort-bragg?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-ha-restaurant-santa-rosa,"['vietnamese', 'buffets']","['Vietnamese', 'Buffets']",38.5121574401855,-122.779884338379,(707) 527-8882,76443.312765064,2cPTjDxbKqoVv9AfXiNAiw,https://s3-media2.fl.yelpcdn.com/bphoto/zchWGpdyIz3Xclt6-b89Ww/o.jpg,385 Aviation Blvd,,,Santa Rosa,US,CA,95403,My Ha Restaurant,+17075278882,$$,3.0,90,[],https://www.yelp.com/biz/my-ha-restaurant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
101-thai-way-cloverdale,['thai'],['Thai'],38.783698,-123.011209,(707) 894-9999,49151.73620012282,kzQg7SmFR4YR_cK2tWRjEQ,https://s3-media2.fl.yelpcdn.com/bphoto/p2cFiXdWWQx9Vf7W6uNwSw/o.jpg,1198 S Cloverdale Blvd,Ste C,,Cloverdale,US,CA,95425,101 Thai Way,+17078949999,$$,4.5,197,[],https://www.yelp.com/biz/101-thai-way-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
momo-cafe-santa-rosa-7,"['sandwiches', 'asianfusion', 'salad']","['Sandwiches', 'Asian Fusion', 'Salad']",38.5121060709943,-122.780161058718,(707) 573-0999,76426.40845703709,Wqazgh6qICB1iFrTGByKkg,https://s3-media4.fl.yelpcdn.com/bphoto/9kq9r7fHZr5yqLTpAiurWA/o.jpg,385 Aviation Blvd,Ste A,,Santa Rosa,US,CA,95403,MoMo Cafe,+17075730999,$,4.5,128,['pickup'],https://www.yelp.com/biz/momo-cafe-santa-rosa-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tans-donuts-santa-rosa-2,"['donuts', 'vietnamese']","['Donuts', 'Vietnamese']",38.4520404275629,-122.771504470958,(707) 528-1567,80162.0601805232,VfGnMo86Cp3mTgGgOac30g,https://s3-media1.fl.yelpcdn.com/bphoto/au75Kuwpxv6ciy8EOku0Dw/o.jpg,2550 Guerneville Rd,Ste E,,Santa Rosa,US,CA,95403,Tan's Donuts,+17075281567,$,4.0,28,[],https://www.yelp.com/biz/tans-donuts-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
streetside-asian-grill-santa-rosa,"['foodtrucks', 'asianfusion']","['Food Trucks', 'Asian Fusion']",38.44929,-122.73392,(707) 843-0046,78847.18126387111,1ur6aTGBl1KXhxUPn5KxLg,https://s3-media1.fl.yelpcdn.com/bphoto/St1CVvK2EFewnN75NfAsVQ/o.jpg,,,,Santa Rosa,US,CA,95401,Streetside Asian Grill,+17078430046,,5.0,10,[],https://www.yelp.com/biz/streetside-asian-grill-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ravens-restaurant-mendocino,"['vegetarian', 'vegan', 'wine_bars']","['Vegetarian', 'Vegan', 'Wine Bars']",39.2993782071213,-123.792486990479,(707) 937-5615,58260.20498789123,t4xn_dN5wxMhx_F097Hokw,https://s3-media4.fl.yelpcdn.com/bphoto/PK_syELih8aE-19aXuEqDg/o.jpg,44850 Comptche Ukiah Rd,,,Mendocino,US,CA,95460,Ravens' Restaurant,+17079375615,$$$,3.5,309,[],https://www.yelp.com/biz/ravens-restaurant-mendocino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tian-yuen-asian-cuisine-windsor,['asianfusion'],['Asian Fusion'],38.5481323840392,-122.813902013004,(707) 892-2968,72102.25254610018,gD8FLXZCg2T4isVOlqK5lw,https://s3-media3.fl.yelpcdn.com/bphoto/rhSTHfq2GO5VySXlh2DYrw/o.jpg,610 McClelland Dr,,,Windsor,US,CA,95492,Tian Yuen Asian Cuisine,+17078922968,,3.5,31,[],https://www.yelp.com/biz/tian-yuen-asian-cuisine-windsor?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
