alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-saigon-palace-citrus-heights-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.681051,-121.32196,(916) 729-4987,5545.816603990555,EHngjRBB9rq3nWV_-efXuQ,https://s3-media3.fl.yelpcdn.com/bphoto/-TcHh9A5ig6u3YKcigeOZw/o.jpg,6029 Greenback Ln,,,Citrus Heights,US,CA,95621,Pho Saigon Palace,+19167294987,$,4.5,252,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-saigon-palace-citrus-heights-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hang-roseville,"['vietnamese', 'desserts', 'noodles']","['Vietnamese', 'Desserts', 'Noodles']",38.78426,-121.28672,(916) 771-2565,10608.392518277922,WQ6OYDEH-1k9yx0tbqI3_g,https://s3-media3.fl.yelpcdn.com/bphoto/O3T3p1IT0coxHvOjJAGiow/o.jpg,916 Pleasant Grove Blvd,Ste 150,,Roseville,US,CA,95678,Pho Hang,+19167712565,$,4.0,385,[],https://www.yelp.com/biz/pho-hang-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dt-noodle-roseville,['vietnamese'],['Vietnamese'],38.7607903,-121.308283,(916) 797-8883,7435.859258333011,6Bl8hhg9WS6OrIuCKL5Ilw,https://s3-media1.fl.yelpcdn.com/bphoto/DTswU_CbdNLJAyWyN-ZDNQ/o.jpg,5015 Foothills Blvd,Ste 3B,,Roseville,US,CA,95747,DT Noodle,+19167978883,$,4.5,204,[],https://www.yelp.com/biz/dt-noodle-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-viet-citrus-heights,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.6748346,-121.3251627,(916) 338-1868,5839.364580812768,J9ONXPKImgdcHLuDQpm0rQ,https://s3-media3.fl.yelpcdn.com/bphoto/bWM2OgcyYyQyUJaBk8WAJQ/o.jpg,5948 Auburn Blvd,,,Citrus Heights,US,CA,95621,Pho Viet,+19163381868,$,4.0,393,['pickup'],https://www.yelp.com/biz/pho-viet-citrus-heights?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-abc-citrus-heights-2,['vietnamese'],['Vietnamese'],38.67892,-121.27566,(916) 721-0206,9056.806151095985,eWcClvKoV-lrbsha8rCKKw,https://s3-media1.fl.yelpcdn.com/bphoto/WqsHQVr_pQvGbMCScAbe2Q/o.jpg,7811 Greenback Ln,,,Citrus Heights,US,CA,95610,PHO ABC,+19167210206,$$,4.0,285,['pickup'],https://www.yelp.com/biz/pho-abc-citrus-heights-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bo-urban-corner-citrus-heights,"['vietnamese', 'delis', 'venues']","['Vietnamese', 'Delis', 'Venues & Event Spaces']",38.674835,-121.292793,(916) 633-0728,7977.974789334943,QojmD41gfDPda2oX_0Jesw,https://s3-media3.fl.yelpcdn.com/bphoto/8vKM_OI47jGoO94d7ApW_w/o.jpg,6001 San Juan Ave,Ste 100,,Citrus Heights,US,CA,95610,Bo Urban Corner,+19166330728,$,4.5,267,"['delivery', 'pickup']",https://www.yelp.com/biz/bo-urban-corner-citrus-heights?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hotpot-express-citrus-heights,"['hotpot', 'thai', 'asianfusion']","['Hot Pot', 'Thai', 'Asian Fusion']",38.707164,-121.313571,(916) 735-8512,4935.730521296078,Anl8-wx5UISxmrWo-wyDxA,https://s3-media2.fl.yelpcdn.com/bphoto/kQqlhFZtsQ2n8-n66UO8nw/o.jpg,6456 Antelope Rd,,,Citrus Heights,US,CA,95621,Hotpot Express,+19167358512,$$,4.5,259,[],https://www.yelp.com/biz/hotpot-express-citrus-heights?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-54-citrus-heights,['vietnamese'],['Vietnamese'],38.678593,-121.319061,(916) 721-3039,5914.125688594492,gtPxhQKfYzIhgkGiHFd-7g,https://s3-media2.fl.yelpcdn.com/bphoto/WGca3HjTLrbnyYFQ6PBIMQ/o.jpg,6191 Greenback Ln,Ste C,,Citrus Heights,US,CA,95621,Pho 54,+19167213039,$,4.0,133,[],https://www.yelp.com/biz/pho-54-citrus-heights?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tm-noodle-carmichael,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",38.6386731,-121.3277099,(916) 486-2579,9146.603697517736,B9PryBZ1twi0ZprmnmMG3Q,https://s3-media2.fl.yelpcdn.com/bphoto/q-NJQ4dLqcEjZl_bUjQN6Q/o.jpg,4110 Manzanita Ave,,,Carmichael,US,CA,95608,TM Noodle,+19164862579,$,4.0,134,[],https://www.yelp.com/biz/tm-noodle-carmichael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-no-1-fair-oaks,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.6626385,-121.2724093,(916) 966-2020,10099.173330901445,eo_IlzmymoG95y6L89lMOQ,https://s3-media3.fl.yelpcdn.com/bphoto/9inLsTJjyrdzS2I86V1ejA/o.jpg,5323 Sunrise Blvd,,,Fair Oaks,US,CA,95628,Pho No 1,+19169662020,$,3.5,293,['pickup'],https://www.yelp.com/biz/pho-no-1-fair-oaks?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-sacramento,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.66018,-121.328763,(916) 344-5769,6977.812670439015,1Dn_SALa2_qazQyLtb_M_Q,https://s3-media3.fl.yelpcdn.com/bphoto/R0OCZ2Er3c0Tx5mGOPB4UQ/o.jpg,5800 Madison Ave,Ste X,,Sacramento,US,CA,95841,Noodle House,+19163445769,$,3.5,105,"['delivery', 'pickup']",https://www.yelp.com/biz/noodle-house-sacramento?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-bac-hoa-viet-sacramento-4,"['vietnamese', 'chinese', 'asianfusion']","['Vietnamese', 'Chinese', 'Asian Fusion']",38.66045,-121.34626,(916) 331-3888,6312.567693453722,25dFLjJTFbBHM5ZKIQkO4w,https://s3-media4.fl.yelpcdn.com/bphoto/iS67Q0IB38lB3816ElOR5w/o.jpg,5060 Madison Ave,,,Sacramento,US,CA,95841,Pho Bac Hoa Viet,+19163313888,$,3.0,357,[],https://www.yelp.com/biz/pho-bac-hoa-viet-sacramento-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jannois-app-khao-papaya-and-noodle-shack-sacramento,"['thai', 'laotian']","['Thai', 'Laotian']",38.63674167,-121.38162333,(916) 418-4424,8682.158250871642,HtaQJmzgQYju4pkT_McPzQ,https://s3-media2.fl.yelpcdn.com/bphoto/Gwb7Uur91WZThn896vPvRQ/o.jpg,3510 Auburn Blvd,Ste 10,,Sacramento,US,CA,95821,Jannoi's App-Khao Papaya & Noodle Shack,+19164184424,,4.5,54,[],https://www.yelp.com/biz/jannois-app-khao-papaya-and-noodle-shack-sacramento?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pinto-thai-bistro-roseville,['thai'],['Thai'],38.7841691,-121.2726349,(916) 780-1500,11467.53289909414,DsYXU8O2HqRxmqxmiZGrXQ,https://s3-media1.fl.yelpcdn.com/bphoto/xFCFjE_lDHMIzHS5C8sWcQ/o.jpg,9700 Fairway Dr,Ste 100,,Roseville,US,CA,95678,Pinto Thai Bistro,+19167801500,$$,4.0,305,['pickup'],https://www.yelp.com/biz/pinto-thai-bistro-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bambu-asian-cuisine-roseville,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",38.7767,-121.29142,(916) 772-8688,9715.10253316942,OyGa2Xwpv32G-9OtMA9vWw,https://s3-media2.fl.yelpcdn.com/bphoto/PbyRlYqO6lYQWfoQ2qhbKQ/o.jpg,1090 Pleasant Grove Blvd,,,Roseville,US,CA,95678,Bambu Asian Cuisine,+19167728688,$$,3.5,168,[],https://www.yelp.com/biz/bambu-asian-cuisine-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
