alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
noahs-vietnamese-fusion-cuisine-merced-2,['vietnamese'],['Vietnamese'],37.30732,-120.49517,(209) 349-8660,10446.787818056062,mnWlqpe03CtVyk7-ZMPdbg,https://s3-media1.fl.yelpcdn.com/bphoto/zWipAjzCQHIGM2oGOTl5GQ/o.jpg,1327 W 18th St,,,Merced,US,CA,95340,Noahs Vietnamese Fusion Cuisine,+12093498660,$,4.0,232,[],https://www.yelp.com/biz/noahs-vietnamese-fusion-cuisine-merced-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-7-anh-turlock,"['vietnamese', 'thai', 'laotian']","['Vietnamese', 'Thai', 'Laotian']",37.4981137,-120.8487334,(209) 620-8022,27339.648418448494,VNf6jfpjO5ydi1G9W0FV-g,https://s3-media2.fl.yelpcdn.com/bphoto/MmWP0j9mZqYlMHPUe_AT0g/o.jpg,503 N Golden State Blvd,,,Turlock,US,CA,95380,Pho 7 Anh,+12096208022,$,4.0,213,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-7-anh-turlock?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-zab-merced,"['laotian', 'thai']","['Laotian', 'Thai']",37.33099,-120.5284,(209) 354-0108,6664.32845577601,zhXjVBc4VG6-6h0rF_mMoA,https://s3-media2.fl.yelpcdn.com/bphoto/9Xn0lPk-dRONQMGvquabjg/o.jpg,2961 Beachwood Dr,,,Merced,US,CA,95348,Pho Zab,+12093540108,$,4.0,40,[],https://www.yelp.com/biz/pho-zab-merced?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
phoenix-noodle-house-modesto,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.6403884887695,-120.995101928711,(209) 526-9706,47397.13703927747,tjrW7UQmDkwwotAXwlfujg,https://s3-media1.fl.yelpcdn.com/bphoto/6Z4HWyw1DKS2AgwRq4d5pg/o.jpg,1222 H St,,,Modesto,US,CA,95354,Phoenix Noodle House,+12095269706,$,4.0,485,[],https://www.yelp.com/biz/phoenix-noodle-house-modesto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-americana-turlock,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",37.5266550611739,-120.862776339054,(209) 427-2006,30283.90872478828,n94ppFlvjqPoOWfHRkv_LQ,https://s3-media3.fl.yelpcdn.com/bphoto/3j_i7sW315_0uKl0cVF0-Q/o.jpg,3821 Crowell Rd,,,Turlock,US,CA,95382,Pho Americana,+12094272006,$,3.5,194,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-americana-turlock?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-pho-and-sandwiches-merced-2,['vietnamese'],['Vietnamese'],37.317673,-120.4727,(209) 233-9234,11786.937671197285,O5w01A7zVeQt-uNRLb--xA,https://s3-media4.fl.yelpcdn.com/bphoto/hOJ5ywjC5o1YdYPJIZBp5g/o.jpg,3040 Park Ave,Ste E3,,Merced,US,CA,95348,Saigon Pho & Sandwiches,+12092339234,$,2.5,169,[],https://www.yelp.com/biz/saigon-pho-and-sandwiches-merced-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-noodle-atwater-2,"['thai', 'noodles']","['Thai', 'Noodles']",37.361401,-120.61375,(209) 812-6454,1640.5599942877643,pjfRflOIBQTxTPoUgdincA,https://s3-media2.fl.yelpcdn.com/bphoto/Rz76f5Ry4PBVHwiVc542bA/o.jpg,1847 Bellevue Rd,,,Atwater,US,CA,95301,Thai Noodle,+12098126454,$$,3.5,112,[],https://www.yelp.com/biz/thai-noodle-atwater-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-thai-cuisine-merced,['thai'],['Thai'],37.3029670715332,-120.49015045166,(209) 726-1048,11075.671221456894,S4Pdp9pV9OocTEmzGBW1KQ,https://s3-media3.fl.yelpcdn.com/bphoto/Yu4aLm010uX7r1F6Em4-6Q/o.jpg,909 W 16th St,,,Merced,US,CA,95340,New Thai Cuisine,+12097261048,$$,4.0,293,[],https://www.yelp.com/biz/new-thai-cuisine-merced?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-papaya-lady-merced,['importedfood'],['Imported Food'],37.3004032983338,-120.47969520092,(209) 756-8131,12019.824290135426,AOtc84nxT32LoaICSTRFZA,https://s3-media4.fl.yelpcdn.com/bphoto/tArzdDtZQvoCp2pvq0sg4g/o.jpg,235 W Main St,,,Merced,US,CA,95340,The Papaya Lady,+12097568131,$,5.0,61,[],https://www.yelp.com/biz/the-papaya-lady-merced?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sam-cafe-merced,['thai'],['Thai'],37.29508,-120.48258,(209) 383-5350,12103.094886051931,0VjXSKtLG0NYRog6M1-qRg,https://s3-media4.fl.yelpcdn.com/bphoto/6BCZTDJ2LwmpweouQ_4--g/o.jpg,235 W 12th St,,,Merced,US,CA,95340,Sam Cafe,+12093835350,$$,4.0,326,[],https://www.yelp.com/biz/sam-cafe-merced?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
