alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
lotus-pho-asian-cuisines-south-lake-tahoe-2,"['asianfusion', 'vietnamese', 'thai']","['Asian Fusion', 'Vietnamese', 'Thai']",38.951507,-119.950269,(530) 600-0258,54212.26419428183,G9K6nT5qM24q0SwntuuwWw,https://s3-media4.fl.yelpcdn.com/bphoto/6N1eGun2bCF_3JMK6bVYMw/o.jpg,3838 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,Lotus Pho Asian Cuisines,+15306000258,$$,3.5,486,[],https://www.yelp.com/biz/lotus-pho-asian-cuisines-south-lake-tahoe-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-asian-cafe-murphys,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.1363615160809,-120.456409074074,(209) 728-8898,51546.91644181926,zQSEHF44G8rNfujbIxvIYg,https://s3-media2.fl.yelpcdn.com/bphoto/cOmGCX8i9gl3OMJbJ888_w/o.jpg,64 Mitchler St,,,Murphys,US,CA,95247,The Asian Cafe,+12097288898,$,4.5,83,['pickup'],https://www.yelp.com/biz/the-asian-cafe-murphys?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-chopstix-gardnerville-4,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.936076,-119.737187,(775) 783-8888,58368.00060061321,ocmromwdoEmsO3jO95ipOw,https://s3-media3.fl.yelpcdn.com/bphoto/hLIxRmcpckr7XtvM77V84g/o.jpg,1329 US Hwy 395 N,Ste 8,,Gardnerville,US,NV,89410,Pho Chopstix,+17757838888,$,3.5,134,[],https://www.yelp.com/biz/pho-chopstix-gardnerville-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-pho-2-noodle-house-south-lake-tahoe-3,['vietnamese'],['Vietnamese'],38.94537,-119.97068,(530) 600-3244,53292.31627337375,ergPeIg8_GssQVTvfIGmBQ,https://s3-media1.fl.yelpcdn.com/bphoto/9ezmWXwbxsABOhoB6_7wYw/o.jpg,3330 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,Lotus Pho 2 Noodle House,+15306003244,$$,3.0,66,[],https://www.yelp.com/biz/lotus-pho-2-noodle-house-south-lake-tahoe-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tahoe-pollock-pines,"['vietnamese', 'noodles', 'chicken_wings']","['Vietnamese', 'Noodles', 'Chicken Wings']",38.7620566225066,-120.574987041664,(530) 344-7924,56301.564453143576,UIfKdreVN-mhaN5kftM-qA,https://s3-media4.fl.yelpcdn.com/bphoto/618hhDL9nyBPeKP_u0mh4w/o.jpg,6530 Pony Express Trl,,,Pollock Pines,US,CA,95726,Pho Tahoe,+15303447924,$$,4.0,74,[],https://www.yelp.com/biz/pho-tahoe-pollock-pines?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-thai-and-noodle-stateline,"['thai', 'noodles', 'soup']","['Thai', 'Noodles', 'Soup']",38.9713838249461,-119.93410234264,(775) 586-8757,56620.56793163284,FhjGOAdtsSyKQrABxWZyDA,https://s3-media2.fl.yelpcdn.com/bphoto/xuMncT1larJFQN-d5Vai5g/o.jpg,177 Hwy US-50,Ste 101,,Stateline,US,NV,89449,My Thai & Noodle,+17755868757,$$,4.5,455,[],https://www.yelp.com/biz/my-thai-and-noodle-stateline?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pacific-grill-jackson,"['newamerican', 'asianfusion']","['American (New)', 'Asian Fusion']",38.3860298,-120.7387855,(800) 822-9466,61534.98812421814,vvvHv5A4TlhIv6CilKlbrw,https://s3-media4.fl.yelpcdn.com/bphoto/E7edqgpoKIobJ71YrBhltA/o.jpg,12223 New York Ranch Rd,,Jackson Rancheria Casini Resort,Jackson,US,CA,95642,Pacific Grill,+18008229466,$$,2.5,27,[],https://www.yelp.com/biz/pacific-grill-jackson?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-thai-cuisine-south-lake-tahoe-4,['thai'],['Thai'],38.9154175,-120.0008792,(530) 544-3232,49716.244064079634,Bmj8ukSsl3En99fkD7mDMA,https://s3-media1.fl.yelpcdn.com/bphoto/xBAnnCY-jxNjcdLS4_VSMQ/o.jpg,2108 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,My Thai Cuisine,+15305443232,$$,4.5,1003,[],https://www.yelp.com/biz/my-thai-cuisine-south-lake-tahoe-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
wok-and-roll-asian-kitchen-pine-grove-2,['asianfusion'],['Asian Fusion'],38.4132210587446,-120.656235365238,(209) 296-4800,53526.20525924464,RD_sqzTpSgvz_Cu2yQEm_Q,https://s3-media1.fl.yelpcdn.com/bphoto/KAE1kWbgJhcUjuKk0Ea5pw/o.jpg,19885 CA-88,,,Pine Grove,US,CA,95665,Wok and Roll Asian Kitchen,+12092964800,,4.5,40,[],https://www.yelp.com/biz/wok-and-roll-asian-kitchen-pine-grove-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-siam-jackson,['thai'],['Thai'],38.36942,-120.79916,(209) 223-2373,66567.56226916744,GXp17YOQz5mHzYout-LIkg,https://s3-media3.fl.yelpcdn.com/bphoto/O3wrjxaRsrgdwjHEwPDb3A/o.jpg,12240 Industry Blvd,,,Jackson,US,CA,95642,Thai Siam,+12092232373,$$,4.0,104,['pickup'],https://www.yelp.com/biz/thai-siam-jackson?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
freshies-restaurant-and-bar-south-lake-tahoe,"['tradamerican', 'vegan']","['American (Traditional)', 'Vegan']",38.945359,-119.97068,(530) 542-3630,53291.10239818567,Iq7xiQ4onk0qm3o3EY7cqg,https://s3-media2.fl.yelpcdn.com/bphoto/QPp54XBWmXV_QaeZVwfycw/o.jpg,3330 Lake Tahoe Blvd,Ste 3,,South Lake Tahoe,US,CA,96150,Freshies Restaurant & Bar,+15305423630,$$,3.5,750,[],https://www.yelp.com/biz/freshies-restaurant-and-bar-south-lake-tahoe?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hunan-chinese-restaurant-gardnerville-2,"['chinese', 'buffets']","['Chinese', 'Buffets']",38.93809,-119.74105,(775) 782-6068,58434.057018201835,RL804KamSokz19cUZElSXQ,https://s3-media4.fl.yelpcdn.com/bphoto/Lkjv4WGk-mA0JYJqBUiIOw/o.jpg,1363 US Hwy 395 N,,,Gardnerville,US,NV,89410,Hunan Chinese Restaurant,+17757826068,$,3.0,40,[],https://www.yelp.com/biz/hunan-chinese-restaurant-gardnerville-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fortune-lake-tahoe,['chinese'],['Chinese'],38.961256,-119.939047,(800) 648-3353,55438.160469601615,2vlNu1TeBxNOg9opezAiCA,https://s3-media4.fl.yelpcdn.com/bphoto/W44IHE4WHwe0lrOUmQ-7Hw/o.jpg,55 Highway 50,,MontBleu Resort Casino Spa,Lake Tahoe,US,NV,89449,Fortune,+18006483353,$$,2.5,46,[],https://www.yelp.com/biz/fortune-lake-tahoe?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
