alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-viet-san-rafael,['vietnamese'],['Vietnamese'],37.966903,-122.514713,(415) 455-8063,11027.691990809079,JI1F0rdh6jkxKnlgSdDrwQ,https://s3-media2.fl.yelpcdn.com/bphoto/c5ehquwH-iqKc7qcbROuHQ/o.jpg,555 E Francisco Blvd,Ste 22,,San Rafael,US,CA,94901,Pho Viet,+14154558063,$$,4.0,421,['pickup'],https://www.yelp.com/biz/pho-viet-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vn-noodle-and-grill-san-rafael,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9700176490212,-122.518288053164,(415) 306-8299,11476.533417007382,zmDReU_89rGBfq53ZWjnUQ,https://s3-media4.fl.yelpcdn.com/bphoto/yb2M1AAB9mlVcOMEWD23Fg/o.jpg,421 3rd St,,,San Rafael,US,CA,94901,VN Noodle & Grill,+14153068299,$$,4.0,95,[],https://www.yelp.com/biz/vn-noodle-and-grill-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-tra-richmond,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.9345565159871,-122.324991782951,(510) 234-7428,13444.39084858899,9L0eNwBPsKTPioq04okg6g,https://s3-media3.fl.yelpcdn.com/bphoto/j8JGNNgmu_SfO-Tzzu2EVw/o.jpg,12221 San Pablo Ave,Ste 8,,Richmond,US,CA,94805,Huong Tra,+15102347428,$,4.0,665,[],https://www.yelp.com/biz/huong-tra-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
wicked-star-san-francisco,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.770997,-122.391432,(415) 521-6389,13312.048723152751,s10mApVcsXi6GHxOuVHEGw,https://s3-media4.fl.yelpcdn.com/bphoto/2kUQgGGPkd49TLo561ZdZA/o.jpg,601 Mission Bay Blvd N,,,San Francisco,US,CA,94158,Wicked Star,+14155216389,,5.0,2,[],https://www.yelp.com/biz/wicked-star-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
la-maison-de-la-reine-corte-madera,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9273288,-122.516699,(415) 927-0288,7433.284199296565,_LChBSrY900MKB12zbCRlQ,https://s3-media2.fl.yelpcdn.com/bphoto/d3-tDbHd0Lhjnp5d1bzgkA/o.jpg,346 Corte Madera Town Ctr,,,Corte Madera,US,CA,94925,La Maison de la Reine,+14159270288,$$,3.0,234,[],https://www.yelp.com/biz/la-maison-de-la-reine-corte-madera?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tín-vietnamese-cuisine-san-francisco-3,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.780772,-122.40568,(415) 882-7188,11777.235391653325,p1oiqn-SkMrQG0lT3V6jIA,https://s3-media3.fl.yelpcdn.com/bphoto/TFANL8mSKpqxykyrlOCCsA/o.jpg,937 Howard St,,,San Francisco,US,CA,94103,Tín Vietnamese Cuisine,+14158827188,$$,4.0,1185,['pickup'],https://www.yelp.com/biz/t%C3%ADn-vietnamese-cuisine-san-francisco-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
khai-san-francisco,['vietnamese'],['Vietnamese'],37.77039,-122.40269,(415) 724-2325,12913.103471047125,hE6Fc0ts1-EPaCvRW4Gt8w,https://s3-media2.fl.yelpcdn.com/bphoto/4CsPCsNkyp9BR8ml-EeHtg/o.jpg,655 Townsend St,,,San Francisco,US,CA,94103,Khai,+14157242325,$$$$,4.5,131,['restaurant_reservation'],https://www.yelp.com/biz/khai-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
anh-restaurant-and-bar-richmond-2,"['vietnamese', 'bars', 'salad']","['Vietnamese', 'Bars', 'Salad']",37.9152758870656,-122.349639144616,(510) 680-5292,10428.057897372917,gQ3Z7Iw6dyC5NF8vRzJA4A,https://s3-media4.fl.yelpcdn.com/bphoto/Ks9MTqFVobLXK2CI366pNQ/o.jpg,1950 Esplanade Dr,,,Richmond,US,CA,94804,Anh Restaurant & Bar,+15106805292,$$,4.0,193,[],https://www.yelp.com/biz/anh-restaurant-and-bar-richmond-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cam-hong-restaurant-el-sobrante,"['vietnamese', 'delis']","['Vietnamese', 'Delis']",37.9656677246094,-122.310134887695,(510) 222-2700,16420.010073077283,vC1CAfaznIzfQHfMillYmg,https://s3-media2.fl.yelpcdn.com/bphoto/rDHL5cHVtNQDG28mRAwMpA/o.jpg,4068 San Pablo Dam Rd,,,El Sobrante,US,CA,94803,Cam Hong Restaurant,+15102222700,$,4.0,112,[],https://www.yelp.com/biz/cam-hong-restaurant-el-sobrante?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lys-vietnamese-cuisine-san-francisco,['vietnamese'],['Vietnamese'],37.80029,-122.43063,(415) 563-1927,8972.86692980309,t6TROjhvQzXJEhjI_nm08g,https://s3-media4.fl.yelpcdn.com/bphoto/F3tf7XlWa7SVKSWJWtM-ag/o.jpg,1779 Lombard St,,,San Francisco,US,CA,94123,Ly's Vietnamese Cuisine,+14155631927,$$,4.5,399,['pickup'],https://www.yelp.com/biz/lys-vietnamese-cuisine-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
