alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-saigon-redding,['vietnamese'],['Vietnamese'],40.566944,-122.370404,(530) 223-9888,36953.58460684197,IH6C0kOyZ_Mq3FilB8qPGg,https://s3-media2.fl.yelpcdn.com/bphoto/dAh8FEElF8PA4JKcs0lkVw/o.jpg,236 Hartnell Ave,,,Redding,US,CA,96002,Pho Saigon,+15302239888,$$,3.5,114,[],https://www.yelp.com/biz/pho-saigon-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
champa-garden-redding,"['thai', 'laotian', 'vietnamese']","['Thai', 'Laotian', 'Vietnamese']",40.59129,-122.35724,(530) 221-4999,39112.936726751344,R_clG6jfCQCKHkEGpAUGxA,https://s3-media3.fl.yelpcdn.com/bphoto/5_P9pb1M3Vt4-Jzb2WBmLg/o.jpg,1107 Hilltop Dr,,,Redding,US,CA,96003,Champa Garden,+15302214999,$$,4.0,631,[],https://www.yelp.com/biz/champa-garden-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rose-garden-redding-2,"['thai', 'vietnamese', 'laotian']","['Thai', 'Vietnamese', 'Laotian']",40.5702422,-122.3875525,(530) 243-8863,37848.01407169289,QtF_5NfBvn3PvRS9nKvHZw,https://s3-media1.fl.yelpcdn.com/bphoto/BDw0rvJTqVrlJyi8O5n0Rg/o.jpg,2825 S Market St,,,Redding,US,CA,96001,Rose Garden,+15302438863,$,4.0,118,[],https://www.yelp.com/biz/rose-garden-redding-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-chico,['vietnamese'],['Vietnamese'],39.75702,-121.84799,(530) 487-8933,63680.05448139254,SVGTbDP0vurokmeCVoNh5A,https://s3-media2.fl.yelpcdn.com/bphoto/UhOJYEJFVB98wMUjneY-oQ/o.jpg,2201 Pillsbury Rd,,,Chico,US,CA,95926,Pho Le,+15304878933,$$,4.0,123,[],https://www.yelp.com/biz/pho-le-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-hut-redding,['thai'],['Thai'],40.5634528076853,-122.349838749377,(530) 222-8405,35982.55939048382,3ZgGOThmrvrYBnmKgyFYJg,https://s3-media1.fl.yelpcdn.com/bphoto/7PtI-2bRKAG5qXLwF4eDhg/o.jpg,1165 Hartnell Ave,,,Redding,US,CA,96002,Thai Hut,+15302228405,$,4.5,320,[],https://www.yelp.com/biz/thai-hut-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-c-and-c-chico,['vietnamese'],['Vietnamese'],39.77445,-121.84425,(530) 892-1415,62133.65460816938,ai5ueFbyZA9jQX2cxbyXZw,https://s3-media3.fl.yelpcdn.com/bphoto/072zZBs6NugpMWcNvnRBWg/o.jpg,3211 Cohasset Rd,,,Chico,US,CA,95973,Pho C&C,+15308921415,$,4.0,181,[],https://www.yelp.com/biz/pho-c-and-c-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-bistro-chico-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.7610345,-121.8467471,(530) 433-7108,63316.03384235187,Ewo1UjwKs_EPqnMqiO6Prw,https://s3-media2.fl.yelpcdn.com/bphoto/XFbY1Vt8xwHnlnPsgqoRsA/o.jpg,788 E Ave,,,Chico,US,CA,95926,Vietnam Bistro,+15304337108,$,4.0,164,[],https://www.yelp.com/biz/vietnam-bistro-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
boba-tea-and-coffee-redding,"['taiwanese', 'vietnamese', 'coffee']","['Taiwanese', 'Vietnamese', 'Coffee & Tea']",40.5639496,-122.3529816,(530) 221-1930,36133.48045523881,6V9a5Adj-aFy2ZSM09h0sg,https://s3-media2.fl.yelpcdn.com/bphoto/V_jRlpQQyUJbjn60TWQGhw/o.jpg,2999 Churn Creek Rd,,,Redding,US,CA,96002,Boba Tea & Coffee,+15302211930,$,4.0,85,[],https://www.yelp.com/biz/boba-tea-and-coffee-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
everyday-vietnamese-cuisine-chico,['vietnamese'],['Vietnamese'],39.730327,-121.858295,(530) 893-2888,65866.70037784846,A91mSYTFcX-wBWNyhrvV-Q,https://s3-media3.fl.yelpcdn.com/bphoto/u3uIyS_nZEoY0m7xAaXn6Q/o.jpg,951 Nord Ave,Ste A,,Chico,US,CA,95926,Everyday Vietnamese Cuisine,+15308932888,$,4.0,128,[],https://www.yelp.com/biz/everyday-vietnamese-cuisine-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
racha-noodle-redding,['noodles'],['Noodles'],40.57189,-122.38845,(530) 246-8730,38076.62057038883,zzQKsIi2rZnySpswUeP7Fg,https://s3-media2.fl.yelpcdn.com/bphoto/1UPuBg_S_OwD2U6iGG-6ng/o.jpg,2630 S Market St,,,Redding,US,CA,96001,Racha Noodle,+15302468730,$,4.0,97,[],https://www.yelp.com/biz/racha-noodle-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
