alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
999-pho-reno,['vietnamese'],['Vietnamese'],39.5017094,-119.7892349,(775) 686-6599,76479.71409209569,_KlEMZvay1c9xYctKFtN-w,https://s3-media4.fl.yelpcdn.com/bphoto/2etkxq1Yj6ufN7XCKDjBHw/o.jpg,2309 Kietzke Ln,,,Reno,US,NV,89502,999 Pho,+17756866599,$,4.0,387,[],https://www.yelp.com/biz/999-pho-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sf-kitchen-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.5226122064588,-119.789569528068,(775) 786-7747,75632.89195465848,11zDCUJyST50gMR4xVeAhg,https://s3-media3.fl.yelpcdn.com/bphoto/v1_QACcIlyoPL7sm-4rm5w/o.jpg,1775 Mill St,,,Reno,US,NV,89502,SF Kitchen,+17757867747,$$,4.5,192,[],https://www.yelp.com/biz/sf-kitchen-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-flower-vietnamese-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.5308981179466,-119.81770992279,(775) 323-1628,73050.0363167343,_NozEKb4y0jkC08DWU8ywA,https://s3-media2.fl.yelpcdn.com/bphoto/EUUmveLqpuF7EEpn_lgbPA/o.jpg,205 W 5th St,,,Reno,US,NV,89503,Golden Flower Vietnamese,+17753231628,$,3.0,869,[],https://www.yelp.com/biz/golden-flower-vietnamese-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-777-vietnamese-noodle-restaurant-reno,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",39.5270138390296,-119.811528868935,(775) 323-7777,73703.97588754102,ksFVaF5TatgsVGXk7Yyw9A,https://s3-media3.fl.yelpcdn.com/bphoto/4DXUFB3Gs0nvHKsEgZEsDA/o.jpg,201 E 2nd St,,,Reno,US,NV,89501,Pho 777 Vietnamese Noodle Restaurant,+17753237777,$,3.5,538,[],https://www.yelp.com/biz/pho-777-vietnamese-noodle-restaurant-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-cali-reno,"['vietnamese', 'chinese', 'sandwiches']","['Vietnamese', 'Chinese', 'Sandwiches']",39.530928900684,-119.814399727904,(775) 470-8272,73311.86453911636,wY-cop0m6jEibSZdlSU10Q,https://s3-media4.fl.yelpcdn.com/bphoto/d_mluu8ugvUxBnwJqeT2Nw/o.jpg,440 N Virginia St,Ste C,,Reno,US,NV,89501,Pho Cali,+17754708272,$,3.5,96,[],https://www.yelp.com/biz/pho-cali-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-pho-reno-reno,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",39.49299,-119.79273,(775) 329-8889,76689.34629915934,XfMCT_X3JSdhxboAXVeQ7Q,https://s3-media3.fl.yelpcdn.com/bphoto/Ub1hl2ynGTMXsuCAj295pg/o.jpg,315 E Moana Ln,,,Reno,US,NV,89502,Viet Pho - Reno,+17753298889,$$,3.0,92,"['pickup', 'delivery']",https://www.yelp.com/biz/viet-pho-reno-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
silver-chopsticks-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.535435,-119.862883,(775) 424-2121,69277.62689420625,VGN37glLit5oxbHIZ837Ag,https://s3-media4.fl.yelpcdn.com/bphoto/IcgKj2e0xjF6B-pH-rDLUQ/o.jpg,10580 N McCarran Blvd,Ste 108,,Reno,US,NV,89503,Silver Chopsticks,+17754242121,$,3.5,147,[],https://www.yelp.com/biz/silver-chopsticks-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
moo-dang-reno-3,"['thai', 'soup', 'noodles']","['Thai', 'Soup', 'Noodles']",39.5087006088475,-119.805495232094,(775) 420-4267,74973.3735100452,ivD5l1I3a146ZDGIfr6HYA,https://s3-media4.fl.yelpcdn.com/bphoto/kSUnwBKcZS8YQSkOOFXcTw/o.jpg,1565 S Virginia St,,,Reno,US,NV,89502,Moo Dang,+17754204267,$$,4.5,437,[],https://www.yelp.com/biz/moo-dang-reno-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mein-reno,"['vietnamese', 'asianfusion', 'chinese']","['Vietnamese', 'Asian Fusion', 'Chinese']",39.529723,-119.8143881,(775) 786-5700,73363.15655367819,RvIlsB_kQBqCkTjdmIMDUw,https://s3-media3.fl.yelpcdn.com/bphoto/TGHNjqUeaLyRj2gh2g66sg/o.jpg,345 N Virginia St,,,Reno,US,NV,89501,Pho Mein,+17757865700,$$,3.5,185,[],https://www.yelp.com/biz/pho-mein-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
101-taiwanese-cuisine-reno,"['chinese', 'taiwanese', 'bubbletea']","['Chinese', 'Taiwanese', 'Bubble Tea']",39.5298674133371,-119.820172809245,(775) 657-6144,72897.67815606552,mcr1lAEdvGLMJhuPwI3I2A,https://s3-media2.fl.yelpcdn.com/bphoto/mjW_q8YAqWtO3TxSyf66xA/o.jpg,400 W 5th St,Ste 104,,Reno,US,NV,89503,101 Taiwanese Cuisine,+17756576144,$$,4.0,884,"['pickup', 'delivery']",https://www.yelp.com/biz/101-taiwanese-cuisine-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
