alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-t-and-t-vietnamese-restaurant-highland-2,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",34.1120407844389,-117.209560386837,(909) 864-4290,14676.036748602875,EFNutlf4EZbrvUaRMofCnA,https://s3-media1.fl.yelpcdn.com/bphoto/HjrgBvV7O-QnIxE9ib62pQ/o.jpg,7750 Palm Ave,Unit O,,Highland,US,CA,92346,Pho T & T Vietnamese Restaurant,+19098644290,$,4.0,321,[],https://www.yelp.com/biz/pho-t-and-t-vietnamese-restaurant-highland-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-restaurant-san-bernardino,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",34.12166,-117.2803,(909) 383-1526,15136.265368278993,S3K9Kaq3ywhojEygO1QApA,https://s3-media3.fl.yelpcdn.com/bphoto/qOHphOsCsucnEvjE2xb6FQ/o.jpg,258 E Baseline St,,,San Bernardino,US,CA,92404,Lotus Restaurant,+19093831526,$,4.5,171,[],https://www.yelp.com/biz/lotus-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ngon-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.1339369115628,-117.241399232124,,12617.762047403758,SWYy-J-DW8xiBkr7MzDvkg,https://s3-media2.fl.yelpcdn.com/bphoto/2_WXXRYfeKqMRNrsQnBDFQ/o.jpg,2055 E Highland Ave,,,San Bernardino,US,CA,92404,Pho Ngon Vietnamese Restaurant,,$,4.0,35,[],https://www.yelp.com/biz/pho-ngon-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-72-san-bernardino,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",34.0869799,-117.27937,(909) 890-4000,18656.955233106248,h7QdgQrnDXyGUvvkIa3Lvg,https://s3-media3.fl.yelpcdn.com/bphoto/Wl_4UbhUBRMKFA53vRItvg/o.jpg,738 S Waterman Ave,,,San Bernardino,US,CA,92408,Pho 72,+19098904000,$,4.5,105,[],https://www.yelp.com/biz/pho-72-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-san-bernardino,['vietnamese'],['Vietnamese'],34.09325,-117.27801,(909) 383-5038,17956.501713257978,c2obZslvN9p0K77fki7SeQ,https://s3-media2.fl.yelpcdn.com/bphoto/xv-shxZmdLREUsvlN6XigQ/o.jpg,433 S Waterman Ave,,,San Bernardino,US,CA,92408,Pho Mai,+19093835038,$,3.5,321,[],https://www.yelp.com/biz/pho-mai-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noon-san-bernardino,['vietnamese'],['Vietnamese'],34.0914447564522,-117.316083312035,(909) 453-0882,19659.730693173064,MDu7LGAEvbdVc2lO5ZiL4w,https://s3-media3.fl.yelpcdn.com/bphoto/0Wy895SHFVFytSdxzUhJfw/o.jpg,1353 W Mill St,Ste 110,,San Bernardino,US,CA,92410,Pho Noon,+19094530882,$,4.5,51,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-noon-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.0917892456055,-117.276741027832,(909) 383-3138,18084.50145394828,Ass6fu_-jbkpHc9Z7xU16A,https://s3-media1.fl.yelpcdn.com/bphoto/IDaKXualgHNpbxqIfHSQHg/o.jpg,385 E Mill St,Ste 5,,San Bernardino,US,CA,92408,Pho Ha Vietnamese Restaurant,+19093833138,$,3.5,217,[],https://www.yelp.com/biz/pho-ha-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-san-bernardino-2,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.1149497,-117.2793158,(909) 381-0235,15775.919983095322,6oOdecIZktRO7S_EF6tgqQ,https://s3-media1.fl.yelpcdn.com/bphoto/AKjGVHihGlqA8XS3G8L8aw/o.jpg,275 E 9th St,,,San Bernardino,US,CA,92410,Pho lucky,+19093810235,$,4.5,66,[],https://www.yelp.com/biz/pho-lucky-san-bernardino-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-77-rialto,['vietnamese'],['Vietnamese'],34.133684,-117.39775,(909) 346-0007,21325.29004189524,YCDLHco0QM9qrRtyq8z-xA,https://s3-media2.fl.yelpcdn.com/bphoto/Odh80kCvZ3G5RLrY7zHxhg/o.jpg,1309 W Renaissance Pkwy,Ste 830,Renaissance Marketplace,Rialto,US,CA,92376,Pho 77,+19093460007,,4.0,8,[],https://www.yelp.com/biz/pho-77-rialto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hiep-thanh-supermarket-san-bernardino-4,"['sandwiches', 'meats', 'noodles']","['Sandwiches', 'Meat Shops', 'Noodles']",34.11427,-117.27926,(909) 884-4800,15833.92168108294,eg0xKz3OeL1YaWc71RjpYw,https://s3-media1.fl.yelpcdn.com/bphoto/wKCzoBcJ1wIKx51JDwLt-w/o.jpg,822 N Waterman Ave,,,San Bernardino,US,CA,92410,Hiep Thanh Supermarket,+19098844800,$,4.0,65,[],https://www.yelp.com/biz/hiep-thanh-supermarket-san-bernardino-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kung-fu-pho-highland-4,['vietnamese'],['Vietnamese'],34.122187,-117.194247,(909) 907-5499,13607.142887347372,DY0ErabX9oBzsctoYDKlLA,https://s3-media4.fl.yelpcdn.com/bphoto/y9DDjHESYy92wBVaK0dhIQ/o.jpg,7243 Boulder Ave,,,Highland,US,CA,92346,Kung Fu Pho,+19099075499,$,4.5,90,[],https://www.yelp.com/biz/kung-fu-pho-highland-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
baguette-express-san-bernardino,"['vietnamese', 'sandwiches', 'coffee']","['Vietnamese', 'Sandwiches', 'Coffee & Tea']",34.1757392883301,-117.330993652344,(909) 887-2562,13613.468210354544,LI2r9n8vqCWQE6lx2TwUKw,https://s3-media1.fl.yelpcdn.com/bphoto/zaDKlNWTbbDMZJTBYvEJHg/o.jpg,1689 Kendall Dr,Ste D,,San Bernardino,US,CA,92407,Baguette Express,+19098872562,$,4.0,247,[],https://www.yelp.com/biz/baguette-express-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ocean-pho-redlands,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.074359,-117.206333,(909) 307-0998,18866.163379321755,cM3pD4GPFZGKtHBQdjE6LQ,https://s3-media1.fl.yelpcdn.com/bphoto/IjVQ7F-GYFhD4cLVo5-YSw/o.jpg,27471 San Bernardino Ave,Ste 200,,Redlands,US,CA,92374,Ocean Pho,+19093070998,$$,3.0,194,[],https://www.yelp.com/biz/ocean-pho-redlands?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yang-noodle-house-san-bernardino,"['noodles', 'cantonese', 'soup']","['Noodles', 'Cantonese', 'Soup']",34.188532,-117.356811,(909) 683-6160,15000.311699616246,oagIREcZKztHsyWgKAmiDg,https://s3-media1.fl.yelpcdn.com/bphoto/VN0Zo6IKiRmJROe9_Q3HQA/o.jpg,2999 Kendall Dr,Ste 216,,San Bernardino,US,CA,92407,Yang Noodle House,+19096836160,$$,4.5,295,[],https://www.yelp.com/biz/yang-noodle-house-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-62-rialto-3,['vietnamese'],['Vietnamese'],34.0755140800334,-117.370966002345,(909) 421-4887,23991.692191381237,Km31ezP--tAd2juVPvtHlg,https://s3-media1.fl.yelpcdn.com/bphoto/h6Sz82sR108k14dzqDATaA/o.jpg,1420 S Riverside Ave,Ste 8D,,Rialto,US,CA,92376,Pho 62,+19094214887,$,4.0,61,[],https://www.yelp.com/biz/pho-62-rialto-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yang-noodle-house-rialto,"['asianfusion', 'noodles', 'chinese']","['Asian Fusion', 'Noodles', 'Chinese']",34.10677,-117.35945,(909) 990-5929,23125.13153386154,jsiwcat_slljwho_2mtxWw,https://s3-media4.fl.yelpcdn.com/bphoto/u_xOAhU-OyM1MP1VqRDf3Q/o.jpg,1374 E Foothill Blvd,Ste C,,Rialto,US,CA,92376,Yang Noodle House,+19099905929,$$,4.5,63,[],https://www.yelp.com/biz/yang-noodle-house-rialto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rialto-thai-kitchen-rialto,['thai'],['Thai'],34.1073,-117.39941,(909) 640-7055,23255.398570127596,oBwdbxV_FrpMLrsfk6XFaA,https://s3-media4.fl.yelpcdn.com/bphoto/gSDVsPmc-wyJO91kN5x88w/o.jpg,1424 W Foothill Blvd,Ste A,,Rialto,US,CA,92376,Rialto Thai Kitchen,+19096407055,$$,4.0,108,"['pickup', 'delivery']",https://www.yelp.com/biz/rialto-thai-kitchen-rialto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
