alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-vietnam-brentwood-2,['vietnamese'],['Vietnamese'],37.93209,-121.69389,(925) 516-5654,1271.6710315618031,4j1x9ZyMghDwhf4xCxpr-g,https://s3-media2.fl.yelpcdn.com/bphoto/93wcqEs3Hn8Pfcc2hmhx1A/o.jpg,622 1st St,,,Brentwood,US,CA,94513,Pho Vietnam,+19255165654,$,3.5,395,[],https://www.yelp.com/biz/pho-vietnam-brentwood-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
danang-tourane-vietnamese-restaurant-antioch,['vietnamese'],['Vietnamese'],37.9824306685192,-121.765165328979,(925) 206-4412,7216.420552521749,kMuAHSghgVuNmDmmjPAhdA,https://s3-media1.fl.yelpcdn.com/bphoto/p-Z0_htIqg2a1qmKomkkLQ/o.jpg,4393 Hillcrest Ave,,Wild Horse Road Shopping Plz,Antioch,US,CA,94531,DaNang Tourane Vietnamese Restaurant,+19252064412,$,4.5,535,[],https://www.yelp.com/biz/danang-tourane-vietnamese-restaurant-antioch?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cre-asian-flavors-of-vietnam-brentwood,['vietnamese'],['Vietnamese'],37.96103,-121.74549,(925) 516-8880,4288.42990861647,c1K0T1hMC7NM3FMQ1YC9jg,https://s3-media3.fl.yelpcdn.com/bphoto/yHzOrgYF6mwSKilnWjEa-Q/o.jpg,5611 Lone Tree Way,Ste 100,,Brentwood,US,CA,94513,Cre Asian Flavors of Vietnam,+19255168880,$,3.5,537,[],https://www.yelp.com/biz/cre-asian-flavors-of-vietnam-brentwood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-balong-brentwood,"['sandwiches', 'coffee', 'vietnamese']","['Sandwiches', 'Coffee & Tea', 'Vietnamese']",37.9270759,-121.6918241,(925) 503-8715,1758.6011807541158,MCsbD8IoXp14rEFj1C_Z-w,https://s3-media4.fl.yelpcdn.com/bphoto/mMv9JIeAbmWXRSCx2cX7bw/o.jpg,8610 Brentwood Blvd,Ste F,,Brentwood,US,CA,94513,Banh Mi Balong,+19255038715,$,4.0,23,[],https://www.yelp.com/biz/banh-mi-balong-brentwood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
creasian-wok-n-roll-brentwood-2,"['bars', 'seafood', 'vietnamese']","['Bars', 'Seafood', 'Vietnamese']",37.945074,-121.739896,(925) 516-9999,3006.3958328593053,D5rK3ldAnYJp-iI_sow91A,https://s3-media1.fl.yelpcdn.com/bphoto/jUSffzCNIhVyfibbejQQjQ/o.jpg,2505 Sand Creek Rd,,,Brentwood,US,CA,94513,Creasian Wok N Roll,+19255169999,$$,4.0,191,[],https://www.yelp.com/biz/creasian-wok-n-roll-brentwood-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
e-tea-brentwood,"['coffee', 'sandwiches', 'bubbletea']","['Coffee & Tea', 'Sandwiches', 'Bubble Tea']",37.924272,-121.706652,(925) 666-8129,1313.6276844194156,nad6cAVdL-M6gfoAbRy4sg,https://s3-media1.fl.yelpcdn.com/bphoto/-hV3Ek0XKxqwI8XB-fpFeA/o.jpg,3860 Balfour Rd,Ste A,,Brentwood,US,CA,94513,E Tea,+19256668129,$,4.0,134,"['delivery', 'pickup']",https://www.yelp.com/biz/e-tea-brentwood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-express-brentwood,"['poke', 'sandwiches', 'vietnamese']","['Poke', 'Sandwiches', 'Vietnamese']",37.9609555099842,-121.749983020127,(925) 626-7864,4635.709865154466,CnvWEaYdbTo6tB3XE9mMRA,https://s3-media2.fl.yelpcdn.com/bphoto/jMCTyKGX6J4v3J4PLKaJSg/o.jpg,5421 Lone Tree Way,Ste 102,,Brentwood,US,CA,94513,Banh Mi Express,+19256267864,$$,4.5,181,[],https://www.yelp.com/biz/banh-mi-express-brentwood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
teazentea-brentwood-3,"['coffee', 'bubbletea', 'juicebars']","['Coffee & Tea', 'Bubble Tea', 'Juice Bars & Smoothies']",37.9369147127279,-121.698112115264,(925) 626-5747,835.0827750814625,vDX8cgSok8godrieuBKBYA,https://s3-media1.fl.yelpcdn.com/bphoto/qlGbC9f6B_DxhDcV4qHeeg/o.jpg,1135 2nd St,Ste C,,Brentwood,US,CA,94513,TeaZenTea,+19256265747,$,4.0,149,"['delivery', 'pickup']",https://www.yelp.com/biz/teazentea-brentwood-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
boba-wings-antioch-2,"['vietnamese', 'bubbletea', 'juicebars']","['Vietnamese', 'Bubble Tea', 'Juice Bars & Smoothies']",38.0046,-121.79998,(925) 481-2298,11118.986490058667,00hgHV_6PaGtH_mEZ6eArA,https://s3-media2.fl.yelpcdn.com/bphoto/JzudvMiJ7oNhLeN7Br479A/o.jpg,212 E 18th St,,,Antioch,US,CA,94509,BOBA WINGS,+19254812298,,4.5,16,[],https://www.yelp.com/biz/boba-wings-antioch-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yum-squared-brentwood,"['thai', 'asianfusion']","['Thai', 'Asian Fusion']",37.962706,-121.729971,(925) 418-4970,3554.3704803451565,dinXe_8_GuxAhxqpDe4izg,https://s3-media2.fl.yelpcdn.com/bphoto/s5gGrCE_zb1gZqZg9y3J-A/o.jpg,6670 Lone Tree Way,Ste 5,,Brentwood,US,CA,94513,Yum Squared,+19254184970,$$,4.0,356,['pickup'],https://www.yelp.com/biz/yum-squared-brentwood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
