alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
mama-hongs-vietnamese-kitchen-burbank,['vietnamese'],['Vietnamese'],34.181846,-118.310287,(818) 558-6262,1052.144946334702,CtZPYKOlNeZDDCZzvDYfQg,https://s3-media4.fl.yelpcdn.com/bphoto/cNc15Hkf-EJUU63Hl8zMHw/o.jpg,211 N San Fernando Blvd,,,Burbank,US,CA,91502,Mama Hong's Vietnamese Kitchen,+18185586262,$$,4.0,1290,['delivery'],https://www.yelp.com/biz/mama-hongs-vietnamese-kitchen-burbank?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-and-light-burbank,"['vietnamese', 'asianfusion', 'noodles']","['Vietnamese', 'Asian Fusion', 'Noodles']",34.1560001,-118.3461683,(818) 562-7777,3738.9681553960736,RSk7odaoj17mnJCZINKqjg,https://s3-media2.fl.yelpcdn.com/bphoto/xCRB0jNJyUCpYLvwbAK9OA/o.jpg,345 N Pass Ave,,,Burbank,US,CA,91505,Lotus & Light,+18185627777,$$,4.5,223,[],https://www.yelp.com/biz/lotus-and-light-burbank?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hot-glendale,"['vietnamese', 'sandwiches', 'noodles']","['Vietnamese', 'Sandwiches', 'Noodles']",34.165173838165,-118.286616504192,(818) 696-2255,3731.136525773414,sKifOM8aY3w_bKw5tVmiYg,https://s3-media3.fl.yelpcdn.com/bphoto/T2jnp5SVA1fwRErWVxkbTw/o.jpg,6306 San Fernando Rd,,,Glendale,US,CA,91201,Pho Hot,+18186962255,$,4.5,371,[],https://www.yelp.com/biz/pho-hot-glendale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-burbank-burbank-3,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",34.1813997,-118.3090068,(818) 238-9988,1171.5593800269037,8Nam6TKWgmNniU-UShp9jg,https://s3-media3.fl.yelpcdn.com/bphoto/H051KvkYDaLP6FDRgB7kJQ/o.jpg,124 N San Fernando Blvd,,,Burbank,US,CA,91502,Pho Burbank,+18182389988,$,3.5,276,[],https://www.yelp.com/biz/pho-burbank-burbank-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
feu-pho-kitchen-studio-city-2,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",34.1399813828713,-118.376292212294,(818) 423-2240,6856.560308535713,I9T_-L9KV6Nrrv_uJdl_Iw,https://s3-media3.fl.yelpcdn.com/bphoto/fdkG8Xsj7NAT0xZowuVDHA/o.jpg,11310 Ventura Blvd,,,Studio City,US,CA,91604,Feu Pho Kitchen,+18184232240,$$,4.5,450,"['pickup', 'delivery']",https://www.yelp.com/biz/feu-pho-kitchen-studio-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
monster-noodle-house-burbank,"['noodles', 'chinese', 'vietnamese']","['Noodles', 'Chinese', 'Vietnamese']",34.1806,-118.30783,(818) 524-2588,1281.3411242442664,_xB4_3YKPg5WtxiN2WHqog,https://s3-media4.fl.yelpcdn.com/bphoto/N2I5iqw0p07WWQFRFWnfHw/o.jpg,150 S San Fernando Blvd,Ste 30,,Burbank,US,CA,91502,Monster Noodle House,+18185242588,$$,3.5,24,[],https://www.yelp.com/biz/monster-noodle-house-burbank?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-pho-999-north-hollywood,['vietnamese'],['Vietnamese'],34.2013155,-118.414746,(818) 982-9370,8791.559754257565,vQTogyHIZtIhrIt1vFkSmw,https://s3-media2.fl.yelpcdn.com/bphoto/dfrS4xV8vJfxp10kwmLSMA/o.jpg,12905 Sherman Way,,,North Hollywood,US,CA,91605,New Pho 999,+18189829370,$,4.0,475,[],https://www.yelp.com/biz/new-pho-999-north-hollywood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noho-los-angeles,"['vietnamese', 'coffee']","['Vietnamese', 'Coffee & Tea']",34.1628826,-118.373422,(818) 985-7000,5208.381836475934,IdQmtx7N0KWiCPq4lMQEFg,https://s3-media1.fl.yelpcdn.com/bphoto/IZ_xlCLdrYz9KimpTqOkYA/o.jpg,5077 Lankershim Blvd,Ste D,,Los Angeles,US,CA,91601,Pho NOHO,+18189857000,$$,4.0,353,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-noho-los-angeles?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-rustic-spoon-north-hollywood,"['asianfusion', 'thai', 'vietnamese']","['Asian Fusion', 'Thai', 'Vietnamese']",34.15013,-118.36538,(818) 754-8998,5353.053919614422,HDCV0mWlZ_wlj3GN-eANTA,https://s3-media3.fl.yelpcdn.com/bphoto/Y6M96BIyYTXOzeLgUFDLYg/o.jpg,4384 Lankershim Blvd,,,North Hollywood,US,CA,91602,The Rustic Spoon,+18187548998,$$,4.5,1308,[],https://www.yelp.com/biz/the-rustic-spoon-north-hollywood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
glendale-pho-co-glendale-4,['vietnamese'],['Vietnamese'],34.1460760673927,-118.247027337267,(818) 243-8867,7947.720944309524,HXSp1lTVVO0I8uQVe6wP9Q,https://s3-media3.fl.yelpcdn.com/bphoto/feNck7A5ZrZqP5wsn4FNNg/o.jpg,102 S Glendale Ave,,,Glendale,US,CA,91205,Glendale Pho Co.,+18182438867,$,4.0,898,['delivery'],https://www.yelp.com/biz/glendale-pho-co-glendale-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
