alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
kettles-vietnamese-bistro-santa-rosa,['vietnamese'],['Vietnamese'],38.4594955444336,-122.732200622559,(707) 528-3747,19104.492937409064,wxPfjrSBQWcSRCPy56jA1w,https://s3-media4.fl.yelpcdn.com/bphoto/KhD18fgzJkUVpOHCdNdJew/o.jpg,1202 W Steele Ln,,,Santa Rosa,US,CA,95403,Kettles Vietnamese Bistro,+17075283747,$$,4.0,380,['pickup'],https://www.yelp.com/biz/kettles-vietnamese-bistro-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-crazy-santa-rosa,"['vietnamese', 'noodles', 'beerbar']","['Vietnamese', 'Noodles', 'Beer Bar']",38.43363,-122.72703,(707) 595-4447,20994.51499715273,beKLMNVXl_-ob9jLrpsmOA,https://s3-media3.fl.yelpcdn.com/bphoto/fWGnIHtLTzzkymHI722jQg/o.jpg,320 W 3rd St,Ste G,,Santa Rosa,US,CA,95401,Pho Crazy,+17075954447,$$,4.0,146,[],https://www.yelp.com/biz/pho-crazy-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-palace-santa-rosa,"['vietnamese', 'cambodian', 'noodles']","['Vietnamese', 'Cambodian', 'Noodles']",38.425595,-122.708801,(707) 528-1548,20802.922621590093,xgw_kiIIyrVNioazypISQg,https://s3-media2.fl.yelpcdn.com/bphoto/cthGasaiWSXn6TWb2qk-2g/o.jpg,1310 Petaluma Hill Rd,,,Santa Rosa,US,CA,95404,Noodle Palace,+17075281548,$,4.0,296,[],https://www.yelp.com/biz/noodle-palace-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
goji-kitchen-santa-rosa,"['asianfusion', 'chinese', 'vietnamese']","['Asian Fusion', 'Chinese', 'Vietnamese']",38.4592157222474,-122.718212207407,(707) 523-3888,18302.27166057103,3tbjaTYxYNcSoes7ddG0SA,https://s3-media2.fl.yelpcdn.com/bphoto/QFVCQ-Y9pu8EHTTtF_dZ5w/o.jpg,1965 Mendocino Ave,,,Santa Rosa,US,CA,95403,Goji Kitchen,+17075233888,$$,4.0,497,[],https://www.yelp.com/biz/goji-kitchen-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-noodle-house-santa-rosa,['vietnamese'],['Vietnamese'],38.4795743,-122.738502,(707) 523-2358,18042.16415122228,MvAxp-fgzPE4WCyPXRrXEw,https://s3-media3.fl.yelpcdn.com/bphoto/XKS9Vfb3UfYpDyS3kkAZIg/o.jpg,1010 Hopper Ave,,,Santa Rosa,US,CA,95403,Lee's Noodle House,+17075232358,$,3.5,182,[],https://www.yelp.com/biz/lees-noodle-house-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
corner-park-cafe-santa-rosa,"['vietnamese', 'donuts', 'cafes']","['Vietnamese', 'Donuts', 'Cafes']",38.45619,-122.67215,(707) 539-2416,16240.977589175232,W57lmT1XYZMGUcT7JAhSoA,https://s3-media4.fl.yelpcdn.com/bphoto/-KU4QKk_nqYTAqCCISQc7Q/o.jpg,4275 Montgomery Dr,,,Santa Rosa,US,CA,95405,Corner Park Cafe,+17075392416,,4.5,13,[],https://www.yelp.com/biz/corner-park-cafe-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vietnam-santa-rosa,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",38.4292738,-122.742368769311,(707) 571-7687,22201.29288324069,Mtsf96g_HjXzcG59MacOig,https://s3-media3.fl.yelpcdn.com/bphoto/h8Y7JiC3MJz9OM-oo24PWg/o.jpg,711 Stony Point Rd,Ste 8,,Santa Rosa,US,CA,95407,Pho Vietnam,+17075717687,$,3.5,422,[],https://www.yelp.com/biz/pho-vietnam-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-ha-restaurant-santa-rosa,"['vietnamese', 'buffets']","['Vietnamese', 'Buffets']",38.5121574401855,-122.779884338379,(707) 527-8882,19129.586943337992,2cPTjDxbKqoVv9AfXiNAiw,https://s3-media2.fl.yelpcdn.com/bphoto/zchWGpdyIz3Xclt6-b89Ww/o.jpg,385 Aviation Blvd,,,Santa Rosa,US,CA,95403,My Ha Restaurant,+17075278882,$$,3.0,90,[],https://www.yelp.com/biz/my-ha-restaurant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-vietnam-express-santa-rosa,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.47415,-122.73258,(707) 544-4585,17963.053509217592,B_oV1Kk5nKJtYCLcF4HVQg,https://s3-media2.fl.yelpcdn.com/bphoto/wyxUhr0FYhNb2v-y6xy-tg/o.jpg,3381 Cleveland Ave,,,Santa Rosa,US,CA,95403,Simply Vietnam Express,+17075444585,$$,3.5,302,[],https://www.yelp.com/biz/simply-vietnam-express-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
momo-cafe-santa-rosa-7,"['sandwiches', 'asianfusion', 'salad']","['Sandwiches', 'Asian Fusion', 'Salad']",38.5121060709943,-122.780161058718,(707) 573-0999,19149.603847458427,Wqazgh6qICB1iFrTGByKkg,https://s3-media4.fl.yelpcdn.com/bphoto/9kq9r7fHZr5yqLTpAiurWA/o.jpg,385 Aviation Blvd,Ste A,,Santa Rosa,US,CA,95403,MoMo Cafe,+17075730999,$,4.5,128,['pickup'],https://www.yelp.com/biz/momo-cafe-santa-rosa-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-bagel-croissant-santa-rosa,"['sandwiches', 'breakfast_brunch', 'vietnamese']","['Sandwiches', 'Breakfast & Brunch', 'Vietnamese']",38.425319,-122.753762,(707) 522-1388,23177.013141834217,YkfgsEQODvfLPXj3QINRQw,https://s3-media3.fl.yelpcdn.com/bphoto/hN32EvNPZYB6fU6133-RUw/o.jpg,925 Corporate Center Pkwy,,Cafe Bagels Croissants,Santa Rosa,US,CA,95407,Cafe Bagel Croissant,+17075221388,$,3.5,67,[],https://www.yelp.com/biz/cafe-bagel-croissant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
gotts-roadside-saint-helena-2,"['burgers', 'seafood', 'sandwiches']","['Burgers', 'Seafood', 'Sandwiches']",38.502026222503,-122.46536387551,(707) 963-3486,13392.336210950087,uurUG7qtI9nIwgusLbj34w,https://s3-media1.fl.yelpcdn.com/bphoto/sxfmvFN3RZQlX2dFoH-dpA/o.jpg,933 Main St,,,Saint Helena,US,CA,94574,Gott's Roadside,+17079633486,$$,4.0,1862,[],https://www.yelp.com/biz/gotts-roadside-saint-helena-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-bun-santa-rosa-2,"['vietnamese', 'sandwiches', 'desserts']","['Vietnamese', 'Sandwiches', 'Desserts']",38.44237,-122.7149,(707) 890-5678,19569.409933079794,ReeNmE-B_EUCUaEkAZhaQA,https://s3-media1.fl.yelpcdn.com/bphoto/5LBUb8bmrSDHXvYursPK0Q/o.jpg,490 Mendocino Ave,Ste 106,,Santa Rosa,US,CA,95401,Golden Bun,+17078905678,$,4.0,69,[],https://www.yelp.com/biz/golden-bun-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
