alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
lequy-campbell,"['vietnamese', 'noodles', 'wraps']","['Vietnamese', 'Noodles', 'Wraps']",37.286465,-121.974961,(408) 871-7171,1796.1528671599106,cGNe6yJBYQTThx9Foq3F1w,https://s3-media1.fl.yelpcdn.com/bphoto/b36otQEo-E5mmTJhqZXLaw/o.jpg,1461 W Campbell Ave,,,Campbell,US,CA,95008,LeQuy,+14088717171,$$,4.0,719,[],https://www.yelp.com/biz/lequy-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yummee-sandwiches-campbell,"['sandwiches', 'vietnamese']","['Sandwiches', 'Vietnamese']",37.293937880333,-121.95697336622,(408) 374-8388,1696.0306307957312,zU6qaDCt07ijq1nzCSpofA,https://s3-media2.fl.yelpcdn.com/bphoto/N8fsu-JEN9E3k79WcVApgA/o.jpg,472 W Hamilton Ave,,,Campbell,US,CA,95008,Yummee Sandwiches,+14083748388,$,4.0,376,[],https://www.yelp.com/biz/yummee-sandwiches-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vung-tau-restaurant-san-jose,['vietnamese'],['Vietnamese'],37.3417699,-121.87951,(408) 288-9055,9819.641301681972,Lq5SP9MNIw9nGa66ANne_A,https://s3-media2.fl.yelpcdn.com/bphoto/iTzOAL_reKMhOjaMMLyAVg/o.jpg,535 E Santa Clara St,,,San Jose,US,CA,95112,Vung Tau Restaurant,+14082889055,$$,4.0,1406,['pickup'],https://www.yelp.com/biz/vung-tau-restaurant-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rice-noodles-asian-kitchen-campbell,"['chinese', 'vietnamese', 'noodles']","['Chinese', 'Vietnamese', 'Noodles']",37.2932155422287,-121.966036417197,(408) 378-2234,1796.0294592498344,OB65IH2PVwY3FQnlLeFVBQ,https://s3-media2.fl.yelpcdn.com/bphoto/TAuqblH4sLXiDKKSAmP3tg/o.jpg,930 W Hamilton Ave,Ste 110,,Campbell,US,CA,95008,Rice + Noodles Asian Kitchen,+14083782234,$$,3.5,258,"['delivery', 'pickup']",https://www.yelp.com/biz/rice-noodles-asian-kitchen-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jovie-café-and-pho-campbell,"['coffee', 'sandwiches', 'vietnamese']","['Coffee & Tea', 'Sandwiches', 'Vietnamese']",37.287775,-121.975157,(408) 871-7805,1885.2675605236657,7iJOxLYtbJ0NHPXICFk57w,https://s3-media4.fl.yelpcdn.com/bphoto/p8RcRtMkbqRvECiCerbEiw/o.jpg,136 N San Tomas Aquino,,,Campbell,US,CA,95008,Jovie Café & Pho,+14088717805,$,3.5,177,[],https://www.yelp.com/biz/jovie-caf%C3%A9-and-pho-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kobe-pho-and-grill-cupertino,['vietnamese'],['Vietnamese'],37.323432,-122.048634,(408) 777-8850,9497.779032844726,9-HYcUzIGBRU02vmh33fMA,https://s3-media4.fl.yelpcdn.com/bphoto/fUuEVH4bwLlGiV8gZRVcow/o.jpg,21271 Stevens Creek Blvd,Ste 410,,Cupertino,US,CA,95014,Kobe Pho & Grill,+14087778850,$$,4.0,369,['pickup'],https://www.yelp.com/biz/kobe-pho-and-grill-cupertino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tay-ho-santa-clara-3,['vietnamese'],['Vietnamese'],37.353055,-121.960743,(408) 239-4748,8275.498438239449,mZ3Vmz_1YDZlWgh-OjcLtw,https://s3-media3.fl.yelpcdn.com/bphoto/FofWCAvcuS3ctL0TkzmpIw/o.jpg,2047 El Camino Real,,,Santa Clara,US,CA,95050,Tay Ho,+14082394748,$$,4.0,313,[],https://www.yelp.com/biz/tay-ho-santa-clara-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-wagyu-san-jose-6,['vietnamese'],['Vietnamese'],37.30896,-121.97801,,3840.575299713845,u3-iAt_rk76XPhCaLMAaqA,https://s3-media4.fl.yelpcdn.com/bphoto/CpJtXl79m1YxLjm2FDg27Q/o.jpg,991 Saratoga Ave,,,San Jose,US,CA,95129,Pho Wagyu,,$$,4.0,47,[],https://www.yelp.com/biz/pho-wagyu-san-jose-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bun-bo-hue-an-nam-san-jose,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",37.32861,-121.85831,(408) 993-1755,10379.383384929197,7juJxsuoqYvWa9om6EcxsQ,https://s3-media2.fl.yelpcdn.com/bphoto/czTw83Oc4KaD7e_klMsSvQ/o.jpg,740 Story Rd,Ste 3,,San Jose,US,CA,95122,Bun Bo Hue An Nam,+14089931755,$$,4.0,1736,[],https://www.yelp.com/biz/bun-bo-hue-an-nam-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chez-sovan-campbell,"['cambodian', 'seafood', 'soup']","['Cambodian', 'Seafood', 'Soup']",37.2789101632134,-121.932272377164,(408) 371-7711,2202.89351916267,DoijgEVT3Z_oV-2ATuGbqA,https://s3-media1.fl.yelpcdn.com/bphoto/DVu4Mf3ez64th7CeZHy0ZA/o.jpg,2425 S Bascom Ave,Ste A,,Campbell,US,CA,95008,Chez Sovan,+14083717711,$$,4.0,460,['delivery'],https://www.yelp.com/biz/chez-sovan-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
