alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-thanh-binh-san-clemente,['vietnamese'],['Vietnamese'],33.4373385,-117.6217117,(949) 369-3879,5265.437713637016,K86Pid79YWrqOvCXN3Li1Q,https://s3-media3.fl.yelpcdn.com/bphoto/NtAmIjwdpcoT3xy6a_isKQ/o.jpg,107 Via Pico Plz,,,San Clemente,US,CA,92672,Pho Thanh Binh,+19493693879,$,4.0,441,[],https://www.yelp.com/biz/pho-thanh-binh-san-clemente?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-san-juan-capistrano-7,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",33.498893737793,-117.66194152832,(949) 359-6688,4196.6442389103895,LQG7UseFRdZD7GtR-plOZg,https://s3-media3.fl.yelpcdn.com/bphoto/Irg6RH0H7LVjN1tUyucD6A/o.jpg,31952 Camino Capistrano,Ste B3,,San Juan Capistrano,US,CA,92675,Lotus,+19493596688,$$,4.5,172,['pickup'],https://www.yelp.com/biz/lotus-san-juan-capistrano-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
titans-pho-asian-bistro-san-juan-capistrano,"['asianfusion', 'chinese', 'vietnamese']","['Asian Fusion', 'Chinese', 'Vietnamese']",33.5030671,-117.653301,(949) 488-7893,4850.360712878934,LZ5j7t6Y9oJMA37-OPao3w,https://s3-media4.fl.yelpcdn.com/bphoto/l9E3E6aOh_bRxgTP2mWfng/o.jpg,31654 Rancho Viejo Rd,Ste C,,San Juan Capistrano,US,CA,92675,Titan's Pho Asian Bistro,+19494887893,$,4.0,156,['pickup'],https://www.yelp.com/biz/titans-pho-asian-bistro-san-juan-capistrano?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-little-kitchen-asian-cafe-dana-point,"['cafes', 'chinese', 'asianfusion']","['Cafes', 'Chinese', 'Asian Fusion']",33.4665577136775,-117.697174664934,(949) 276-7799,2551.132518109671,8Iv9Lj1dJVj8wpOVUNwZZQ,https://s3-media1.fl.yelpcdn.com/bphoto/Srw-kVtZgmINJXsccogREA/o.jpg,24831 Del Prado,,,Dana Point,US,CA,92629,The Little Kitchen Asian Cafe,+19492767799,$$,4.5,662,[],https://www.yelp.com/biz/the-little-kitchen-asian-cafe-dana-point?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
peking-dragon-restaurant-dana-point,['chinese'],['Chinese'],33.46674,-117.69886,(949) 493-9499,2711.624102822493,GIz3ojmkNeqSSJq1IjwR-g,https://s3-media3.fl.yelpcdn.com/bphoto/wGSVkBF2w8T9lCc5ydXKQQ/o.jpg,34171 Pacific Coast Hwy,,,Dana Point,US,CA,92629,Peking Dragon Restaurant,+19494939499,$$,4.0,294,[],https://www.yelp.com/biz/peking-dragon-restaurant-dana-point?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
starfish-laguna-beach-laguna-beach,"['asianfusion', 'thai']","['Asian Fusion', 'Thai']",33.51585,-117.756009,(949) 715-9200,9966.6218017175,x35pPu2e03ncy0y7Vilh2A,https://s3-media4.fl.yelpcdn.com/bphoto/eZBl4IrPzgOSP9o3yuYs_Q/o.jpg,30832 S Pacific Coast Hwy,,,Laguna Beach,US,CA,92651,Starfish - Laguna Beach,+19497159200,$$,4.5,575,[],https://www.yelp.com/biz/starfish-laguna-beach-laguna-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hapa-js-san-clemente,"['hawaiian', 'bars', 'sandwiches']","['Hawaiian', 'Bars', 'Sandwiches']",33.4166,-117.60211,(949) 276-6657,8073.806450155148,n-ESPaELP1rz7AL7eY19cw,https://s3-media4.fl.yelpcdn.com/bphoto/hrugpOI67hupILj7BQ1B1A/o.jpg,2016 S El Camino Real,,,San Clemente,US,CA,92673,Hapa J's,+19492766657,$$,4.0,973,[],https://www.yelp.com/biz/hapa-js-san-clemente?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-dara-dana-point-2,['thai'],['Thai'],33.465642,-117.690921,(949) 661-1251,1962.635721213221,IV4-x8JCGuS4CnLBJSjdQw,https://s3-media3.fl.yelpcdn.com/bphoto/ZwcMV-R_1zlSbtCa_Hvb1g/o.jpg,34255 Pacific Coast Hwy,,,Dana Point,US,CA,92629,Thai Dara,+19496611251,$$,3.5,228,['pickup'],https://www.yelp.com/biz/thai-dara-dana-point-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
china-moon-laguna-niguel,['chinese'],['Chinese'],33.5249173,-117.7158038,(949) 249-6868,8304.110670854268,MXYGayzjr7yXVl1zUIDMjQ,https://s3-media1.fl.yelpcdn.com/bphoto/MaZQlwtxBl6LqUY38MVIiw/o.jpg,30001 Town Center Dr,,,Laguna Niguel,US,CA,92677,China Moon,+19492496868,$$,4.5,702,[],https://www.yelp.com/biz/china-moon-laguna-niguel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-juan-on-san-juan-capistrano,"['thai', 'cocktailbars']","['Thai', 'Cocktail Bars']",33.49769857111,-117.65974434689,(949) 234-0332,4108.6660697171355,g0dQuqGLbKdGMtz4NUnU4w,https://s3-media3.fl.yelpcdn.com/bphoto/y6oeBZeYBsmAR0q_398Y3g/o.jpg,31878 Del Obispo St,Ste 109,,San Juan Capistrano,US,CA,92675,Thai Juan On,+19492340332,$$,3.5,272,[],https://www.yelp.com/biz/thai-juan-on-san-juan-capistrano?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
