alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
kims-vietnamese-encinitas-2,['vietnamese'],['Vietnamese'],33.0425995,-117.2930807,(760) 942-4816,3001.3139119031152,hVw-g482Eze395Yb3Oie3w,https://s3-media4.fl.yelpcdn.com/bphoto/QAEpFgz5kqODeF3qykOYgg/o.jpg,745 S Coast Hwy 101,,Ste J 103,Encinitas,US,CA,92024,Kim's Vietnamese,+17609424816,$$,4.0,180,[],https://www.yelp.com/biz/kims-vietnamese-encinitas-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ever-encinitas,['vietnamese'],['Vietnamese'],33.047187,-117.260351,(760) 436-6000,3094.5681424699305,5p0Wo1Af2EnQOkkDSbrP_w,https://s3-media2.fl.yelpcdn.com/bphoto/Rqll9LOS5c8c5TbZ35ycpA/o.jpg,120 N El Camino Real,,,Encinitas,US,CA,92024,Pho-Ever,+17604366000,$$,3.5,473,[],https://www.yelp.com/biz/pho-ever-encinitas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
birdseye-kitchen-encinitas,"['vietnamese', 'thai', 'asianfusion']","['Vietnamese', 'Thai', 'Asian Fusion']",33.0591018255092,-117.300049330005,(760) 479-0488,4883.071694997073,SDv30y573hEIby0MojH7cg,https://s3-media1.fl.yelpcdn.com/bphoto/cVy-x0Z7y7izRk3FJFFxLw/o.jpg,540 N Coast Hwy 101,,,Encinitas,US,CA,92024,Birdseye Kitchen,+17604790488,$$,4.0,387,[],https://www.yelp.com/biz/birdseye-kitchen-encinitas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
similan-thai-restaurant-solana-beach,['thai'],['Thai'],32.9918860079355,-117.269630695671,(858) 792-0950,3305.1478921406065,zDztyj94M0yjpb3SEBw0eA,https://s3-media2.fl.yelpcdn.com/bphoto/AM9z-b7yXv4IwMpFm3_PEQ/o.jpg,141 Lomas Santa Fe Dr,,,Solana Beach,US,CA,92075,Similan Thai Restaurant,+18587920950,$$,4.0,226,['pickup'],https://www.yelp.com/biz/similan-thai-restaurant-solana-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
taste-of-thai-del-mar,['thai'],['Thai'],32.9818012918228,-117.248530034417,(858) 793-9695,4968.340701632039,khWebNi2NQ-G1s0-ytSwYw,https://s3-media4.fl.yelpcdn.com/bphoto/ivDJhvQIETZvLxZ8m7zSmw/o.jpg,15770 San Andres Dr,,,Del Mar,US,CA,92014,Taste of Thai,+18587939695,$$,3.5,494,"['pickup', 'delivery']",https://www.yelp.com/biz/taste-of-thai-del-mar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-bay-thai-restaurant-solana-beach-2,['thai'],['Thai'],32.98228,-117.27021,(858) 792-2427,4389.580453349023,QF9gTUX5Ir09ek2jBWQMTg,https://s3-media1.fl.yelpcdn.com/bphoto/Z0s9hoxvUrc3QIa9j2UH2A/o.jpg,731 S Hwy 101,,,Solana Beach,US,CA,92075,Bangkok Bay Thai Restaurant,+18587922427,$$,4.0,683,[],https://www.yelp.com/biz/bangkok-bay-thai-restaurant-solana-beach-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-pan-cuisine-encinitas,['thai'],['Thai'],33.047660832662,-117.26129311919,(760) 632-8800,3111.3185470786802,TdGtWLjZ-y760XOnBLic5w,https://s3-media2.fl.yelpcdn.com/bphoto/PN_uhSdo62TMjiHpM1vy-g/o.jpg,138 N El Camino Real,,,Encinitas,US,CA,92024,Thai Pan Cuisine,+17606328800,$$,3.5,324,[],https://www.yelp.com/biz/thai-pan-cuisine-encinitas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
east-village-asian-diner-encinitas-2,"['asianfusion', 'japanese', 'korean']","['Asian Fusion', 'Japanese', 'Korean']",33.04421,-117.2939,(760) 753-8700,3185.6724084433176,23T_cchBm0f45euKTRWtaA,https://s3-media4.fl.yelpcdn.com/bphoto/_jSLcXme4IsQnyq0q14lDQ/o.jpg,628 S Coast Hwy 101,,,Encinitas,US,CA,92024,East Village Asian Diner,+17607538700,$$,4.0,505,[],https://www.yelp.com/biz/east-village-asian-diner-encinitas-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
native-foods-encinitas-2,"['vegan', 'vegetarian', 'newamerican']","['Vegan', 'Vegetarian', 'American (New)']",33.0480965810991,-117.257529387399,(760) 634-7607,3294.939726895682,oy41Z9IKrrbbjKOoIXobZg,https://s3-media3.fl.yelpcdn.com/bphoto/62K546QWYU6BAG4XH9SDKA/o.jpg,127 N El Camino Rd,,,Encinitas,US,CA,92024,Native Foods,+17606347607,$$,4.0,748,"['pickup', 'delivery']",https://www.yelp.com/biz/native-foods-encinitas-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oh-juice-cafe-encinitas-2,"['vegan', 'cafes', 'juicebars']","['Vegan', 'Cafes', 'Juice Bars & Smoothies']",33.04938,-117.29461,(760) 237-8977,3692.837841884331,9BEMQU0eAsfHJcKkRnKYDA,https://s3-media3.fl.yelpcdn.com/bphoto/QgoJN04C6DA1TkQaQPnrug/o.jpg,90 N Coast Hwy 101,Ste 212,,Encinitas,US,CA,92024,OH! Juice Cafe,+17602378977,$$,5.0,93,"['pickup', 'delivery']",https://www.yelp.com/biz/oh-juice-cafe-encinitas-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
