alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
wends-cafe-castro-valley-4,['vietnamese'],['Vietnamese'],37.69527,-122.07821,(510) 210-8352,692.6846262015345,McDMy4HtI-6RwXPxLqJbPQ,https://s3-media4.fl.yelpcdn.com/bphoto/RDEF_SDZ6-P3QYsVzVX4fA/o.jpg,3315 Castro Valley Blvd,,,Castro Valley,US,CA,94546,Wend's Cafe,+15102108352,$$,4.0,233,['pickup'],https://www.yelp.com/biz/wends-cafe-castro-valley-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-play-castro-valley-3,"['vietnamese', 'soup', 'bubbletea']","['Vietnamese', 'Soup', 'Bubble Tea']",37.69439,-122.05165,(510) 940-8281,1712.7963807585065,5-nUuLhuXgfNtnCgoMFmOg,https://s3-media4.fl.yelpcdn.com/bphoto/iVQil4BXeVIKY7v9RYQWOg/o.jpg,3835 E Castro Valley Blvd,,,Castro Valley,US,CA,94552,Pho Play,+15109408281,$$,4.0,186,[],https://www.yelp.com/biz/pho-play-castro-valley-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-paradis-hayward,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",37.6696243286133,-122.082153320312,(510) 886-2130,3207.439241100892,oL8MRcct1NRW_on14w7-jg,https://s3-media3.fl.yelpcdn.com/bphoto/azEWCodY_gB3Z6dFzP__AA/o.jpg,22809 Mission Blvd,,,Hayward,US,CA,94541,Le Paradis,+15108862130,$,4.0,536,[],https://www.yelp.com/biz/le-paradis-hayward?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-home-castro-valley,"['chinese', 'noodles']","['Chinese', 'Noodles']",37.69434,-122.08697,(510) 885-1068,1447.194885765509,uKJqQCr9xMfotvfaW9dl_Q,https://s3-media2.fl.yelpcdn.com/bphoto/wEYopjOvVygm7v0HmcdOOw/o.jpg,2690 Castro Valley Blvd,,,Castro Valley,US,CA,94546,Noodle Home,+15108851068,$$,4.5,77,[],https://www.yelp.com/biz/noodle-home-castro-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-house-san-leandro-2,['vietnamese'],['Vietnamese'],37.6911092859604,-122.152469605207,(510) 346-6868,7216.150846030261,ZO0B1EPhKdOGt-94wJYd3Q,https://s3-media3.fl.yelpcdn.com/bphoto/k3N1FNzUIFXnt3zor8qRsw/o.jpg,15001 Farnsworth St,,,San Leandro,US,CA,94579,Saigon House,+15103466868,$,4.0,245,[],https://www.yelp.com/biz/saigon-house-san-leandro-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-sam-restaurant-san-ramon,['vietnamese'],['Vietnamese'],37.77283,-121.9739,(925) 838-2347,11995.250891119716,PHjlUPYxzEUyxw0orp0sEg,https://s3-media3.fl.yelpcdn.com/bphoto/panGRSozha_vC2mw55q67Q/o.jpg,2550 San Ramon Valley Blvd,Ste C,,San Ramon,US,CA,94583,Pho Sam Restaurant,+19258382347,$,4.0,358,[],https://www.yelp.com/biz/pho-sam-restaurant-san-ramon?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-soleil-vietnamese-noodles-and-grill-san-leandro-4,['vietnamese'],['Vietnamese'],37.7232653,-122.1537431,(510) 614-0122,7853.443275349988,j9bs7PFohMU2o12vWAAzFg,https://s3-media3.fl.yelpcdn.com/bphoto/oQnygIBz10A6SgUGLRV6SQ/o.jpg,1515 E 14th St,,,San Leandro,US,CA,94577,Le Soleil Vietnamese Noodles and Grill,+15106140122,$$,4.0,446,[],https://www.yelp.com/biz/le-soleil-vietnamese-noodles-and-grill-san-leandro-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
joes-pho-san-leandro-3,"['vietnamese', 'bubbletea', 'sandwiches']","['Vietnamese', 'Bubble Tea', 'Sandwiches']",37.7034083339007,-122.129559465605,(510) 363-9691,5215.954761772415,9-pVdWS3UWawMCp1Kx6ybA,https://s3-media1.fl.yelpcdn.com/bphoto/EbSpZoZpIea1GSWzE21bMQ/o.jpg,15070 Hesperian Blvd,,,San Leandro,US,CA,94578,Joe's Pho,+15103639691,$$,4.0,350,[],https://www.yelp.com/biz/joes-pho-san-leandro-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hayward-city-pho-hayward,['vietnamese'],['Vietnamese'],37.6717299,-122.08424,(510) 583-1538,3071.0919746634436,3TRZ7d-9wyOp-amA6U2EWg,https://s3-media1.fl.yelpcdn.com/bphoto/0Zd0on0vjgcyHnHWcL6qqA/o.jpg,855 B St,,,Hayward,US,CA,94541,Hayward City Pho,+15105831538,$,4.0,316,[],https://www.yelp.com/biz/hayward-city-pho-hayward?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-t-and-t-san-leandro-2,['vietnamese'],['Vietnamese'],37.6796837,-122.1554184,(510) 483-5400,7712.926586963807,Ae1D7Ov1hbBolOaKta8WcA,https://s3-media1.fl.yelpcdn.com/bphoto/t1iCfOpLgLkgCbNm4kbG-w/o.jpg,2050 Lewelling Blvd,,,San Leandro,US,CA,94579,Pho T&T,+15104835400,$,4.0,234,[],https://www.yelp.com/biz/pho-t-and-t-san-leandro-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
house-of-pho-hayward,"['vietnamese', 'asianfusion', 'hotdogs']","['Vietnamese', 'Asian Fusion', 'Fast Food']",37.6654090134465,-122.117355130613,(510) 578-3533,5404.9467200232,Q6dovsm2sFW38u-JzTaHDQ,https://s3-media2.fl.yelpcdn.com/bphoto/eKGh_z9AibIEtlc1F35vTQ/o.jpg,20500 Hesperian Blvd,Ste B,,Hayward,US,CA,94541,House of Pho,+15105783533,$,3.5,196,[],https://www.yelp.com/biz/house-of-pho-hayward?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodles-pho-me-san-leandro,"['laotian', 'noodles', 'soup']","['Laotian', 'Noodles', 'Soup']",37.7370758056641,-122.153877258301,(510) 850-5080,8551.739521483598,a1YfI2ahOMGXyV27xb4yig,https://s3-media3.fl.yelpcdn.com/bphoto/rr5P7eNsMzntM-_vuNTveg/o.jpg,377 Bancroft Ave,,,San Leandro,US,CA,94577,Noodles Pho Me,+15108505080,$$,4.5,634,[],https://www.yelp.com/biz/noodles-pho-me-san-leandro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
r-and-d-cafe-san-lorenzo,['vietnamese'],['Vietnamese'],37.6769537,-122.1426363,(510) 317-0888,6747.060041408506,w5Tdm1hLhPR4v66uvKj_Pw,https://s3-media1.fl.yelpcdn.com/bphoto/Rear7TTCn_vMIAuavkg0LQ/o.jpg,15813 Channel St,,,San Lorenzo,US,CA,94580,R & D Cafe,+15103170888,$,4.0,412,[],https://www.yelp.com/biz/r-and-d-cafe-san-lorenzo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ten-seconds-san-leandro-3,"['chinese', 'noodles', 'bubbletea']","['Chinese', 'Noodles', 'Bubble Tea']",37.723996,-122.155299,(510) 618-1768,8010.670387161472,BbBedYNq3dmYPNUxH60U1A,https://s3-media2.fl.yelpcdn.com/bphoto/QoX-8bBpz34NDYphNHIuJQ/o.jpg,145 W Joaquin Ave,,,San Leandro,US,CA,94577,Ten Seconds,+15106181768,,4.5,11,[],https://www.yelp.com/biz/ten-seconds-san-leandro-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hoa-ty-hayward,['vietnamese'],['Vietnamese'],37.6784002035856,-122.091669291258,(510) 881-0928,2784.9351375491187,HUhVW0RBMeccF-vD8lfTLg,https://s3-media1.fl.yelpcdn.com/bphoto/3WtRnny8xu-15gGm1t9dhg/o.jpg,21849 Mission Blvd,,,Hayward,US,CA,94541,Pho Hoa Ty,+15108810928,$,3.0,204,[],https://www.yelp.com/biz/pho-hoa-ty-hayward?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-an-hoa-san-leandro,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",37.702506,-122.142066,(510) 352-2728,6297.780058624069,vyeN1VNW3gtaVStdwGzKHg,https://s3-media1.fl.yelpcdn.com/bphoto/qB6oi4hzoLZLCF6YayEymA/o.jpg,14391 Washington Ave,,,San Leandro,US,CA,94578,Pho An Hoa,+15103522728,$,3.5,415,[],https://www.yelp.com/biz/pho-an-hoa-san-leandro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-leaf-san-leandro,['vietnamese'],['Vietnamese'],37.721561,-122.155398,(510) 614-7799,7921.948924037715,QBZi_SD3o7PtZDOIakx9Ww,https://s3-media3.fl.yelpcdn.com/bphoto/4SoUcZLmXlxpqa6emxeAuw/o.jpg,277 Parrott St,,,San Leandro,US,CA,94577,Lotus Leaf,+15106147799,$$,3.5,411,[],https://www.yelp.com/biz/lotus-leaf-san-leandro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
red-chili-hayward,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.630170728241,-122.04806543508,(510) 881-8593,7709.038758370379,SVRClUhTRycD-OcrqLS22w,https://s3-media2.fl.yelpcdn.com/bphoto/Ee3kVRNTt6p4-cCcuVTHAQ/o.jpg,29583 Mission Blvd,,,Hayward,US,CA,94544,Red Chili,+15108818593,$$,3.5,1290,[],https://www.yelp.com/biz/red-chili-hayward?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tai-hayward-2,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",37.6532974117297,-122.089667205438,(510) 887-5520,5147.90705801589,4fBxB3umSHl6M2MdubvNSQ,https://s3-media4.fl.yelpcdn.com/bphoto/uTab0yc13n-RKjzdKVvmXQ/o.jpg,151 W Jackson St,,,Hayward,US,CA,94544,Pho Tai,+15108875520,$,3.5,135,[],https://www.yelp.com/biz/pho-tai-hayward-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
teaster-hayward-2,"['vietnamese', 'bubbletea', 'sandwiches']","['Vietnamese', 'Bubble Tea', 'Sandwiches']",37.66565,-122.10822,(510) 600-3426,4785.563037781274,BRt9uufNrLJwd-JAH4brNw,https://s3-media4.fl.yelpcdn.com/bphoto/rdID_Hw-Hn52e4Y2S6zEdQ/o.jpg,410 W A St,,,Hayward,US,CA,94541,Teaster,+15106003426,$,3.5,126,['pickup'],https://www.yelp.com/biz/teaster-hayward-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
