alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-t-and-t-vietnamese-restaurant-highland-2,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",34.1120407844389,-117.209560386837,(909) 864-4290,18866.089830970774,EFNutlf4EZbrvUaRMofCnA,https://s3-media1.fl.yelpcdn.com/bphoto/HjrgBvV7O-QnIxE9ib62pQ/o.jpg,7750 Palm Ave,Unit O,,Highland,US,CA,92346,Pho T & T Vietnamese Restaurant,+19098644290,$,4.0,321,[],https://www.yelp.com/biz/pho-t-and-t-vietnamese-restaurant-highland-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-restaurant-san-bernardino,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",34.12166,-117.2803,(909) 383-1526,15009.640558133735,S3K9Kaq3ywhojEygO1QApA,https://s3-media3.fl.yelpcdn.com/bphoto/qOHphOsCsucnEvjE2xb6FQ/o.jpg,258 E Baseline St,,,San Bernardino,US,CA,92404,Lotus Restaurant,+19093831526,$,4.5,171,[],https://www.yelp.com/biz/lotus-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ngon-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.1339369115628,-117.241399232124,,15223.63957726988,SWYy-J-DW8xiBkr7MzDvkg,https://s3-media2.fl.yelpcdn.com/bphoto/2_WXXRYfeKqMRNrsQnBDFQ/o.jpg,2055 E Highland Ave,,,San Bernardino,US,CA,92404,Pho Ngon Vietnamese Restaurant,,$,4.0,35,[],https://www.yelp.com/biz/pho-ngon-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-san-bernardino,['vietnamese'],['Vietnamese'],34.09325,-117.27801,(909) 383-5038,18104.61822122135,c2obZslvN9p0K77fki7SeQ,https://s3-media2.fl.yelpcdn.com/bphoto/xv-shxZmdLREUsvlN6XigQ/o.jpg,433 S Waterman Ave,,,San Bernardino,US,CA,92408,Pho Mai,+19093835038,$,3.5,321,[],https://www.yelp.com/biz/pho-mai-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sierra-noodle-house-fontana-2,"['vietnamese', 'asianfusion', 'thai']","['Vietnamese', 'Asian Fusion', 'Thai']",34.1388,-117.43554,(909) 356-1688,15971.973660626121,YrDm1aDtUMgvSkLRxmfzxw,https://s3-media1.fl.yelpcdn.com/bphoto/LDeHWMuoffbciBspO2LxGQ/o.jpg,16923 Sierra Lakes Pkwy,Ste 108,,Fontana,US,CA,92336,Sierra Noodle House,+19093561688,$$,4.0,832,"['delivery', 'pickup']",https://www.yelp.com/biz/sierra-noodle-house-fontana-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.0917892456055,-117.276741027832,(909) 383-3138,18313.700677925,Ass6fu_-jbkpHc9Z7xU16A,https://s3-media1.fl.yelpcdn.com/bphoto/IDaKXualgHNpbxqIfHSQHg/o.jpg,385 E Mill St,Ste 5,,San Bernardino,US,CA,92408,Pho Ha Vietnamese Restaurant,+19093833138,$,3.5,217,[],https://www.yelp.com/biz/pho-ha-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
baguette-express-san-bernardino,"['vietnamese', 'sandwiches', 'coffee']","['Vietnamese', 'Sandwiches', 'Coffee & Tea']",34.1757392883301,-117.330993652344,(909) 887-2562,8372.277392851343,LI2r9n8vqCWQE6lx2TwUKw,https://s3-media1.fl.yelpcdn.com/bphoto/zaDKlNWTbbDMZJTBYvEJHg/o.jpg,1689 Kendall Dr,Ste D,,San Bernardino,US,CA,92407,Baguette Express,+19098872562,$,4.0,247,[],https://www.yelp.com/biz/baguette-express-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-san-bernardino-2,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.1149497,-117.2793158,(909) 381-0235,15755.450615685588,6oOdecIZktRO7S_EF6tgqQ,https://s3-media1.fl.yelpcdn.com/bphoto/AKjGVHihGlqA8XS3G8L8aw/o.jpg,275 E 9th St,,,San Bernardino,US,CA,92410,Pho lucky,+19093810235,$,4.5,66,[],https://www.yelp.com/biz/pho-lucky-san-bernardino-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-77-rialto,['vietnamese'],['Vietnamese'],34.133684,-117.39775,(909) 346-0007,14563.097419211723,YCDLHco0QM9qrRtyq8z-xA,https://s3-media2.fl.yelpcdn.com/bphoto/Odh80kCvZ3G5RLrY7zHxhg/o.jpg,1309 W Renaissance Pkwy,Ste 830,Renaissance Marketplace,Rialto,US,CA,92376,Pho 77,+19093460007,,4.0,8,[],https://www.yelp.com/biz/pho-77-rialto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noon-san-bernardino,['vietnamese'],['Vietnamese'],34.0914447564522,-117.316083312035,(909) 453-0882,17768.394737531584,MDu7LGAEvbdVc2lO5ZiL4w,https://s3-media3.fl.yelpcdn.com/bphoto/0Wy895SHFVFytSdxzUhJfw/o.jpg,1353 W Mill St,Ste 110,,San Bernardino,US,CA,92410,Pho Noon,+19094530882,$,4.5,51,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-noon-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
