alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-and-grill-san-dimas,['vietnamese'],['Vietnamese'],34.10688,-117.82433,(909) 394-8088,2973.66487666208,byD6_74WKEb94B7Gcz4L9g,https://s3-media2.fl.yelpcdn.com/bphoto/OLollPKKSLfFl3raSwW2jA/o.jpg,873 W Arrow Hwy,,,San Dimas,US,CA,91773,Pho & Grill,+19093948088,,4.5,231,[],https://www.yelp.com/biz/pho-and-grill-san-dimas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vn-cuisine-san-dimas,['vietnamese'],['Vietnamese'],34.1046653,-117.818317,(909) 592-6104,3314.3325438911143,cpxuPiH-FpNpAlIJS5A6tg,https://s3-media3.fl.yelpcdn.com/bphoto/A2OUZWCCk6JLX7OnUABnkg/o.jpg,658 W Arrow Hwy,,,San Dimas,US,CA,91773,VN Cuisine,+19095926104,$,3.5,296,[],https://www.yelp.com/biz/vn-cuisine-san-dimas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
quan-nem-ninh-hoa-west-covina-3,['vietnamese'],['Vietnamese'],34.059193753213,-117.936494531847,(626) 337-3603,8724.54490463748,qyUPNCDMr74XhjXcXq7KrQ,https://s3-media2.fl.yelpcdn.com/bphoto/IY6TH7Aqy00Lo9vJlHdhnA/o.jpg,973 S Glendora Ave,,,West Covina,US,CA,91790,Quan Nem Ninh Hoa,+16263373603,$,4.0,302,[],https://www.yelp.com/biz/quan-nem-ninh-hoa-west-covina-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cali-noodles-and-grill-west-covina-5,"['vietnamese', 'chinese', 'thai']","['Vietnamese', 'Chinese', 'Thai']",34.0705831,-117.8891791,(626) 967-8887,4475.997725057184,Sj6giOswCG-nL0vAMDsvmg,https://s3-media2.fl.yelpcdn.com/bphoto/VekKrhF9UIp4U6iqxx5I9A/o.jpg,2626 E Garvey Ave S,Ste D,,West Covina,US,CA,91791,Cali Noodles & Grill,+16269678887,$$,4.0,921,[],https://www.yelp.com/biz/cali-noodles-and-grill-west-covina-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hai-walnut-2,['vietnamese'],['Vietnamese'],34.0447097017849,-117.84928701818,(909) 595-1521,5992.724022825501,Bdz_rohfIr0iT7Lu2sybIQ,https://s3-media3.fl.yelpcdn.com/bphoto/nXpS-6gek-ESNAhscBJU1g/o.jpg,1263 N Grand Ave,,,Walnut,US,CA,91789,Pho Hai,+19095951521,$,4.0,152,[],https://www.yelp.com/biz/pho-hai-walnut-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-super-bowl-diamond-bar,['vietnamese'],['Vietnamese'],34.0197963,-117.809443,(909) 860-2704,9717.98773591248,ezqQFIlefHbowqEl76z3wQ,https://s3-media2.fl.yelpcdn.com/bphoto/NH25uJrG3UTYtm0swl3GGA/o.jpg,329 S Diamond Bar Blvd,,,Diamond Bar,US,CA,91765,Pho Super Bowl,+19098602704,$,4.0,682,[],https://www.yelp.com/biz/pho-super-bowl-diamond-bar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-pho-west-covina,"['vietnamese', 'soup', 'vegetarian']","['Vietnamese', 'Soup', 'Vegetarian']",34.06613,-117.92594,(626) 699-1661,7466.503201489719,xNhDiAUEJnMRPgiFSy9XYg,https://s3-media4.fl.yelpcdn.com/bphoto/Afu6HNQ3u-Hw2LDStH3Vkg/o.jpg,450 S Glendora Ave,Ste 101,,West Covina,US,CA,91790,Simply Pho,+16266991661,$,4.0,391,[],https://www.yelp.com/biz/simply-pho-west-covina?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hanoi-vietnamese-restaurant-la-verne-2,['vietnamese'],['Vietnamese'],34.1114048,-117.7586818,(909) 593-9999,9006.57656624448,S4Jik5tV_Cd57AQ3FWqkoQ,https://s3-media3.fl.yelpcdn.com/bphoto/wHyquAGoE1aF4R47QtvOTg/o.jpg,2451 Foothill Blvd,Unit D,,La Verne,US,CA,91750,Pho Hanoi Vietnamese Restaurant,+19095939999,$,4.0,91,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-hanoi-vietnamese-restaurant-la-verne-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-express-azusa-2,"['vietnamese', 'noodles', 'korean']","['Vietnamese', 'Noodles', 'Korean']",34.1297492596789,-117.882060838198,(626) 335-2023,4310.62481439376,tsBTsH1voJ4e3sluNIdWhA,https://s3-media1.fl.yelpcdn.com/bphoto/FrK8ZwVAgw0lzbD_ccFTfg/o.jpg,1167 E Alosta Ave,,,Azusa,US,CA,91702,Pho Express,+16263352023,$,3.5,294,['pickup'],https://www.yelp.com/biz/pho-express-azusa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bang-in-meals-la-puente,"['fooddeliveryservices', 'vietnamese']","['Food Delivery Services', 'Vietnamese']",34.029873,-117.950884,(626) 436-4186,11704.985564476267,pAY2BFmQVIvTfEHl-dOVjg,https://s3-media3.fl.yelpcdn.com/bphoto/hJUHJqm2esRXiYvycz4Arw/o.jpg,663 Glendora Ave,,,La Puente,US,CA,91744,Bang-In Meals,+16264364186,,5.0,10,"['pickup', 'delivery']",https://www.yelp.com/biz/bang-in-meals-la-puente?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
