alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-grand-vietnamese-noodle-and-grill-chino-3,['vietnamese'],['Vietnamese'],33.9967619655257,-117.715911157429,(909) 548-2848,1014.173593531702,qvdmi_B_LgYD2aDb7REvnw,https://s3-media1.fl.yelpcdn.com/bphoto/2BXF4VJE47oA9xVxMgnZoQ/o.jpg,4013 Grand Ave,Ste B,,Chino,US,CA,91710,Pho Grand Vietnamese Noodle and Grill,+19095482848,$,4.0,259,[],https://www.yelp.com/biz/pho-grand-vietnamese-noodle-and-grill-chino-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-chino-hills,"['asianfusion', 'vietnamese', 'sandwiches']","['Asian Fusion', 'Vietnamese', 'Sandwiches']",33.9825551,-117.7061461,(909) 606-6500,1835.8072112111072,Y_7y1u9EuHx9rKJfaatK4w,https://s3-media2.fl.yelpcdn.com/bphoto/t-5Gzb-mk_LT7jFeU0Cs_A/o.jpg,4505 Chino Hills Pkwy,,,Chino Hills,US,CA,91709,Pho Mai,+19096066500,$,3.5,231,[],https://www.yelp.com/biz/pho-mai-chino-hills?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-n-mor-chino-hills,"['vietnamese', 'soup', 'vegan']","['Vietnamese', 'Soup', 'Vegan']",34.0014692,-117.735094,(909) 248-0163,1673.9464519038277,I_wzqGtFdLkt2XcovdSL5Q,https://s3-media3.fl.yelpcdn.com/bphoto/yVeJyMxu-Nlgd_Lhw9ODIA/o.jpg,3233 Grand Ave,Ste A,,Chino Hills,US,CA,91709,Pho N Mor,+19092480163,$,3.5,376,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-n-mor-chino-hills?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-island-chino,['vietnamese'],['Vietnamese'],34.02780438252,-117.689978554845,(909) 465-5499,5205.566181408306,2yEC8srVuLub3Myi9_Mw3g,https://s3-media3.fl.yelpcdn.com/bphoto/62CK6GZ-HDzdARw3a-dMPg/o.jpg,12412 Central Ave,,,Chino,US,CA,91710,Pho Island,+19094655499,$,4.0,298,[],https://www.yelp.com/biz/pho-island-chino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
california-noodle-and-grill-chino,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.0005812,-117.7219666,(909) 548-0790,1265.2157679405123,QdEOhNa8_JbOEGUsEGuycg,https://s3-media3.fl.yelpcdn.com/bphoto/wzE_wvs_TynQoQUone6HOQ/o.jpg,3808 Grand Ave,Ste D,,Chino,US,CA,91710,California Noodle & Grill,+19095480790,$,3.0,349,[],https://www.yelp.com/biz/california-noodle-and-grill-chino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sj-restaurant-pomona-3,"['vietnamese', 'bubbletea', 'sandwiches']","['Vietnamese', 'Bubble Tea', 'Sandwiches']",34.06255,-117.7246,(909) 620-0605,8092.309038886395,j_U_RkBWzd85aH8hFR_Eww,https://s3-media3.fl.yelpcdn.com/bphoto/h5MuwDR_fJzgz1rBAM8RRA/o.jpg,1280 E Holt Ave,,,Pomona,US,CA,91767,SJ Restaurant,+19096200605,$,4.5,76,[],https://www.yelp.com/biz/sj-restaurant-pomona-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-vietnamese-restaurant-pomona,"['vietnamese', 'soup', 'juicebars']","['Vietnamese', 'Soup', 'Juice Bars & Smoothies']",34.0655001,-117.719902422684,(909) 622-7578,8399.517487679399,M2pj5966ln-OsjAc4rGQJA,https://s3-media3.fl.yelpcdn.com/bphoto/bkBKkAuojVy0UypWH8guBg/o.jpg,695 Indian Hill Blvd,,,Pomona,US,CA,91767,Pho Ha Vietnamese Restaurant,+19096227578,$,3.5,745,[],https://www.yelp.com/biz/pho-ha-vietnamese-restaurant-pomona?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-rancho-cucamonga,"['vietnamese', 'noodles', 'vegetarian']","['Vietnamese', 'Noodles', 'Vegetarian']",34.1063851,-117.601002,(909) 980-7703,17037.310216592945,lFTU3HNb5sMOGIM_CoxAsg,https://s3-media2.fl.yelpcdn.com/bphoto/kRPdIH80JHVexns5lcdo-g/o.jpg,9319 Foothill Blvd,Ste C,,Rancho Cucamonga,US,CA,91730,Pho Ha,+19099807703,$,4.0,867,[],https://www.yelp.com/biz/pho-ha-rancho-cucamonga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-super-bowl-diamond-bar,['vietnamese'],['Vietnamese'],34.0197963,-117.809443,(909) 860-2704,8572.78828659844,ezqQFIlefHbowqEl76z3wQ,https://s3-media2.fl.yelpcdn.com/bphoto/NH25uJrG3UTYtm0swl3GGA/o.jpg,329 S Diamond Bar Blvd,,,Diamond Bar,US,CA,91765,Pho Super Bowl,+19098602704,$,4.0,682,[],https://www.yelp.com/biz/pho-super-bowl-diamond-bar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-noodle-house-diamond-bar,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.0023322436059,-117.809969186783,(909) 861-5020,8105.357841033354,g8zvvR5kk77rq9u0jADsZA,https://s3-media2.fl.yelpcdn.com/bphoto/not3T4P9omUal1rz_1Uiww/o.jpg,1136 S Diamond Bar Blvd,,,Diamond Bar,US,CA,91765,Saigon Noodle House,+19098615020,$,4.0,520,[],https://www.yelp.com/biz/saigon-noodle-house-diamond-bar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
