alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-38-noodle-house-oakdale,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",37.7750021,-120.8522532,(209) 845-8617,27813.604208104774,-0WDoFZLaCmpVN3qvLix0A,https://s3-media2.fl.yelpcdn.com/bphoto/lXIZSQ2rN6HXPrDGiK1FkA/o.jpg,818 N Yosemite Ave,,,Oakdale,US,CA,95361,Pho 38 Noodle House,+12098458617,$,4.5,212,[],https://www.yelp.com/biz/pho-38-noodle-house-oakdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-7-anh-turlock,"['vietnamese', 'thai', 'laotian']","['Vietnamese', 'Thai', 'Laotian']",37.4981137,-120.8487334,(209) 620-8022,53461.98612183689,VNf6jfpjO5ydi1G9W0FV-g,https://s3-media2.fl.yelpcdn.com/bphoto/MmWP0j9mZqYlMHPUe_AT0g/o.jpg,503 N Golden State Blvd,,,Turlock,US,CA,95380,Pho 7 Anh,+12096208022,$,4.0,213,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-7-anh-turlock?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noahs-vietnamese-fusion-cuisine-merced-2,['vietnamese'],['Vietnamese'],37.30732,-120.49517,(209) 349-8660,71385.96213169387,mnWlqpe03CtVyk7-ZMPdbg,https://s3-media1.fl.yelpcdn.com/bphoto/zWipAjzCQHIGM2oGOTl5GQ/o.jpg,1327 W 18th St,,,Merced,US,CA,95340,Noahs Vietnamese Fusion Cuisine,+12093498660,$,4.0,232,[],https://www.yelp.com/biz/noahs-vietnamese-fusion-cuisine-merced-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-asian-cafe-murphys,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.1363615160809,-120.456409074074,(209) 728-8898,25811.35171831897,zQSEHF44G8rNfujbIxvIYg,https://s3-media2.fl.yelpcdn.com/bphoto/cOmGCX8i9gl3OMJbJ888_w/o.jpg,64 Mitchler St,,,Murphys,US,CA,95247,The Asian Cafe,+12097288898,$,4.5,83,['pickup'],https://www.yelp.com/biz/the-asian-cafe-murphys?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
phoenix-noodle-house-modesto,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.6403884887695,-120.995101928711,(209) 526-9706,47181.197184638884,tjrW7UQmDkwwotAXwlfujg,https://s3-media1.fl.yelpcdn.com/bphoto/6Z4HWyw1DKS2AgwRq4d5pg/o.jpg,1222 H St,,,Modesto,US,CA,95354,Phoenix Noodle House,+12095269706,$,4.0,485,[],https://www.yelp.com/biz/phoenix-noodle-house-modesto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-saigon-modesto-3,"['sandwiches', 'vietnamese', 'asianfusion']","['Sandwiches', 'Vietnamese', 'Asian Fusion']",37.6643508966431,-121.021497984114,(209) 284-0018,47039.80331669423,E8gtfQnH2a4wCJIwkJNzzQ,https://s3-media2.fl.yelpcdn.com/bphoto/uAZkmCImVWSmhoEjc1Fyrg/o.jpg,1645 W Orangeburg Ave,,,Modesto,US,CA,95350,Le Saigon,+12092840018,$,4.5,181,[],https://www.yelp.com/biz/le-saigon-modesto-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-americana-turlock,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",37.5266550611739,-120.862776339054,(209) 427-2006,50970.460261112436,n94ppFlvjqPoOWfHRkv_LQ,https://s3-media3.fl.yelpcdn.com/bphoto/3j_i7sW315_0uKl0cVF0-Q/o.jpg,3821 Crowell Rd,,,Turlock,US,CA,95382,Pho Americana,+12094272006,$,3.5,194,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-americana-turlock?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-one-modesto-3,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.6476577175883,-121.031557001452,(209) 248-7612,48934.72986178791,K3TvxZYnUguPKQbc25GDqQ,https://s3-media1.fl.yelpcdn.com/bphoto/0KnxWezPPjUG0wueH9AJNw/o.jpg,901 N Carpenter Rd,Ste 61,,Modesto,US,CA,95351,Saigon One,+12092487612,$$,4.0,98,[],https://www.yelp.com/biz/saigon-one-modesto-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
crawfish-noodle-and-grill-modesto,"['cajun', 'seafood', 'vietnamese']","['Cajun/Creole', 'Seafood', 'Vietnamese']",37.67596,-120.99333,(209) 238-9558,44308.4288693049,u4-gf2T20CeI2kekkcny8w,https://s3-media2.fl.yelpcdn.com/bphoto/SYXF6BQ-BEO0bS7T9LubVw/o.jpg,2312 McHenry Ave,,,Modesto,US,CA,95350,Crawfish Noodle & Grill,+12092389558,$$,4.0,318,['pickup'],https://www.yelp.com/biz/crawfish-noodle-and-grill-modesto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
king-pho-vietnamese-cuisine-manteca,['vietnamese'],['Vietnamese'],37.8050005044303,-121.216603964567,(209) 629-8719,54745.1312910659,xdgIhVvCFfb84J8LwFtcwg,https://s3-media4.fl.yelpcdn.com/bphoto/S4sdBbQo9L6OzVKgRf9ODg/o.jpg,524 N Main St,,,Manteca,US,CA,95336,King Pho Vietnamese Cuisine,+12096298719,$,4.5,78,[],https://www.yelp.com/biz/king-pho-vietnamese-cuisine-manteca?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
