alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
anhs-kitchen-hercules-2,['vietnamese'],['Vietnamese'],38.02066,-122.261932,(510) 948-8189,5158.860891417559,Zw9-rFsJSPN9jX-ee-LtyA,https://s3-media1.fl.yelpcdn.com/bphoto/OuBY8HPgq1wRHy2phK6SNA/o.jpg,844 Willow Ave,Ste A3,,Hercules,US,CA,94547,Anh's Kitchen,+15109488189,$$,4.0,251,[],https://www.yelp.com/biz/anhs-kitchen-hercules-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-1-vallejo,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.1266670227051,-122.256126403809,(707) 553-9859,8633.750485365857,1VxBZ-4qmygsiM6j7IMWYg,https://s3-media4.fl.yelpcdn.com/bphoto/WBWckN2EfBL1mSx22DjP4Q/o.jpg,3885 Sonoma Blvd,,,Vallejo,US,CA,94589,Pho 1,+17075539859,$,4.0,478,[],https://www.yelp.com/biz/pho-1-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huong-viet-noodle-house-vallejo,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.1551489904289,-122.254158384077,(707) 649-9999,11597.372350698071,j1OVMOruD9GmpdZ9VKYaiw,https://s3-media3.fl.yelpcdn.com/bphoto/Le5lXM_1cGg3v1G6Wgp6Ow/o.jpg,5201 Sonoma Blvd,Ste 37,,Vallejo,US,CA,94589,Pho Huong Viet Noodle House,+17076499999,$,4.5,156,[],https://www.yelp.com/biz/pho-huong-viet-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lv-vietnamese-pho-and-sandwiches-vallejo,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",38.10542,-122.208223,(707) 561-0070,5806.492122711399,zNmYG41AJ-iYj5gUP705Ag,https://s3-media3.fl.yelpcdn.com/bphoto/-x4rtZA0XM65TpMRMpNr9w/o.jpg,2621 Springs Rd,,,Vallejo,US,CA,94591,LV Vietnamese Pho and Sandwiches,+17075610070,$,4.0,205,[],https://www.yelp.com/biz/lv-vietnamese-pho-and-sandwiches-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-village-noodle-house-vallejo,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",38.1238496636739,-122.253961014274,(707) 534-6286,8268.116670756228,pBTdaGcpMOEdQ4Iylm_SQQ,https://s3-media2.fl.yelpcdn.com/bphoto/oNbl1B8_kls2qMRdxBAF8w/o.jpg,3636 Sonoma Blvd,,,Vallejo,US,CA,94590,Pho Saigon Village Noodle House,+17075346286,$,4.5,164,[],https://www.yelp.com/biz/pho-saigon-village-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-noodle-and-grill-2-el-sobrante-2,['vietnamese'],['Vietnamese'],37.9767802434645,-122.296436173058,(510) 222-2888,10852.072127383357,G7_c5Sj8XV2bpc1JR6pMcA,https://s3-media4.fl.yelpcdn.com/bphoto/5_Sq09Ej8W4EjIc283X99Q/o.jpg,5047 Appian Way,,,El Sobrante,US,CA,94803,Pho Saigon Noodle & Grill 2,+15102222888,$$,4.0,407,['pickup'],https://www.yelp.com/biz/pho-saigon-noodle-and-grill-2-el-sobrante-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-tra-richmond,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.9345565159871,-122.324991782951,(510) 234-7428,16124.611448312942,9L0eNwBPsKTPioq04okg6g,https://s3-media3.fl.yelpcdn.com/bphoto/j8JGNNgmu_SfO-Tzzu2EVw/o.jpg,12221 San Pablo Ave,Ste 8,,Richmond,US,CA,94805,Huong Tra,+15102347428,$,4.0,665,[],https://www.yelp.com/biz/huong-tra-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cam-hong-restaurant-el-sobrante,"['vietnamese', 'delis']","['Vietnamese', 'Delis']",37.9656677246094,-122.310134887695,(510) 222-2700,12548.799863924756,vC1CAfaznIzfQHfMillYmg,https://s3-media2.fl.yelpcdn.com/bphoto/rDHL5cHVtNQDG28mRAwMpA/o.jpg,4068 San Pablo Dam Rd,,,El Sobrante,US,CA,94803,Cam Hong Restaurant,+15102222700,$,4.0,112,[],https://www.yelp.com/biz/cam-hong-restaurant-el-sobrante?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9079856872559,-122.064300537109,(925) 933-4746,21271.45821415815,-S5A8vruI_idewXUfgjmwg,https://s3-media1.fl.yelpcdn.com/bphoto/oOiTJEW-bSu2eXlAPtP9Jw/o.jpg,2034 N Main St,,,Walnut Creek,US,CA,94596,Pho Huynh Hiep 6 - Kevin's Noodle House,+19259334746,$,4.0,957,[],https://www.yelp.com/biz/pho-huynh-hiep-6-kevins-noodle-house-walnut-creek?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
88-noodle-house-martinez,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",37.996819,-122.107941,(925) 372-8888,11770.687870675047,bYhfiO7v59o1jVT-SeSxqw,https://s3-media3.fl.yelpcdn.com/bphoto/xVPKVyIwapRgm8970eQaGQ/o.jpg,1029 Arnold Dr,Ste 2,,Martinez,US,CA,94553,88 Noodle House,+19253728888,$,4.0,228,[],https://www.yelp.com/biz/88-noodle-house-martinez?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
