alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-vy-bakersfield,['vietnamese'],['Vietnamese'],35.359216,-119.003501,(661) 323-9888,18177.727816478528,-eBnnnw9iYJalbNY1aU5oQ,https://s3-media3.fl.yelpcdn.com/bphoto/7LrLp6EKaKrHlk0KBJokhw/o.jpg,333 Union Ave,Ste 203,,Bakersfield,US,CA,93307,Pho-Vy,+16613239888,$,4.0,220,[],https://www.yelp.com/biz/pho-vy-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-saigon-bakersfield,['vietnamese'],['Vietnamese'],35.359362606084,-119.003847384656,(661) 631-2538,18212.19027562359,ZbDwndKHe2L3JpTE_4zbcg,https://s3-media4.fl.yelpcdn.com/bphoto/YSd_FJqlpcZcRLS_RyD2PQ/o.jpg,333 Union Ave,Ste 201,,Bakersfield,US,CA,93307,New Saigon,+16616312538,$,4.0,157,[],https://www.yelp.com/biz/new-saigon-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-restaurant-bakersfield,['vietnamese'],['Vietnamese'],35.3647951,-119.0374877,(661) 327-8810,21010.10937824927,opVq8bGHYXcnHu2azK1I_g,https://s3-media2.fl.yelpcdn.com/bphoto/2ZPylQd8aAlaozLNvdsuhg/o.jpg,3113 Chester Ln,,,Bakersfield,US,CA,93304,Saigon Restaurant,+16613278810,$,4.0,175,[],https://www.yelp.com/biz/saigon-restaurant-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
soy-and-spice-cafe-bakersfield-6,"['vietnamese', 'thai', 'chinese']","['Vietnamese', 'Thai', 'Chinese']",35.2950041067997,-119.05479918552,(661) 282-8889,19046.203956234225,tjmUg2ceXPhfLJq0kP6BcQ,https://s3-media4.fl.yelpcdn.com/bphoto/wQKx1j5meaUc7DsaJQ0E_g/o.jpg,4725 Panama Ln,Ste D13,,Bakersfield,US,CA,93313,Soy & Spice Cafe,+16612828889,$,4.0,269,[],https://www.yelp.com/biz/soy-and-spice-cafe-bakersfield-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rolls-and-grill-bakersfield,"['vietnamese', 'poke', 'asianfusion']","['Vietnamese', 'Poke', 'Asian Fusion']",35.3392617187207,-119.045637885212,(661) 735-5830,20075.435155079587,Z1yqsQx4wwQzuRxB5OGy3Q,https://s3-media3.fl.yelpcdn.com/bphoto/AxUfcpY5koRqQtbKITf8hA/o.jpg,3803 Ming Ave,,,Bakersfield,US,CA,93309,Rolls And Grill,+16617355830,$$,4.5,238,['pickup'],https://www.yelp.com/biz/rolls-and-grill-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oh-noodles-asian-noodles-and-grill-bakersfield,"['asianfusion', 'chinese', 'noodles']","['Asian Fusion', 'Chinese', 'Noodles']",35.2953474387592,-119.041986230233,(661) 847-9783,17931.272737949017,8l8m2XV-zgj3V__2y8aTAA,https://s3-media1.fl.yelpcdn.com/bphoto/0CPLffTm4whg7qXjZ03SMA/o.jpg,3541 Panama Ln,Ste 100,,Bakersfield,US,CA,93313,Oh! Noodles Asian Noodles & Grill,+16618479783,$,4.0,217,[],https://www.yelp.com/biz/oh-noodles-asian-noodles-and-grill-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jasmine-and-the-new-taste-bakersfield-6,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",35.375919342041,-119.019187927246,(661) 432-7945,20478.404030489008,CjRZWxJzFOqVzs9nBnJatA,https://s3-media4.fl.yelpcdn.com/bphoto/6F2xsguyWoEtO8Mk1sqQXQ/o.jpg,1823 Chester Ave,,,Bakersfield,US,CA,93301,Jasmine & The New Taste,+16614327945,$$,4.0,263,"['pickup', 'delivery']",https://www.yelp.com/biz/jasmine-and-the-new-taste-bakersfield-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vy-2-bakersfield-2,['vietnamese'],['Vietnamese'],35.3164711943619,-119.055808335543,(661) 735-5354,19853.890796630814,aHwKyLU-b6ucGI_qbI55IA,https://s3-media3.fl.yelpcdn.com/bphoto/EB6AT2X5RgBQ1NmB2IzilA/o.jpg,4200 Stine Rd,Ste A,,Bakersfield,US,CA,93313,Pho Vy #2,+16617355354,$,3.5,75,[],https://www.yelp.com/biz/pho-vy-2-bakersfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ocha-thai-restaurant-bakersfield-2,['thai'],['Thai'],35.3174585231901,-119.030499011278,(661) 397-6882,17770.84883514012,g29YvdwBpk1ts4GRVDIB_A,https://s3-media3.fl.yelpcdn.com/bphoto/QuVCWhTT1PedD-AyOasliA/o.jpg,2501 White Ln,Ste D,,Bakersfield,US,CA,93304,Ocha Thai Restaurant,+16613976882,$$,4.0,124,[],https://www.yelp.com/biz/ocha-thai-restaurant-bakersfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chefs-choice-noodle-bar-bakersfield,"['thai', 'asianfusion', 'noodles']","['Thai', 'Asian Fusion', 'Noodles']",35.37641,-119.01985,(661) 325-1234,20557.494346729058,T4gAurcMExbQZFO5erVaPw,https://s3-media2.fl.yelpcdn.com/bphoto/PaIOk-qErkVTB2wuJf1_DA/o.jpg,1534 19th St,Ste 100,,Bakersfield,US,CA,93301,Chef's Choice Noodle Bar,+16613251234,$$,4.0,494,"['pickup', 'delivery']",https://www.yelp.com/biz/chefs-choice-noodle-bar-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
