alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
xiong-pho-n-seafood-visalia-3,"['vietnamese', 'seafood', 'asianfusion']","['Vietnamese', 'Seafood', 'Asian Fusion']",36.3382373622481,-119.291961602374,(559) 732-3663,24685.02932853955,mAK04oKw7dC_ZZuAcmq5tA,https://s3-media4.fl.yelpcdn.com/bphoto/0nWsltPPhgLkS1pMGvE-Bw/o.jpg,924 N Court St,,,Visalia,US,CA,93291,Xiong Pho N Seafood,+15597323663,$,4.0,351,[],https://www.yelp.com/biz/xiong-pho-n-seafood-visalia-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
davorns-place-visalia-4,"['laotian', 'thai', 'vietnamese']","['Laotian', 'Thai', 'Vietnamese']",36.333179473877,-119.298095703125,(559) 733-4885,25020.569696972412,veVqQqX3zkfUiV6aMj9e6Q,https://s3-media1.fl.yelpcdn.com/bphoto/urVP2A7TcaWZaZvmvem5BQ/o.jpg,409 N Willis St,,,Visalia,US,CA,93291,Davorn's Place,+15597334885,$$,4.0,386,[],https://www.yelp.com/biz/davorns-place-visalia-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-king-visalia,"['vietnamese', 'seafood', 'bubbletea']","['Vietnamese', 'Seafood', 'Bubble Tea']",36.342145062106,-119.2771581122,(559) 713-6678,24792.78587915476,02OTUSyeuB7IBqeyV4DUNA,https://s3-media2.fl.yelpcdn.com/bphoto/JpW3ypfdsOL5_eZbrQZaNQ/o.jpg,1424 N Ben Maddox Way,,,Visalia,US,CA,93292,Pho King,+15597136678,$,3.5,197,[],https://www.yelp.com/biz/pho-king-visalia?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-2006-clovis,['vietnamese'],['Vietnamese'],36.8133511,-119.7012152,(559) 322-8922,40659.678125231825,AUeUStvQTE8-UBUW0siHWQ,https://s3-media4.fl.yelpcdn.com/bphoto/pv1Rsp1BPbMKTd-bzdmcEw/o.jpg,1468 Clovis Ave,,,Clovis,US,CA,93612,Pho 2006,+15593228922,$,4.0,252,[],https://www.yelp.com/biz/pho-2006-clovis?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-phuong-nine-restaurant-fresno,['vietnamese'],['Vietnamese'],36.73709,-119.73155,(559) 454-1762,37150.13128198869,jhZ1jvsFMNBps67Dv81xDg,https://s3-media3.fl.yelpcdn.com/bphoto/yw1KjP4oKAM9cqyLsGoBDw/o.jpg,4903 E Kings Canyon Rd,Ste 107,,Fresno,US,CA,93727,Pho Phuong Nine Restaurant,+15594541762,$,4.0,165,[],https://www.yelp.com/biz/pho-phuong-nine-restaurant-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-lan-sandwiches-fresno,['vietnamese'],['Vietnamese'],36.8074801604157,-119.781784934546,(559) 221-8000,45433.58985006596,vrVVOcZ9RzVNgAjhl1-cjw,https://s3-media4.fl.yelpcdn.com/bphoto/9oOTEcpohZeoEzu9LzceRA/o.jpg,4965 N Fresno St,,,Fresno,US,CA,93726,Huong Lan Sandwiches,+15592218000,$,3.5,470,[],https://www.yelp.com/biz/huong-lan-sandwiches-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sy-salathai-visalia-4,"['laotian', 'thai', 'asianfusion']","['Laotian', 'Thai', 'Asian Fusion']",36.338464,-119.2921936,(559) 622-9999,24654.063769219345,9tsLB6RHKRNyLvrwkps_ew,https://s3-media2.fl.yelpcdn.com/bphoto/-GJ09nx-E5ywljpNBlCPvw/o.jpg,101 NE 3rd Ave,,,Visalia,US,CA,93291,Sy-Salathai,+15596229999,$$,4.5,121,[],https://www.yelp.com/biz/sy-salathai-visalia-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-lan-11-fresno,['vietnamese'],['Vietnamese'],36.80809,-119.86183,(559) 271-9998,51127.115228389834,l-0JdBhCfJ549WEaDS9taA,https://s3-media2.fl.yelpcdn.com/bphoto/rbfC1seDU2hU-MJTAr3IlQ/o.jpg,3757 West Shaw Ave,,,Fresno,US,CA,93711,Huong Lan 11,+15592719998,,4.0,11,[],https://www.yelp.com/biz/huong-lan-11-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-and-rice-plate-tulare-2,"['vietnamese', 'asianfusion', 'thai']","['Vietnamese', 'Asian Fusion', 'Thai']",36.1954813124769,-119.352298947802,(559) 631-4729,39072.67451383621,_QCg61sVFjx6y523FXGAMA,https://s3-media4.fl.yelpcdn.com/bphoto/O9TIxoOLF5AZUBxRD2QigQ/o.jpg,505 W Bardsley Ave,,,Tulare,US,CA,93274,Pho & Rice Plate,+15596314729,,4.0,27,[],https://www.yelp.com/biz/pho-and-rice-plate-tulare-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-delite-clovis,['vietnamese'],['Vietnamese'],36.80943,-119.71747,(559) 322-8688,41352.52952664585,XkrnBmg0LMqdzD2uMcAMdg,https://s3-media1.fl.yelpcdn.com/bphoto/W3L8F80dFcEF_IVCQ-_E5g/o.jpg,393 W Shaw Ave,Ste A14,,Clovis,US,CA,93612,Pho Delite,+15593228688,$,4.0,239,[],https://www.yelp.com/biz/pho-delite-clovis?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-99-noodle-house-tulare,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.2103435,-119.3467859,(559) 688-2128,37508.92077916883,OtzLJC-frLPw1ZexQcOB4A,https://s3-media1.fl.yelpcdn.com/bphoto/jbhnjyuwQoFzxKfy30xSIA/o.jpg,231 N K St,,,Tulare,US,CA,93274,Pho 99 Noodle House,+15596882128,$$,3.5,94,[],https://www.yelp.com/biz/pho-99-noodle-house-tulare?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
phò-kc-noodle-and-rice-visalia,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.3004538078841,-119.315440848464,(559) 622-9735,28070.204629122036,V5tO3NabOIrPtTrG0yOOXQ,https://s3-media4.fl.yelpcdn.com/bphoto/x4Mp90JBpsriW90S5gmDcQ/o.jpg,3403 S Mooney Blvd,,,Visalia,US,CA,93277,Phò KC Noodle & Rice,+15596229735,$,3.5,57,[],https://www.yelp.com/biz/ph%C3%B2-kc-noodle-and-rice-visalia?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vientiane-cuisine-porterville,"['vietnamese', 'laotian', 'seafood']","['Vietnamese', 'Laotian', 'Seafood']",36.06633,-119.02943,(559) 791-0663,62359.57584624487,ejVWeQjJxncL_IRFeJ-iDQ,https://s3-media4.fl.yelpcdn.com/bphoto/xKi82vNG_S-PxG84s7xFEg/o.jpg,550 W Olive,Ste A,,Porterville,US,CA,93257,Vientiane Cuisine,+15597910663,$,4.0,64,['delivery'],https://www.yelp.com/biz/vientiane-cuisine-porterville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-fresno-fresno,['vietnamese'],['Vietnamese'],36.778806866027,-119.800363406539,(559) 229-9879,44803.94985391318,48bsok70ZzYhcPyKVCtzvw,https://s3-media1.fl.yelpcdn.com/bphoto/BXGUbVfWFKHkQ9fwJeoJ9g/o.jpg,3111 N Maroa Ave,,,Fresno,US,CA,93704,PHO FRESNO,+15592299879,$,4.5,99,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-fresno-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vn-clovis-2,['vietnamese'],['Vietnamese'],36.85164,-119.72789,(559) 324-8677,45399.96194730472,IWJCs_Fp9OKfOZ7cH360lQ,https://s3-media3.fl.yelpcdn.com/bphoto/868vf8oHCc9aKQFDNKFSlw/o.jpg,1187 N Willow Ave,Ste 104,,Clovis,US,CA,93611,Pho VN,+15593248677,$,3.5,120,[],https://www.yelp.com/biz/pho-vn-clovis-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
