alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
montebello-pho-and-sandwich-montebello,"['vietnamese', 'sandwiches', 'noodles']","['Vietnamese', 'Sandwiches', 'Noodles']",34.0146807880422,-118.129143841692,(323) 728-2902,3338.632280524652,Z-4IlsnRnmswTJT_GcCbbQ,https://s3-media4.fl.yelpcdn.com/bphoto/Bx91s6lUdyHphNgREZVBmQ/o.jpg,2456 W Whittier Blvd,,,Montebello,US,CA,90640,Montebello Pho & Sandwich,+13237282902,$,4.0,390,['pickup'],https://www.yelp.com/biz/montebello-pho-and-sandwich-montebello?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
foody-express-cajun-seafood-and-viet-cuisine-los-angeles,"['coffee', 'cajun', 'vietnamese']","['Coffee & Tea', 'Cajun/Creole', 'Vietnamese']",34.03377,-118.15331,(323) 685-5802,898.3672539063073,MiN5ia3qS6bG0iv-PVkNIQ,https://s3-media4.fl.yelpcdn.com/bphoto/lv4Ssln7jDRMrCBb9mp2XA/o.jpg,5161 Pomona Blvd,Ste 103 & 104,,Los Angeles,US,CA,90022,Foody Express Cajun seafood & Viet Cuisine,+13236855802,,4.0,13,"['pickup', 'delivery']",https://www.yelp.com/biz/foody-express-cajun-seafood-and-viet-cuisine-los-angeles?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nha-trang-monterey-park,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.06218,-118.11193,(626) 288-8825,5853.7465457757135,sjgJXZvYnheRS3XiKxKl-A,https://s3-media3.fl.yelpcdn.com/bphoto/HDpAFc9EPvaWfdtcHkR62w/o.jpg,742 E Garvey Ave,Unit A,,Monterey Park,US,CA,91755,Nha Trang,+16262888825,$,4.0,325,[],https://www.yelp.com/biz/nha-trang-monterey-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-city-monterey-park,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.0621852783613,-118.110559129025,(626) 573-3718,5944.50105629366,HOCybR-TJVGNDyBqkshkGw,https://s3-media1.fl.yelpcdn.com/bphoto/B9Drqpc_HRtvTvZNDH2JJQ/o.jpg,848 E Garvey Ave,Ste C,,Monterey Park,US,CA,91755,Noodle City,+16265733718,$,4.0,374,[],https://www.yelp.com/biz/noodle-city-monterey-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dim-sum-world-monterey-park-2,['dimsum'],['Dim Sum'],34.04,-118.14374,(323) 488-0099,2013.9838727330764,nNJx-aCsRTCkFX05TnatUQ,https://s3-media1.fl.yelpcdn.com/bphoto/Sp5a5vi35zNpfOu6NV4dTA/o.jpg,2099 South Atlantic Blvd,Suit A,,Monterey Park,US,CA,91754,Dim Sum World,+13234880099,$,4.5,28,[],https://www.yelp.com/biz/dim-sum-world-monterey-park-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-thai-monterey-park-2,"['vietnamese', 'thai', 'noodles']","['Vietnamese', 'Thai', 'Noodles']",34.06872,-118.134495,(626) 284-1295,5058.518755471978,rT4ZrvVmTutUUqFYVaUpSg,https://s3-media3.fl.yelpcdn.com/bphoto/Wv4pCD3ZDJosMMZjzNb89w/o.jpg,423 N Atlantic Blvd,Ste 102,,Monterey Park,US,CA,91754,Thanh Thai,+16262841295,$,4.0,72,[],https://www.yelp.com/biz/thanh-thai-monterey-park-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-family-restaurant-los-angeles-7,"['vietnamese', 'chinese', 'asianfusion']","['Vietnamese', 'Chinese', 'Asian Fusion']",34.05679,-118.21114,(323) 222-0112,5552.711469752613,V8Xh1noKTSoaFzBrLUkW3A,https://s3-media2.fl.yelpcdn.com/bphoto/AwIV88x5Xn7DobvlSccUuQ/o.jpg,1025 N State St,,,Los Angeles,US,CA,90033,Pho Family Restaurant,+13232220112,$,4.0,108,[],https://www.yelp.com/biz/pho-family-restaurant-los-angeles-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-vietnam-truck-los-angeles-30,"['vietnamese', 'sandwiches', 'foodtrucks']","['Vietnamese', 'Sandwiches', 'Food Trucks']",33.95804,-118.3898,(949) 678-9281,22584.03887880769,sYZ-QjJ0BI1qV1aTRbXUJQ,https://s3-media1.fl.yelpcdn.com/bphoto/_leKuRTFcyjq0g3S2YN5_Q/o.jpg,,,,Los Angeles,US,CA,90045,Cafe Vietnam Truck,+19496789281,$,5.0,151,"['pickup', 'delivery']",https://www.yelp.com/biz/cafe-vietnam-truck-los-angeles-30?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-world-monterey-park-2,['noodles'],['Noodles'],34.0415382,-118.1422424,(323) 881-9898,2235.744562656058,CZQo402kC1WuB457_olJ3A,https://s3-media1.fl.yelpcdn.com/bphoto/JJ9YSvv7BFEPwyCc5i11qQ/o.jpg,1935 S Atlantic Blvd,,,Monterey Park,US,CA,91754,Noodle World,+13238819898,$$,3.5,143,[],https://www.yelp.com/biz/noodle-world-monterey-park-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chili-and-lemon-thai-cuisine-los-angeles,"['thai', 'bbq', 'fooddeliveryservices']","['Thai', 'Barbeque', 'Food Delivery Services']",34.02245,-118.15702,(323) 354-4639,807.7883582696948,EiuGq6O22m2ZKpT5wCjvuw,https://s3-media1.fl.yelpcdn.com/bphoto/EK6nPDmgZ_PCa9l1xy7uaw/o.jpg,701 S Atlantic Blvd,,,Los Angeles,US,CA,90022,Chili & Lemon Thai Cuisine,+13233544639,$,4.0,132,"['pickup', 'delivery']",https://www.yelp.com/biz/chili-and-lemon-thai-cuisine-los-angeles?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
v-p-tofu-monterey-park,"['delis', 'vietnamese', 'desserts']","['Delis', 'Vietnamese', 'Desserts']",34.06011,-118.12312,(626) 572-9930,4914.000423379025,vOzTvAJMDKc3KSu1-lgyng,https://s3-media1.fl.yelpcdn.com/bphoto/T_8PtqxwHM-jGFKwwfB-Pw/o.jpg,237 S Garfield Ave,,,Monterey Park,US,CA,91754,V P Tofu,+16265729930,$,4.0,143,[],https://www.yelp.com/biz/v-p-tofu-monterey-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-sandwiches-commerce,"['sandwiches', 'vietnamese', 'breakfast_brunch']","['Sandwiches', 'Vietnamese', 'Breakfast & Brunch']",34.0030883,-118.1675119,(323) 261-0358,2927.7373433158814,IzCtnIe5Lt85uXXUgCVhHQ,https://s3-media2.fl.yelpcdn.com/bphoto/q7MlnfjZxUfzt8REptvB0w/o.jpg,5201 E Washington Blvd,Ste B,,Commerce,US,CA,90040,Lee's Sandwiches,+13232610358,$,3.0,107,[],https://www.yelp.com/biz/lees-sandwiches-commerce?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kim-kee-noodle-cafe-monterey-park,"['chinese', 'noodles', 'soup']","['Chinese', 'Noodles', 'Soup']",34.0628700256348,-118.128425598145,(626) 307-8849,4813.600785745139,JD2lVdz_9LAxSKIJPi4fEw,https://s3-media3.fl.yelpcdn.com/bphoto/YO50k6W8fTqfyxP_HqDt4w/o.jpg,441 W Garvey Ave,,,Monterey Park,US,CA,91754,Kim Kee Noodle Cafe,+16263078849,$,4.0,306,[],https://www.yelp.com/biz/kim-kee-noodle-cafe-monterey-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-banh-mi-che-cali-monterey-park-3,"['noodles', 'soup', 'sandwiches']","['Noodles', 'Soup', 'Sandwiches']",34.0629,-118.11211,(626) 280-5528,5878.804201962396,gLdacheEmeUP15gQElBNkw,https://s3-media2.fl.yelpcdn.com/bphoto/NaK7spxQKVmPhgVtl1UuUg/o.jpg,745 E Garvey Ave,,,Monterey Park,US,CA,91755,Pho Banh Mi Che Cali,+16262805528,$,3.0,252,[],https://www.yelp.com/biz/pho-banh-mi-che-cali-monterey-park-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
