alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
lotus-san-luis-obispo-5,['vietnamese'],['Vietnamese'],35.2782173156738,-120.664276123047,(805) 439-1188,9511.372685438282,S9HwsH8a-WHj50ztruZgsQ,https://s3-media2.fl.yelpcdn.com/bphoto/HdDkNz49Aul4gyDetJNz1Q/o.jpg,1131 Broad St,,,San Luis Obispo,US,CA,93401,Lotus,+18054391188,$$,3.5,193,['pickup'],https://www.yelp.com/biz/lotus-san-luis-obispo-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dragon-palace-grover-beach,"['chinese', 'buffets', 'vietnamese']","['Chinese', 'Buffets', 'Vietnamese']",35.1204482716869,-120.608929395676,(805) 489-8888,9278.372239701344,xyd_3GFqe5DSx0xgzSE1kw,https://s3-media2.fl.yelpcdn.com/bphoto/8qZOskBZf3TvQXBjlHeoxA/o.jpg,1800 E Grand Ave,Ste A,,Grover Beach,US,CA,93433,Dragon Palace,+18054898888,$$,3.0,178,['delivery'],https://www.yelp.com/biz/dragon-palace-grover-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oki-momo-asian-grill-san-luis-obispo,"['asianfusion', 'gluten_free', 'vegetarian']","['Asian Fusion', 'Gluten-Free', 'Vegetarian']",35.26888,-120.65536,(805) 439-4198,8211.287946566952,xlmiI9_1bQKVRrD6gwPsNQ,https://s3-media1.fl.yelpcdn.com/bphoto/5XF5oWEWCqG0JRGG_8YDTA/o.jpg,2256 Broad St,Ste 120,,San Luis Obispo,US,CA,93401,Oki Momo Asian Grill,+18054394198,$$,4.5,270,[],https://www.yelp.com/biz/oki-momo-asian-grill-san-luis-obispo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
de-bu-of-pismo-beach-pismo-beach,"['grocery', 'filipino', 'importedfood']","['Grocery', 'Filipino', 'Imported Food']",35.1450233459473,-120.643264770508,(805) 773-8653,7102.9178748156,k8elsJVzFK_bFY4z8q11CA,https://s3-media4.fl.yelpcdn.com/bphoto/rYaQ0Xr26xibPV_62zn2kA/o.jpg,1250 Price St,,,Pismo Beach,US,CA,93449,De Bu of Pismo Beach,+18057738653,$,5.0,24,[],https://www.yelp.com/biz/de-bu-of-pismo-beach-pismo-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mythai-restaurant-san-luis-obispo,['thai'],['Thai'],35.2755279,-120.6559826,(805) 545-5996,8877.658845353542,_Iu8daVD1MTFpe8pKAUrtg,https://s3-media1.fl.yelpcdn.com/bphoto/5hPEd-QsiJ0wd-oi5WFJZg/o.jpg,1815 Osos St,,,San Luis Obispo,US,CA,93401,MyThai Restaurant,+18055455996,$$,4.0,238,[],https://www.yelp.com/biz/mythai-restaurant-san-luis-obispo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fays-fusion-pismo-beach,"['asianfusion', 'bubbletea', 'japacurry']","['Asian Fusion', 'Bubble Tea', 'Japanese Curry']",35.1395713920455,-120.640890136245,(805) 295-6668,7584.78804297732,a48qnmDppgBEIyMGtqQQdQ,https://s3-media1.fl.yelpcdn.com/bphoto/egupXpWATujFJpnxA0ZQnw/o.jpg,220 Hinds Ave,,,Pismo Beach,US,CA,93449,Fay's Fusion,+18052956668,$$,4.0,279,['pickup'],https://www.yelp.com/biz/fays-fusion-pismo-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cracked-crab-pismo-beach,"['seafood', 'fishnchips', 'soup']","['Seafood', 'Fish & Chips', 'Soup']",35.14179,-120.64058,(805) 773-2722,7329.813610509387,AmxsoOjrAch9EoK9pLa6dg,https://s3-media3.fl.yelpcdn.com/bphoto/CaD9vBxAdXbBovIx7PE2Kw/o.jpg,751 Price St,,,Pismo Beach,US,CA,93449,Cracked Crab,+18057732722,$$$,4.0,1386,[],https://www.yelp.com/biz/cracked-crab-pismo-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
divine-thai-grover-beach,['thai'],['Thai'],35.12197,-120.62486,(805) 481-3663,9176.896716582629,zT2JvGJsn0u84bGaQU9_Xg,https://s3-media2.fl.yelpcdn.com/bphoto/b0ikmKYJMe1Hi4BMiNk0Rg/o.jpg,501 W Grand Ave,,,Grover Beach,US,CA,93433,Divine Thai,+18054813663,$$,4.0,446,[],https://www.yelp.com/biz/divine-thai-grover-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-rrific-san-luis-obispo,"['thai', 'seafood', 'soup']","['Thai', 'Seafood', 'Soup']",35.2699203491211,-120.670539855957,(805) 541-8424,9028.393956800015,mbcNqYPUfKDddJPgfPRKZQ,https://s3-media3.fl.yelpcdn.com/bphoto/nrAgyR_PlOaqxx9NBu4wqw/o.jpg,208 Higuera St,,,San Luis Obispo,US,CA,93401,Thai-rrific,+18055418424,$$,3.5,118,[],https://www.yelp.com/biz/thai-rrific-san-luis-obispo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sister-kitchen-thai-food-grover-beach,['thai'],['Thai'],35.122184732863,-120.628099765607,(805) 471-1436,9183.010291477094,4FHgJsQ8ryrEMQvhRY_VWw,https://s3-media1.fl.yelpcdn.com/bphoto/_O66MlwU2BgMjfA7VCvhEg/o.jpg,245 W Grand Ave,,,Grover Beach,US,CA,93433,Sister Kitchen Thai Food,+18054711436,$$,4.0,352,['delivery'],https://www.yelp.com/biz/sister-kitchen-thai-food-grover-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
