alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-t-and-t-vietnamese-restaurant-highland-2,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",34.1120407844389,-117.209560386837,(909) 864-4290,2661.829666369023,EFNutlf4EZbrvUaRMofCnA,https://s3-media1.fl.yelpcdn.com/bphoto/HjrgBvV7O-QnIxE9ib62pQ/o.jpg,7750 Palm Ave,Unit O,,Highland,US,CA,92346,Pho T & T Vietnamese Restaurant,+19098644290,$,4.0,321,[],https://www.yelp.com/biz/pho-t-and-t-vietnamese-restaurant-highland-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-72-san-bernardino,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",34.0869799,-117.27937,(909) 890-4000,8280.571422870047,h7QdgQrnDXyGUvvkIa3Lvg,https://s3-media3.fl.yelpcdn.com/bphoto/Wl_4UbhUBRMKFA53vRItvg/o.jpg,738 S Waterman Ave,,,San Bernardino,US,CA,92408,Pho 72,+19098904000,$,4.5,105,[],https://www.yelp.com/biz/pho-72-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ngon-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.1339369115628,-117.241399232124,,6459.923163378553,SWYy-J-DW8xiBkr7MzDvkg,https://s3-media2.fl.yelpcdn.com/bphoto/2_WXXRYfeKqMRNrsQnBDFQ/o.jpg,2055 E Highland Ave,,,San Bernardino,US,CA,92404,Pho Ngon Vietnamese Restaurant,,$,4.0,35,[],https://www.yelp.com/biz/pho-ngon-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
a-dong-restaurant-ii-loma-linda,['vietnamese'],['Vietnamese'],34.062927,-117.244083,(909) 796-8840,6114.6631540629405,5WP5dwiaONqqbXaQanvrng,https://s3-media4.fl.yelpcdn.com/bphoto/hH4OxT3J0Kbj1UoJkHHDDA/o.jpg,25685 Redlands Blvd,,,Loma Linda,US,CA,92354,A Dong Restaurant II,+19097968840,$$,3.5,223,[],https://www.yelp.com/biz/a-dong-restaurant-ii-loma-linda?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-restaurant-san-bernardino,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",34.12166,-117.2803,(909) 383-1526,8863.351037734246,S3K9Kaq3ywhojEygO1QApA,https://s3-media3.fl.yelpcdn.com/bphoto/qOHphOsCsucnEvjE2xb6FQ/o.jpg,258 E Baseline St,,,San Bernardino,US,CA,92404,Lotus Restaurant,+19093831526,$,4.5,171,[],https://www.yelp.com/biz/lotus-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ocean-pho-redlands,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.074359,-117.206333,(909) 307-0998,2715.6732500983876,cM3pD4GPFZGKtHBQdjE6LQ,https://s3-media1.fl.yelpcdn.com/bphoto/IjVQ7F-GYFhD4cLVo5-YSw/o.jpg,27471 San Bernardino Ave,Ste 200,,Redlands,US,CA,92374,Ocean Pho,+19093070998,$$,3.0,194,[],https://www.yelp.com/biz/ocean-pho-redlands?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-vietnamese-restaurant-san-bernardino,['vietnamese'],['Vietnamese'],34.0917892456055,-117.276741027832,(909) 383-3138,8022.834823715577,Ass6fu_-jbkpHc9Z7xU16A,https://s3-media1.fl.yelpcdn.com/bphoto/IDaKXualgHNpbxqIfHSQHg/o.jpg,385 E Mill St,Ste 5,,San Bernardino,US,CA,92408,Pho Ha Vietnamese Restaurant,+19093833138,$,3.5,217,[],https://www.yelp.com/biz/pho-ha-vietnamese-restaurant-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kung-fu-pho-highland-4,['vietnamese'],['Vietnamese'],34.122187,-117.194247,(909) 907-5499,3097.536311563492,DY0ErabX9oBzsctoYDKlLA,https://s3-media4.fl.yelpcdn.com/bphoto/y9DDjHESYy92wBVaK0dhIQ/o.jpg,7243 Boulder Ave,,,Highland,US,CA,92346,Kung Fu Pho,+19099075499,$,4.5,90,[],https://www.yelp.com/biz/kung-fu-pho-highland-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-san-bernardino,['vietnamese'],['Vietnamese'],34.09325,-117.27801,(909) 383-5038,8141.417158937045,c2obZslvN9p0K77fki7SeQ,https://s3-media2.fl.yelpcdn.com/bphoto/xv-shxZmdLREUsvlN6XigQ/o.jpg,433 S Waterman Ave,,,San Bernardino,US,CA,92408,Pho Mai,+19093835038,$,3.5,321,[],https://www.yelp.com/biz/pho-mai-san-bernardino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-san-bernardino-2,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.1149497,-117.2793158,(909) 381-0235,8548.478536642759,6oOdecIZktRO7S_EF6tgqQ,https://s3-media1.fl.yelpcdn.com/bphoto/AKjGVHihGlqA8XS3G8L8aw/o.jpg,275 E 9th St,,,San Bernardino,US,CA,92410,Pho lucky,+19093810235,$,4.5,66,[],https://www.yelp.com/biz/pho-lucky-san-bernardino-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
