alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
vietnam-grille-el-cerrito,"['vietnamese', 'salad', 'sandwiches']","['Vietnamese', 'Salad', 'Sandwiches']",37.9076654992528,-122.305631207967,(510) 559-8083,499.39121224052224,ivYZD_QUdplk2E34ikj_1Q,https://s3-media2.fl.yelpcdn.com/bphoto/FK5y8YTGOsxDiZxa021GOw/o.jpg,10386 San Pablo Ave,,,El Cerrito,US,CA,94530,Vietnam Grille,+15105598083,$,4.0,111,"['pickup', 'delivery']",https://www.yelp.com/biz/vietnam-grille-el-cerrito?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-tra-richmond,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.9345565159871,-122.324991782951,(510) 234-7428,2977.2450113880163,9L0eNwBPsKTPioq04okg6g,https://s3-media3.fl.yelpcdn.com/bphoto/j8JGNNgmu_SfO-Tzzu2EVw/o.jpg,12221 San Pablo Ave,Ste 8,,Richmond,US,CA,94805,Huong Tra,+15102347428,$,4.0,665,[],https://www.yelp.com/biz/huong-tra-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nong-thon-el-cerrito,"['vietnamese', 'seafood']","['Vietnamese', 'Seafood']",37.9020803,-122.3030696,(510) 647-8038,1147.0563912998496,ZXbamt6jOWPaLaUC3i26HA,https://s3-media3.fl.yelpcdn.com/bphoto/8xHdyXKQTEdmWa_67gslJw/o.jpg,10086 San Pablo Ave,,,El Cerrito,US,CA,94530,Nong Thon,+15106478038,$$,3.5,309,['pickup'],https://www.yelp.com/biz/nong-thon-el-cerrito?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ao-sen-albany,['vietnamese'],['Vietnamese'],37.8937178,-122.2997228,(510) 679-5000,2129.1628303660304,Dq47xG_JD9wXS_4W8K5rcw,https://s3-media2.fl.yelpcdn.com/bphoto/k_0CmAmzDFCYW4hc0H_VKA/o.jpg,665 San Pablo Ave,,,Albany,US,CA,94706,Pho Ao Sen,+15106795000,$$,3.5,313,[],https://www.yelp.com/biz/pho-ao-sen-albany?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
anh-restaurant-and-bar-richmond-2,"['vietnamese', 'bars', 'salad']","['Vietnamese', 'Bars', 'Salad']",37.9152758870656,-122.349639144616,(510) 680-5292,3942.2726594678397,gQ3Z7Iw6dyC5NF8vRzJA4A,https://s3-media4.fl.yelpcdn.com/bphoto/Ks9MTqFVobLXK2CI366pNQ/o.jpg,1950 Esplanade Dr,,,Richmond,US,CA,94804,Anh Restaurant & Bar,+15106805292,$$,4.0,193,[],https://www.yelp.com/biz/anh-restaurant-and-bar-richmond-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-ba-le-vietnamese-sandwich-deli-el-cerrito,"['vietnamese', 'delis']","['Vietnamese', 'Delis']",37.9038761,-122.3038735,(510) 528-8882,971.435309953784,fOBypmZMEJ3GoulOSH-Zxg,https://s3-media3.fl.yelpcdn.com/bphoto/wcRrCPdxAh50NLc_YuXQIQ/o.jpg,10174 San Pablo Ave,,,El Cerrito,US,CA,94530,Banh Mi Ba Le Vietnamese Sandwich Deli,+15105288882,$,4.0,548,[],https://www.yelp.com/biz/banh-mi-ba-le-vietnamese-sandwich-deli-el-cerrito?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-restaurant-ii-richmond,['vietnamese'],['Vietnamese'],37.8992644562239,-122.306818339771,(510) 528-6388,1427.9738753269407,z904EGeK6dMEFzH98-Wxmw,https://s3-media3.fl.yelpcdn.com/bphoto/vbUWDFYNrOlYMNNfD650DQ/o.jpg,3288 Pierce St,Ste A116,,Richmond,US,CA,94804,Pho Saigon Restaurant II,+15105286388,$,3.5,431,[],https://www.yelp.com/biz/pho-saigon-restaurant-ii-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
danang-albany,['vietnamese'],['Vietnamese'],37.89005,-122.29862,(510) 356-4813,2547.4977167620573,TyIzSjcr0z0jimwLeISMQg,https://s3-media2.fl.yelpcdn.com/bphoto/dSWeqweYvB9RhiSqCVQfSw/o.jpg,905 San Pablo Ave,,,Albany,US,CA,94706,DaNang,+15103564813,,4.5,44,[],https://www.yelp.com/biz/danang-albany?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vanessas-bistro-berkeley,"['french', 'vietnamese', 'tapas']","['French', 'Vietnamese', 'Tapas Bars']",37.891806,-122.282299,(510) 525-8300,3098.8421971195244,mfPNutKRhiaQXDrnz9_HRg,https://s3-media2.fl.yelpcdn.com/bphoto/W6bIi1QiWpIz25zDa3q3rw/o.jpg,1715 Solano Ave,,,Berkeley,US,CA,94707,Vanessa's Bistro,+15105258300,$$,4.0,443,"['restaurant_reservation', 'pickup', 'delivery']",https://www.yelp.com/biz/vanessas-bistro-berkeley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
super-super-restaurant-berkeley,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",37.8776385324438,-122.295125238597,(510) 559-7759,3960.221685785022,qzSf0Jm1Gjw56U9aNGzKYw,https://s3-media3.fl.yelpcdn.com/bphoto/oS16RKoUj39ACCwe8unaAw/o.jpg,1428 San Pablo Ave,,,Berkeley,US,CA,94702,Super Super Restaurant,+15105597759,$,4.0,290,['pickup'],https://www.yelp.com/biz/super-super-restaurant-berkeley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
