alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
fong-sing-restaurant-halifax,"['chinese', 'vietnamese']","['Chinese', 'Vietnamese']",44.661205,-63.655536,+1 902-443-2010,1450.484181586023,bfGTBSgsSrvKJKnMNX9lfg,https://s3-media3.fl.yelpcdn.com/bphoto/LqYvrFS-QJZGhA9ABsaZbA/o.jpg,278 Lacewood Drive,,,Halifax,CA,NS,B3M 3N8,Fong Sing Restaurant,+19024432010,$$,4.0,34,[],https://www.yelp.com/biz/fong-sing-restaurant-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hoang-minh-vietnamese-restaurant-dartmouth,['vietnamese'],['Vietnamese'],44.6718182200575,-63.5797229988113,+1 902-465-6868,5311.920555530094,KvQ0Y42h4EEDb0VUnlEr-Q,https://s3-media4.fl.yelpcdn.com/bphoto/vL5n5NDVsvaXFr079Se9QA/o.jpg,172 Wyse Road,,,Dartmouth,CA,NS,B3A 1M6,Pho Hoang Minh Vietnamese Restaurant,+19024656868,$,4.0,71,[],https://www.yelp.com/biz/pho-hoang-minh-vietnamese-restaurant-dartmouth?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
star-anise-vietnamese-noodles-restaurant-halifax,['vietnamese'],['Vietnamese'],44.64565,-63.5731,+1 902-422-2602,5459.474127850453,N_63OqfVosSIp22OGplNwg,https://s3-media2.fl.yelpcdn.com/bphoto/Rm_2A_M5GfxHDs-YnR0Jwg/o.jpg,1571 Barrington Street,,,Halifax,CA,NS,B3J 1Z7,Star Anise Vietnamese Noodles Restaurant,+19024222602,$$,4.0,49,[],https://www.yelp.com/biz/star-anise-vietnamese-noodles-restaurant-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
man-bean-halifax,"['vietnamese', 'bars']","['Vietnamese', 'Bars']",44.64158,-63.57135,+1 902-830-2005,5675.657275423802,z2EPIJldjdnWvketk7b7cg,https://s3-media1.fl.yelpcdn.com/bphoto/v9PkCZm6gOjNt8g8-0a8fg/o.jpg,1284 Barrington Street,,,Halifax,CA,NS,B3J 1Y5,Man Bean,+19028302005,$$,4.5,9,[],https://www.yelp.com/biz/man-bean-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
indochine-banh-mi-halifax,"['asianfusion', 'vietnamese']","['Asian Fusion', 'Vietnamese']",44.64329,-63.57988,+1 902-407-1222,4973.610724542637,dxJ50yt-yzD5XUsYkARe-A,https://s3-media1.fl.yelpcdn.com/bphoto/AmdfgTusHfKQesN1sLW20g/o.jpg,1551 S Park St,,,Halifax,CA,NS,B3J 4B4,Indochine Banh Mi,+19024071222,$,4.0,110,[],https://www.yelp.com/biz/indochine-banh-mi-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
i-love-pho-halifax,['vietnamese'],['Vietnamese'],44.7067795,-63.664959,+1 902-407-6767,6273.182606876555,sMs6CVycL7puUo8W-h3roQ,https://s3-media1.fl.yelpcdn.com/bphoto/D8jdjNW5hF6SHm3207Mf8g/o.jpg,746 Bedford Highway,,,Halifax,CA,NS,B3M 2L9,I Love Pho,+19024076767,$$,3.5,33,[],https://www.yelp.com/biz/i-love-pho-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-maxim-thai-restaurant-halifax,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",44.6731651,-63.6646348,+1 902-407-6668,2846.00897440922,4wASsbST8HFzMsKr3D-t-Q,https://s3-media2.fl.yelpcdn.com/bphoto/AZR6sYJ9e4a0ckvYGco2tw/o.jpg,30 Farnham Gate Road,,,Halifax,CA,NS,B3M 3W8,Pho Maxim Thai Restaurant,+19024076668,$$,3.0,10,[],https://www.yelp.com/biz/pho-maxim-thai-restaurant-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
just-spring-roll-halifax,"['vietnamese', 'importedfood']","['Vietnamese', 'Imported Food']",44.6430099,-63.57868,+1 902-446-3536,5093.350327214995,YMHXsvSuLxV0Ho-8BFvXQw,https://s3-media1.fl.yelpcdn.com/bphoto/O3f97SuSWGhZzXDjZ0A63Q/o.jpg,5657 Spring Garden Rd,,,Halifax,CA,NS,B3J 1G9,Just Spring Roll,+19024463536,$,4.0,10,[],https://www.yelp.com/biz/just-spring-roll-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
studio-east-food-drink-halifax,"['gastropubs', 'asianfusion']","['Gastropubs', 'Asian Fusion']",44.65082,-63.59312,+1 902-422-8096,3824.970989646047,OIC5u4zW03tdooU-XbG_yA,https://s3-media2.fl.yelpcdn.com/bphoto/_JUDgO4ywSBcyXiet1t4RQ/o.jpg,6021 Cunard Street,,,Halifax,CA,NS,B3K 1E5,Studio East Food+Drink,+19024228096,$$,4.5,46,[],https://www.yelp.com/biz/studio-east-food-drink-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ca-hoa-grocery-halifax,"['grocery', 'importedfood']","['Grocery', 'Imported Food']",44.6367091,-63.573242,+1 902-423-0642,5689.73234563618,0oyuC4iimlX2A9pV0Xp3rw,https://s3-media4.fl.yelpcdn.com/bphoto/Ro7ZvYGFjcLc-unbeVzpdQ/o.jpg,5483 Victoria Road,,,Halifax,CA,NS,B3H 1M6,Ca Hoa Grocery,+19024230642,$$,3.5,14,[],https://www.yelp.com/biz/ca-hoa-grocery-halifax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
