alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-new-saigon-foster-city,['vietnamese'],['Vietnamese'],37.5532937,-122.2565492,(650) 212-1788,1062.101305264474,Ge1FlwywXEKMIY9fdZxV1w,https://s3-media2.fl.yelpcdn.com/bphoto/Kt7IcSk5FuHddLzgM12kEA/o.jpg,1088 Foster City Blvd,,,Foster City,US,CA,94404,Pho New Saigon,+16502121788,$,3.5,317,[],https://www.yelp.com/biz/pho-new-saigon-foster-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-element-san-mateo-2,['vietnamese'],['Vietnamese'],37.54596,-122.30779,(650) 212-1166,3804.752903423763,UWoKPmlZ3vrtM0s5LbLe8w,https://s3-media4.fl.yelpcdn.com/bphoto/5TezlknvgSNoSF1stdCjuQ/o.jpg,2216 S El Camino Real,,,San Mateo,US,CA,94403,Pho Element,+16502121166,$$,4.0,518,[],https://www.yelp.com/biz/pho-element-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-little-saigon-san-mateo,['vietnamese'],['Vietnamese'],37.5445885811679,-122.284968805752,(650) 345-1535,2146.3677062801776,tDzOmyDFtUlSUmF5HCnG1w,https://s3-media4.fl.yelpcdn.com/bphoto/yONlHn6IX2Wz2kXz7E_hRA/o.jpg,2978 S Norfolk St,,,San Mateo,US,CA,94403,Pho Little Saigon,+16503451535,$,3.0,536,[],https://www.yelp.com/biz/pho-little-saigon-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
las-cafe-san-mateo-2,"['delis', 'coffee', 'vietnamese']","['Delis', 'Coffee & Tea', 'Vietnamese']",37.5526406798766,-122.292905375361,(650) 345-5939,2337.7386778577147,oc2WEXu8b1LUp1UluiUuTQ,https://s3-media1.fl.yelpcdn.com/bphoto/A-OeoKueVJv1dl3epL_1lg/o.jpg,1900 S Norfolk St,Ste 126,,San Mateo,US,CA,94403,La's Cafe,+16503455939,$,4.0,50,[],https://www.yelp.com/biz/las-cafe-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mamas-vietnamese-cuisine-san-mateo-2,['vietnamese'],['Vietnamese'],37.5445288,-122.3059702,(650) 572-8822,3731.6628555444104,RK2ljEiSMlOdA3j3N9ve2A,https://s3-media3.fl.yelpcdn.com/bphoto/qchvERjJYrt2lXbve4tR5A/o.jpg,2456 S El Camino Real,,,San Mateo,US,CA,94403,MaMa's Vietnamese Cuisine,+16505728822,$,3.5,448,[],https://www.yelp.com/biz/mamas-vietnamese-cuisine-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kats-vietnam-house-san-mateo-2,['vietnamese'],['Vietnamese'],37.5309562683105,-122.287399291992,(650) 574-0107,3469.181090423978,JAuFd-tnbfhOU1i7Gk2WEw,https://s3-media2.fl.yelpcdn.com/bphoto/IteueYA7NY0ZHbjPKpCzqQ/o.jpg,35 Laurie Meadows Dr,,,San Mateo,US,CA,94403,Kat's Vietnam House,+16505740107,$,3.5,124,['pickup'],https://www.yelp.com/biz/kats-vietnam-house-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
la-tre-vietnamese-catering-san-mateo,"['vietnamese', 'catering']","['Vietnamese', 'Caterers']",37.5872667878866,-122.325467392802,(650) 784-8626,5370.275673699649,LonOOOdcnrz_70jJUF-mzA,https://s3-media4.fl.yelpcdn.com/bphoto/OEJVKNzldXfr95qyDLMYgQ/o.jpg,1820 Coyote Point Dr,,,San Mateo,US,CA,94401,La Tre Vietnamese Catering,+16507848626,$,4.0,72,[],https://www.yelp.com/biz/la-tre-vietnamese-catering-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-tamarind-restaurant-belmont,['thai'],['Thai'],37.51815,-122.27377,(650) 591-9888,4440.043447764717,Uj7IRZtMU3-L9zS-j3XOYQ,https://s3-media2.fl.yelpcdn.com/bphoto/xnRgslsNPRrAEOSwEoLpyA/o.jpg,1316 El Camino Real,,,Belmont,US,CA,94002,Thai Tamarind Restaurant,+16505919888,$$,3.5,399,"['pickup', 'delivery']",https://www.yelp.com/biz/thai-tamarind-restaurant-belmont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sweet-basil-thai-cuisine-foster-city,"['thai', 'seafood', 'soup']","['Thai', 'Seafood', 'Soup']",37.5630527010733,-122.250368984649,(650) 212-5788,1594.5001295274114,z3vreTWRWKBqUCJD4lxuDg,https://s3-media2.fl.yelpcdn.com/bphoto/UjGFWPHx19Z-39wc0QOoqw/o.jpg,1473 Beach Park Blvd,,,Foster City,US,CA,94404,Sweet Basil Thai Cuisine,+16502125788,$$,4.0,1414,"['pickup', 'delivery']",https://www.yelp.com/biz/sweet-basil-thai-cuisine-foster-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tokyo-meet-hanoi-burlingame-2,"['japanese', 'foodtrucks', 'vietnamese']","['Japanese', 'Food Trucks', 'Vietnamese']",37.5778995220211,-122.346479685628,(415) 370-7721,7337.911873873952,N2Kq4-36805J47tCC0gqvw,https://s3-media3.fl.yelpcdn.com/bphoto/Y-jsJ9PS_JnCy9dbE3K84Q/o.jpg,261 Park Rd,Ste 888,,Burlingame,US,CA,,Tokyo Meet Hanoi,+14153707721,,5.0,1,[],https://www.yelp.com/biz/tokyo-meet-hanoi-burlingame-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cambowan-san-mateo-3,"['taiwanese', 'cambodian']","['Taiwanese', 'Cambodian']",37.5293547552443,-122.287912452767,(650) 212-7550,3650.41186116754,Yy90YRLnU43e6W-P0V90XQ,https://s3-media3.fl.yelpcdn.com/bphoto/fk4w-EC0gg2ljaj_wq33bA/o.jpg,4300 S El Camino Real,,,San Mateo,US,CA,94403,CamboWan,+16502127550,$$,4.0,263,[],https://www.yelp.com/biz/cambowan-san-mateo-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ijava-coffee-and-eatery-san-mateo-2,"['cafes', 'coffee', 'sandwiches']","['Cafes', 'Coffee & Tea', 'Sandwiches']",37.5591610669814,-122.287032542287,(650) 513-1395,1755.9292986818693,lL6GNpKNZ7JMfy2o3r8vYQ,https://s3-media2.fl.yelpcdn.com/bphoto/ST7HfJbdkkJh7YuQ8yya3Q/o.jpg,951 Mariners Island Blvd,,,San Mateo,US,CA,94404,iJava Coffee & Eatery,+16505131395,,4.0,9,"['pickup', 'delivery']",https://www.yelp.com/biz/ijava-coffee-and-eatery-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-shop-san-mateo,"['chinese', 'noodles']","['Chinese', 'Noodles']",37.5436175,-122.3083104,(650) 345-1277,3957.661268452421,RlRmJLE0mmNOkrI64KQGZA,https://s3-media1.fl.yelpcdn.com/bphoto/mWiQo_uAQuP-1_MFVysZPQ/o.jpg,164 W 25th Ave,,,San Mateo,US,CA,94403,Noodle Shop,+16503451277,$$,4.0,394,[],https://www.yelp.com/biz/noodle-shop-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tai-wu-mr-fongs-restaurant-foster-city,"['seafood', 'cantonese']","['Seafood', 'Cantonese']",37.5539974,-122.2564693,(650) 638-0168,1016.4671412546277,33Vbit56MY2JAQUisR4Vww,https://s3-media3.fl.yelpcdn.com/bphoto/ay6BL88c2Wl5gYOKpQP5oA/o.jpg,1080 Foster City Blvd,,,Foster City,US,CA,94404,Tai Wu Mr Fong's Restaurant,+16506380168,$,3.5,350,[],https://www.yelp.com/biz/tai-wu-mr-fongs-restaurant-foster-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
warehouse-buffet-foster-city-2,"['buffets', 'hotpot', 'korean']","['Buffets', 'Hot Pot', 'Korean']",37.5436659229437,-122.27040758984,(650) 389-2110,1594.3856974127398,HLxyV72T2ubdJy8ZkRmEHg,https://s3-media2.fl.yelpcdn.com/bphoto/qNybsesGC9GPkmZrfoK2uQ/o.jpg,979 Edgewater Blvd,,,Foster City,US,CA,94404,Warehouse Buffet,+16503892110,$$,3.5,358,['restaurant_reservation'],https://www.yelp.com/biz/warehouse-buffet-foster-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
soons-tofu-and-korean-bbq-foster-city-2,"['korean', 'noodles', 'vegetarian']","['Korean', 'Noodles', 'Vegetarian']",37.5538628685701,-122.257294506079,(650) 286-0860,974.7057287323418,DFHX3-eFPt1fEYbGUp__Yg,https://s3-media3.fl.yelpcdn.com/bphoto/FF6rgi-DjJnkd2wzbHZ3-w/o.jpg,1062 Foster City Blvd,,,Foster City,US,CA,94404,Soon's Tofu and Korean BBQ,+16502860860,$$,3.5,474,[],https://www.yelp.com/biz/soons-tofu-and-korean-bbq-foster-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bay-view-cafe-san-mateo,"['sandwiches', 'cafes', 'coffee']","['Sandwiches', 'Cafes', 'Coffee & Tea']",37.5475692749023,-122.307762145996,,3757.2958522672243,rE35aAr8KkbsarA3KCqthA,https://s3-media4.fl.yelpcdn.com/bphoto/VKNEoO8SqbJIEadhu4Ujxg/o.jpg,2121 S El Camino Real,,,San Mateo,US,CA,94403,Bay View Cafe,,$,4.0,24,['pickup'],https://www.yelp.com/biz/bay-view-cafe-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cooking-papa-restaurant-foster-city,['cantonese'],['Cantonese'],37.544688,-122.270425803511,(650) 577-1830,1482.9958496499723,HzRjaLbv1ePbBRP-bZxxPw,https://s3-media1.fl.yelpcdn.com/bphoto/g8EAA7U9U4YNyYzUX4aapA/o.jpg,949A Edgewater Blvd,,,Foster City,US,CA,94404,Cooking Papa Restaurant,+16505771830,$$,3.5,1088,"['pickup', 'delivery']",https://www.yelp.com/biz/cooking-papa-restaurant-foster-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
super-cue-cafe-san-mateo-2,"['desserts', 'bubbletea']","['Desserts', 'Bubble Tea']",37.5444733117821,-122.28505220123,(650) 358-0352,2160.4981449014167,e-GWbm6r4hqpZb0m_RixFA,https://s3-media2.fl.yelpcdn.com/bphoto/wIDCnxAu0Zh4I-t8i5FaXg/o.jpg,2986 S Norfolk St,,,San Mateo,US,CA,94403,Super Cue Cafe,+16503580352,$,3.5,94,[],https://www.yelp.com/biz/super-cue-cafe-san-mateo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mendocino-farms-san-mateo,"['sandwiches', 'salad']","['Sandwiches', 'Salad']",37.5446857,-122.2915652,(650) 332-8300,2575.3471678366504,p6AM0Dfhugx4S2aDpmyQZg,https://s3-media4.fl.yelpcdn.com/bphoto/l3KCLMvEwHBVVPVpu368YQ/o.jpg,1060 Park Pl,,,San Mateo,US,CA,94403,Mendocino Farms,+16503328300,$$,4.0,235,[],https://www.yelp.com/biz/mendocino-farms-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
silver-house-san-mateo,"['chinese', 'noodles']","['Chinese', 'Noodles']",37.5458387,-122.3074,(650) 571-1298,3794.8383962294356,NRTuvfDmMjpI_Km908wnNQ,https://s3-media4.fl.yelpcdn.com/bphoto/Oc8PQEoATCLfDylN9nlcxg/o.jpg,2224 S El Camino Real,,,San Mateo,US,CA,94403,Silver House,+16505711298,$$,3.5,416,[],https://www.yelp.com/biz/silver-house-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
joys-tw-foster-city,"['chinese', 'taiwanese']","['Chinese', 'Taiwanese']",37.5635182,-122.2498867,(650) 345-1762,1593.150613246466,ZFQjkGzceLCSZSuMCCihwg,https://s3-media1.fl.yelpcdn.com/bphoto/IxAzw0TTnaGrJjR06L4Lmw/o.jpg,1489 Beach Park Blvd,,,Foster City,US,CA,94404,Joys Tw,+16503451762,$$,3.5,514,"['pickup', 'delivery']",https://www.yelp.com/biz/joys-tw-foster-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oceanic-restaurant-san-mateo,['chinese'],['Chinese'],37.54436,-122.30509,(650) 570-4234,3664.8358192803043,Q7qcVCXOi3iIgdD62Lfxjg,https://s3-media2.fl.yelpcdn.com/bphoto/EQZJzzWPcNCtTQF4Bt5QRQ/o.jpg,2507 S El Camino Real,,,San Mateo,US,CA,94403,Oceanic Restaurant,+16505704234,$$,4.0,690,"['pickup', 'delivery']",https://www.yelp.com/biz/oceanic-restaurant-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
china-village-seafood-restaurant-belmont,"['dimsum', 'seafood']","['Dim Sum', 'Seafood']",37.5217801293954,-122.27469222438,(650) 593-1831,4056.8259599842117,UDTRB2JlOqYuixBZRFe4wg,https://s3-media2.fl.yelpcdn.com/bphoto/lM0sqSC3lEIQBnAPh9vigg/o.jpg,600 Ralston Ave,,,Belmont,US,CA,94002,China Village Seafood Restaurant,+16505931831,$$,3.5,444,"['pickup', 'delivery']",https://www.yelp.com/biz/china-village-seafood-restaurant-belmont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
