alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
bistro-viet-house-fremont-3,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",37.5460295554385,-121.987163722515,(510) 742-3988,1196.3709860478768,7Mi0BEgz1G_aVIfyUPxBXQ,https://s3-media2.fl.yelpcdn.com/bphoto/S7vwFd4MgRET9aXtIzmo6w/o.jpg,181 Fremont Hub Courtyard,,,Fremont,US,CA,94538,Bistro Viet House,+15107423988,$,3.5,174,[],https://www.yelp.com/biz/bistro-viet-house-fremont-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
com-tam-thanh-restaurant-newark,['vietnamese'],['Vietnamese'],37.52028,-121.99036,(510) 226-8899,1678.7241584916446,EGpNuX8c6w-bc1q3hRcgSw,https://s3-media4.fl.yelpcdn.com/bphoto/fzmEkVem57GUqe11Y88aWQ/o.jpg,5733 Stevenson Blvd,,,Newark,US,CA,94560,Com Tam Thanh Restaurant,+15102268899,$,3.5,351,"['pickup', 'delivery']",https://www.yelp.com/biz/com-tam-thanh-restaurant-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-village-fremont,['vietnamese'],['Vietnamese'],37.51838,-121.98959,(510) 573-2960,1911.7274204216553,vWsmCpP7Q2MYuvIMIgNKGQ,https://s3-media2.fl.yelpcdn.com/bphoto/lU9lDrAvBbRlkyIYqEy9Ww/o.jpg,6052 Stevenson Blvd,,,Fremont,US,CA,94538,Pho Village,+15105732960,,4.5,81,[],https://www.yelp.com/biz/pho-village-fremont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-pasteur-vietnamese-noodle-house-fremont,['vietnamese'],['Vietnamese'],37.51027,-121.96326,(510) 249-9902,3458.0568191673783,IiAOIzBwjnhC4KBbuiHBuA,https://s3-media3.fl.yelpcdn.com/bphoto/H9b54uREQ6Czw6YY9JCHfQ/o.jpg,43460 Grimmer Blvd,,,Fremont,US,CA,94538,Pho Saigon Pasteur Vietnamese Noodle House,+15102499902,$$,3.5,365,[],https://www.yelp.com/biz/pho-saigon-pasteur-vietnamese-noodle-house-fremont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vung-tau-iii-restaurant-newark,"['vietnamese', 'chinese', 'french']","['Vietnamese', 'Chinese', 'French']",37.52432,-122.00757,(510) 793-8299,2257.06204602301,IYyJDHKDUL0XXXfu_GFHvQ,https://s3-media3.fl.yelpcdn.com/bphoto/gp5NXhITCVbPOjzHuszwPw/o.jpg,6092 Mowry Ave,,,Newark,US,CA,94560,Vung Tau III Restaurant,+15107938299,$$,3.5,304,['pickup'],https://www.yelp.com/biz/vung-tau-iii-restaurant-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vn-vietnamese-restaurant-union-city-2,['vietnamese'],['Vietnamese'],37.5898047104553,-122.071396756335,(510) 489-6688,9617.822219557156,-_z21tEnwg-dB_-yhsawXA,https://s3-media3.fl.yelpcdn.com/bphoto/MeyqDNIfDklspnO5LjXyEw/o.jpg,31861 Alvarado Blvd,,,Union City,US,CA,94587,Pho VN Vietnamese Restaurant,+15104896688,$$,4.0,459,[],https://www.yelp.com/biz/pho-vn-vietnamese-restaurant-union-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
qochon-fremont,"['vietnamese', 'organic_stores']","['Vietnamese', 'Organic Stores']",37.49094,-121.94992,(510) 935-3655,5871.956523940292,th3A_i6B-XpbSqYzM3oIiQ,https://s3-media3.fl.yelpcdn.com/bphoto/HgVznuY32Z55rovH3AL2-w/o.jpg,4169 Cushing Pkwy,,,Fremont,US,CA,94538,Qochon,+15109353655,$$,4.0,256,"['pickup', 'delivery']",https://www.yelp.com/biz/qochon-fremont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mais-kitchen-union-city,['vietnamese'],['Vietnamese'],37.5863372588707,-122.019891188032,(510) 487-1378,6387.338812134181,H-WuewQ-tq9tl3EMSomrxA,https://s3-media4.fl.yelpcdn.com/bphoto/ZKbBbtzebsbQsADS_9Of9Q/o.jpg,34587 Alvarado Niles Rd,,,Union City,US,CA,94587,Mai's Kitchen,+15104871378,$,4.0,357,[],https://www.yelp.com/biz/mais-kitchen-union-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chopsticks-pho-and-grill-newark-5,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.54872,-122.04929,(510) 793-9888,5722.546820618939,7ojDHDyjB7EdmdUVVpHY3Q,https://s3-media2.fl.yelpcdn.com/bphoto/sQoQqSnm6nB0Ebk0Kk50-w/o.jpg,6180 Jarvis Ave,Ste T,,Newark,US,CA,94560,Chopsticks Pho & Grill,+15107939888,$,4.0,201,[],https://www.yelp.com/biz/chopsticks-pho-and-grill-newark-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-99-vietnamese-cuisine-fremont,['vietnamese'],['Vietnamese'],37.5749099,-122.0401389,(510) 792-6234,6513.854208871517,_RQiXLvCJFCV6AN2tdJtBw,https://s3-media1.fl.yelpcdn.com/bphoto/EfnypALzLxDiXE75d9pFEQ/o.jpg,34400 Fremont Blvd,,,Fremont,US,CA,94555,Pho 99 Vietnamese Cuisine,+15107926234,$,3.5,271,[],https://www.yelp.com/biz/pho-99-vietnamese-cuisine-fremont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
