alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
simpleviet-san-jose-4,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",37.3228429,-121.9323191,(408) 320-2228,794.3806541099009,Vyv1zyywe2sqcX_szWYvRg,https://s3-media2.fl.yelpcdn.com/bphoto/pnYVAJm8xX7jzMh_duAo9A/o.jpg,2223 Business Cir,Ste 20,,San Jose,US,CA,95128,SimpleViet,+14083202228,,4.0,54,"['pickup', 'delivery']",https://www.yelp.com/biz/simpleviet-san-jose-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
com-tam-thanh-san-jose,['vietnamese'],['Vietnamese'],37.30991466568,-121.932005854002,(408) 279-8588,747.8117107724553,XyOMKowst9KFB4bO6pwAzA,https://s3-media4.fl.yelpcdn.com/bphoto/IsvKJttUQjTPxV9DY0WpfQ/o.jpg,905 S Bascom Ave,,,San Jose,US,CA,95128,Com Tam Thanh,+14082798588,$,3.5,573,[],https://www.yelp.com/biz/com-tam-thanh-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lequy-campbell,"['vietnamese', 'noodles', 'wraps']","['Vietnamese', 'Noodles', 'Wraps']",37.286465,-121.974961,(408) 871-7171,4853.102384300373,cGNe6yJBYQTThx9Foq3F1w,https://s3-media1.fl.yelpcdn.com/bphoto/b36otQEo-E5mmTJhqZXLaw/o.jpg,1461 W Campbell Ave,,,Campbell,US,CA,95008,LeQuy,+14088717171,$$,4.0,719,[],https://www.yelp.com/biz/lequy-campbell?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tay-ho-santa-clara-3,['vietnamese'],['Vietnamese'],37.353055,-121.960743,(408) 239-4748,4689.432965980287,mZ3Vmz_1YDZlWgh-OjcLtw,https://s3-media3.fl.yelpcdn.com/bphoto/FofWCAvcuS3ctL0TkzmpIw/o.jpg,2047 El Camino Real,,,Santa Clara,US,CA,95050,Tay Ho,+14082394748,$$,4.0,313,[],https://www.yelp.com/biz/tay-ho-santa-clara-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lynn-san-jose,['vietnamese'],['Vietnamese'],37.32372,-121.92728,(408) 295-2540,1067.7658418958763,dzdENcl1DTxa9si0AWQHew,https://s3-media4.fl.yelpcdn.com/bphoto/rZa5CajOD--szg3LbToDhA/o.jpg,1865 W San Carlos St,,,San Jose,US,CA,95128,Pho Lynn,+14082952540,$,4.0,413,['pickup'],https://www.yelp.com/biz/pho-lynn-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-2-san-jose-3,"['vietnamese', 'filipino']","['Vietnamese', 'Filipino']",37.3131579869144,-121.931365245092,(408) 292-3979,461.6479210718066,YtqPbalSb8KVreaQMR7p7A,https://s3-media2.fl.yelpcdn.com/bphoto/ZOBS1n-dWlB0PVzxNZuXng/o.jpg,814 S Bascom Ave,,,San Jose,US,CA,95128,Pho Mai #2,+14082923979,$$,3.0,45,[],https://www.yelp.com/biz/pho-mai-2-san-jose-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
khanhs-restaurant-san-jose,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",37.32219,-121.95058,(408) 241-4940,1529.0603705583076,RrpYw7WmkcYSCBdm1ZlHsA,https://s3-media1.fl.yelpcdn.com/bphoto/Pk3wLOXZ_O3jcdfePS46Mg/o.jpg,335 S Winchester Blvd,,,San Jose,US,CA,95128,Khanh's Restaurant,+14082414940,$$,3.5,586,[],https://www.yelp.com/biz/khanhs-restaurant-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blurr-kitchen-santa-clara,"['asianfusion', 'vietnamese', 'chicken_wings']","['Asian Fusion', 'Vietnamese', 'Chicken Wings']",37.3521751,-121.9676472,(408) 243-1868,4915.2695881795835,6cls0YIr8f852L6NxxxMlg,https://s3-media2.fl.yelpcdn.com/bphoto/gBCHXLK6iLpMNKpklvYTXQ/o.jpg,2374 El Camino Real,,,Santa Clara,US,CA,95050,Blurr Kitchen,+14082431868,$$,4.0,565,[],https://www.yelp.com/biz/blurr-kitchen-santa-clara?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
élyse-restaurant-san-jose-2,"['french', 'vietnamese', 'cocktailbars']","['French', 'Vietnamese', 'Cocktail Bars']",37.33346,-121.8872951,(408) 899-2762,4596.300176502689,ZYGMLW_biN_XMwdUo_90Jg,https://s3-media3.fl.yelpcdn.com/bphoto/Kd_6vL8aLeNg1UU4HebYDQ/o.jpg,151 S 2nd St,,,San Jose,US,CA,95113,Élyse Restaurant,+14088992762,$$,4.5,185,[],https://www.yelp.com/biz/%C3%A9lyse-restaurant-san-jose-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
supergood-kitchen-san-jose,"['noodles', 'panasian']","['Noodles', 'Pan Asian']",37.336596,-121.888961,(408) 620-6314,4646.7117165363425,crpr_-qWB2vY-OzMy9WplQ,https://s3-media3.fl.yelpcdn.com/bphoto/uvPmBkHtlXXAqymkAejapg/o.jpg,62 E Santa Clara St,,,San Jose,US,CA,95113,SuperGood Kitchen,+14086206314,$$,4.5,66,[],https://www.yelp.com/biz/supergood-kitchen-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
