alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
belage-gourmet-fullerton,"['vietnamese', 'french', 'tapas']","['Vietnamese', 'French', 'Tapas Bars']",33.89409,-117.93075,(714) 441-0714,1983.3215490411715,P0y9KCBkqWG-A4s4Imvd9w,https://s3-media2.fl.yelpcdn.com/bphoto/tho2OTX5jSEsZ10BpWB2xw/o.jpg,1981 Sunny Crest Dr,Ste 100,,Fullerton,US,CA,92835,Belage Gourmet,+17144410714,,4.5,5,"['pickup', 'delivery']",https://www.yelp.com/biz/belage-gourmet-fullerton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lantern-cafe-fullerton-2,['vietnamese'],['Vietnamese'],33.8809658,-117.9246561,(714) 447-9643,426.034401015936,fFEElIQbjVq5hsGE4mchyg,https://s3-media1.fl.yelpcdn.com/bphoto/sT926GILzo0eZgYl9JWnkA/o.jpg,1113 N Harbor Blvd,,,Fullerton,US,CA,92832,Pho Lantern Cafe,+17144479643,$,4.0,216,[],https://www.yelp.com/biz/pho-lantern-cafe-fullerton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kim-loan-restaurant-fullerton,['vietnamese'],['Vietnamese'],33.8598504232645,-117.957505210621,(714) 773-0374,3802.3537965325904,Gk9R-ukz-yA3bz8K8JzvZQ,https://s3-media1.fl.yelpcdn.com/bphoto/s8emAixp-HUeTv9xbUn3pA/o.jpg,1651 W Orangethorpe Ave,,,Fullerton,US,CA,92833,Kim Loan Restaurant,+17147730374,$,3.5,415,[],https://www.yelp.com/biz/kim-loan-restaurant-fullerton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-amie-fullerton,"['vietnamese', 'soup', 'coffee']","['Vietnamese', 'Soup', 'Coffee & Tea']",33.8765412743646,-117.879458401324,(714) 996-0380,3970.331214198741,jryeyUCcO8t_Ioooge6XDQ,https://s3-media4.fl.yelpcdn.com/bphoto/NC3R0aX7ZIwxhrzED2S5bw/o.jpg,737 N Placentia Ave,,,Fullerton,US,CA,92831,Pho A'mie,+17149960380,$$,4.0,230,['pickup'],https://www.yelp.com/biz/pho-amie-fullerton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
súp-noodle-bar-buena-park-buena-park,"['vietnamese', 'asianfusion', 'noodles']","['Vietnamese', 'Asian Fusion', 'Noodles']",33.8860404151483,-117.996080294251,(714) 521-2444,6859.681414061253,BJr0sIwRwTNrIcF-NkrPqA,https://s3-media4.fl.yelpcdn.com/bphoto/8Qm8kDcG2nHLvi6pZdfEIw/o.jpg,5141 Beach Blvd,Unit B,,Buena Park,US,CA,90621,Súp Noodle Bar - Buena Park,+17145212444,$$,4.5,1635,[],https://www.yelp.com/biz/s%C3%BAp-noodle-bar-buena-park-buena-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ellie-fullerton,"['vietnamese', 'halal', 'noodles']","['Vietnamese', 'Halal', 'Noodles']",33.86434,-117.89116,(714) 879-1004,3366.6847328951094,4brsK_AkOFk7TPvlzOI_2Q,https://s3-media4.fl.yelpcdn.com/bphoto/CqRE0YwoQ4KofIGQUmx-sg/o.jpg,765 S State College Blvd,Ste B,,Fullerton,US,CA,92831,Pho Ellie,+17148791004,$,4.0,278,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-ellie-fullerton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thuyen-vien-anaheim-2,"['vegan', 'vietnamese']","['Vegan', 'Vietnamese']",33.80378,-117.9412851,(714) 490-0242,8408.978180386554,oVOutQdCBDg_LS-ZcpXSfw,https://s3-media3.fl.yelpcdn.com/bphoto/jQhLKNZnpBXd_befoyX4Gw/o.jpg,1740 S Euclid St,,,Anaheim,US,CA,92802,Thuyen Vien,+17144900242,$,4.5,1140,[],https://www.yelp.com/biz/thuyen-vien-anaheim-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-binh-restaurant-anaheim-5,['vietnamese'],['Vietnamese'],33.8182349,-117.8870299,(714) 635-9531,7346.855042547269,dM55CP1cf7n290SxHTyDgA,https://s3-media2.fl.yelpcdn.com/bphoto/hlKeT6q5_YB0zVLyp_L_wA/o.jpg,2119 E Ball Rd,,,Anaheim,US,CA,92806,Thanh Binh Restaurant,+17146359531,$,4.5,196,[],https://www.yelp.com/biz/thanh-binh-restaurant-anaheim-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-che-cali-fullerton-4,['vietnamese'],['Vietnamese'],33.8616092990476,-117.923928566551,(714) 278-0579,1803.785681784639,vipJ8lKIti6MHea3RRu38g,https://s3-media1.fl.yelpcdn.com/bphoto/y6Xhlf7oLZZIsRz5Ykr7iw/o.jpg,1000 S Harbor Blvd,,,Fullerton,US,CA,92832,Banh Mi Che Cali,+17142780579,$,3.0,544,['pickup'],https://www.yelp.com/biz/banh-mi-che-cali-fullerton-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chao-village-anaheim-2,"['vietnamese', 'asianfusion', 'comfortfood']","['Vietnamese', 'Asian Fusion', 'Comfort Food']",33.8268,-117.941,(714) 844-2671,5922.915246060616,0ZekpnCOX5GJh1-AeR861A,https://s3-media1.fl.yelpcdn.com/bphoto/FXNs50xF4O-HHNboXbkMzg/o.jpg,430 S Euclid St,,,Anaheim,US,CA,92802,Chao Village,+17148442671,$,4.5,190,[],https://www.yelp.com/biz/chao-village-anaheim-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-45-la-mirada,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.9151649,-118.0116653,(562) 947-1702,9161.943872229025,n43eoDXjZr1xtxW0OnPjyA,https://s3-media1.fl.yelpcdn.com/bphoto/7LeziJ3AC3tqgBB5L3fF_w/o.jpg,12810 La Mirada Blvd,,,La Mirada,US,CA,90638,Pho 45,+15629471702,$,4.5,669,[],https://www.yelp.com/biz/pho-45-la-mirada?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-plus-anaheim,['vietnamese'],['Vietnamese'],33.79322,-117.91565,(714) 750-7500,9428.686576478869,t1wUKwUTUGaQzoAlxzVFGw,https://s3-media1.fl.yelpcdn.com/bphoto/7u9gqZRgaRc3FK5YXhQ1cg/o.jpg,2191 S Harbor Blvd,,,Anaheim,US,CA,92802,Pho Ha Plus,+17147507500,$$,4.0,80,[],https://www.yelp.com/biz/pho-ha-plus-anaheim?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
