alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
viet-house-sebastopol,"['vietnamese', 'gluten_free', 'soup']","['Vietnamese', 'Gluten-Free', 'Soup']",38.3913045,-122.8171215,(707) 824-8888,75726.24401995918,V8zmYv8tGx_YQ7Y9Gns-fQ,https://s3-media1.fl.yelpcdn.com/bphoto/q9cG06IfxrcDeSu1aeehoQ/o.jpg,966 Gravenstein Hwy S,,,Sebastopol,US,CA,95472,Viet House,+17078248888,$$,4.0,115,[],https://www.yelp.com/biz/viet-house-sebastopol?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kettles-vietnamese-bistro-santa-rosa,['vietnamese'],['Vietnamese'],38.4594955444336,-122.732200622559,(707) 528-3747,78147.7501618895,wxPfjrSBQWcSRCPy56jA1w,https://s3-media4.fl.yelpcdn.com/bphoto/KhD18fgzJkUVpOHCdNdJew/o.jpg,1202 W Steele Ln,,,Santa Rosa,US,CA,95403,Kettles Vietnamese Bistro,+17075283747,$$,4.0,380,['pickup'],https://www.yelp.com/biz/kettles-vietnamese-bistro-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ks-tian-yuen-restaurant-cloverdale,"['chinese', 'japanese', 'sushi']","['Chinese', 'Japanese', 'Sushi Bars']",38.800350189209,-123.017036437988,(707) 894-5697,44548.23340880516,GT3BntVo-Ves8ZywrmHTkg,https://s3-media2.fl.yelpcdn.com/bphoto/ZUxipGvTbNL8-D-xviIPhA/o.jpg,421 S Cloverdale Blvd,,,Cloverdale,US,CA,95425,KS Tian Yuen Restaurant,+17078945697,$$,4.0,117,['pickup'],https://www.yelp.com/biz/ks-tian-yuen-restaurant-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-crazy-santa-rosa,"['vietnamese', 'noodles', 'beerbar']","['Vietnamese', 'Noodles', 'Beer Bar']",38.43363,-122.72703,(707) 595-4447,79928.04135684857,beKLMNVXl_-ob9jLrpsmOA,https://s3-media3.fl.yelpcdn.com/bphoto/fWGnIHtLTzzkymHI722jQg/o.jpg,320 W 3rd St,Ste G,,Santa Rosa,US,CA,95401,Pho Crazy,+17075954447,$$,4.0,146,[],https://www.yelp.com/biz/pho-crazy-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
goji-kitchen-santa-rosa,"['asianfusion', 'chinese', 'vietnamese']","['Asian Fusion', 'Chinese', 'Vietnamese']",38.4592157222474,-122.718212207407,(707) 523-3888,79242.60026943988,3tbjaTYxYNcSoes7ddG0SA,https://s3-media2.fl.yelpcdn.com/bphoto/QFVCQ-Y9pu8EHTTtF_dZ5w/o.jpg,1965 Mendocino Ave,,,Santa Rosa,US,CA,95403,Goji Kitchen,+17075233888,$$,4.0,497,[],https://www.yelp.com/biz/goji-kitchen-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thuan-phat-santa-rosa,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",38.403551,-122.712812,(707) 890-0855,82626.11127566142,j2BPC-aw9UoL1WhPAWSB_Q,https://s3-media4.fl.yelpcdn.com/bphoto/lU-QlVfyDeOOG9x2v0oQLQ/o.jpg,3020 Santa Rosa Ave,,,Santa Rosa,US,CA,95407,Thuan Phat,+17078900855,$,4.5,192,[],https://www.yelp.com/biz/thuan-phat-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-ha-restaurant-santa-rosa,"['vietnamese', 'buffets']","['Vietnamese', 'Buffets']",38.5121574401855,-122.779884338379,(707) 527-8882,71824.6796391479,2cPTjDxbKqoVv9AfXiNAiw,https://s3-media2.fl.yelpcdn.com/bphoto/zchWGpdyIz3Xclt6-b89Ww/o.jpg,385 Aviation Blvd,,,Santa Rosa,US,CA,95403,My Ha Restaurant,+17075278882,$$,3.0,90,[],https://www.yelp.com/biz/my-ha-restaurant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-vietnam-express-santa-rosa,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.47415,-122.73258,(707) 544-4585,77396.11230790673,B_oV1Kk5nKJtYCLcF4HVQg,https://s3-media2.fl.yelpcdn.com/bphoto/wyxUhr0FYhNb2v-y6xy-tg/o.jpg,3381 Cleveland Ave,,,Santa Rosa,US,CA,95403,Simply Vietnam Express,+17075444585,$$,3.5,302,[],https://www.yelp.com/biz/simply-vietnam-express-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vietnam-santa-rosa,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",38.4292738,-122.742368769311,(707) 571-7687,78996.99858067522,Mtsf96g_HjXzcG59MacOig,https://s3-media3.fl.yelpcdn.com/bphoto/h8Y7JiC3MJz9OM-oo24PWg/o.jpg,711 Stony Point Rd,Ste 8,,Santa Rosa,US,CA,95407,Pho Vietnam,+17075717687,$,3.5,422,[],https://www.yelp.com/biz/pho-vietnam-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-noodle-house-santa-rosa,['vietnamese'],['Vietnamese'],38.4795743,-122.738502,(707) 523-2358,76634.63980754958,MvAxp-fgzPE4WCyPXRrXEw,https://s3-media3.fl.yelpcdn.com/bphoto/XKS9Vfb3UfYpDyS3kkAZIg/o.jpg,1010 Hopper Ave,,,Santa Rosa,US,CA,95403,Lee's Noodle House,+17075232358,$,3.5,182,[],https://www.yelp.com/biz/lees-noodle-house-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mai-vietnamese-cuisine-cotati,['vietnamese'],['Vietnamese'],38.331109,-122.716399,(707) 665-9628,86832.98266401434,5UgdrIrJWfac9REkniCyHg,https://s3-media3.fl.yelpcdn.com/bphoto/yllQi3ki7MIF-Apw9EJ5rA/o.jpg,8492 Gravenstein Hwy,,,Cotati,US,CA,94931,Mai Vietnamese Cuisine,+17076659628,$$,4.0,338,[],https://www.yelp.com/biz/mai-vietnamese-cuisine-cotati?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
101-thai-way-cloverdale,['thai'],['Thai'],38.783698,-123.011209,(707) 894-9999,45021.4138223238,kzQg7SmFR4YR_cK2tWRjEQ,https://s3-media2.fl.yelpcdn.com/bphoto/p2cFiXdWWQx9Vf7W6uNwSw/o.jpg,1198 S Cloverdale Blvd,Ste C,,Cloverdale,US,CA,95425,101 Thai Way,+17078949999,$$,4.5,197,[],https://www.yelp.com/biz/101-thai-way-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-soup-santa-rosa-6,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",38.4279778,-122.7354962,(707) 595-1119,79587.29620916255,sCOy8F-pR34A6KoaB4lGJg,https://s3-media1.fl.yelpcdn.com/bphoto/MbvWu-jtd_WNjLbs08HU8g/o.jpg,2550 Guerneville Rd,Ste E,,Santa Rosa,US,CA,95407,Noodle Soup,+17075951119,$,3.5,28,[],https://www.yelp.com/biz/noodle-soup-santa-rosa-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
momo-cafe-santa-rosa-7,"['sandwiches', 'asianfusion', 'salad']","['Sandwiches', 'Asian Fusion', 'Salad']",38.5121060709943,-122.780161058718,(707) 573-0999,71807.73473368752,Wqazgh6qICB1iFrTGByKkg,https://s3-media4.fl.yelpcdn.com/bphoto/9kq9r7fHZr5yqLTpAiurWA/o.jpg,385 Aviation Blvd,Ste A,,Santa Rosa,US,CA,95403,MoMo Cafe,+17075730999,$,4.5,128,['pickup'],https://www.yelp.com/biz/momo-cafe-santa-rosa-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sea-noodle-bar-santa-rosa,"['thai', 'noodles', 'salad']","['Thai', 'Noodles', 'Salad']",38.458655,-122.729712,(707) 521-9087,78383.05877384575,oEK3_I3I0lx5qYg3pQx6yw,https://s3-media2.fl.yelpcdn.com/bphoto/lE9tNW1JmeECN4EMXbgjXw/o.jpg,286 Coddingtown Ctr,,,Santa Rosa,US,CA,95401,SEA Noodle Bar,+17075219087,$$,4.0,435,[],https://www.yelp.com/biz/sea-noodle-bar-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jams-joy-bungalow-santa-rosa,"['thai', 'vietnamese', 'foodtrucks']","['Thai', 'Vietnamese', 'Food Trucks']",38.479574,-122.7385762,(707) 843-9001,76621.9686376381,CoxE2bsTufTlF0LtYirpLw,https://s3-media2.fl.yelpcdn.com/bphoto/fxFhfyqrXiQd4tm7UV_eWQ/o.jpg,1014 Hopper Ave,#524,,Santa Rosa,US,CA,95403,Jam's Joy Bungalow,+17078439001,,4.5,4,[],https://www.yelp.com/biz/jams-joy-bungalow-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tans-donuts-santa-rosa-2,"['donuts', 'vietnamese']","['Donuts', 'Vietnamese']",38.4520404275629,-122.771504470958,(707) 528-1567,75537.287487705,VfGnMo86Cp3mTgGgOac30g,https://s3-media1.fl.yelpcdn.com/bphoto/au75Kuwpxv6ciy8EOku0Dw/o.jpg,2550 Guerneville Rd,Ste E,,Santa Rosa,US,CA,95403,Tan's Donuts,+17075281567,$,4.0,28,[],https://www.yelp.com/biz/tans-donuts-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
best-of-burma-2-santa-rosa-2,"['burmese', 'asianfusion']","['Burmese', 'Asian Fusion']",38.4421952896008,-122.716760504487,(707) 623-9280,80278.86191895108,GxlBRCd5LvNkoOel6SUZHw,https://s3-media2.fl.yelpcdn.com/bphoto/PDdxuGkGmSu9Oa2kzrPDng/o.jpg,528 7th St,,,Santa Rosa,US,CA,95401,Best of Burma 2,+17076239280,$$,4.5,347,['pickup'],https://www.yelp.com/biz/best-of-burma-2-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-bagel-croissant-santa-rosa,"['sandwiches', 'breakfast_brunch', 'vietnamese']","['Sandwiches', 'Breakfast & Brunch', 'Vietnamese']",38.425319,-122.753762,(707) 522-1388,78346.71114963843,YkfgsEQODvfLPXj3QINRQw,https://s3-media3.fl.yelpcdn.com/bphoto/hN32EvNPZYB6fU6133-RUw/o.jpg,925 Corporate Center Pkwy,,Cafe Bagels Croissants,Santa Rosa,US,CA,95407,Cafe Bagel Croissant,+17075221388,$,3.5,67,[],https://www.yelp.com/biz/cafe-bagel-croissant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ravens-restaurant-mendocino,"['vegetarian', 'vegan', 'wine_bars']","['Vegetarian', 'Vegan', 'Wine Bars']",39.2993782071213,-123.792486990479,(707) 937-5615,61686.23118942884,t4xn_dN5wxMhx_F097Hokw,https://s3-media4.fl.yelpcdn.com/bphoto/PK_syELih8aE-19aXuEqDg/o.jpg,44850 Comptche Ukiah Rd,,,Mendocino,US,CA,95460,Ravens' Restaurant,+17079375615,$$$,3.5,309,[],https://www.yelp.com/biz/ravens-restaurant-mendocino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-bun-santa-rosa-2,"['vietnamese', 'sandwiches', 'desserts']","['Vietnamese', 'Sandwiches', 'Desserts']",38.44237,-122.7149,(707) 890-5678,80371.1931536374,ReeNmE-B_EUCUaEkAZhaQA,https://s3-media1.fl.yelpcdn.com/bphoto/5LBUb8bmrSDHXvYursPK0Q/o.jpg,490 Mendocino Ave,Ste 106,,Santa Rosa,US,CA,95401,Golden Bun,+17078905678,$,4.0,69,[],https://www.yelp.com/biz/golden-bun-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
streetside-asian-grill-santa-rosa,"['foodtrucks', 'asianfusion']","['Food Trucks', 'Asian Fusion']",38.44929,-122.73392,(707) 843-0046,74226.74740619092,1ur6aTGBl1KXhxUPn5KxLg,https://s3-media1.fl.yelpcdn.com/bphoto/St1CVvK2EFewnN75NfAsVQ/o.jpg,,,,Santa Rosa,US,CA,95401,Streetside Asian Grill,+17078430046,,5.0,10,[],https://www.yelp.com/biz/streetside-asian-grill-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tian-yuen-asian-cuisine-windsor,['asianfusion'],['Asian Fusion'],38.5481323840392,-122.813902013004,(707) 892-2968,67494.89479038374,gD8FLXZCg2T4isVOlqK5lw,https://s3-media3.fl.yelpcdn.com/bphoto/rhSTHfq2GO5VySXlh2DYrw/o.jpg,610 McClelland Dr,,,Windsor,US,CA,95492,Tian Yuen Asian Cuisine,+17078922968,,3.5,31,[],https://www.yelp.com/biz/tian-yuen-asian-cuisine-windsor?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
