alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
happy-bowl-ashland,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",42.18515,-122.69066,(541) 708-6588,71143.5625528198,M_pytyX0Ozc3bRp8nB6VFA,https://s3-media1.fl.yelpcdn.com/bphoto/SFNSE3TC88tjOfgYnJvdLg/o.jpg,1401 Siskiyou Blvd,,,Ashland,US,OR,97520,Happy Bowl,+15417086588,$,4.0,111,[],https://www.yelp.com/biz/happy-bowl-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tot-restaurant-ashland,"['vietnamese', 'asianfusion', 'newamerican']","['Vietnamese', 'Asian Fusion', 'American (New)']",42.1994,-122.71276,(541) 488-7986,70626.2351423215,UGfwdHrvdIi81RRriomA-A,https://s3-media2.fl.yelpcdn.com/bphoto/PLWH8GpU2NpraZ34l0MMag/o.jpg,310 Oak St,,,Ashland,US,OR,97520,Tot Restaurant,+15414887986,$$,4.0,150,[],https://www.yelp.com/biz/tot-restaurant-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-wok-medford,"['vietnamese', 'thai', 'chinese']","['Vietnamese', 'Thai', 'Chinese']",42.32054,-122.86623,(541) 858-1668,71094.48295281651,Bv55-xBW7d3oyLecqD3BCg,https://s3-media2.fl.yelpcdn.com/bphoto/bC-FMjaVjFffSkq_HL0Z_g/o.jpg,718 S Riverside Ave,,,Medford,US,OR,97501,Golden Wok,+15418581668,$,3.0,101,"['pickup', 'delivery']",https://www.yelp.com/biz/golden-wok-medford?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
esaan-cafe-phoenix,['thai'],['Thai'],42.279704823452,-122.823161956238,(541) 897-4474,69904.73495007688,74-aKl0aG7D8Twt9MhyJEQ,https://s3-media2.fl.yelpcdn.com/bphoto/ClzMoVJOWC_hoM1hgFDPOw/o.jpg,4150 S Pacific Hwy,Ste A,,Phoenix,US,OR,97535,Esaan Cafe,+15418974474,$$,4.5,78,[],https://www.yelp.com/biz/esaan-cafe-phoenix?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vim-thai-restaurant-medford,['thai'],['Thai'],42.31993,-122.86584,(541) 779-1148,71072.14582907369,5j5dIZMkUiY32L2H3K_zbA,https://s3-media2.fl.yelpcdn.com/bphoto/F7r4hw_9jds6JVVR2UgW5w/o.jpg,725 S Central Ave,,,Medford,US,OR,97501,Vim Thai Restaurant,+15417791148,$$,4.5,108,[],https://www.yelp.com/biz/vim-thai-restaurant-medford?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sesame-asian-kitchen-ashland,"['asianfusion', 'salad', 'soup']","['Asian Fusion', 'Salad', 'Soup']",42.19671,-122.71613,(541) 482-0119,70211.1479495987,iliVM5L8dEoz171TmdcxgA,https://s3-media4.fl.yelpcdn.com/bphoto/NaElvCk-Ni2bSgxwJlzzQg/o.jpg,21 Winburn Way,,,Ashland,US,OR,97520,Sesame Asian Kitchen,+15414820119,$$,3.5,221,[],https://www.yelp.com/biz/sesame-asian-kitchen-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sea-west-restaurant-fort-dick,['thai'],['Thai'],41.8647478,-124.1507714,(707) 487-1573,63084.12119513101,rEF4-cVryBsl2lgbYBBoLA,https://s3-media2.fl.yelpcdn.com/bphoto/i-TQa69abvE8KUxNL9Esgw/o.jpg,6655 Lake Earl Dr,,,Fort Dick,US,CA,95538,Sea West Restaurant,+17074871573,$$,4.0,43,[],https://www.yelp.com/biz/sea-west-restaurant-fort-dick?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
house-of-thai-cuisine-ashland,['thai'],['Thai'],42.1827621459961,-122.685585021973,(541) 488-2583,71340.37981843423,RxAesvrKlCSN8NdYaPrArw,https://s3-media2.fl.yelpcdn.com/bphoto/pLeUIIrxeHenRB-d1w_1Bg/o.jpg,1667 Siskiyou Blvd,,,Ashland,US,OR,97520,House of Thai Cuisine,+15414882583,$$,3.5,76,[],https://www.yelp.com/biz/house-of-thai-cuisine-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bambu-medford,"['thai', 'asianfusion']","['Thai', 'Asian Fusion']",42.31473,-122.81599,(541) 608-7545,73192.22932310974,DJJcG0fJH3-o72w-_qtXLA,https://s3-media1.fl.yelpcdn.com/bphoto/hkyWZBh5XSqAVZ4debfs6A/o.jpg,970 N Phoenix Rd,,,Medford,US,OR,97504,Bambu,+15416087545,$$,3.5,140,[],https://www.yelp.com/biz/bambu-medford?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mas-chinese-and-american-cuisine-central-point,['chinese'],['Chinese'],42.37465,-122.91594,(541) 664-7700,73678.52555668207,qZs1eaa9cAXe-elKMqF9XA,https://s3-media3.fl.yelpcdn.com/bphoto/xTMqbIH0a0bz1VS9xrswLA/o.jpg,212 E Pine St,,,Central Point,US,OR,97502,Ma's Chinese & American Cuisine,+15416647700,$,2.5,25,"['pickup', 'delivery']",https://www.yelp.com/biz/mas-chinese-and-american-cuisine-central-point?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
