alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-pho-vacaville,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",38.3517428837441,-121.965328171042,(707) 451-2548,7685.182953097175,G34kS7Ew4oTBoAu3lYal3w,https://s3-media2.fl.yelpcdn.com/bphoto/xNoHnbu7OqpDZgvS_BqoDQ/o.jpg,500 Elmira Rd,,,Vacaville,US,CA,95687,Saigon Pho,+17074512548,$,4.0,246,[],https://www.yelp.com/biz/saigon-pho-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lee-hoa-phat-vacaville,['vietnamese'],['Vietnamese'],38.3539886474609,-121.978248596191,(707) 452-8829,7674.375371480991,HiXZsD-HT1K6izxqb9GjXw,https://s3-media1.fl.yelpcdn.com/bphoto/6X5vX5tGLNkE4sgAeZ_1rQ/o.jpg,88 Peabody Rd,,,Vacaville,US,CA,95687,Pho Lee Hoa Phat,+17074528829,$,3.5,470,[],https://www.yelp.com/biz/pho-lee-hoa-phat-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-no-1-vietnamese-restaurant-fairfield-2,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.265079498291,-122.033157348633,(707) 422-4383,18591.33393861964,ZNScrXCoB73D3QdnxvQ0CA,https://s3-media1.fl.yelpcdn.com/bphoto/uQBzmj3M0UMcAuWM4YxTmQ/o.jpg,1972 N Texas St,Ste C,,Fairfield,US,CA,94533,Pho Saigon No 1 Vietnamese Restaurant,+17074224383,$,4.0,426,[],https://www.yelp.com/biz/pho-saigon-no-1-vietnamese-restaurant-fairfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-or-rice-vacaville,"['noodles', 'dimsum', 'bubbletea']","['Noodles', 'Dim Sum', 'Bubble Tea']",38.378135,-121.9431052,(707) 451-7966,4769.687905099567,IgiUH2NQyDn0hii0YGOfjg,https://s3-media1.fl.yelpcdn.com/bphoto/iMroGqD4a6zkCar2Pp5ZzQ/o.jpg,630 Orange Dr,Ste F,,Vacaville,US,CA,95687,Noodle Or Rice,+17074517966,$$,3.0,142,"['delivery', 'pickup']",https://www.yelp.com/biz/noodle-or-rice-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tom-yum-goong-vacaville-ca-2,['thai'],['Thai'],38.3536315380081,-121.978012614308,(707) 448-8753,7706.914539825357,aDK6h_LHQlUiWZNMY2-U3A,https://s3-media1.fl.yelpcdn.com/bphoto/tbTiX4YpE92-4yzN9zTYiA/o.jpg,88 A Peabody Rd,,,Vacaville Ca,US,CA,95687,Tom Yum Goong,+17074488753,$$,4.5,352,['pickup'],https://www.yelp.com/biz/tom-yum-goong-vacaville-ca-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
okashi-fusion-vacaville,"['poke', 'hawaiian', 'asianfusion']","['Poke', 'Hawaiian', 'Asian Fusion']",38.3703303337097,-121.959481313825,(707) 359-4090,5613.360669843566,MaCs5PceHHsR_khVc_eWTg,https://s3-media4.fl.yelpcdn.com/bphoto/xCwlE7qTmJfMBoB-iYUdvQ/o.jpg,1679 E Monte Vista Ave,,,Vacaville,US,CA,95688,Okashi Fusion,+17073594090,$$,4.5,454,['pickup'],https://www.yelp.com/biz/okashi-fusion-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-fairfield-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.263944,-122.050281,(707) 434-8808,19318.03708918722,EtP9eP7VgIo4WeMU2H8vdA,https://s3-media2.fl.yelpcdn.com/bphoto/XOlPvJ1o33nslL5izwu97w/o.jpg,1305 Gateway Blvd,Ste E7,,Fairfield,US,CA,94533,Noodle House,+17074348808,$,3.0,92,[],https://www.yelp.com/biz/noodle-house-fairfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mandalay-express-davis,['vietnamese'],['Vietnamese'],38.539751,-121.7507163,,21866.324416341366,Q-xi4tE6xAynn9WR-t4_2w,https://s3-media1.fl.yelpcdn.com/bphoto/tL8f8-6wWpW5e-dwq9VV8Q/o.jpg,1 Shields Ave,,,Davis,US,CA,95616,Mandalay Express,,,4.0,1,[],https://www.yelp.com/biz/mandalay-express-davis?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
buddha-thai-bistro-vacaville,['thai'],['Thai'],38.363342,-121.962942,(707) 446-9999,6379.2864043220015,fsvMLyrOukBr2JSlHpn3WA,https://s3-media3.fl.yelpcdn.com/bphoto/yc0VEtad6tvDJM6Vf1Cbsg/o.jpg,2060 B Harbison Dr,,,Vacaville,US,CA,95687,Buddha Thai Bistro,+17074469999,$$,4.5,1506,[],https://www.yelp.com/biz/buddha-thai-bistro-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-paradise-fairfield,['thai'],['Thai'],38.29174,-122.03293,(707) 434-8424,15876.970314964195,C1UszD7Dr_SFYruPXezR3w,https://s3-media4.fl.yelpcdn.com/bphoto/9tfq4vFie5bwDDrdiRRBog/o.jpg,3344 N Texas St,Ste A,,Fairfield,US,CA,94533,Bangkok Paradise,+17074348424,$$,4.0,425,[],https://www.yelp.com/biz/bangkok-paradise-fairfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
