alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
banh-mi-hemet,"['vietnamese', 'sandwiches', 'bubbletea']","['Vietnamese', 'Sandwiches', 'Bubble Tea']",33.7459659958486,-117.008210707895,(951) 652-3327,9186.25539352516,vlLtcFR3-U8txdyOZvPDHQ,https://s3-media1.fl.yelpcdn.com/bphoto/DVRtvY9UrigT3lupuNs1Og/o.jpg,3429 West Florida Ave,,,Hemet,US,CA,92545,Banh Mi,+19516523327,$,4.5,207,[],https://www.yelp.com/biz/banh-mi-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fresh-and-yummy-hemet,['vietnamese'],['Vietnamese'],33.7482833862305,-117.004508972168,(951) 925-6981,9533.371777241578,9RVJ7cu2TxrGXwSB53qaTA,https://s3-media3.fl.yelpcdn.com/bphoto/R28dHgvDHor_ABe0VTLW9g/o.jpg,3112 W Florida Ave,,,Hemet,US,CA,92545,Fresh & Yummy,+19519256981,$,4.0,226,[],https://www.yelp.com/biz/fresh-and-yummy-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lemongrass-asian-cuisine-hemet,"['thai', 'asianfusion', 'vietnamese']","['Thai', 'Asian Fusion', 'Vietnamese']",33.736089742978,-117.008030109611,(951) 766-1506,9262.167236093004,EZb6PWnX0leRpEzvMm-4Gg,https://s3-media2.fl.yelpcdn.com/bphoto/KnhJB1u55xqIodsiZvx_cg/o.jpg,3376 Wentworth Dr,,,Hemet,US,CA,92545,Lemongrass Asian Cuisine,+19517661506,$$,4.0,550,[],https://www.yelp.com/biz/lemongrass-asian-cuisine-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
signature-pho-and-desserts-canyon-lake,"['vietnamese', 'desserts']","['Vietnamese', 'Desserts']",33.6714542520775,-117.253183465958,(951) 746-2635,15784.920365198614,cvL_YWx3LJHV6uxR_fEPTg,https://s3-media3.fl.yelpcdn.com/bphoto/i_tB3aDZvZdG9UHvlV3HIg/o.jpg,31574 Railroad Canyon Rd,Ste A,,Canyon Lake,US,CA,92587,Signature Pho & Desserts,+19517462635,$$,4.0,249,['pickup'],https://www.yelp.com/biz/signature-pho-and-desserts-canyon-lake?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-neighbors-lake-elsinore,['vietnamese'],['Vietnamese'],33.6547362373382,-117.298637218773,(951) 674-6789,20352.439504526745,5PzZTgjJihyJ6w5WWrV6vg,https://s3-media2.fl.yelpcdn.com/bphoto/Rej3EKjCuwDEPt6LmuMfHA/o.jpg,32245 Mission Trl,,,Lake Elsinore,US,CA,92530,Pho' Neighbors,+19516746789,$,4.5,115,[],https://www.yelp.com/biz/pho-neighbors-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mrs-7-pho-noodle-house-wildomar,['vietnamese'],['Vietnamese'],33.5908161757761,-117.251782754064,(714) 603-2595,21767.812797215476,a2KHoKMM-1ov_JrAIGoNxg,https://s3-media3.fl.yelpcdn.com/bphoto/EE3JLrQzw8XibMVAkCo5ZQ/o.jpg,32395 Clinton Keith Rd,Ste B6,,Wildomar,US,CA,92595,Mrs 7 Pho - Noodle House,+17146032595,,3.5,25,[],https://www.yelp.com/biz/mrs-7-pho-noodle-house-wildomar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tyc-wildomar,['vietnamese'],['Vietnamese'],33.58854,-117.25272,(951) 609-1636,22069.664669332684,EqRbpSdJws1AaowvIQkuYg,https://s3-media2.fl.yelpcdn.com/bphoto/lyCFoOR_h_oVPfznhDD1SA/o.jpg,32475 Clinton Keith Rd,,,Wildomar,US,CA,92595,Pho TYC,+19516091636,$,3.0,97,[],https://www.yelp.com/biz/pho-tyc-wildomar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
aboba-tea-coffee-murrieta,"['coffee', 'bubbletea']","['Coffee & Tea', 'Bubble Tea']",33.574674,-117.202845,(951) 216-9093,21030.767730398195,HHiCp8KFN4P1VV0P-KLmaA,https://s3-media2.fl.yelpcdn.com/bphoto/amRW8RwvlatKcStjE2T5qA/o.jpg,40575 California Oaks Rd,Unit D10,,Murrieta,US,CA,92562,Aboba Tea Coffee,+19512169093,$,4.0,35,[],https://www.yelp.com/biz/aboba-tea-coffee-murrieta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chinese-bistro-romoland-2,['chinese'],['Chinese'],33.74349,-117.16546,(951) 928-3837,5175.244524249638,Qf07ZzqnKOO1wNQ8x8b6FQ,https://s3-media2.fl.yelpcdn.com/bphoto/My58zg_t9bo-vNdILpDG0A/o.jpg,28490 Hwy 74,,,Romoland,US,CA,92585,Chinese Bistro,+19519283837,$$,3.5,253,[],https://www.yelp.com/biz/chinese-bistro-romoland-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
destination-coffee-bar-and-bistro-hemet,"['coffee', 'sandwiches', 'breakfast_brunch']","['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']",33.74786,-116.97206,(951) 652-0040,12522.390033216812,IxmSrZB5T9yGkuV2ypYMYw,https://s3-media3.fl.yelpcdn.com/bphoto/uofP-AiEHIyOJVN061_nmA/o.jpg,100 W Florida Ave,,,Hemet,US,CA,92543,Destination Coffee Bar & Bistro,+19516520040,$,4.5,172,"['pickup', 'delivery']",https://www.yelp.com/biz/destination-coffee-bar-and-bistro-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
