alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
ks-tian-yuen-restaurant-cloverdale,"['chinese', 'japanese', 'sushi']","['Chinese', 'Japanese', 'Sushi Bars']",38.800350189209,-123.017036437988,(707) 894-5697,21025.060693833315,GT3BntVo-Ves8ZywrmHTkg,https://s3-media2.fl.yelpcdn.com/bphoto/ZUxipGvTbNL8-D-xviIPhA/o.jpg,421 S Cloverdale Blvd,,,Cloverdale,US,CA,95425,KS Tian Yuen Restaurant,+17078945697,$$,4.0,117,['pickup'],https://www.yelp.com/biz/ks-tian-yuen-restaurant-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mai-vietnamese-cuisine-cotati,['vietnamese'],['Vietnamese'],38.331109,-122.716399,(707) 665-9628,79366.67291723579,5UgdrIrJWfac9REkniCyHg,https://s3-media3.fl.yelpcdn.com/bphoto/yllQi3ki7MIF-Apw9EJ5rA/o.jpg,8492 Gravenstein Hwy,,,Cotati,US,CA,94931,Mai Vietnamese Cuisine,+17076659628,$$,4.0,338,[],https://www.yelp.com/biz/mai-vietnamese-cuisine-cotati?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-house-sebastopol,"['vietnamese', 'gluten_free', 'soup']","['Vietnamese', 'Gluten-Free', 'Soup']",38.3913045,-122.8171215,(707) 824-8888,69648.20412440179,V8zmYv8tGx_YQ7Y9Gns-fQ,https://s3-media1.fl.yelpcdn.com/bphoto/q9cG06IfxrcDeSu1aeehoQ/o.jpg,966 Gravenstein Hwy S,,,Sebastopol,US,CA,95472,Viet House,+17078248888,$$,4.0,115,[],https://www.yelp.com/biz/viet-house-sebastopol?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thuan-phat-santa-rosa,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",38.403551,-122.712812,(707) 890-0855,72317.1334559995,j2BPC-aw9UoL1WhPAWSB_Q,https://s3-media4.fl.yelpcdn.com/bphoto/lU-QlVfyDeOOG9x2v0oQLQ/o.jpg,3020 Santa Rosa Ave,,,Santa Rosa,US,CA,95407,Thuan Phat,+17078900855,$,4.5,192,[],https://www.yelp.com/biz/thuan-phat-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kettles-vietnamese-bistro-santa-rosa,['vietnamese'],['Vietnamese'],38.4594955444336,-122.732200622559,(707) 528-3747,66105.39243507049,wxPfjrSBQWcSRCPy56jA1w,https://s3-media4.fl.yelpcdn.com/bphoto/KhD18fgzJkUVpOHCdNdJew/o.jpg,1202 W Steele Ln,,,Santa Rosa,US,CA,95403,Kettles Vietnamese Bistro,+17075283747,$$,4.0,380,['pickup'],https://www.yelp.com/biz/kettles-vietnamese-bistro-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-crazy-santa-rosa,"['vietnamese', 'noodles', 'beerbar']","['Vietnamese', 'Noodles', 'Beer Bar']",38.43363,-122.72703,(707) 595-4447,68840.27119874749,beKLMNVXl_-ob9jLrpsmOA,https://s3-media3.fl.yelpcdn.com/bphoto/fWGnIHtLTzzkymHI722jQg/o.jpg,320 W 3rd St,Ste G,,Santa Rosa,US,CA,95401,Pho Crazy,+17075954447,$$,4.0,146,[],https://www.yelp.com/biz/pho-crazy-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
corner-park-cafe-santa-rosa,"['vietnamese', 'donuts', 'cafes']","['Vietnamese', 'Donuts', 'Cafes']",38.45619,-122.67215,(707) 539-2416,69177.15103937258,W57lmT1XYZMGUcT7JAhSoA,https://s3-media4.fl.yelpcdn.com/bphoto/-KU4QKk_nqYTAqCCISQc7Q/o.jpg,4275 Montgomery Dr,,,Santa Rosa,US,CA,95405,Corner Park Cafe,+17075392416,,4.5,13,[],https://www.yelp.com/biz/corner-park-cafe-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simmer-rohnert-park-3,['vietnamese'],['Vietnamese'],38.346854,-122.708391,(707) 843-7416,78083.7845051628,BRjRqTXKP-xLpD4Sxx4xbw,https://s3-media2.fl.yelpcdn.com/bphoto/hzHwAZ63NLZBO2UulU_uEQ/o.jpg,6358 Commerce Blvd,,,Rohnert Park,US,CA,94928,Simmer,+17078437416,$$,4.5,114,[],https://www.yelp.com/biz/simmer-rohnert-park-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-palace-santa-rosa,"['vietnamese', 'cambodian', 'noodles']","['Vietnamese', 'Cambodian', 'Noodles']",38.425595,-122.708801,(707) 528-1548,70388.66878238718,xgw_kiIIyrVNioazypISQg,https://s3-media2.fl.yelpcdn.com/bphoto/cthGasaiWSXn6TWb2qk-2g/o.jpg,1310 Petaluma Hill Rd,,,Santa Rosa,US,CA,95404,Noodle Palace,+17075281548,$,4.0,296,[],https://www.yelp.com/biz/noodle-palace-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
goji-kitchen-santa-rosa,"['asianfusion', 'chinese', 'vietnamese']","['Asian Fusion', 'Chinese', 'Vietnamese']",38.4592157222474,-122.718212207407,(707) 523-3888,66752.23137651446,3tbjaTYxYNcSoes7ddG0SA,https://s3-media2.fl.yelpcdn.com/bphoto/QFVCQ-Y9pu8EHTTtF_dZ5w/o.jpg,1965 Mendocino Ave,,,Santa Rosa,US,CA,95403,Goji Kitchen,+17075233888,$$,4.0,497,[],https://www.yelp.com/biz/goji-kitchen-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
