alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-and-grill-international-spring-valley,"['vietnamese', 'salad', 'bbq']","['Vietnamese', 'Salad', 'Barbeque']",32.7482490539551,-116.989814758301,(619) 825-8585,77228.76454628966,7JH-O_Btf_3cI5-7ibsbgw,https://s3-media2.fl.yelpcdn.com/bphoto/oXOHPySzOglrfOZXk3j0-Q/o.jpg,9610 Campo Rd,,,Spring Valley,US,CA,91977,Pho & Grill International,+16198258585,$,4.5,327,[],https://www.yelp.com/biz/pho-and-grill-international-spring-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-88-tijuana-2,"['vietnamese', 'asianfusion', 'breakfast_brunch']","['Vietnamese', 'Asian Fusion', 'Breakfast & Brunch']",32.5010916,-116.8895735,+52 664 629 5904,68333.13180622231,_argpRWYd_feTHShxG-0FQ,https://s3-media1.fl.yelpcdn.com/bphoto/6Y36d9ddP44rRLfoCjMOuA/o.jpg,Blvd. Francisco Javier Mina 11612,Col. Mariano Matamoros,,Tijuana,MX,BCN,22234,Pho 88,+526646295904,$,5.0,5,[],https://www.yelp.com/biz/pho-88-tijuana-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-van-santee-3,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",32.83584,-116.98434,(619) 631-7878,78928.57248461655,wSxfswqmKeWi8O2xdHAZOQ,https://s3-media4.fl.yelpcdn.com/bphoto/AVwQCzmIHYlSWKaUvuyMgg/o.jpg,8790 Cuyamaca St,,,Santee,US,CA,92071,Pho Van,+16196317878,$$,4.5,97,[],https://www.yelp.com/biz/pho-van-santee-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ca-dao-and-grill-santee,['vietnamese'],['Vietnamese'],32.8382725,-116.9900866,(619) 334-1990,79528.56751913352,pufcWXqe0Io9iddLEdK4NA,https://s3-media2.fl.yelpcdn.com/bphoto/z4-YZRHeHMCxToG5nikegw/o.jpg,9535 Mission Gorge Rd,Ste A,,Santee,US,CA,92071,Pho Ca Dao & Grill,+16193341990,$,4.0,555,[],https://www.yelp.com/biz/pho-ca-dao-and-grill-santee?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho8-mariano-matamoros-centro,['vietnamese'],['Vietnamese'],32.5135994,-116.8840637,,68317.66180953811,Cp75-gQGquhE3A4z5iQQ2w,,Av. Francisco Jose Mina,Col. Mariano Matamoros,,Mariano Matamoros (Centro),MX,BCN,22203,Pho8,,,5.0,1,[],https://www.yelp.com/biz/pho8-mariano-matamoros-centro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-olala-spring-valley,['vietnamese'],['Vietnamese'],32.74725,-116.98675,(619) 337-2334,76928.29449053867,h3JSKSYm253CdQDroA8Jdw,https://s3-media1.fl.yelpcdn.com/bphoto/_FcWn2VCo9DMNI4r2g022Q/o.jpg,9735 Campo Rd,Ste 250,,Spring Valley,US,CA,91977,Pho Olala,+16193372334,$,4.5,143,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-olala-spring-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hiep-grill-chula-vista,"['vietnamese', 'bars']","['Vietnamese', 'Bars']",32.65282,-116.969647,(619) 482-9888,74294.0121212937,tgol6dxDHnhnrPiETGoT8Q,https://s3-media3.fl.yelpcdn.com/bphoto/pxY4GofUBwtoNlemf6NPFw/o.jpg,872 Eastlake Pkwy,Ste 310,,Chula Vista,US,CA,91914,Pho Hiep Grill,+16194829888,$$,3.5,486,[],https://www.yelp.com/biz/pho-hiep-grill-chula-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-minh-and-grill-spring-valley-2,['vietnamese'],['Vietnamese'],32.72624,-116.96907,(619) 660-9980,74938.03672470582,i1FxLqOkRKZ4biIR-EYMTw,https://s3-media2.fl.yelpcdn.com/bphoto/HUzmaRwsSXCnuJQjwDhq5Q/o.jpg,2615 Sweetwater Springs Blvd,Ste A,,Spring Valley,US,CA,91978,Pho Minh & Grill,+16196609980,$,4.5,171,[],https://www.yelp.com/biz/pho-minh-and-grill-spring-valley-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-convoy-noodle-house-chula-vista,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",32.6420308217196,-116.992450610312,(619) 216-1988,76402.34902785618,iElF-0cGQeSrHOhjaqnUXQ,https://s3-media1.fl.yelpcdn.com/bphoto/aHOakfONQTm31xv41NUBWQ/o.jpg,945 Otay Lakes Rd,,,Chula Vista,US,CA,91913,Pho Convoy Noodle House,+16192161988,$,3.5,275,['pickup'],https://www.yelp.com/biz/pho-convoy-noodle-house-chula-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-bay-el-centro,"['noodles', 'sushi', 'ramen']","['Noodles', 'Sushi Bars', 'Ramen']",32.79253,-115.53665,(760) 337-9105,62550.28866311823,M4PHGRzjAfQ37dRiJ7XX9g,https://s3-media1.fl.yelpcdn.com/bphoto/z_3YWHxdl8WU017Ya31lhA/o.jpg,445 E Main St,,,El Centro,US,CA,92243,Pho Bay,+17603379105,,3.5,11,[],https://www.yelp.com/biz/pho-bay-el-centro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-superbowl-el-cajon-2,['vietnamese'],['Vietnamese'],32.79925,-116.93587,(619) 401-0906,73541.91898469251,mtsXCkFqr3erAkRiM7vG5A,https://s3-media3.fl.yelpcdn.com/bphoto/6fOlO9Iq6jTFQl8srO8O0g/o.jpg,382 N 2nd St,,,El Cajon,US,CA,92021,Pho Superbowl,+16194010906,$,3.5,234,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-superbowl-el-cajon-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-vietnamese-sandwiches-and-cafe-lakeside,"['foodstands', 'sandwiches', 'vietnamese']","['Food Stands', 'Sandwiches', 'Vietnamese']",32.9334869,-116.8694763,,73710.1999336389,9WJ-xqJHBPgYOrhapnmfmQ,https://s3-media1.fl.yelpcdn.com/bphoto/i4ITtf8YDt5h649AuIcDmA/o.jpg,1932 Wildcat Canyon Rd,,,Lakeside,US,CA,92040,Banh Mi Vietnamese Sandwiches & Cafe,,$,4.0,14,[],https://www.yelp.com/biz/banh-mi-vietnamese-sandwiches-and-cafe-lakeside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vietnam-tijuana,['vietnamese'],['Vietnamese'],32.4720599,-116.9178579,,71660.44503273704,s0bjCkxUFga5Vt4efqdxEA,https://s3-media2.fl.yelpcdn.com/bphoto/EB0QrDaEy-r7kwJIJTLbzw/o.jpg,Av. de los Insurgentes 18015,,,Tijuana,MX,BCN,22000,Pho Vietnam,,,3.5,3,[],https://www.yelp.com/biz/pho-vietnam-tijuana?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
