alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
tamarine-restaurant-palo-alto,"['vietnamese', 'cocktailbars']","['Vietnamese', 'Cocktail Bars']",37.44881,-122.15833,(650) 325-8500,8196.827404752597,_mkNOTiQ-kbc1kJHo9RoVA,https://s3-media3.fl.yelpcdn.com/bphoto/u6KX5WLtw23IMcIJgOSSCw/o.jpg,546 University Ave,,,Palo Alto,US,CA,94301,Tamarine Restaurant,+16503258500,$$$,4.0,1724,['restaurant_reservation'],https://www.yelp.com/biz/tamarine-restaurant-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-pho-cabin-los-altos,['vietnamese'],['Vietnamese'],37.37982,-122.11661,(650) 917-1328,8259.664958613077,SD_dIrEiEfCbQwgaFlpboA,https://s3-media2.fl.yelpcdn.com/bphoto/NXXa6GeLuUZzFM3A3ZI03Q/o.jpg,200 State St,,,Los Altos,US,CA,94022,The Pho Cabin,+16509171328,,5.0,2,[],https://www.yelp.com/biz/the-pho-cabin-los-altos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vi-hoa-los-altos,['vietnamese'],['Vietnamese'],37.4012479144698,-122.114712449361,(650) 947-1290,8516.352225799066,9fdAaPB4kn8YdXQNnotDwg,https://s3-media2.fl.yelpcdn.com/bphoto/wdiBeJO_0bqD2pSssM86sQ/o.jpg,4546 El Camino Real,,,Los Altos,US,CA,94022,Pho Vi Hoa,+16509471290,$$,3.5,1069,['pickup'],https://www.yelp.com/biz/pho-vi-hoa-los-altos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-avenue-mountain-view-3,['vietnamese'],['Vietnamese'],37.399859,-122.110148,(650) 935-2183,8887.746427482281,U3ukL51IXke-5PbpK-IP5w,https://s3-media3.fl.yelpcdn.com/bphoto/qkrXtHCW9EmukmZ4EttJnQ/o.jpg,2500 W El Camino Real,Ste B,,Mountain View,US,CA,94040,Pho Avenue,+16509352183,$$,3.5,376,[],https://www.yelp.com/biz/pho-avenue-mountain-view-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-banh-mi-palo-alto,"['vietnamese', 'sandwiches', 'juicebars']","['Vietnamese', 'Sandwiches', 'Juice Bars & Smoothies']",37.44738,-122.16053,,7958.836489901661,lWn5dNLflRtK6wBujGxvBg,https://s3-media3.fl.yelpcdn.com/bphoto/IasDqmRPphIYIC5cx68Mkg/o.jpg,405 University Ave,,,Palo Alto,US,CA,94301,Pho Banh Mi,,,3.5,38,[],https://www.yelp.com/biz/pho-banh-mi-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-truong-long-redwood-city,['vietnamese'],['Vietnamese'],37.4671015,-122.2242738,(650) 369-3767,8969.624214745085,NJcPAZclp6UJ5tjxLaYoFQ,https://s3-media4.fl.yelpcdn.com/bphoto/Snb0SmSzZ9q7SlEjG0tvoQ/o.jpg,756 Woodside Rd,,,Redwood City,US,CA,94061,Pho Truong Long,+16503693767,$,3.0,220,[],https://www.yelp.com/biz/pho-truong-long-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-box-palo-alto,['vietnamese'],['Vietnamese'],37.4386936461213,-122.159828139907,(650) 391-9305,7202.034609818579,huHxwjbkyEf1nTam-o2BOQ,https://s3-media1.fl.yelpcdn.com/bphoto/lvgg0oXHofq8tdF93ftTAA/o.jpg,855 El Camino Real,,,Palo Alto,US,CA,94301,Asian Box,+16503919305,$$,3.5,634,"['pickup', 'delivery']",https://www.yelp.com/biz/asian-box-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
spice-kit-palo-alto,"['vietnamese', 'korean', 'sandwiches']","['Vietnamese', 'Korean', 'Sandwiches']",37.4271584,-122.1445618,(650) 326-1698,7249.964989562965,JNxDAGYXp82fR177cOYMcA,https://s3-media3.fl.yelpcdn.com/bphoto/TfFq6_mylvbhZJmjoWGr5A/o.jpg,340 S California Ave,,,Palo Alto,US,CA,94306,Spice Kit,+16503261698,$,3.5,386,[],https://www.yelp.com/biz/spice-kit-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
indochine-palo-alto-2,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.43314,-122.12958,(650) 853-1238,8719.007529848755,nDGeer4jADHJBZ2FVNIAAA,https://s3-media4.fl.yelpcdn.com/bphoto/sZlcm380DplqgPijceXw0w/o.jpg,2710 Middlefield Rd,,,Palo Alto,US,CA,94306,Indochine,+16508531238,$$,3.5,305,['pickup'],https://www.yelp.com/biz/indochine-palo-alto-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
taro-san-japanese-noodle-bar-palo-alto,"['izakaya', 'noodles']","['Izakaya', 'Noodles']",37.442761,-122.17271083,(650) 815-2700,7074.03178733885,AUktvLJ9j7gANenwNga1fg,https://s3-media4.fl.yelpcdn.com/bphoto/ubCVT2IQPEX8txyF5J9lBA/o.jpg,717 Stanford Shopping Ctr,,,Palo Alto,US,CA,94304,Taro San Japanese Noodle Bar,+16508152700,$$,3.5,261,[],https://www.yelp.com/biz/taro-san-japanese-noodle-bar-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
black-pepper-restaurant-menlo-park,"['asianfusion', 'thai', 'malaysian']","['Asian Fusion', 'Thai', 'Malaysian']",37.45288,-122.18222,(650) 485-2345,7691.05563839145,ZrSkPsN7rslObYRl7cZWzg,https://s3-media3.fl.yelpcdn.com/bphoto/fmUybAUJbRAtXX0Vlmg9Wg/o.jpg,1029 El Camino Real,,,Menlo Park,US,CA,94025,Black Pepper Restaurant,+16504852345,$$,4.0,392,"['restaurant_reservation', 'pickup']",https://www.yelp.com/biz/black-pepper-restaurant-menlo-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ramen-nagi-palo-alto,"['ramen', 'noodles']","['Ramen', 'Noodles']",37.445523,-122.1607073261,,7774.481857244861,vhfPni9pci29SEHrN1OtRg,https://s3-media3.fl.yelpcdn.com/bphoto/gxSfnCdg13rWle8DcjmT6w/o.jpg,541 Bryant St,,,Palo Alto,US,CA,94301,Ramen Nagi,,$$,4.5,1073,[],https://www.yelp.com/biz/ramen-nagi-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chef-chus-los-altos,"['chinese', 'wine_bars', 'cocktailbars']","['Chinese', 'Wine Bars', 'Cocktail Bars']",37.4006,-122.11367,(650) 948-2696,8593.32494258266,ZimdCe2xCAOOZjt1aQAMvg,https://s3-media2.fl.yelpcdn.com/bphoto/8Ne4RN6pc5NN-w2PRx2KMA/o.jpg,1067 N San Antonio Rd,,,Los Altos,US,CA,94022,Chef Chu's,+16509482696,$$,4.0,1613,[],https://www.yelp.com/biz/chef-chus-los-altos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
