alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-4-queen-san-marcos,"['vietnamese', 'chinese', 'soup']","['Vietnamese', 'Chinese', 'Soup']",33.1471976,-117.1995141,(760) 471-2572,1457.3963322843724,wGJJi6enDpzj1WzVsmhrug,https://s3-media3.fl.yelpcdn.com/bphoto/hvYgne1ht21MR6HSy1VSYA/o.jpg,159 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Pho 4 Queen,+17604712572,$,4.0,194,['pickup'],https://www.yelp.com/biz/pho-4-queen-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chefs-pho-and-grill-san-marcos,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.1292519178723,-117.165098078549,(760) 744-6789,2655.9457900448656,Bjb3E8L8qAcD6SKR2yyxHg,https://s3-media3.fl.yelpcdn.com/bphoto/QOY8OreLPyUefjiQS1e7RQ/o.jpg,324 S Twin Oaks Valley Rd,Ste 130,,San Marcos,US,CA,92078,Chef's Pho & Grill,+17607446789,$$,4.0,295,[],https://www.yelp.com/biz/chefs-pho-and-grill-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-san-marcos-san-marcos-2,"['vietnamese', 'sandwiches', 'soup']","['Vietnamese', 'Sandwiches', 'Soup']",33.1328075623869,-117.207942008972,(760) 599-0177,1417.7421757494126,OL3IptoQz-ONWsUFzVAZJw,https://s3-media3.fl.yelpcdn.com/bphoto/BPHgA-ZAIivTsP8zrbroBg/o.jpg,706 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Banh Mi San Marcos,+17605990177,$,4.0,325,[],https://www.yelp.com/biz/banh-mi-san-marcos-san-marcos-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-truc-xanh-escondido,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",33.127895,-117.091797,(760) 489-8201,9442.08743039464,R0Zgcp0PZfOaXh-PEa9Mng,https://s3-media3.fl.yelpcdn.com/bphoto/c6UFjfcuUIGzpvzkItBotQ/o.jpg,503 W Mission Ave,,,Escondido,US,CA,92025,Pho Truc Xanh,+17604898201,$,4.5,1011,[],https://www.yelp.com/biz/pho-truc-xanh-escondido?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-san-marcos-san-marcos,['vietnamese'],['Vietnamese'],33.1328255311659,-117.207877635956,(760) 599-0973,1411.5212338753322,AhZR7jf8J3-NDuP4f1HupQ,https://s3-media1.fl.yelpcdn.com/bphoto/ckxL-9slBDsWFNI2VRA_4g/o.jpg,700 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Pho San Marcos,+17605990973,$,3.5,322,[],https://www.yelp.com/biz/pho-san-marcos-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-vista,['vietnamese'],['Vietnamese'],33.163441125254,-117.219588403705,(760) 727-2738,4052.307596625963,c_LAUYCPgt9J62EH69E26g,https://s3-media2.fl.yelpcdn.com/bphoto/2xD6sohoUyYFMALLdAfzvQ/o.jpg,770 Sycamore Ave,,,Vista,US,CA,92083,Pho Lucky,+17607272738,$,4.0,335,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-lucky-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ever-vista-4,['vietnamese'],['Vietnamese'],33.188533782959,-117.254333496094,(760) 630-3837,8286.179366554583,wUJnAuPUjwOK-9gnhdK_nw,https://s3-media4.fl.yelpcdn.com/bphoto/6_0pLGUEThdzzAYUfXqexg/o.jpg,485 S Melrose Dr,Ste 106,,Vista,US,CA,92081,Pho-Ever,+17606303837,$,4.0,753,[],https://www.yelp.com/biz/pho-ever-vista-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tasty-pho-vista,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",33.1866226196289,-117.224250793457,(760) 631-5900,6500.833551193113,WWjIcLS6-q5g9ceS_YRuvw,https://s3-media2.fl.yelpcdn.com/bphoto/sSgF4FbFnmYDohBfv_T_lg/o.jpg,1250 S Santa Fe Ave,Ste K,,Vista,US,CA,92084,Tasty Pho,+17606315900,$,4.5,161,[],https://www.yelp.com/biz/tasty-pho-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-guys-vista,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",33.1862970543714,-117.281164032102,(760) 560-7257,10024.868291413144,Oeh6x7EZJWw7dpezf1tEOg,https://s3-media2.fl.yelpcdn.com/bphoto/XL94utqXIeuineW-QtHbEA/o.jpg,1876 Hacienda Dr,,,Vista,US,CA,92081,Pho Guys,+17605607257,$,5.0,394,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-guys-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-kitchen-oceanside-2,['vietnamese'],['Vietnamese'],33.2058763612272,-117.28825673461,(760) 295-5445,11895.63187088388,PmKT6_qos-hcis5IL89X3A,https://s3-media1.fl.yelpcdn.com/bphoto/t5N0Gv3slh2J038yTRFjKw/o.jpg,4121 Oceanside Blvd,,,Oceanside,US,CA,92056,Pho Kitchen,+17602955445,$$,4.5,348,[],https://www.yelp.com/biz/pho-kitchen-oceanside-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-time-san-marcos-3,['vietnamese'],['Vietnamese'],33.13718,-117.1306,(760) 796-4842,5817.418997580237,uFInrLxUkNz6hC4KqYw6Nw,https://s3-media2.fl.yelpcdn.com/bphoto/3lQWFj0pkdtiPm31_SHAXg/o.jpg,1252 E Mission Rd,,,San Marcos,US,CA,92069,Pho Time,+17607964842,$,4.5,50,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-time-san-marcos-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nd-banh-mi-oceanside-2,"['bubbletea', 'bakeries', 'vietnamese']","['Bubble Tea', 'Bakeries', 'Vietnamese']",33.2078605151782,-117.286571636796,(760) 726-4650,11928.407914200014,2Mwu0pGf7MXCJPHz4SsAAQ,https://s3-media2.fl.yelpcdn.com/bphoto/iW10cNe9Qgq-iRSM1mAojA/o.jpg,4160 Oceanside Blvd,Ste 169,,Oceanside,US,CA,92056,ND Banh Mi,+17607264650,$,4.5,297,[],https://www.yelp.com/biz/nd-banh-mi-oceanside-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yummy-pho-oceanside,['vietnamese'],['Vietnamese'],33.207439,-117.2833753,(760) 631-1800,11634.856629292,YA9ZXK3bKU5ouA7tLRpAnQ,https://s3-media2.fl.yelpcdn.com/bphoto/JJbawnSa63JOABZjeRiiHQ/o.jpg,4225 Oceanside Blvd,Ste W,,Oceanside,US,CA,92056,Yummy Pho,+17606311800,$,4.0,312,[],https://www.yelp.com/biz/yummy-pho-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-house-and-grill-carlsbad-2,['vietnamese'],['Vietnamese'],33.13105,-117.26056,(760) 814-2711,6316.279981725031,E_7aL7hgLrR9YhMUDv-JjQ,https://s3-media3.fl.yelpcdn.com/bphoto/jlSgGZGPhPthJBD2RsGEDA/o.jpg,2708 Loker Ave W,Ste B107,,Carlsbad,US,CA,92010,Pho House & Grill,+17608142711,$,3.5,89,[],https://www.yelp.com/biz/pho-house-and-grill-carlsbad-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
i-love-pho-oceanside,['vietnamese'],['Vietnamese'],33.181416,-117.293098,(760) 630-8889,10672.716644787615,-JYENhetvaP0bS0-4LmIyQ,https://s3-media4.fl.yelpcdn.com/bphoto/C-ltUEUZ1JMIpTFNqJsyQA/o.jpg,3809 Plaza Dr,,,Oceanside,US,CA,92056,I Love Pho,+17606308889,$,3.5,337,[],https://www.yelp.com/biz/i-love-pho-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mr-pho-oceanside,['vietnamese'],['Vietnamese'],33.2167206,-117.2717285,(760) 940-1306,11699.690961877264,t6u3bXS9Vj8TmVTur6OblQ,https://s3-media4.fl.yelpcdn.com/bphoto/PWB5tw5yqJapoI5HCUFAKw/o.jpg,4750 Oceanside Blvd,,,Oceanside,US,CA,92056,Mr Pho,+17609401306,$,4.0,301,[],https://www.yelp.com/biz/mr-pho-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
king-and-i-of-san-marcos-san-marcos,['thai'],['Thai'],33.1345521822605,-117.190563161971,(760) 744-1008,215.9786609400906,JUBqRwODujQr1elKhzfhBw,https://s3-media2.fl.yelpcdn.com/bphoto/76FzSG9nQyXo84NHK0Ywtg/o.jpg,1020 W San Marcos Blvd,Ste 164,,San Marcos,US,CA,92078,King and I of San Marcos,+17607441008,$$,3.5,216,"['delivery', 'pickup']",https://www.yelp.com/biz/king-and-i-of-san-marcos-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
panda-garden-san-marcos,['chinese'],['Chinese'],33.132276,-117.209051,(760) 727-2322,1529.1377649671963,kE90EEmscN5FPma9GlD0og,https://s3-media3.fl.yelpcdn.com/bphoto/Y-47TAyg584YFYkIDC65xA/o.jpg,742 Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Panda Garden,+17607272322,$$,4.0,415,[],https://www.yelp.com/biz/panda-garden-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ahi-sushi-and-grill-san-marcos,"['sushi', 'desserts', 'noodles']","['Sushi Bars', 'Desserts', 'Noodles']",33.1405499572154,-117.163243383975,(760) 761-0238,2835.8621271149027,BCIQLTtHlweGgT7suUKXrQ,https://s3-media4.fl.yelpcdn.com/bphoto/9l2I-CnNoCuC_Cprs1XaFA/o.jpg,157 N Twin Oaks Valley Rd,,,San Marcos,US,CA,92069,Ahi Sushi & Grill,+17607610238,$$,3.5,298,[],https://www.yelp.com/biz/ahi-sushi-and-grill-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kinaly-thai-restaurant-san-marcos,['thai'],['Thai'],33.1376203909295,-117.131729375937,(760) 480-9113,5703.187376249436,Bqm-yiCCf6Y8w6wny3RjcA,https://s3-media4.fl.yelpcdn.com/bphoto/SJn2BTIYVQKAKWEOU5FpQg/o.jpg,1220 E Mission Rd,,,San Marcos,US,CA,92069,Kinaly Thai Restaurant,+17604809113,$,4.0,785,"['delivery', 'pickup']",https://www.yelp.com/biz/kinaly-thai-restaurant-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
philly-franks-steaks-san-marcos,"['sandwiches', 'cheesesteaks']","['Sandwiches', 'Cheesesteaks']",33.1474689311828,-117.198903147218,(760) 591-0145,1530.1664634822416,-d7PgJbhSWmivdAFZfPD1A,https://s3-media4.fl.yelpcdn.com/bphoto/PnjyHcuhJaMPwQPT_vnYqw/o.jpg,151 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Philly Frank's Steaks,+17605910145,$$,4.5,637,"['delivery', 'pickup']",https://www.yelp.com/biz/philly-franks-steaks-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
muay-thai-kitchen-san-marcos-2,['thai'],['Thai'],33.1343694,-117.1198109,(760) 975-3232,6863.718795571682,u6DBNDmKxOZxCJpzEOJ3ng,https://s3-media3.fl.yelpcdn.com/bphoto/1vfQAxXaIxvkm6UQ0XN9yA/o.jpg,740 Nordahl Rd,Ste 118,,San Marcos,US,CA,92069,Muay Thai Kitchen,+17609753232,$$,4.5,294,"['delivery', 'pickup']",https://www.yelp.com/biz/muay-thai-kitchen-san-marcos-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tnl-boba-tea-oceanside,"['bubbletea', 'juicebars']","['Bubble Tea', 'Juice Bars & Smoothies']",33.1818085,-117.290947,(760) 630-4136,10501.46228640549,43kVLowF--UD37libguwLA,https://s3-media2.fl.yelpcdn.com/bphoto/eInHxNSVhc1Qijs1PkkpFA/o.jpg,3829 Plaza Dr,Ste 605,,Oceanside,US,CA,92056,TNL Boba Tea,+17606304136,$,4.0,283,[],https://www.yelp.com/biz/tnl-boba-tea-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sun-hing-buffet-vista,"['buffets', 'chinese']","['Buffets', 'Chinese']",33.1846508919716,-117.282936562427,(760) 806-3586,10058.339686468673,AWQB--GdK2KHNwej0-F2bA,https://s3-media3.fl.yelpcdn.com/bphoto/ZWWg3o2sl180SSMWlHJK9A/o.jpg,1960 Hacienda Dr,,,Vista,US,CA,92081,Sun Hing Buffet,+17608063586,$$,3.0,174,[],https://www.yelp.com/biz/sun-hing-buffet-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
urbane-cafe-encinitas,"['sandwiches', 'salad', 'newamerican']","['Sandwiches', 'Salad', 'American (New)']",33.065783,-117.265282,(760) 452-4255,10201.367675499117,MnQOZju4avKsZAoazYloAQ,https://s3-media1.fl.yelpcdn.com/bphoto/s_pOhxgvPE_7jx41AC2JBw/o.jpg,1042 N El Camino Real,,,Encinitas,US,CA,92024,Urbane Cafe,+17604524255,$$,4.5,154,['delivery'],https://www.yelp.com/biz/urbane-cafe-encinitas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-garden-oceanside,['thai'],['Thai'],33.2167206,-117.2717285,(760) 940-1009,11699.690961877264,K_ZJlYNkzUhzGh0cd60XHw,https://s3-media1.fl.yelpcdn.com/bphoto/S-cBWnHAaAEq35oI8JJ6bA/o.jpg,4750 Oceanside Blvd,,,Oceanside,US,CA,92056,Thai Garden,+17609401009,$$,4.0,283,[],https://www.yelp.com/biz/thai-garden-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pan-asia-buffet-san-marcos,"['buffets', 'sushi', 'panasian']","['Buffets', 'Sushi Bars', 'Pan Asian']",33.133185,-117.122313,(760) 796-7708,6572.718893909749,NKzp6LMyD1hzjI4Zv9W61A,https://s3-media3.fl.yelpcdn.com/bphoto/7JEgdmJWf6PJVYwwu2W1WQ/o.jpg,707 Center Dr,,,San Marcos,US,CA,92069,Pan Asia Buffet,+17607967708,$$,3.5,494,[],https://www.yelp.com/biz/pan-asia-buffet-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-one-on-vista,"['thai', 'cocktailbars', 'seafood']","['Thai', 'Cocktail Bars', 'Seafood']",33.18853,-117.25433,(760) 643-1688,8286.179366554583,d_yH5eKEQQTwsfYS9O7V4g,https://s3-media1.fl.yelpcdn.com/bphoto/dbWdvB6ICG4cDaZ8G7cY0A/o.jpg,485 S Melrose Dr,,,Vista,US,CA,92081,Thai One On,+17606431688,$$,4.0,573,[],https://www.yelp.com/biz/thai-one-on-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
board-and-brew-carlsbad-bressi-ranch-carlsbad,"['sandwiches', 'beerbar', 'cafes']","['Sandwiches', 'Beer Bar', 'Cafes']",33.1274036,-117.2526507,(760) 929-2739,5624.064092456336,gJzoi-QJ9d1LZGoaTpBRFQ,https://s3-media3.fl.yelpcdn.com/bphoto/mEivmuguEI3u-F7HMDuYBw/o.jpg,2681 Gateway Rd,Ste 103,,Carlsbad,US,CA,92009,Board & Brew - Carlsbad Bressi Ranch,+17609292739,$,4.0,527,['pickup'],https://www.yelp.com/biz/board-and-brew-carlsbad-bressi-ranch-carlsbad?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pei-wei-encinitas,"['chinese', 'gluten_free', 'asianfusion']","['Chinese', 'Gluten-Free', 'Asian Fusion']",33.068531036377,-117.265289306641,(760) 635-2888,9990.80194096321,0wN1Iz1pGQ5IBEGeAtWCEA,https://s3-media3.fl.yelpcdn.com/bphoto/k7AnLU2_bOnIFdcL-DDFgw/o.jpg,1560-A Leucadia Blvd,,,Encinitas,US,CA,92024,Pei Wei,+17606352888,$,3.0,170,"['delivery', 'pickup']",https://www.yelp.com/biz/pei-wei-encinitas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oh-juice-cafe-encinitas-2,"['vegan', 'cafes', 'juicebars']","['Vegan', 'Cafes', 'Juice Bars & Smoothies']",33.04938,-117.29461,(760) 237-8977,13406.515060927917,9BEMQU0eAsfHJcKkRnKYDA,https://s3-media3.fl.yelpcdn.com/bphoto/QgoJN04C6DA1TkQaQPnrug/o.jpg,90 N Coast Hwy 101,Ste 212,,Encinitas,US,CA,92024,OH! Juice Cafe,+17602378977,$$,5.0,93,"['delivery', 'pickup']",https://www.yelp.com/biz/oh-juice-cafe-encinitas-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-rendez-vous-french-bakery-oceanside,"['bakeries', 'coffee', 'sandwiches']","['Bakeries', 'Coffee & Tea', 'Sandwiches']",33.2073504,-117.2835798,(760) 414-9109,11634.856629292,Qv2EtLhMJc5mUTx29bCNnw,https://s3-media4.fl.yelpcdn.com/bphoto/buJX2Z_KaQdaUL-7OGIrLg/o.jpg,4225 Oceanside Blvd,Ste Q,,Oceanside,US,CA,92056,Le Rendez-Vous French Bakery,+17604149109,$$,3.5,165,[],https://www.yelp.com/biz/le-rendez-vous-french-bakery-oceanside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
johnnys-rutherford-cafe-carlsbad,"['sandwiches', 'salad', 'juicebars']","['Sandwiches', 'Salad', 'Juice Bars & Smoothies']",33.1326195945097,-117.274938143868,(760) 431-1918,7644.291560777032,VJ1SApFSPC8D5J_9gt6tdw,https://s3-media3.fl.yelpcdn.com/bphoto/ljzZeh5WqJPw7vD1NOkeTg/o.jpg,2262 Rutherford Rd,Ste 102,,Carlsbad,US,CA,92008,Johnny's Rutherford Cafe,+17604311918,$,4.0,104,"['delivery', 'pickup']",https://www.yelp.com/biz/johnnys-rutherford-cafe-carlsbad?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
