alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
lotus-island-vietnamese-eatery-mississauga,['vietnamese'],['Vietnamese'],43.5849609,-79.5508804,+1 905-990-3689,1464.2366889457114,K4IQqHNtW_dYG6NmR_1FSQ,https://s3-media4.fl.yelpcdn.com/bphoto/0MSLss1GKuNQk1b6lfY3jw/o.jpg,1381 Lakeshore Road East,Unit 1,,Mississauga,CA,ON,L5E,Lotus Island Vietnamese Eatery,+19059903689,$$,4.5,27,[],https://www.yelp.com/biz/lotus-island-vietnamese-eatery-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dai-bi-chay-mississauga,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",43.59098,-79.59374,+1 905-306-9888,2125.1412177942398,qZv4u9T-9dxlwb4V2vz9vQ,https://s3-media1.fl.yelpcdn.com/bphoto/6OEdAhd3SqE55n8BMDHrsQ/o.jpg,100-2399 Cawthra Road,,,Mississauga,CA,ON,L5A 2W9,Dai Bi Chay,+19053069888,$,4.5,31,[],https://www.yelp.com/biz/dai-bi-chay-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-com-99-mississauga-2,['vietnamese'],['Vietnamese'],43.610725,-79.587196,+1 905-949-8899,3245.9432135688626,Jlzq2ZHgk1NIlHZ4F6o9hQ,https://s3-media2.fl.yelpcdn.com/bphoto/X0PF_B6Usqn-t7pLJqMPig/o.jpg,3100 Dixie Road,,,Mississauga,CA,ON,L4Y 2A6,Pho Com 99,+19059498899,$,4.0,37,[],https://www.yelp.com/biz/pho-com-99-mississauga-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dong-gia-toronto,"['vietnamese', 'thai', 'halal']","['Vietnamese', 'Thai', 'Halal']",43.5984176239817,-79.544101320962,+1 647-996-5744,2535.8791908905328,jd2jM22n-2DaIqlqVitUbw,https://s3-media2.fl.yelpcdn.com/bphoto/JOW4vTd4Js1vqgHCguNEvg/o.jpg,256 Brown's Line,,,Toronto,CA,ON,M8W 3S2,Dong Gia,+16479965744,$$,4.0,22,[],https://www.yelp.com/biz/dong-gia-toronto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mi-binh-minh-mississauga,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",43.5956707152605,-79.6039429306984,+1 905-281-7177,3058.5648189538515,5bOlLUR68LjcsNmq1m-3Eg,https://s3-media2.fl.yelpcdn.com/bphoto/eFTwK_8odQP3K6jsoiSoPQ/o.jpg,680 Silver Creek Boulevard,,,Mississauga,CA,ON,L5A 3K7,Pho Mi Binh Minh,+19052817177,$$,4.0,18,[],https://www.yelp.com/biz/pho-mi-binh-minh-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
i-love-pho-mississauga-2,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",43.6056913417408,-79.5856039971113,+1 905-566-8898,2691.4386584744543,nyB4nkT993gq0Lw8sWWwGg,https://s3-media1.fl.yelpcdn.com/bphoto/xqRzyP9bHUvUn25Hj4Syvw/o.jpg,1248 Dundas Street E,,,Mississauga,CA,ON,L4Y 2C1,I Love Pho,+19055668898,$,3.5,54,[],https://www.yelp.com/biz/i-love-pho-mississauga-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-queen-city-mississauga,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",43.582317,-79.618942,+1 905-615-8288,4017.2434223072178,YAkGt01m776IpZ7KFdnQDw,https://s3-media2.fl.yelpcdn.com/bphoto/5BaJ9lO6ylqw2ogJrael4Q/o.jpg,3085 Hurontario Street,Suite 13,,Mississauga,CA,ON,L5A 4E4,Pho Queen City,+19056158288,$,4.0,69,[],https://www.yelp.com/biz/pho-queen-city-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-black-bull-mississauga,['vietnamese'],['Vietnamese'],43.59856,-79.59524,+1 905-207-9999,2522.9916041995357,nc-FnVrj_z2yaeZe9IE1_Q,https://s3-media2.fl.yelpcdn.com/bphoto/kv15IKJYDyQyfgzF6GUL4Q/o.jpg,888 Dundas street E unit A2,,,Mississauga,CA,ON,L4Y 4G6,Pho Black Bull,+19052079999,$$,4.0,10,[],https://www.yelp.com/biz/pho-black-bull-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-noi-54-mississauga,['vietnamese'],['Vietnamese'],43.57954,-79.61463,+1 905-276-7745,3705.5289253700507,rU6IWA-O6A6hUVAXe4tBTA,https://s3-media1.fl.yelpcdn.com/bphoto/HRAFTg2dsOIBtcnqriblQA/o.jpg,2541 Hurontario Street,,,Mississauga,CA,ON,L5A 2G4,Pho Ha Noi 54,+19052767745,$,4.0,13,[],https://www.yelp.com/biz/pho-ha-noi-54-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-brothers-mississauga,['vietnamese'],['Vietnamese'],43.60903,-79.58203,+1 289-521-8887,2896.9881755138094,ek-xgr_T3llhr0ouJjiNRw,https://s3-media1.fl.yelpcdn.com/bphoto/VO9yZ3gfqX8JywQI90Vhwg/o.jpg,2555 Dixie Road,Unit 15,,Mississauga,CA,ON,L4Y 4C4,Pho Brothers,+12895218887,,4.0,22,[],https://www.yelp.com/biz/pho-brothers-mississauga?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
