alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-dish-lawndale,['vietnamese'],['Vietnamese'],33.88797,-118.35333,(310) 676-8778,5593.968725665106,UzNleZOK6h30rDjCikT9_w,https://s3-media2.fl.yelpcdn.com/bphoto/d01vENvaNRiX0YqVnkOhYQ/o.jpg,15725 Hawthorne Blvd,Ste 108,,Lawndale,US,CA,90260,Saigon Dish,+13106768778,$,4.5,1608,[],https://www.yelp.com/biz/saigon-dish-lawndale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnamese-pho-hawthorne,['vietnamese'],['Vietnamese'],33.9027245981685,-118.361608721316,(424) 675-4596,3977.3270418546763,W40VssrCR44M99HifH9I1Q,https://s3-media1.fl.yelpcdn.com/bphoto/Iohvd6YEKTFY0gIjDFIKhw/o.jpg,14201 Inglewood Ave,,,Hawthorne,US,CA,90250,Vietnamese Pho,+14246754596,$,4.0,208,[],https://www.yelp.com/biz/vietnamese-pho-hawthorne?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hue-oi-redondo-beach-4,"['vietnamese', 'soup', 'bubbletea']","['Vietnamese', 'Soup', 'Bubble Tea']",33.8939311556032,-118.361892984811,(310) 263-1123,4953.181723856531,x-3F82WtBq0SQi8kC_3Umw,https://s3-media3.fl.yelpcdn.com/bphoto/sNHTtDolqKsw48TtfsxHHw/o.jpg,4051 Inglewood Ave,Ste 101,,Redondo Beach,US,CA,90278,Pho Hue Oi,+13102631123,$$,4.0,221,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-hue-oi-redondo-beach-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ever-restaurant-gardena,"['vietnamese', 'sandwiches', 'desserts']","['Vietnamese', 'Sandwiches', 'Desserts']",33.9014435043202,-118.319028317929,(310) 217-9262,5402.4424492148,BE9n1NGLQGoz9bBOgi0b7g,https://s3-media4.fl.yelpcdn.com/bphoto/d2ZKwsYTRccLxnfbhaIBPg/o.jpg,2228 W Rosecrans Ave,,,Gardena,US,CA,90249,Pho Ever Restaurant,+13102179262,$,4.0,954,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-ever-restaurant-gardena?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-house-lawndale,"['vietnamese', 'seafood', 'noodles']","['Vietnamese', 'Seafood', 'Noodles']",33.8890285652639,-118.353286880309,(310) 679-4868,5490.847006799615,CRPe_mBSfsfP-FbxhawaOA,https://s3-media2.fl.yelpcdn.com/bphoto/ANOaXxteLMBn-esW-QVzuA/o.jpg,15651 Hawthorne Blvd,Ste E F,,Lawndale,US,CA,90260,Pho House,+13106794868,$,4.5,358,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-house-lawndale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-vi-restaurant-lawndale,['vietnamese'],['Vietnamese'],33.8936076,-118.3437151,(310) 978-8999,5095.479206719941,T9vtzMhrHpkpRJXWKiMV1w,https://s3-media4.fl.yelpcdn.com/bphoto/88rnNMySGPBgExmCiogZpw/o.jpg,15180 Prairie Ave,,,Lawndale,US,CA,90260,Huong Vi Restaurant,+13109788999,$,4.0,162,[],https://www.yelp.com/biz/huong-vi-restaurant-lawndale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-lai-restaurant-hawthorne,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",33.9026,-118.34413,(310) 973-0819,4144.411393405904,1nr7Sem4geBlD0CbGGpaJA,https://s3-media4.fl.yelpcdn.com/bphoto/XoXIiwHAL70Tz9ORdNwD7Q/o.jpg,14221 Prairie Ave,,,Hawthorne,US,CA,90250,Thai Lai Restaurant,+13109730819,$,4.0,310,[],https://www.yelp.com/biz/thai-lai-restaurant-hawthorne?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-daily-gardena,['vietnamese'],['Vietnamese'],33.8935962,-118.3090251,(310) 630-4915,6669.767645882158,_ja3-3iaKDMObWpALZVgKg,https://s3-media3.fl.yelpcdn.com/bphoto/fB-z-3j8fqoQE95utuurFA/o.jpg,15126 S Western Ave,,,Gardena,US,CA,90249,Pho Daily,+13106304915,$,4.0,489,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-daily-gardena?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-dreams-el-segundo-5,['vietnamese'],['Vietnamese'],33.92129,-118.4163,(310) 648-8278,5760.291345354078,acc8w-Ksd0mgw_btS18VZw,https://s3-media1.fl.yelpcdn.com/bphoto/J-Tif-R2jcSK_AUVKRgMqQ/o.jpg,413 Main St,,,El Segundo,US,CA,90245,Pho Dreams,+13106488278,$$,3.5,185,[],https://www.yelp.com/biz/pho-dreams-el-segundo-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dot-saigon-culver-city,"['vietnamese', 'salad', 'asianfusion']","['Vietnamese', 'Salad', 'Asian Fusion']",33.9862819803511,-118.393279957989,(310) 398-7500,6288.961102922004,0Q41c5yP3NuCFkb-y6c6_Q,https://s3-media1.fl.yelpcdn.com/bphoto/YZoefjW14RjH8GKZ3KTFxw/o.jpg,6000 Sepulveda Blvd,,Westfield Culver City Ctr,Culver City,US,CA,90230,Dot Saigon,+13103987500,$,3.5,225,"['delivery', 'pickup']",https://www.yelp.com/biz/dot-saigon-culver-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
