alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-vi-hoa-los-altos,['vietnamese'],['Vietnamese'],37.4012479144698,-122.114712449361,(650) 947-1290,2752.0406439216067,9fdAaPB4kn8YdXQNnotDwg,https://s3-media2.fl.yelpcdn.com/bphoto/wdiBeJO_0bqD2pSssM86sQ/o.jpg,4546 El Camino Real,,,Los Altos,US,CA,94022,Pho Vi Hoa,+16509471290,$$,3.5,1069,['pickup'],https://www.yelp.com/biz/pho-vi-hoa-los-altos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-pho-cabin-los-altos,['vietnamese'],['Vietnamese'],37.37982,-122.11661,(650) 917-1328,1058.191880868116,SD_dIrEiEfCbQwgaFlpboA,https://s3-media2.fl.yelpcdn.com/bphoto/NXXa6GeLuUZzFM3A3ZI03Q/o.jpg,200 State St,,,Los Altos,US,CA,94022,The Pho Cabin,+16509171328,,5.0,2,[],https://www.yelp.com/biz/the-pho-cabin-los-altos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-to-chau-mountain-view-2,['vietnamese'],['Vietnamese'],37.393913,-122.079711,(650) 961-8069,2859.6959004739247,F-3Kl3tn80fq8aquXdHxHg,https://s3-media2.fl.yelpcdn.com/bphoto/gl49xGq18WjkCvSwOESOlg/o.jpg,853 Villa St,,,Mountain View,US,CA,94041,Pho To Chau,+16509618069,$$,4.0,586,['pickup'],https://www.yelp.com/biz/pho-to-chau-mountain-view-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-avenue-mountain-view-3,['vietnamese'],['Vietnamese'],37.399859,-122.110148,(650) 935-2183,2499.575764310307,U3ukL51IXke-5PbpK-IP5w,https://s3-media3.fl.yelpcdn.com/bphoto/qkrXtHCW9EmukmZ4EttJnQ/o.jpg,2500 W El Camino Real,Ste B,,Mountain View,US,CA,94040,Pho Avenue,+16509352183,$$,3.5,376,[],https://www.yelp.com/biz/pho-avenue-mountain-view-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
green-bakery-and-café-los-altos-11,"['bakeries', 'coffee', 'vietnamese']","['Bakeries', 'Coffee & Tea', 'Vietnamese']",37.360611,-122.096493,(650) 559-0382,2045.857099066244,ODraPQY6gpyWcYPTj5khGQ,https://s3-media1.fl.yelpcdn.com/bphoto/2KRr_lc-UomNI07IeLB9jw/o.jpg,692 Fremont Ave,,,Los Altos,US,CA,94024,Green Bakery & Café,+16505590382,$,4.0,189,"['pickup', 'delivery']",https://www.yelp.com/biz/green-bakery-and-caf%C3%A9-los-altos-11?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tamarine-restaurant-palo-alto,"['vietnamese', 'cocktailbars']","['Vietnamese', 'Cocktail Bars']",37.44881,-122.15833,(650) 325-8500,9214.760551448378,_mkNOTiQ-kbc1kJHo9RoVA,https://s3-media3.fl.yelpcdn.com/bphoto/u6KX5WLtw23IMcIJgOSSCw/o.jpg,546 University Ave,,,Palo Alto,US,CA,94301,Tamarine Restaurant,+16503258500,$$$,4.0,1724,['restaurant_reservation'],https://www.yelp.com/biz/tamarine-restaurant-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
xanh-restaurant-mountain-view-2,"['vietnamese', 'asianfusion', 'seafood']","['Vietnamese', 'Asian Fusion', 'Seafood']",37.39494,-122.07864,(650) 964-1888,2995.1306729652015,vRhk8dBqWuGPG03E-Ev2nQ,https://s3-media4.fl.yelpcdn.com/bphoto/zUnxspfFSRJxzMHD9hCAiA/o.jpg,110 Castro St,,,Mountain View,US,CA,94041,Xanh Restaurant,+16509641888,$$,3.5,2019,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/xanh-restaurant-mountain-view-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cam-hung-sunnyvale,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.36695,-122.0133,(408) 735-8989,8172.052720732488,77cnAFvoB60jqnyua_U-Rg,https://s3-media2.fl.yelpcdn.com/bphoto/0pN0GSYLKXX7TtBs-b2kaA/o.jpg,903 Reed Ave,,,Sunnyvale,US,CA,94086,Cam Hung,+14087358989,$,4.0,981,['pickup'],https://www.yelp.com/biz/cam-hung-sunnyvale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lovers-sunnyvale,['vietnamese'],['Vietnamese'],37.38779,-122.023902,(408) 530-8583,7229.779788869892,zMkEiuHoPYsi5onC1MZomg,https://s3-media2.fl.yelpcdn.com/bphoto/57pZOYaFh51PbX9H8Ziz2A/o.jpg,253 E Maude Ave,,,Sunnyvale,US,CA,94085,Pho Lovers,+14085308583,$$,4.0,549,[],https://www.yelp.com/biz/pho-lovers-sunnyvale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
srasa-kitchen-mountain-view-3,"['thai', 'vietnamese', 'asianfusion']","['Thai', 'Vietnamese', 'Asian Fusion']",37.3966860093647,-122.061382457614,(650) 960-7100,4373.730051097007,K3USl3BfB6bzgk1yLcSFrQ,https://s3-media4.fl.yelpcdn.com/bphoto/-DMiIesT-QI3Dn5KfiIjgA/o.jpg,225 E Middlefield Rd,Ste 2,,Mountain View,US,CA,94043,Srasa Kitchen,+16509607100,$,4.0,240,['pickup'],https://www.yelp.com/biz/srasa-kitchen-mountain-view-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
