alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
vietnam-bistro-chico-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.7610345,-121.8467471,(530) 433-7108,22782.815388759267,Ewo1UjwKs_EPqnMqiO6Prw,https://s3-media2.fl.yelpcdn.com/bphoto/XFbY1Vt8xwHnlnPsgqoRsA/o.jpg,788 E Ave,,,Chico,US,CA,95926,Vietnam Bistro,+15304337108,$,4.0,164,[],https://www.yelp.com/biz/vietnam-bistro-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-c-and-c-chico,['vietnamese'],['Vietnamese'],39.77445,-121.84425,(530) 892-1415,22124.295041539834,ai5ueFbyZA9jQX2cxbyXZw,https://s3-media3.fl.yelpcdn.com/bphoto/072zZBs6NugpMWcNvnRBWg/o.jpg,3211 Cohasset Rd,,,Chico,US,CA,95973,Pho C&C,+15308921415,$,4.0,181,[],https://www.yelp.com/biz/pho-c-and-c-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-chico,['vietnamese'],['Vietnamese'],39.75702,-121.84799,(530) 487-8933,23073.892510173966,SVGTbDP0vurokmeCVoNh5A,https://s3-media2.fl.yelpcdn.com/bphoto/UhOJYEJFVB98wMUjneY-oQ/o.jpg,2201 Pillsbury Rd,,,Chico,US,CA,95926,Pho Le,+15304878933,$$,4.0,123,[],https://www.yelp.com/biz/pho-le-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
everyday-vietnamese-cuisine-chico,['vietnamese'],['Vietnamese'],39.730327,-121.858295,(530) 893-2888,24985.859115445848,A91mSYTFcX-wBWNyhrvV-Q,https://s3-media3.fl.yelpcdn.com/bphoto/u3uIyS_nZEoY0m7xAaXn6Q/o.jpg,951 Nord Ave,Ste A,,Chico,US,CA,95926,Everyday Vietnamese Cuisine,+15308932888,$,4.0,128,[],https://www.yelp.com/biz/everyday-vietnamese-cuisine-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-chico,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",39.7341690063477,-121.836296081543,(530) 345-2022,23112.460403147958,mfVEHbjbVX6f0_WycwkUGg,https://s3-media3.fl.yelpcdn.com/bphoto/zdqb5CxAkSD-iL_L-pxuJw/o.jpg,605 Mangrove Ave,Ste 130,,Chico,US,CA,95926,Noodle House,+15303452022,$,3.0,98,[],https://www.yelp.com/biz/noodle-house-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noodle-house-oroville,"['thai', 'noodles', 'asianfusion']","['Thai', 'Noodles', 'Asian Fusion']",39.51288,-121.55636,(530) 532-9630,35024.57436577079,1qQ4fP8hE70nfKZOEHeYEA,https://s3-media1.fl.yelpcdn.com/bphoto/aSoppumJy9iaOMRecQg4BA/o.jpg,1898 Bird St,,,Oroville,US,CA,95965,Pho Noodle House,+15305329630,$,4.0,154,[],https://www.yelp.com/biz/pho-noodle-house-oroville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
quickly-pho-king-best-oroville-3,['vietnamese'],['Vietnamese'],39.502323,-121.56231,(530) 353-3499,36160.11950510132,9pqDXKXLBkJ6h0GeZQTcjQ,https://s3-media1.fl.yelpcdn.com/bphoto/ZVr1UKo2sJmRRzNi9Vk5Yw/o.jpg,1124 Oro Dam Blvd E,,,Oroville,US,CA,95965,Quickly Pho King Best!,+15303533499,$,3.5,68,[],https://www.yelp.com/biz/quickly-pho-king-best-oroville-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
taste-of-hmong-chico-2,['asianfusion'],['Asian Fusion'],39.73144,-121.85895,(530) 965-5071,24964.59281241996,Nei1W-ULNvXlvfD7BUDJsA,https://s3-media2.fl.yelpcdn.com/bphoto/yGaYn1d1pbuecLYVtoJqwg/o.jpg,1008 W Sacramento Ave,Ste H,,Chico,US,CA,95926,Taste Of Hmong,+15309655071,,4.5,22,[],https://www.yelp.com/biz/taste-of-hmong-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
crispy-eggroll-chico,"['vietnamese', 'soup', 'asianfusion']","['Vietnamese', 'Soup', 'Asian Fusion']",39.7145780716387,-121.806910737354,(530) 354-8155,22043.997025266213,mDdTI_8GDhB4V4KwrzI4cQ,https://s3-media3.fl.yelpcdn.com/bphoto/YK6rNZF237crK6NuDLu3iw/o.jpg,2501 S Whitman Pl,,,Chico,US,CA,95928,crispy eggroll,+15303548155,,5.0,1,[],https://www.yelp.com/biz/crispy-eggroll-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tong-fong-low-chico,['chinese'],['Chinese'],39.72767,-121.79886,(530) 898-1388,20647.814293210176,mtulnGSYwZfCNqmCj5eqnw,https://s3-media1.fl.yelpcdn.com/bphoto/lK_SjGVRpUlf1HJb91Y50g/o.jpg,2072 E 20th St,Ste 100,,Chico,US,CA,95928,Tong Fong Low,+15308981388,$$,3.5,171,[],https://www.yelp.com/biz/tong-fong-low-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
