alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
lotus-pho-asian-cuisines-south-lake-tahoe-2,"['asianfusion', 'vietnamese', 'thai']","['Asian Fusion', 'Vietnamese', 'Thai']",38.951507,-119.950269,(530) 600-0258,25260.783943397528,G9K6nT5qM24q0SwntuuwWw,https://s3-media4.fl.yelpcdn.com/bphoto/6N1eGun2bCF_3JMK6bVYMw/o.jpg,3838 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,Lotus Pho Asian Cuisines,+15306000258,$$,3.5,486,[],https://www.yelp.com/biz/lotus-pho-asian-cuisines-south-lake-tahoe-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-country-carson-city,['vietnamese'],['Vietnamese'],39.18253,-119.76767,(775) 882-0200,47565.23278308925,hv1ipee14nVu9s2-vaTzDg,https://s3-media2.fl.yelpcdn.com/bphoto/mOVTgD1h5LrUvkYuvoHS_g/o.jpg,2495 N Carson St,,,Carson City,US,NV,89706,Pho Country,+17758820200,$,4.0,276,[],https://www.yelp.com/biz/pho-country-carson-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-chopstix-gardnerville-4,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.936076,-119.737187,(775) 783-8888,20844.535463771346,ocmromwdoEmsO3jO95ipOw,https://s3-media3.fl.yelpcdn.com/bphoto/hLIxRmcpckr7XtvM77V84g/o.jpg,1329 US Hwy 395 N,Ste 8,,Gardnerville,US,NV,89410,Pho Chopstix,+17757838888,$,3.5,134,[],https://www.yelp.com/biz/pho-chopstix-gardnerville-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-pho-2-noodle-house-south-lake-tahoe-3,['vietnamese'],['Vietnamese'],38.94537,-119.97068,(530) 600-3244,25636.507973856278,ergPeIg8_GssQVTvfIGmBQ,https://s3-media1.fl.yelpcdn.com/bphoto/9ezmWXwbxsABOhoB6_7wYw/o.jpg,3330 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,Lotus Pho 2 Noodle House,+15306003244,$$,3.0,66,[],https://www.yelp.com/biz/lotus-pho-2-noodle-house-south-lake-tahoe-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-thai-and-noodle-stateline,"['thai', 'noodles', 'soup']","['Thai', 'Noodles', 'Soup']",38.9713838249461,-119.93410234264,(775) 586-8757,26558.51738434719,FhjGOAdtsSyKQrABxWZyDA,https://s3-media2.fl.yelpcdn.com/bphoto/xuMncT1larJFQN-d5Vai5g/o.jpg,177 Hwy US-50,Ste 101,,Stateline,US,NV,89449,My Thai & Noodle,+17755868757,$$,4.5,455,[],https://www.yelp.com/biz/my-thai-and-noodle-stateline?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tahoe-pollock-pines,"['vietnamese', 'noodles', 'chicken_wings']","['Vietnamese', 'Noodles', 'Chicken Wings']",38.7620566225066,-120.574987041664,(530) 344-7924,66986.84191775108,UIfKdreVN-mhaN5kftM-qA,https://s3-media4.fl.yelpcdn.com/bphoto/618hhDL9nyBPeKP_u0mh4w/o.jpg,6530 Pony Express Trl,,,Pollock Pines,US,CA,95726,Pho Tahoe,+15303447924,$$,4.0,74,[],https://www.yelp.com/biz/pho-tahoe-pollock-pines?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-thai-cuisine-south-lake-tahoe-4,['thai'],['Thai'],38.9154175,-120.0008792,(530) 544-3232,24702.510139070102,Bmj8ukSsl3En99fkD7mDMA,https://s3-media1.fl.yelpcdn.com/bphoto/xBAnnCY-jxNjcdLS4_VSMQ/o.jpg,2108 Lake Tahoe Blvd,,,South Lake Tahoe,US,CA,96150,My Thai Cuisine,+15305443232,$$,4.5,1003,[],https://www.yelp.com/biz/my-thai-cuisine-south-lake-tahoe-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
clay-oven-incline-village-5,"['indpak', 'vietnamese', 'chinese']","['Indian', 'Vietnamese', 'Chinese']",39.250403,-119.954695,(775) 831-8317,56565.13109549779,RqyKFOcTPvdaxP7XmOmYZA,https://s3-media3.fl.yelpcdn.com/bphoto/4sHQwZ5LFcGV8Gz07_uUxg/o.jpg,868 Tahoe Blvd,Ste 18-19,,Incline Village,US,NV,89451,Clay Oven,+17758318317,$$,3.0,61,['pickup'],https://www.yelp.com/biz/clay-oven-incline-village-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chopsticks-incline-village,['asianfusion'],['Asian Fusion'],39.240906,-119.94018,(775) 833-3663,55255.17019288859,bPVhzNIhts8VbFX-bZ2ATw,https://s3-media4.fl.yelpcdn.com/bphoto/o_QvLqhz8T97ft72C7b3LQ/o.jpg,120 Country Club Dr,Ste 62,,Incline Village,US,NV,89451,Chopsticks,+17758333663,$$,4.0,107,[],https://www.yelp.com/biz/chopsticks-incline-village?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hunan-chinese-restaurant-gardnerville-2,"['chinese', 'buffets']","['Chinese', 'Buffets']",38.93809,-119.74105,(775) 782-6068,20994.56074336086,RL804KamSokz19cUZElSXQ,https://s3-media4.fl.yelpcdn.com/bphoto/Lkjv4WGk-mA0JYJqBUiIOw/o.jpg,1363 US Hwy 395 N,,,Gardnerville,US,NV,89410,Hunan Chinese Restaurant,+17757826068,$,3.0,40,[],https://www.yelp.com/biz/hunan-chinese-restaurant-gardnerville-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
freshies-restaurant-and-bar-south-lake-tahoe,"['tradamerican', 'vegan']","['American (Traditional)', 'Vegan']",38.945359,-119.97068,(530) 542-3630,25635.502090296188,Iq7xiQ4onk0qm3o3EY7cqg,https://s3-media2.fl.yelpcdn.com/bphoto/QPp54XBWmXV_QaeZVwfycw/o.jpg,3330 Lake Tahoe Blvd,Ste 3,,South Lake Tahoe,US,CA,96150,Freshies Restaurant & Bar,+15305423630,$$,3.5,750,[],https://www.yelp.com/biz/freshies-restaurant-and-bar-south-lake-tahoe?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fortune-lake-tahoe,['chinese'],['Chinese'],38.961256,-119.939047,(800) 648-3353,25740.10565897574,2vlNu1TeBxNOg9opezAiCA,https://s3-media4.fl.yelpcdn.com/bphoto/W44IHE4WHwe0lrOUmQ-7Hw/o.jpg,55 Highway 50,,MontBleu Resort Casino Spa,Lake Tahoe,US,NV,89449,Fortune,+18006483353,$$,2.5,46,[],https://www.yelp.com/biz/fortune-lake-tahoe?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
little-saigon-dayton-2,['asianfusion'],['Asian Fusion'],39.296246,-119.528517,(775) 246-3030,64602.592123909766,qsC8XU0reKGoLWchkBR-dQ,https://s3-media2.fl.yelpcdn.com/bphoto/7FcUzFsaHE3JVA5mePcIDw/o.jpg,801 Overland Lp,Ste 103,,Dayton,US,NV,89403,Little Saigon,+17752463030,$,3.0,24,[],https://www.yelp.com/biz/little-saigon-dayton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chopstix-dayton-2,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",39.265005,-119.58037,(775) 246-9999,59800.928814401814,qZumqnRqFTwhIkon_nGKCw,https://s3-media4.fl.yelpcdn.com/bphoto/VSdVXhS65YfK-xtiE_8Ddw/o.jpg,9 Retail Rd,Ste 9,,Dayton,US,NV,89403,Chopstix,+17752469999,$,3.0,45,[],https://www.yelp.com/biz/chopstix-dayton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
orchids-authentic-thai-food-south-lake-tahoe-5,['thai'],['Thai'],38.91695,-119.998015,(530) 544-5541,24668.96342874551,eATfl3gF5K_SUYvphhJpuQ,https://s3-media3.fl.yelpcdn.com/bphoto/bQnmmfoQLe8pi5ViSapzMg/o.jpg,2180 Lake Tahoe Blvd,Ste 1,,South Lake Tahoe,US,CA,96150,Orchids Authentic Thai Food,+15305445541,$$,4.0,781,['pickup'],https://www.yelp.com/biz/orchids-authentic-thai-food-south-lake-tahoe-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-asian-cafe-murphys,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.1363615160809,-120.456409074074,(209) 728-8898,89358.58882610715,zQSEHF44G8rNfujbIxvIYg,https://s3-media2.fl.yelpcdn.com/bphoto/cOmGCX8i9gl3OMJbJ888_w/o.jpg,64 Mitchler St,,,Murphys,US,CA,95247,The Asian Cafe,+12097288898,$,4.5,83,['pickup'],https://www.yelp.com/biz/the-asian-cafe-murphys?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
