alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
bo-de-tinh-tam-chay-westminster-2,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",33.738759,-117.987941,(714) 891-4455,321.7484331835665,mhdSehb855hJdVvmTbkPlA,https://s3-media2.fl.yelpcdn.com/bphoto/kKfUnLfQ83Wc8V7sTuqSqQ/o.jpg,15352 Beach Blvd,,,Westminster,US,CA,92683,Bo De Tinh Tam Chay,+17148914455,$$,4.0,641,[],https://www.yelp.com/biz/bo-de-tinh-tam-chay-westminster-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
405-hu-tieu-westminster,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",33.7378871,-117.9892564,(714) 892-8587,449.5456293693647,LX6C29U42lTTD4ElyVZEXA,https://s3-media4.fl.yelpcdn.com/bphoto/eOS-WsbsZYyML-vQYIFVpw/o.jpg,15454 Beach Blvd,,,Westminster,US,CA,92683,405 Hu Tieu,+17148928587,$,3.5,126,[],https://www.yelp.com/biz/405-hu-tieu-westminster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tram-chim-live-king-crab-westminster,"['vietnamese', 'seafood']","['Vietnamese', 'Seafood']",33.73979,-117.98872,(714) 467-5405,238.07412768829212,gx4pyi93V7d_tyYUTcUYFA,https://s3-media4.fl.yelpcdn.com/bphoto/Bsd_J0uXStd50GHYCgxjVA/o.jpg,15342 Beach Blvd,,,Westminster,US,CA,92683,Tram Chim Live King Crab,+17144675405,$$,3.0,133,[],https://www.yelp.com/biz/tram-chim-live-king-crab-westminster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hung-my-vi-noodle-soup-restaurant-westminster-2,"['vietnamese', 'chinese', 'noodles']","['Vietnamese', 'Chinese', 'Noodles']",33.7396797,-117.9883928,(714) 898-6404,234.87872244506624,tVmi7fAwAFC-Rpl46uZLOQ,https://s3-media1.fl.yelpcdn.com/bphoto/MiEuzQOWzRVzfYNF5Z5JZg/o.jpg,15348 Beach Blvd,,,Westminster,US,CA,92683,Hung My Vi Noodle Soup Restaurant,+17148986404,$,3.5,67,"['delivery', 'pickup']",https://www.yelp.com/biz/hung-my-vi-noodle-soup-restaurant-westminster-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lynda-sandwich-westminster,"['sandwiches', 'vietnamese', 'french']","['Sandwiches', 'Vietnamese', 'French']",33.739267,-117.988849,(714) 897-9999,294.5549016135851,zG2QqPhv-zVRlj0e0FfKsg,https://s3-media1.fl.yelpcdn.com/bphoto/NFWua13EGqajKUAFz8YRtg/o.jpg,15380 Beach Blvd,Ste B,,Westminster,US,CA,92683,Lynda Sandwich,+17148979999,$,3.5,434,['pickup'],https://www.yelp.com/biz/lynda-sandwich-westminster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vie-westminster,['vietnamese'],['Vietnamese'],33.7381966,-117.9891551,(714) 899-8883,322.71454227626,fxpTo9lzxArArgL7EsEA8Q,https://s3-media2.fl.yelpcdn.com/bphoto/KhLGNoBvTvEi_H-PLEuP4A/o.jpg,15440 Beach Blvd,Ste 128,,Westminster,US,CA,92683,Pho Vie,+17148998883,$,3.0,347,[],https://www.yelp.com/biz/pho-vie-westminster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-88-restaurant-huntington-beach-2,['vietnamese'],['Vietnamese'],33.7336343547686,-117.999968684274,(714) 477-7888,1464.3252364125365,5Ut0XZLKIx59GMQOSm8yBw,https://s3-media3.fl.yelpcdn.com/bphoto/-MbnLva__mws4Q2OpsYqiQ/o.jpg,7320 Center Ave,,,Huntington Beach,US,CA,92647,Pho 88 Restaurant,+17144777888,,4.0,58,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-88-restaurant-huntington-beach-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hong-kong-express-westminster-3,['chinese'],['Chinese'],33.7380733,-117.9891551,(714) 892-6514,435.6648128131303,lyj6qjWL4xX4GSH_ssicOw,https://s3-media1.fl.yelpcdn.com/bphoto/BOePvxB9EqjC9ImWqhIoqQ/o.jpg,15452 Beach Blvd,,,Westminster,US,CA,92683,Hong Kong Express,+17148926514,$,4.5,369,[],https://www.yelp.com/biz/hong-kong-express-westminster-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-sandwiches-westminster-2,"['sandwiches', 'vietnamese']","['Sandwiches', 'Vietnamese']",33.7381966,-117.9891551,(714) 373-1500,322.71454227626,Zh8uJxux__f3MjpWZoCRxA,https://s3-media3.fl.yelpcdn.com/bphoto/q-qwjeOlktH8JeSehUlC8Q/o.jpg,15440 Beach Blvd,,,Westminster,US,CA,92683,Lee's Sandwiches,+17143731500,$,3.0,139,[],https://www.yelp.com/biz/lees-sandwiches-westminster-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cordon-blue-restaurant-and-lounge-westminster,"['asianfusion', 'lounges']","['Asian Fusion', 'Lounges']",33.7393272542274,-117.988874153677,(714) 886-7310,289.7458793679376,Tdb5yey0ao7finnFwxOKZg,https://s3-media3.fl.yelpcdn.com/bphoto/ZcRAGDRb1eIbQ0UaaIwrcA/o.jpg,15380 Beach Blvd,Ste A,,Westminster,US,CA,92683,Cordon Blue Restaurant and Lounge,+17148867310,$$,2.5,17,[],https://www.yelp.com/biz/cordon-blue-restaurant-and-lounge-westminster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
