alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
thanh-binh-mission-viejo,['vietnamese'],['Vietnamese'],33.5613795312903,-117.657556102736,(949) 347-8989,4416.804563582472,gLuxInbdZUKpVH4uiGo91Q,https://s3-media2.fl.yelpcdn.com/bphoto/3vK_wuA_a6D9SeoJ8X0YtA/o.jpg,27660 Marguerite Pkwy,,,Mission Viejo,US,CA,92692,Thanh Binh,+19493478989,$$,4.5,311,"['pickup', 'delivery']",https://www.yelp.com/biz/thanh-binh-mission-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-pho-lake-forest,['vietnamese'],['Vietnamese'],33.617372,-117.705526,(949) 446-8333,4354.989240435339,7KHRY9nHbDVqkW7jV_F2Xg,https://s3-media1.fl.yelpcdn.com/bphoto/BqvpPhRQrJ72c4OGroZiUg/o.jpg,23775 El Toro Rd,,,Lake Forest,US,CA,92630,Simply Pho,+19494468333,$,4.0,438,[],https://www.yelp.com/biz/simply-pho-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-binh-lake-forest-2,['vietnamese'],['Vietnamese'],33.6296314278452,-117.719259120901,(949) 457-1460,6122.867792279405,JwPJiWRO7OYm96GK0qFBdw,https://s3-media3.fl.yelpcdn.com/bphoto/HdFd2eh9urCV91lHf5UXNQ/o.jpg,23600 Rockfield Blvd,,,Lake Forest,US,CA,92630,Thanh Binh,+19494571460,$,4.0,559,"['pickup', 'delivery']",https://www.yelp.com/biz/thanh-binh-lake-forest-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-king-way-noodles-and-grill-mission-viejo,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.613378,-117.679049,(949) 472-5464,2044.5369976361649,eAI6HPlrHe56LvEPcsB67g,https://s3-media2.fl.yelpcdn.com/bphoto/7dxOewAg7YnzDBB3q99Pyg/o.jpg,24000 Alicia Pkwy,Ste 22,,Mission Viejo,US,CA,92691,Pho King Way Noodles and Grill,+19494725464,$,3.5,449,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-king-way-noodles-and-grill-mission-viejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thuan-kieu-express-lake-forest,['vietnamese'],['Vietnamese'],33.63292,-117.71261,(949) 215-9977,5825.975713832519,HrG-g8jC_TVog2EGtV1RWw,https://s3-media4.fl.yelpcdn.com/bphoto/03hPweIHtNdEkREaJOMBJw/o.jpg,22722 Lambert St,Ste 1704,,Lake Forest,US,CA,92630,Thuan Kieu Express,+19492159977,$,4.5,145,['delivery'],https://www.yelp.com/biz/thuan-kieu-express-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
signature-pho-and-desserts-laguna-niguel-2,"['desserts', 'coffee', 'vietnamese']","['Desserts', 'Coffee & Tea', 'Vietnamese']",33.55516,-117.69915,(949) 328-9951,6099.907714171496,x2rm_KAYL4pqUz7U6fN4tw,https://s3-media2.fl.yelpcdn.com/bphoto/4bgXeDECssd-kRBUCW5j5A/o.jpg,28083 Moulton Pkwy,Ste C4,,Laguna Niguel,US,CA,92677,Signature Pho & Desserts,+19493289951,$$,4.0,435,['pickup'],https://www.yelp.com/biz/signature-pho-and-desserts-laguna-niguel-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-majestic-vietnamese-noodle-and-grill-lake-forest,"['vietnamese', 'noodles', 'bubbletea']","['Vietnamese', 'Noodles', 'Bubble Tea']",33.6469955444336,-117.68782043457,(949) 587-9898,5626.682508414309,gfksn3y_LyRawV2Uq8bijg,https://s3-media1.fl.yelpcdn.com/bphoto/x7Qooc--40tMYlTWuvdNBQ/o.jpg,21771 Lake Forest Dr,Ste 114,,Lake Forest,US,CA,92630,Pho Majestic Vietnamese Noodle & Grill,+19495879898,$,4.0,547,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-majestic-vietnamese-noodle-and-grill-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-noi-lake-forest,['vietnamese'],['Vietnamese'],33.6177055,-117.7012663,(949) 855-4300,4017.940412726493,I16DRqLDS0yi8spXBlahmQ,https://s3-media3.fl.yelpcdn.com/bphoto/n03tNItKZGplj-gr4BlNjw/o.jpg,23624 El Toro Rd,,,Lake Forest,US,CA,92630,Pho Ha Noi,+19498554300,$,3.5,195,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-ha-noi-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
maison-de-pho-mission-viejo-3,['vietnamese'],['Vietnamese'],33.62228,-117.65926,(949) 281-7891,2321.2320786320856,Dq4guxl12tHQiFutlO5AIQ,https://s3-media1.fl.yelpcdn.com/bphoto/Tp5exTpr3zhPL_PfaebcVA/o.jpg,26861 Trabuco Rd,Ste D&E,,Mission Viejo,US,CA,92691,Maison De Pho,+19492817891,$,4.0,52,[],https://www.yelp.com/biz/maison-de-pho-mission-viejo-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-san-juan-capistrano-7,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",33.498893737793,-117.66194152832,(949) 359-6688,11329.81903030149,LQG7UseFRdZD7GtR-plOZg,https://s3-media3.fl.yelpcdn.com/bphoto/Irg6RH0H7LVjN1tUyucD6A/o.jpg,31952 Camino Capistrano,Ste B3,,San Juan Capistrano,US,CA,92675,Lotus,+19493596688,$$,4.5,172,['pickup'],https://www.yelp.com/biz/lotus-san-juan-capistrano-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
