alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-avenue-monrovia,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",34.1468276977539,-118.000442504883,(626) 471-3588,779.0183555934524,6Cj0ysqcuLJxa7k7cVsWBQ,https://s3-media1.fl.yelpcdn.com/bphoto/_s044Atmerjffdo964pWVA/o.jpg,110 E Lemon Ave,,,Monrovia,US,CA,91016,Saigon Avenue,+16264713588,$$,4.5,327,"['pickup', 'delivery']",https://www.yelp.com/biz/saigon-avenue-monrovia?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-phomula-monrovia-12,['vietnamese'],['Vietnamese'],34.1471173,-118.0005678,(626) 789-9563,798.6166535736897,oDFJQaCkzecVvN1vqBT9XQ,https://s3-media1.fl.yelpcdn.com/bphoto/v1lVAYATXoTdcW63XAq91Q/o.jpg,113 E Lemon Ave,,,Monrovia,US,CA,91016,Viet Phomula,+16267899563,$,4.5,143,"['pickup', 'delivery']",https://www.yelp.com/biz/viet-phomula-monrovia-12?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-arcadia-2,['vietnamese'],['Vietnamese'],34.1405036144476,-118.021376542747,(626) 294-9890,1300.7057921326386,xyem5IM1pjZDBm4h4EdfJw,https://s3-media2.fl.yelpcdn.com/bphoto/7HfC233tktcSy9yPlWHlvA/o.jpg,411 E Huntington Dr,Ste 101C,,Arcadia,US,CA,91006,Pho Ha,+16262949890,$,3.0,309,[],https://www.yelp.com/biz/pho-ha-arcadia-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-huong-restaurant-el-monte,['vietnamese'],['Vietnamese'],34.0630760192871,-118.040542602539,(626) 454-2590,9395.172447161625,VPLsaJdUxBdOSzgYbjHNyg,https://s3-media3.fl.yelpcdn.com/bphoto/0B-UFdasR3c3SzZQHVzUlg/o.jpg,10727 Garvey Ave,,,El Monte,US,CA,91733,Viet Huong Restaurant,+16264542590,$,4.0,737,[],https://www.yelp.com/biz/viet-huong-restaurant-el-monte?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-licious-arcadia,['vietnamese'],['Vietnamese'],34.1092415,-118.0189285,(626) 447-5592,3882.949345444196,dYwtVoQlVc87_alHYO6b9w,https://s3-media3.fl.yelpcdn.com/bphoto/060UlxWOvsACl1-_vGue2A/o.jpg,529 E Live Oak Ave,,,Arcadia,US,CA,91006,Pho-Licious,+16264475592,$,4.0,349,[],https://www.yelp.com/biz/pho-licious-arcadia?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-kitchen-arcadia,['vietnamese'],['Vietnamese'],34.123002241122,-118.05581870668,(626) 294-9605,4968.090166832233,yowB201Ccwtjv6WmDQm_9w,https://s3-media2.fl.yelpcdn.com/bphoto/ffEt1LS0bVnF7KAJKe56Yg/o.jpg,1429 S Baldwin Ave,,,Arcadia,US,CA,91007,Vietnam Kitchen,+16262949605,$,4.0,168,[],https://www.yelp.com/biz/vietnam-kitchen-arcadia?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-restaurant-san-gabriel,['vietnamese'],['Vietnamese'],34.10214,-118.10418,(626) 281-5577,9973.476552857755,0zYsE9-qhA7YjdChrfBDUQ,https://s3-media3.fl.yelpcdn.com/bphoto/k5UGX6Dk7YbnWq17UK5UZw/o.jpg,340 W Las Tunas Dr,,,San Gabriel,US,CA,91776,Vietnam Restaurant,+16262815577,$,4.0,419,[],https://www.yelp.com/biz/vietnam-restaurant-san-gabriel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
quan-nem-ninh-hoa-west-covina-3,['vietnamese'],['Vietnamese'],34.059193753213,-117.936494531847,(626) 337-3603,11392.968467961879,qyUPNCDMr74XhjXcXq7KrQ,https://s3-media2.fl.yelpcdn.com/bphoto/IY6TH7Aqy00Lo9vJlHdhnA/o.jpg,973 S Glendora Ave,,,West Covina,US,CA,91790,Quan Nem Ninh Hoa,+16263373603,$,4.0,302,[],https://www.yelp.com/biz/quan-nem-ninh-hoa-west-covina-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-viet-express-arcadia-2,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",34.1316,-118.06632,,5542.601734027142,NTc9PbuG-VuttCuDuQC30g,https://s3-media2.fl.yelpcdn.com/bphoto/zcvULrzKBjhGlQL9CHboDw/o.jpg,1101 Huntington Dr,,,Arcadia,US,CA,91007,Pho Viet Express,,,4.5,8,[],https://www.yelp.com/biz/pho-viet-express-arcadia-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-eden-san-gabriel,['vietnamese'],['Vietnamese'],34.1031188964844,-118.086433410645,(626) 287-3158,8511.460140575335,WXvfQKvSzCRMSJqQ22ByqA,https://s3-media4.fl.yelpcdn.com/bphoto/Rytz5zoqUOUYbC-PPN-FNw/o.jpg,980 E Las Tunas Dr,,,San Gabriel,US,CA,91776,Saigon Eden,+16262873158,$,4.0,724,[],https://www.yelp.com/biz/saigon-eden-san-gabriel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
