alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
montebello-pho-and-sandwich-montebello,"['vietnamese', 'sandwiches', 'noodles']","['Vietnamese', 'Sandwiches', 'Noodles']",34.0146807880422,-118.129143841692,(323) 728-2902,1577.8937575855966,Z-4IlsnRnmswTJT_GcCbbQ,https://s3-media4.fl.yelpcdn.com/bphoto/Bx91s6lUdyHphNgREZVBmQ/o.jpg,2456 W Whittier Blvd,,,Montebello,US,CA,90640,Montebello Pho & Sandwich,+13237282902,$,4.0,390,['pickup'],https://www.yelp.com/biz/montebello-pho-and-sandwich-montebello?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
evan-kitchen-montebello-2,"['taiwanese', 'korean', 'vietnamese']","['Taiwanese', 'Korean', 'Vietnamese']",34.0177388319004,-118.108773607436,(626) 616-8188,635.6967387111101,x277zR84ifBuQsgdJMBBrQ,https://s3-media3.fl.yelpcdn.com/bphoto/IjbhqXjUrnn1wB866N1_Cg/o.jpg,1001 WBeverly Blvd,,,Montebello,US,CA,90640,Evan Kitchen,+16266168188,$,4.5,58,[],https://www.yelp.com/biz/evan-kitchen-montebello-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
broken-rice-montebello-2,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",34.0361373009261,-118.084990120969,(213) 297-7727,3141.30493884645,ZR8NaFXh8rZkRJjSNqySYw,https://s3-media4.fl.yelpcdn.com/bphoto/Fw6sPOMm7i9eHrp63Bv5Qw/o.jpg,1612 Montebello Town Ctr,,,Montebello,US,CA,90640,Broken Rice,+12132977727,,4.5,34,[],https://www.yelp.com/biz/broken-rice-montebello-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nem-nuong-khanh-hoa-alhambra,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",34.07715,-118.14217,(626) 943-7645,6721.314840252314,SNjqiJ8Ki4gvgcB2f23hZQ,https://s3-media2.fl.yelpcdn.com/bphoto/JQAIi6dD_y3elkTn12CuKQ/o.jpg,1700 W Valley Blvd,Ste C,,Alhambra,US,CA,91803,Nem Nuong Khanh Hoa,+16269437645,$,4.0,523,[],https://www.yelp.com/biz/nem-nuong-khanh-hoa-alhambra?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
com-tam-thuan-kieu-san-gabriel,['vietnamese'],['Vietnamese'],34.079647,-118.098549,(626) 280-5660,6640.187960651146,POOukTMVzH6TPTmx9C_X3Q,https://s3-media2.fl.yelpcdn.com/bphoto/uMosFxxkHG3u3PVcqMqZ1g/o.jpg,120 E Valley Blvd,,Ste I & J,San Gabriel,US,CA,91776,Com Tam Thuan Kieu,+16262805660,$,4.0,441,[],https://www.yelp.com/biz/com-tam-thuan-kieu-san-gabriel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-restaurant-san-gabriel,['vietnamese'],['Vietnamese'],34.10214,-118.10418,(626) 281-5577,9044.092865933771,0zYsE9-qhA7YjdChrfBDUQ,https://s3-media3.fl.yelpcdn.com/bphoto/k5UGX6Dk7YbnWq17UK5UZw/o.jpg,340 W Las Tunas Dr,,,San Gabriel,US,CA,91776,Vietnam Restaurant,+16262815577,$,4.0,419,[],https://www.yelp.com/biz/vietnam-restaurant-san-gabriel?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-huong-restaurant-el-monte,['vietnamese'],['Vietnamese'],34.0630760192871,-118.040542602539,(626) 454-2590,8206.564097077662,VPLsaJdUxBdOSzgYbjHNyg,https://s3-media3.fl.yelpcdn.com/bphoto/0B-UFdasR3c3SzZQHVzUlg/o.jpg,10727 Garvey Ave,,,El Monte,US,CA,91733,Viet Huong Restaurant,+16264542590,$,4.0,737,[],https://www.yelp.com/biz/viet-huong-restaurant-el-monte?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
diep-thanh-thanh-seafood-restaurant-drink-and-dessert-rosemead,"['vietnamese', 'seafood', 'hotpot']","['Vietnamese', 'Seafood', 'Hot Pot']",34.06219,-118.08452,(626) 280-6666,5312.501698152761,5VMj8ttTiE5GOQ0dotSDPQ,https://s3-media4.fl.yelpcdn.com/bphoto/GhZZwBh5dIUbgR3a6WSsuA/o.jpg,8450 Garvey Ave,Ste 102,,Rosemead,US,CA,91770,Diep Thanh Thanh Seafood Restaurant Drink and Dessert,+16262806666,$$,4.0,241,[],https://www.yelp.com/biz/diep-thanh-thanh-seafood-restaurant-drink-and-dessert-rosemead?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-deli-san-gabriel-san-gabriel-2,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",34.102792,-118.11174,(626) 308-0803,9061.559342430035,WqgbuGA270_uGnUJXyd5Fw,https://s3-media1.fl.yelpcdn.com/bphoto/OkK7Ly8KERulp-8mZyvrZQ/o.jpg,815 W Las Tunas Dr,,,San Gabriel,US,CA,91776,Golden Deli - San Gabriel,+16263080803,$,4.0,2489,[],https://www.yelp.com/biz/golden-deli-san-gabriel-san-gabriel-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-my-tho-alhambra,"['sandwiches', 'vietnamese', 'coffee']","['Sandwiches', 'Vietnamese', 'Coffee & Tea']",34.0782664,-118.1257901,(626) 289-4160,6395.93802375308,C_SUWwXKYNuv1pM1QngJxw,https://s3-media2.fl.yelpcdn.com/bphoto/l5Z9jqAoKn5NB_7smaHFTA/o.jpg,304 W Valley Blvd,,,Alhambra,US,CA,91803,Banh Mi My Tho,+16262894160,$,4.5,1567,[],https://www.yelp.com/biz/banh-mi-my-tho-alhambra?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
