alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-hong-klamath-falls-2,['vietnamese'],['Vietnamese'],42.1933708,-121.7576981,(541) 850-9441,49879.69197177015,brz52bjKjSgRUgkIArsQ8Q,https://s3-media2.fl.yelpcdn.com/bphoto/uayaH9iQWuaKme7NOW6kYA/o.jpg,3620 Washburn Way,,,Klamath Falls,US,OR,97603,Pho Hong,+15418509441,$,3.0,81,[],https://www.yelp.com/biz/pho-hong-klamath-falls-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
happy-bowl-ashland,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",42.18515,-122.69066,(541) 708-6588,71894.38081387678,M_pytyX0Ozc3bRp8nB6VFA,https://s3-media1.fl.yelpcdn.com/bphoto/SFNSE3TC88tjOfgYnJvdLg/o.jpg,1401 Siskiyou Blvd,,,Ashland,US,OR,97520,Happy Bowl,+15417086588,$,4.0,111,[],https://www.yelp.com/biz/happy-bowl-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tot-restaurant-ashland,"['vietnamese', 'asianfusion', 'newamerican']","['Vietnamese', 'Asian Fusion', 'American (New)']",42.1994,-122.71276,(541) 488-7986,74286.93461610838,UGfwdHrvdIi81RRriomA-A,https://s3-media2.fl.yelpcdn.com/bphoto/PLWH8GpU2NpraZ34l0MMag/o.jpg,310 Oak St,,,Ashland,US,OR,97520,Tot Restaurant,+15414887986,$$,4.0,150,[],https://www.yelp.com/biz/tot-restaurant-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sengthongs-blue-sky-room-dunsmuir-6,"['asianfusion', 'musicvenues', 'tradamerican']","['Asian Fusion', 'Music Venues', 'American (Traditional)']",41.2100697,-122.2725151,(530) 235-4770,67620.03301738275,JhtU0zVZjqgJ3y07F2Y1Jg,https://s3-media2.fl.yelpcdn.com/bphoto/uhFXsnNQBOa1yZ9SJ0z7KQ/o.jpg,5855 Dunsmuir Ave,,,Dunsmuir,US,CA,96025,Sengthong's Blue Sky Room,+15302354770,$$,4.5,54,[],https://www.yelp.com/biz/sengthongs-blue-sky-room-dunsmuir-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fuongs-kitchen-klamath-falls,"['foodtrucks', 'asianfusion']","['Food Trucks', 'Asian Fusion']",42.206125,-121.7454,(541) 539-8867,51606.964214494925,WYxqxu9I27Yu0rDv_eiAzg,https://s3-media1.fl.yelpcdn.com/bphoto/QlTYtGR6890qMyDCyEUAew/o.jpg,3540 South 6th St,,,Klamath Falls,US,OR,97603,Fuong's Kitchen,+15415398867,,4.5,8,[],https://www.yelp.com/biz/fuongs-kitchen-klamath-falls?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sesame-asian-kitchen-ashland,"['asianfusion', 'salad', 'soup']","['Asian Fusion', 'Salad', 'Soup']",42.19671,-122.71613,(541) 482-0119,74325.08272392403,iliVM5L8dEoz171TmdcxgA,https://s3-media4.fl.yelpcdn.com/bphoto/NaElvCk-Ni2bSgxwJlzzQg/o.jpg,21 Winburn Way,,,Ashland,US,OR,97520,Sesame Asian Kitchen,+15414820119,$$,3.5,221,[],https://www.yelp.com/biz/sesame-asian-kitchen-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
andaman-healthy-thai-cuisine-mount-shasta,['thai'],['Thai'],41.3133962452412,-122.31263436377,(530) 926-5288,58252.27650439935,5S6bQhtl8QGkwexX4l2wPg,https://s3-media2.fl.yelpcdn.com/bphoto/Bid-2rUmLUQRGZwAc-csIA/o.jpg,313 N Mt Shasta Blvd,,,Mount Shasta,US,CA,96067,Andaman Healthy Thai Cuisine,+15309265288,$$,3.5,165,[],https://www.yelp.com/biz/andaman-healthy-thai-cuisine-mount-shasta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-american-bar-b-q-weed-2,"['bbq', 'asianfusion', 'thai']","['Barbeque', 'Asian Fusion', 'Thai']",41.42174,-122.38595,(530) 938-9967,51177.71540832023,tnZ4JUFVzf14_BTUVXkuyg,https://s3-media1.fl.yelpcdn.com/bphoto/MWZjJ-urVIimE4Vyr51RTA/o.jpg,10 N Weed Blvd,,,Weed,US,CA,96094,Asian-American Bar-B-Q,+15309389967,$$,4.0,263,[],https://www.yelp.com/biz/asian-american-bar-b-q-weed-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
house-of-thai-cuisine-ashland,['thai'],['Thai'],42.1827621459961,-122.685585021973,(541) 488-2583,71383.19806679293,RxAesvrKlCSN8NdYaPrArw,https://s3-media2.fl.yelpcdn.com/bphoto/pLeUIIrxeHenRB-d1w_1Bg/o.jpg,1667 Siskiyou Blvd,,,Ashland,US,OR,97520,House of Thai Cuisine,+15414882583,$$,3.5,76,[],https://www.yelp.com/biz/house-of-thai-cuisine-ashland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
esaan-cafe-phoenix,['thai'],['Thai'],42.279704823452,-122.823161956238,(541) 897-4474,86961.67950335045,74-aKl0aG7D8Twt9MhyJEQ,https://s3-media2.fl.yelpcdn.com/bphoto/ClzMoVJOWC_hoM1hgFDPOw/o.jpg,4150 S Pacific Hwy,Ste A,,Phoenix,US,OR,97535,Esaan Cafe,+15418974474,$$,4.5,78,[],https://www.yelp.com/biz/esaan-cafe-phoenix?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bambu-medford,"['thai', 'asianfusion']","['Thai', 'Asian Fusion']",42.31473,-122.81599,(541) 608-7545,89002.85030395596,DJJcG0fJH3-o72w-_qtXLA,https://s3-media1.fl.yelpcdn.com/bphoto/hkyWZBh5XSqAVZ4debfs6A/o.jpg,970 N Phoenix Rd,,,Medford,US,OR,97504,Bambu,+15416087545,$$,3.5,140,[],https://www.yelp.com/biz/bambu-medford?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
