alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
chopsticks-pho-and-grill-newark-5,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.54872,-122.04929,(510) 793-9888,2487.472444052969,7ojDHDyjB7EdmdUVVpHY3Q,https://s3-media2.fl.yelpcdn.com/bphoto/sQoQqSnm6nB0Ebk0Kk50-w/o.jpg,6180 Jarvis Ave,Ste T,,Newark,US,CA,94560,Chopsticks Pho & Grill,+15107939888,$,4.0,201,[],https://www.yelp.com/biz/chopsticks-pho-and-grill-newark-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vn-vietnamese-restaurant-union-city-2,['vietnamese'],['Vietnamese'],37.5898047104553,-122.071396756335,(510) 489-6688,7210.970797751702,-_z21tEnwg-dB_-yhsawXA,https://s3-media3.fl.yelpcdn.com/bphoto/MeyqDNIfDklspnO5LjXyEw/o.jpg,31861 Alvarado Blvd,,,Union City,US,CA,94587,Pho VN Vietnamese Restaurant,+15104896688,$$,4.0,459,[],https://www.yelp.com/biz/pho-vn-vietnamese-restaurant-union-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rice-and-spoon-vietnamese-cuisine-newark,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",37.54193,-122.05536,(510) 742-3915,2643.6332834298623,UKPw-0Vv7ECu7RB4XTf5tQ,https://s3-media1.fl.yelpcdn.com/bphoto/7miHI2-rMI9-AiOkUx9r9Q/o.jpg,7060 Jarvis Ave,,,Newark,US,CA,94560,Rice and Spoon Vietnamese Cuisine,+15107423915,$$,4.0,270,[],https://www.yelp.com/biz/rice-and-spoon-vietnamese-cuisine-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mais-kitchen-union-city,['vietnamese'],['Vietnamese'],37.5863372588707,-122.019891188032,(510) 487-1378,5673.823475365462,H-WuewQ-tq9tl3EMSomrxA,https://s3-media4.fl.yelpcdn.com/bphoto/ZKbBbtzebsbQsADS_9Of9Q/o.jpg,34587 Alvarado Niles Rd,,,Union City,US,CA,94587,Mai's Kitchen,+15104871378,$,4.0,357,[],https://www.yelp.com/biz/mais-kitchen-union-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vung-tau-iii-restaurant-newark,"['vietnamese', 'chinese', 'french']","['Vietnamese', 'Chinese', 'French']",37.52432,-122.00757,(510) 793-8299,2074.7522759209223,IYyJDHKDUL0XXXfu_GFHvQ,https://s3-media3.fl.yelpcdn.com/bphoto/gp5NXhITCVbPOjzHuszwPw/o.jpg,6092 Mowry Ave,,,Newark,US,CA,94560,Vung Tau III Restaurant,+15107938299,$$,3.5,304,['pickup'],https://www.yelp.com/biz/vung-tau-iii-restaurant-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bistro-viet-house-fremont-3,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",37.5460295554385,-121.987163722515,(510) 742-3988,3659.2482524728907,7Mi0BEgz1G_aVIfyUPxBXQ,https://s3-media2.fl.yelpcdn.com/bphoto/S7vwFd4MgRET9aXtIzmo6w/o.jpg,181 Fremont Hub Courtyard,,,Fremont,US,CA,94538,Bistro Viet House,+15107423988,$,3.5,174,[],https://www.yelp.com/biz/bistro-viet-house-fremont-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
com-tam-thanh-restaurant-newark,['vietnamese'],['Vietnamese'],37.52028,-121.99036,(510) 226-8899,3627.277068689094,EGpNuX8c6w-bc1q3hRcgSw,https://s3-media4.fl.yelpcdn.com/bphoto/fzmEkVem57GUqe11Y88aWQ/o.jpg,5733 Stevenson Blvd,,,Newark,US,CA,94560,Com Tam Thanh Restaurant,+15102268899,$,3.5,351,"['delivery', 'pickup']",https://www.yelp.com/biz/com-tam-thanh-restaurant-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-village-fremont,['vietnamese'],['Vietnamese'],37.51838,-121.98959,(510) 573-2960,3752.6969610647907,vWsmCpP7Q2MYuvIMIgNKGQ,https://s3-media2.fl.yelpcdn.com/bphoto/lU9lDrAvBbRlkyIYqEy9Ww/o.jpg,6052 Stevenson Blvd,,,Fremont,US,CA,94538,Pho Village,+15105732960,,4.5,81,[],https://www.yelp.com/biz/pho-village-fremont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nguyen-vu-newark,['vietnamese'],['Vietnamese'],37.553329,-122.048368,(510) 796-4300,2757.5953982478986,mXgewLl9mNZveeLtDoJ3sg,https://s3-media2.fl.yelpcdn.com/bphoto/VX933CADSR2RlgZ_u1g_nw/o.jpg,5729 Jarvis Ave,,,Newark,US,CA,94560,Nguyen Vu,+15107964300,$,3.5,282,['delivery'],https://www.yelp.com/biz/nguyen-vu-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-tho-vietnamese-restaurant-newark,['vietnamese'],['Vietnamese'],37.523303,-122.00651,(510) 794-5932,2231.1080700844614,lTog-aqxgbGUtIofdFhx5w,https://s3-media2.fl.yelpcdn.com/bphoto/_5Glvb3jC4h1Z6eLAZgy8w/o.jpg,39127 Cedar Blvd,,,Newark,US,CA,94560,My Tho Vietnamese Restaurant,+15107945932,$,3.0,189,['pickup'],https://www.yelp.com/biz/my-tho-vietnamese-restaurant-newark?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
