alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-beach-restaurant-newport-beach,"['vietnamese', 'sandwiches', 'vegetarian']","['Vietnamese', 'Sandwiches', 'Vegetarian']",33.6099494,-117.9289431,(949) 612-8067,3429.87667113975,967I__2NjKCCLU1MBdj6Ow,https://s3-media2.fl.yelpcdn.com/bphoto/fAv8jxlIXUtic6MQFzEm8Q/o.jpg,2233 W Balboa Blvd,Ste 102,,Newport Beach,US,CA,92663,Saigon Beach Restaurant,+19496128067,$,4.5,679,[],https://www.yelp.com/biz/saigon-beach-restaurant-newport-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-bistro-newport-beach,['vietnamese'],['Vietnamese'],33.624882,-117.927801,(949) 287-6827,2919.3428341572635,UpuAwAmHoR5hcWG4dS-rUw,https://s3-media3.fl.yelpcdn.com/bphoto/lEmI7jZDyfnkfdTiQGPBCg/o.jpg,325 Old Newport Blvd,Ste 1,,Newport Beach,US,CA,92663,Lotus Bistro,+19492876827,$,4.5,433,"['delivery', 'pickup']",https://www.yelp.com/biz/lotus-bistro-newport-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bamboo-bistro-corona-del-mar,"['asianfusion', 'vietnamese', 'thai']","['Asian Fusion', 'Vietnamese', 'Thai']",33.6033181131263,-117.872813414908,(949) 720-1289,3192.3154445896157,ObbZMmtx9b7znp82KOCR8Q,https://s3-media2.fl.yelpcdn.com/bphoto/HKiIgaIoYhqJGsbxkeLEsQ/o.jpg,2600 E Coast Hwy,Ste 160,,Corona Del Mar,US,CA,92625,Bamboo Bistro,+19497201289,$$,4.0,693,[],https://www.yelp.com/biz/bamboo-bistro-corona-del-mar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mo-pho-mi-costa-mesa,"['vietnamese', 'soup', 'vegetarian']","['Vietnamese', 'Soup', 'Vegetarian']",33.66993,-117.92108,(714) 714-0300,5580.8462693595475,a9T4W1EygJ1SMALtHRyRHQ,https://s3-media1.fl.yelpcdn.com/bphoto/PcsQEar8LqtIE4_LGr8DhA/o.jpg,1525 Mesa Verde E,Ste 114,,Costa Mesa,US,CA,92626,Mo Pho Mi,+17147140300,,4.5,23,[],https://www.yelp.com/biz/mo-pho-mi-costa-mesa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lantern-cafe-costa-mesa-17,"['vietnamese', 'seafood', 'beerbar']","['Vietnamese', 'Seafood', 'Beer Bar']",33.635256,-117.92274,(949) 515-9090,2730.568457258805,AYYcyGudbW8ioMj9fL6bBA,https://s3-media1.fl.yelpcdn.com/bphoto/b3PkWxe9IwDWR9X7Y77IiQ/o.jpg,103 E 17th St,,,Costa Mesa,US,CA,92627,Pho Lantern Cafe,+19495159090,$,4.0,652,[],https://www.yelp.com/biz/pho-lantern-cafe-costa-mesa-17?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lsxo-huntington-beach-2,['vietnamese'],['Vietnamese'],33.6551945,-117.9988738,(714) 374-0083,10073.299174601692,VbGD1SBNj3gfVISCBzmZnQ,https://s3-media2.fl.yelpcdn.com/bphoto/PAqxJ856D_cIMDnPIJ_vFw/o.jpg,21016 Pacific Coast Hwy,Ste D200,,Huntington Beach,US,CA,92648,LSXO,+17143740083,$$$,4.5,355,[],https://www.yelp.com/biz/lsxo-huntington-beach-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
wok-in-costa-mesa,"['chinese', 'vietnamese']","['Chinese', 'Vietnamese']",33.65683,-117.9026,(949) 287-6785,3660.3036673921024,VoPqD4AhwBlJZIHM5WZd2Q,https://s3-media3.fl.yelpcdn.com/bphoto/QpdRUqtgRI9yaiBOKCi4RA/o.jpg,2394 Newport Blvd,,,Costa Mesa,US,CA,92627,Wok-In,+19492876785,$,4.5,253,[],https://www.yelp.com/biz/wok-in-costa-mesa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nguyens-kitchen-costa-mesa-2,"['vietnamese', 'newamerican', 'asianfusion']","['Vietnamese', 'American (New)', 'Asian Fusion']",33.6291450663385,-117.908542100594,(949) 873-5069,1251.1973160662378,TVOEhpfx4jYgI4-0oFpaAA,https://s3-media3.fl.yelpcdn.com/bphoto/JU7x3RmTQUumNTVo-ybvMg/o.jpg,488 E 17th St,Ste B-102,,Costa Mesa,US,CA,92627,Nguyen's Kitchen,+19498735069,$,4.0,374,"['delivery', 'pickup']",https://www.yelp.com/biz/nguyens-kitchen-costa-mesa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnams-pearl-costa-mesa,['vietnamese'],['Vietnamese'],33.6797904968262,-117.909133911133,(714) 540-2212,6273.433367022599,PHqsUewvYu47Br44aAXSRQ,https://s3-media3.fl.yelpcdn.com/bphoto/_pEHBA3q-9itK-Bs5wC4Kw/o.jpg,1215 Baker St,Ste B,,Costa Mesa,US,CA,92626,Vietnam's Pearl,+17145402212,$,4.0,793,['pickup'],https://www.yelp.com/biz/vietnams-pearl-costa-mesa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ba-co-irvine,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.6811382060949,-117.804737276721,(949) 857-8808,10575.81798136623,k8APERLHS_475vMCu4iXSw,https://s3-media1.fl.yelpcdn.com/bphoto/i1JutF96zvgIH_SPqAKARg/o.jpg,4250 Barranca Pkwy,Stes J & K,,Irvine,US,CA,92604,Pho Ba Co,+19498578808,$$,4.0,1186,[],https://www.yelp.com/biz/pho-ba-co-irvine?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
