alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
huong-tra-richmond,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.9345565159871,-122.324991782951,(510) 234-7428,3906.892979083364,9L0eNwBPsKTPioq04okg6g,https://s3-media3.fl.yelpcdn.com/bphoto/j8JGNNgmu_SfO-Tzzu2EVw/o.jpg,12221 San Pablo Ave,Ste 8,,Richmond,US,CA,94805,Huong Tra,+15102347428,$,4.0,665,[],https://www.yelp.com/biz/huong-tra-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
anh-restaurant-and-bar-richmond-2,"['vietnamese', 'bars', 'salad']","['Vietnamese', 'Bars', 'Salad']",37.9152758870656,-122.349639144616,(510) 680-5292,2820.1160546590036,gQ3Z7Iw6dyC5NF8vRzJA4A,https://s3-media4.fl.yelpcdn.com/bphoto/Ks9MTqFVobLXK2CI366pNQ/o.jpg,1950 Esplanade Dr,,,Richmond,US,CA,94804,Anh Restaurant & Bar,+15106805292,$$,4.0,193,[],https://www.yelp.com/biz/anh-restaurant-and-bar-richmond-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chang-thai-thai-and-vietnamese-cuisines-san-pablo,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.9588,-122.34715,(510) 235-9999,3197.148757196004,szhevxpkv7zvqLKOoD-90g,https://s3-media2.fl.yelpcdn.com/bphoto/CBRSk2OukSNa9L4DsE6n_A/o.jpg,2229 Dover Ave,,,San Pablo,US,CA,94806,Chang Thai - Thai and Vietnamese Cuisines,+15102359999,$,4.0,131,"['pickup', 'delivery']",https://www.yelp.com/biz/chang-thai-thai-and-vietnamese-cuisines-san-pablo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-thai-hung-richmond-3,['vietnamese'],['Vietnamese'],37.9465942382812,-122.330024719238,(510) 235-1223,3646.61532369147,oULhyrTpWW8AvrcYqryyUg,https://s3-media4.fl.yelpcdn.com/bphoto/S5FeTkXH0V7UMnzk76qInw/o.jpg,12860 San Pablo Ave,,,Richmond,US,CA,94805,Pho Thai Hung,+15102351223,$,3.0,225,[],https://www.yelp.com/biz/pho-thai-hung-richmond-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cam-hong-restaurant-el-sobrante,"['vietnamese', 'delis']","['Vietnamese', 'Delis']",37.9656677246094,-122.310134887695,(510) 222-2700,6173.972479202247,vC1CAfaznIzfQHfMillYmg,https://s3-media2.fl.yelpcdn.com/bphoto/rDHL5cHVtNQDG28mRAwMpA/o.jpg,4068 San Pablo Dam Rd,,,El Sobrante,US,CA,94803,Cam Hong Restaurant,+15102222700,$,4.0,112,[],https://www.yelp.com/biz/cam-hong-restaurant-el-sobrante?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-noodle-and-grill-2-el-sobrante-2,['vietnamese'],['Vietnamese'],37.9767802434645,-122.296436173058,(510) 222-2888,7844.253761508141,G7_c5Sj8XV2bpc1JR6pMcA,https://s3-media4.fl.yelpcdn.com/bphoto/5_Sq09Ej8W4EjIc283X99Q/o.jpg,5047 Appian Way,,,El Sobrante,US,CA,94803,Pho Saigon Noodle & Grill 2,+15102222888,$$,4.0,407,['pickup'],https://www.yelp.com/biz/pho-saigon-noodle-and-grill-2-el-sobrante-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ao-sen-albany,['vietnamese'],['Vietnamese'],37.8937178,-122.2997228,(510) 679-5000,7722.609630232094,Dq47xG_JD9wXS_4W8K5rcw,https://s3-media2.fl.yelpcdn.com/bphoto/k_0CmAmzDFCYW4hc0H_VKA/o.jpg,665 San Pablo Ave,,,Albany,US,CA,94706,Pho Ao Sen,+15106795000,$$,3.5,313,[],https://www.yelp.com/biz/pho-ao-sen-albany?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-grille-el-cerrito,"['vietnamese', 'salad', 'sandwiches']","['Vietnamese', 'Salad', 'Sandwiches']",37.9076654992528,-122.305631207967,(510) 559-8083,6430.878240407267,ivYZD_QUdplk2E34ikj_1Q,https://s3-media2.fl.yelpcdn.com/bphoto/FK5y8YTGOsxDiZxa021GOw/o.jpg,10386 San Pablo Ave,,,El Cerrito,US,CA,94530,Vietnam Grille,+15105598083,$,4.0,111,"['pickup', 'delivery']",https://www.yelp.com/biz/vietnam-grille-el-cerrito?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-21-san-pablo,['noodles'],['Noodles'],37.9556704,-122.3333241,(510) 232-5658,3849.0868021967353,ji7gol2u9NfVqKjeR_P93Q,https://s3-media2.fl.yelpcdn.com/bphoto/4FnhIL7-6HRuVZrHO-2Pgw/o.jpg,501B San Pablo Towne Ctr,,,San Pablo,US,CA,94806,Noodle 21,+15102325658,$$,3.5,153,[],https://www.yelp.com/biz/noodle-21-san-pablo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nong-thon-el-cerrito,"['vietnamese', 'seafood']","['Vietnamese', 'Seafood']",37.9020803,-122.3030696,(510) 647-8038,6948.218013172987,ZXbamt6jOWPaLaUC3i26HA,https://s3-media3.fl.yelpcdn.com/bphoto/8xHdyXKQTEdmWa_67gslJw/o.jpg,10086 San Pablo Ave,,,El Cerrito,US,CA,94530,Nong Thon,+15106478038,$$,3.5,309,['pickup'],https://www.yelp.com/biz/nong-thon-el-cerrito?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
