alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-king-good-auburn,['vietnamese'],['Vietnamese'],38.9252186,-121.0855054,(530) 888-6868,49669.54343828504,N6Srot1d7lyguiP2_Y875g,https://s3-media2.fl.yelpcdn.com/bphoto/sSPozUzphsHTvcUWLkllGw/o.jpg,1501 Grass Valley Hwy,,,Auburn,US,CA,95603,Pho King Good,+15308886868,$,4.0,372,[],https://www.yelp.com/biz/pho-king-good-auburn?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-222-colfax,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",39.10112,-120.95357,,32851.747994264944,K5xo9C-gIqgRkzhKwlLKWw,https://s3-media3.fl.yelpcdn.com/bphoto/BmKNUKaaomno4SEHPDAQZA/o.jpg,38 N Main St,,,Colfax,US,CA,95713,Pho 222,,,4.0,6,[],https://www.yelp.com/biz/pho-222-colfax?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-cali-rocklin-5,"['vietnamese', 'juicebars', 'noodles']","['Vietnamese', 'Juice Bars & Smoothies', 'Noodles']",38.8049965076175,-121.271195429911,(916) 259-2086,64574.82381069447,_ntbt2Fixf-M6Igwgj5vyQ,https://s3-media1.fl.yelpcdn.com/bphoto/3KjzuAr7KjIl5rFFoBmlCg/o.jpg,2209 Sunset Blvd,Ste 903,,Rocklin,US,CA,95765,Pho Cali,+19162592086,$,4.5,915,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-cali-rocklin-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hang-roseville,"['vietnamese', 'desserts', 'noodles']","['Vietnamese', 'Desserts', 'Noodles']",38.78426,-121.28672,(916) 771-2565,67127.43023986674,WQ6OYDEH-1k9yx0tbqI3_g,https://s3-media3.fl.yelpcdn.com/bphoto/O3T3p1IT0coxHvOjJAGiow/o.jpg,916 Pleasant Grove Blvd,Ste 150,,Roseville,US,CA,95678,Pho Hang,+19167712565,$,4.0,385,[],https://www.yelp.com/biz/pho-hang-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-c-and-c-chico,['vietnamese'],['Vietnamese'],39.77445,-121.84425,(530) 892-1415,77433.64679084401,ai5ueFbyZA9jQX2cxbyXZw,https://s3-media3.fl.yelpcdn.com/bphoto/072zZBs6NugpMWcNvnRBWg/o.jpg,3211 Cohasset Rd,,,Chico,US,CA,95973,Pho C&C,+15308921415,$,4.0,181,[],https://www.yelp.com/biz/pho-c-and-c-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dt-noodle-roseville,['vietnamese'],['Vietnamese'],38.7607903,-121.308283,(916) 797-8883,70103.81984526194,6Bl8hhg9WS6OrIuCKL5Ilw,https://s3-media1.fl.yelpcdn.com/bphoto/DTswU_CbdNLJAyWyN-ZDNQ/o.jpg,5015 Foothills Blvd,Ste 3B,,Roseville,US,CA,95747,DT Noodle,+19167978883,$,4.5,204,[],https://www.yelp.com/biz/dt-noodle-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noodle-house-oroville,"['thai', 'noodles', 'asianfusion']","['Thai', 'Noodles', 'Asian Fusion']",39.51288,-121.55636,(530) 532-9630,41663.46736528453,1qQ4fP8hE70nfKZOEHeYEA,https://s3-media1.fl.yelpcdn.com/bphoto/aSoppumJy9iaOMRecQg4BA/o.jpg,1898 Bird St,,,Oroville,US,CA,95965,Pho Noodle House,+15305329630,$,4.0,154,[],https://www.yelp.com/biz/pho-noodle-house-oroville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-chico,['vietnamese'],['Vietnamese'],39.75702,-121.84799,(530) 487-8933,76617.20051858028,SVGTbDP0vurokmeCVoNh5A,https://s3-media2.fl.yelpcdn.com/bphoto/UhOJYEJFVB98wMUjneY-oQ/o.jpg,2201 Pillsbury Rd,,,Chico,US,CA,95926,Pho Le,+15304878933,$$,4.0,123,[],https://www.yelp.com/biz/pho-le-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vietnam-bistro-chico-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.7610345,-121.8467471,(530) 433-7108,76778.21479169697,Ewo1UjwKs_EPqnMqiO6Prw,https://s3-media2.fl.yelpcdn.com/bphoto/XFbY1Vt8xwHnlnPsgqoRsA/o.jpg,788 E Ave,,,Chico,US,CA,95926,Vietnam Bistro,+15304337108,$,4.0,164,[],https://www.yelp.com/biz/vietnam-bistro-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-cuisine-marysville,"['asianfusion', 'thai']","['Asian Fusion', 'Thai']",39.1487343,-121.5854108,(530) 741-9041,48061.555698957956,X3CJC0SjOcFAhcosv681Rw,https://s3-media2.fl.yelpcdn.com/bphoto/CO3yaxLU9Nd-8b-rv_8Nvw/o.jpg,22 E 12th St,,,Marysville,US,CA,95901,Asian Cuisine,+15307419041,$,4.0,93,[],https://www.yelp.com/biz/asian-cuisine-marysville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
