alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-ha-moreno-valley,['vietnamese'],['Vietnamese'],33.9167760313033,-117.228916858949,(951) 488-9898,15405.433732572837,wC3iRNoY3wdQ-0NfI4UIsw,https://s3-media4.fl.yelpcdn.com/bphoto/yv8Tli4VfXwRmtRz9NLCFg/o.jpg,24853 Alessandro Blvd,Ste 3,,Moreno Valley,US,CA,92553,Pho Ha,+19514889898,$,3.5,401,[],https://www.yelp.com/biz/pho-ha-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-1-temecula-2,['vietnamese'],['Vietnamese'],33.506326,-117.146745,(951) 506-0862,33291.31176632931,mR66uHoU47NQ8pV_N6mFtg,https://s3-media4.fl.yelpcdn.com/bphoto/lfDZm3yHkGcpIjltigJLLg/o.jpg,27536 Ynez Rd,Ste F23,,Temecula,US,CA,92591,Pho Ha #1,+19515060862,$,4.0,405,[],https://www.yelp.com/biz/pho-ha-1-temecula-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ngon-restaurant-lake-elsinore,['vietnamese'],['Vietnamese'],33.69018,-117.34221,(951) 471-8191,23468.974930532077,hnTIoiNq-WuJQbC0CkICDQ,https://s3-media4.fl.yelpcdn.com/bphoto/WB_rmoZ59l3keXZrGzfINg/o.jpg,18285 Collier Ave,,,Lake Elsinore,US,CA,92530,Pho Ngon Restaurant,+19514718191,,4.5,59,[],https://www.yelp.com/biz/pho-ngon-restaurant-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fresh-and-yummy-hemet,['vietnamese'],['Vietnamese'],33.7482833862305,-117.004508972168,(951) 925-6981,13199.189646235147,9RVJ7cu2TxrGXwSB53qaTA,https://s3-media3.fl.yelpcdn.com/bphoto/R28dHgvDHor_ABe0VTLW9g/o.jpg,3112 W Florida Ave,,,Hemet,US,CA,92545,Fresh & Yummy,+19519256981,$,4.0,226,[],https://www.yelp.com/biz/fresh-and-yummy-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-hemet,"['vietnamese', 'sandwiches', 'bubbletea']","['Vietnamese', 'Sandwiches', 'Bubble Tea']",33.7459659958486,-117.008210707895,(951) 652-3327,13029.184400877628,vlLtcFR3-U8txdyOZvPDHQ,https://s3-media1.fl.yelpcdn.com/bphoto/DVRtvY9UrigT3lupuNs1Og/o.jpg,3429 West Florida Ave,,,Hemet,US,CA,92545,Banh Mi,+19516523327,$,4.5,207,[],https://www.yelp.com/biz/banh-mi-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lemongrass-asian-cuisine-hemet,"['thai', 'asianfusion', 'vietnamese']","['Thai', 'Asian Fusion', 'Vietnamese']",33.736089742978,-117.008030109611,(951) 766-1506,13633.317563577133,EZb6PWnX0leRpEzvMm-4Gg,https://s3-media2.fl.yelpcdn.com/bphoto/KnhJB1u55xqIodsiZvx_cg/o.jpg,3376 Wentworth Dr,,,Hemet,US,CA,92545,Lemongrass Asian Cuisine,+19517661506,$$,4.0,550,[],https://www.yelp.com/biz/lemongrass-asian-cuisine-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-vietnamese-restaurant-moreno-valley,['vietnamese'],['Vietnamese'],33.9362763,-117.264601,(951) 472-0430,19155.40698680213,Mw9vjVPgp5_YpFveslrQiA,https://s3-media2.fl.yelpcdn.com/bphoto/6gzAuxtBUZPiX8aZaUA5HA/o.jpg,12625 Frederick St,Ste K6,,Moreno Valley,US,CA,92553,Pho Le Vietnamese Restaurant,+19514720430,,4.5,103,[],https://www.yelp.com/biz/pho-le-vietnamese-restaurant-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-shack-noodles-and-grill-moreno-valley,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.938002,-117.248156,(951) 243-6837,18488.47596281511,yBGs8XfgCOLx25JLaK7EKA,https://s3-media1.fl.yelpcdn.com/bphoto/fRzjN90mZPa1jKnvowbDBg/o.jpg,23715 Sunnymead Blvd,Ste B,,Moreno Valley,US,CA,92553,Pho Shack Noodles & Grill,+19512436837,$,4.0,216,[],https://www.yelp.com/biz/pho-shack-noodles-and-grill-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-star-bowl-riverside,"['vietnamese', 'salad', 'sandwiches']","['Vietnamese', 'Salad', 'Sandwiches']",33.9151992797852,-117.457183837891,(951) 352-9548,32576.648219001334,DdVXvOdIzECfZF8KqvCkMg,https://s3-media1.fl.yelpcdn.com/bphoto/dZN7igUHXWzQ51JXKzb6sA/o.jpg,10051 Magnolia Ave,Ste B1,,Riverside,US,CA,92503,Pho Star Bowl,+19513529548,$,4.5,648,[],https://www.yelp.com/biz/pho-star-bowl-riverside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-noodle-house-temecula,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.517569,-117.162121,(951) 693-1691,32144.070061090373,8YZCyLZKhfxl_YMlom6YSQ,https://s3-media2.fl.yelpcdn.com/bphoto/urxrhdxil--utoCBQ9LLsg/o.jpg,27523 Jefferson Ave,,,Temecula,US,CA,92590,Saigon Noodle House,+19516931691,$,4.0,136,[],https://www.yelp.com/biz/saigon-noodle-house-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-non-la-lake-elsinore,['vietnamese'],['Vietnamese'],33.6862329401939,-117.36704756741,(951) 674-2689,25633.912821782502,yp2QL_KmLMuIFEfwjnrilg,https://s3-media3.fl.yelpcdn.com/bphoto/xBBCFBCpvtZlUAHv6DUH3A/o.jpg,16738 Lakeshore Dr,,,Lake Elsinore,US,CA,92530,Pho Non La,+19516742689,$$,3.5,133,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-non-la-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huynh-riverside,['vietnamese'],['Vietnamese'],33.9449917547207,-117.415257823375,(951) 354-2799,30592.967204021745,C7VheQF-xzdnBI_V1t4g-w,https://s3-media1.fl.yelpcdn.com/bphoto/zH18ni3sIth2NoWiRHflyg/o.jpg,5180 Arlington Ave,,,Riverside,US,CA,92504,Pho Huynh,+19513542799,$,4.0,284,[],https://www.yelp.com/biz/pho-huynh-riverside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-neighbors-lake-elsinore,['vietnamese'],['Vietnamese'],33.6547362373382,-117.298637218773,(951) 674-6789,22905.47901514213,5PzZTgjJihyJ6w5WWrV6vg,https://s3-media2.fl.yelpcdn.com/bphoto/Rej3EKjCuwDEPt6LmuMfHA/o.jpg,32245 Mission Trl,,,Lake Elsinore,US,CA,92530,Pho' Neighbors,+19516746789,$,4.5,115,[],https://www.yelp.com/biz/pho-neighbors-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
spicy-noodle-murrieta-3,"['thai', 'noodles', 'asianfusion']","['Thai', 'Noodles', 'Asian Fusion']",33.5508176,-117.1947052,(951) 677-7866,28938.6038003446,AWJIxnx_MYt9x9TJGtTIyg,https://s3-media4.fl.yelpcdn.com/bphoto/raLCto7Estrk9zMKtcnlzA/o.jpg,25395 Madison Ave,Ste 107,,Murrieta,US,CA,92562,Spicy Noodle,+19516777866,$$,4.0,1002,[],https://www.yelp.com/biz/spicy-noodle-murrieta-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
signature-pho-and-desserts-canyon-lake,"['vietnamese', 'desserts']","['Vietnamese', 'Desserts']",33.6714542520775,-117.253183465958,(951) 746-2635,18765.60064712295,cvL_YWx3LJHV6uxR_fEPTg,https://s3-media3.fl.yelpcdn.com/bphoto/i_tB3aDZvZdG9UHvlV3HIg/o.jpg,31574 Railroad Canyon Rd,Ste A,,Canyon Lake,US,CA,92587,Signature Pho & Desserts,+19517462635,$$,4.0,249,['pickup'],https://www.yelp.com/biz/signature-pho-and-desserts-canyon-lake?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-92-vietnamese-restaurant-beaumont,['vietnamese'],['Vietnamese'],33.92841,-116.94965,(951) 845-8133,21521.828517686332,QzuQfxFPKzHiQbatCJiD2w,https://s3-media3.fl.yelpcdn.com/bphoto/dw_VFMoiIJ37ehMicbyTXQ/o.jpg,1661 E 6th St,Unit B,,Beaumont,US,CA,92223,Pho 92 Vietnamese Restaurant,+19518458133,$,3.0,222,[],https://www.yelp.com/biz/pho-92-vietnamese-restaurant-beaumont?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ocean-pho-riverside-2,['vietnamese'],['Vietnamese'],33.973105,-117.348653,(951) 742-5272,27560.26932041896,x4e_t11DRbwGGqWTAVwPqQ,https://s3-media1.fl.yelpcdn.com/bphoto/0eBn9HTbIB5OX-5XsaZ8pg/o.jpg,4069 Chicago Ave,,,Riverside,US,CA,92507,Ocean Pho,+19517425272,$$,4.5,24,[],https://www.yelp.com/biz/ocean-pho-riverside-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
