alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-flavor-ridgecrest-2,"['vietnamese', 'thai', 'chinese']","['Vietnamese', 'Thai', 'Chinese']",35.635955,-117.670209,(760) 371-7500,49482.838221416794,JHA4g39R5tMUh-jX2Suf_w,https://s3-media2.fl.yelpcdn.com/bphoto/DvyjEh12Y3o9Ydc5lQkGkQ/o.jpg,819 N China Lake Blvd,,,Ridgecrest,US,CA,93555,Saigon Flavor,+17603717500,$,4.0,174,[],https://www.yelp.com/biz/saigon-flavor-ridgecrest-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-saigon-bakersfield,['vietnamese'],['Vietnamese'],35.359362606084,-119.003847384656,(661) 631-2538,80226.36823779167,ZbDwndKHe2L3JpTE_4zbcg,https://s3-media4.fl.yelpcdn.com/bphoto/YSd_FJqlpcZcRLS_RyD2PQ/o.jpg,333 Union Ave,Ste 201,,Bakersfield,US,CA,93307,New Saigon,+16616312538,$,4.0,157,[],https://www.yelp.com/biz/new-saigon-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vy-bakersfield,['vietnamese'],['Vietnamese'],35.359216,-119.003501,(661) 323-9888,80205.92226264236,-eBnnnw9iYJalbNY1aU5oQ,https://s3-media3.fl.yelpcdn.com/bphoto/7LrLp6EKaKrHlk0KBJokhw/o.jpg,333 Union Ave,Ste 203,,Bakersfield,US,CA,93307,Pho-Vy,+16613239888,$,4.0,220,[],https://www.yelp.com/biz/pho-vy-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blue-ginger-pho-tehachapi,['vietnamese'],['Vietnamese'],35.12466,-118.46849,(661) 823-1199,66671.58389978057,91q3hprEJmYyMYuymtVpUg,https://s3-media3.fl.yelpcdn.com/bphoto/f4YAXVCcVPzjlsDthzCrBw/o.jpg,1121 W Valley Blvd,,,Tehachapi,US,CA,93561,Blue Ginger Pho,+16618231199,$,4.0,176,[],https://www.yelp.com/biz/blue-ginger-pho-tehachapi?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jasmine-and-the-new-taste-bakersfield-6,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",35.375919342041,-119.019187927246,(661) 432-7945,80655.76640059198,CjRZWxJzFOqVzs9nBnJatA,https://s3-media4.fl.yelpcdn.com/bphoto/6F2xsguyWoEtO8Mk1sqQXQ/o.jpg,1823 Chester Ave,,,Bakersfield,US,CA,93301,Jasmine & The New Taste,+16614327945,$$,4.0,263,"['pickup', 'delivery']",https://www.yelp.com/biz/jasmine-and-the-new-taste-bakersfield-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vientiane-cuisine-porterville,"['vietnamese', 'laotian', 'seafood']","['Vietnamese', 'Laotian', 'Seafood']",36.06633,-119.02943,(559) 791-0663,84673.50032446285,ejVWeQjJxncL_IRFeJ-iDQ,https://s3-media4.fl.yelpcdn.com/bphoto/xKi82vNG_S-PxG84s7xFEg/o.jpg,550 W Olive,Ste A,,Porterville,US,CA,93257,Vientiane Cuisine,+15597910663,$,4.0,64,['delivery'],https://www.yelp.com/biz/vientiane-cuisine-porterville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-house-restaurant-ridgecrest,['thai'],['Thai'],35.65085,-117.67415,(760) 446-0271,48962.11029446807,oU1cUuR_FeRRi-omXPh6Ig,https://s3-media2.fl.yelpcdn.com/bphoto/yR-TaX9xFxyMlzcR-Ub28Q/o.jpg,303 W Inyokern Rd,,,Ridgecrest,US,CA,93555,Bangkok House Restaurant,+17604460271,$$,4.0,104,[],https://www.yelp.com/biz/bangkok-house-restaurant-ridgecrest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chefs-choice-noodle-bar-bakersfield,"['thai', 'asianfusion', 'noodles']","['Thai', 'Asian Fusion', 'Noodles']",35.37641,-119.01985,(661) 325-1234,80670.99836501373,T4gAurcMExbQZFO5erVaPw,https://s3-media2.fl.yelpcdn.com/bphoto/PaIOk-qErkVTB2wuJf1_DA/o.jpg,1534 19th St,Ste 100,,Bakersfield,US,CA,93301,Chef's Choice Noodle Bar,+16613251234,$$,4.0,494,"['pickup', 'delivery']",https://www.yelp.com/biz/chefs-choice-noodle-bar-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-hachapi-tehachapi,['thai'],['Thai'],35.1310227,-118.4468553,(661) 823-4891,65357.26165203145,7P7uOBwktb2jWW-u9R0K8w,https://s3-media1.fl.yelpcdn.com/bphoto/zbw2g2yixiidTBL4Av_jeA/o.jpg,119 East F Street,,,Tehachapi,US,CA,93561,Thai Hachapi,+16618234891,$$,4.5,121,[],https://www.yelp.com/biz/thai-hachapi-tehachapi?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ocha-thai-restaurant-bakersfield-2,['thai'],['Thai'],35.3174585231901,-119.030499011278,(661) 397-6882,84564.9124815644,g29YvdwBpk1ts4GRVDIB_A,https://s3-media3.fl.yelpcdn.com/bphoto/QuVCWhTT1PedD-AyOasliA/o.jpg,2501 White Ln,Ste D,,Bakersfield,US,CA,93304,Ocha Thai Restaurant,+16613976882,$$,4.0,124,[],https://www.yelp.com/biz/ocha-thai-restaurant-bakersfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
