alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
my-pho-orange-3,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.78717,-117.816971,(714) 633-9988,1932.1514245489504,CFoKRy6etV66kwbDinYRGg,https://s3-media4.fl.yelpcdn.com/bphoto/q_vxSJeTpGZqsY3VB3UPIA/o.jpg,3426 E Chapman Ave,,,Orange,US,CA,92869,My Pho,+17146339988,$,4.0,294,[],https://www.yelp.com/biz/my-pho-orange-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-oh-tasty-orange,['vietnamese'],['Vietnamese'],33.82154,-117.83698,(714) 912-4305,4967.547548317944,2b9YOvv_FpBD9NXlCfB3SA,https://s3-media2.fl.yelpcdn.com/bphoto/Fd30hTHyaRIA30xXy7Kxvg/o.jpg,2024 N Tustin St,,,Orange,US,CA,92865,Pho Oh Tasty,+17149124305,$,4.5,547,[],https://www.yelp.com/biz/pho-oh-tasty-orange?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
monarch-9-café-yorba-linda-2,"['french', 'vietnamese']","['French', 'Vietnamese']",33.87703,-117.73804,(714) 602-9371,10853.813424235937,1dNP0XZRFLOrtkdRsNZQHA,https://s3-media2.fl.yelpcdn.com/bphoto/FEQ6b0NN1J2XAdKEwqrtrw/o.jpg,22755 Savi Ranch Pkwy,Ste A,,Yorba Linda,US,CA,92887,Monarch 9 Café,+17146029371,$$,4.5,583,[],https://www.yelp.com/biz/monarch-9-caf%C3%A9-yorba-linda-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
united-rose-deli-and-pho-orange-2,"['vietnamese', 'sandwiches', 'delis']","['Vietnamese', 'Sandwiches', 'Delis']",33.8361508,-117.8450732,(714) 282-1500,6648.405385644131,QiSYVWb837AwWQDV9mEnlA,https://s3-media1.fl.yelpcdn.com/bphoto/u6NOPVUIUhMGn3734saDcg/o.jpg,816 E Lincoln Ave,,,Orange,US,CA,92865,United Rose Deli & Pho,+17142821500,$,4.5,501,"['delivery', 'pickup']",https://www.yelp.com/biz/united-rose-deli-and-pho-orange-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ha-long-bay-pho-and-grill-tustin,"['vietnamese', 'salad', 'soup']","['Vietnamese', 'Salad', 'Soup']",33.74712,-117.81214,(714) 852-3897,5160.918022420166,vmMSF3mD6RI79EhIV_pgMg,https://s3-media2.fl.yelpcdn.com/bphoto/-gUgTabkUbqLdR9OrQR9iA/o.jpg,13152 Newport Ave,Ste A,,Tustin,US,CA,92780,Ha Long Bay Pho & Grill,+17148523897,$,4.0,267,[],https://www.yelp.com/biz/ha-long-bay-pho-and-grill-tustin?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nguyens-kitchen-orange,"['vietnamese', 'newamerican', 'asianfusion']","['Vietnamese', 'American (New)', 'Asian Fusion']",33.7815522810404,-117.867047935724,(714) 771-5410,6590.687078117831,EjuethqTHCA76eW43u7hpQ,https://s3-media3.fl.yelpcdn.com/bphoto/-7eATtGT3RAGepMhn-8hZw/o.jpg,445 S Main St,Ste B,,Orange,US,CA,92868,Nguyen's Kitchen,+17147715410,$,4.0,1199,"['delivery', 'pickup']",https://www.yelp.com/biz/nguyens-kitchen-orange?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-binh-restaurant-anaheim-5,['vietnamese'],['Vietnamese'],33.8182349,-117.8870299,(714) 635-9531,8849.319703419957,dM55CP1cf7n290SxHTyDgA,https://s3-media2.fl.yelpcdn.com/bphoto/hlKeT6q5_YB0zVLyp_L_wA/o.jpg,2119 E Ball Rd,,,Anaheim,US,CA,92806,Thanh Binh Restaurant,+17146359531,$,4.5,196,[],https://www.yelp.com/biz/thanh-binh-restaurant-anaheim-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
the-chicken-rice-santa-ana,['thai'],['Thai'],33.74876,-117.87011,,8297.65368482153,Xqkmfdq0vXBQ8aQ58nA1tQ,https://s3-media2.fl.yelpcdn.com/bphoto/OuF7C27nEitYjPXjfSaMKw/o.jpg,318 W 5th St,,,Santa Ana,US,CA,92701,The Chicken Rice,,$$,5.0,9,"['delivery', 'pickup']",https://www.yelp.com/biz/the-chicken-rice-santa-ana?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tan-hoang-huong-sandwiches-and-coffee-tustin,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",33.7357596,-117.8247969,(714) 731-1366,6697.5403500342545,0FRw-rwamv8L26J3TZZVag,https://s3-media1.fl.yelpcdn.com/bphoto/i09i9K62Fosi-alMaejnvA/o.jpg,14081 Newport Ave,,,Tustin,US,CA,92780,Tan Hoang Huong Sandwiches & Coffee,+17147311366,$,4.0,668,[],https://www.yelp.com/biz/tan-hoang-huong-sandwiches-and-coffee-tustin?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-pho-noodle-house-orange,"['noodles', 'vietnamese', 'coffee']","['Noodles', 'Vietnamese', 'Coffee & Tea']",33.7815901800558,-117.868334390223,(714) 912-4020,6707.145360487294,433akOzD5ZkP6B4ZMKPP_A,https://s3-media2.fl.yelpcdn.com/bphoto/7ZybOkKNuttMb7bsgeVReA/o.jpg,424 S Main St,,,Orange,US,CA,92868,Simply Pho Noodle House,+17149124020,$,4.5,178,[],https://www.yelp.com/biz/simply-pho-noodle-house-orange?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
