alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
bunny-pacifica,['vietnamese'],['Vietnamese'],37.63557,-122.49183,(650) 557-1325,1496.0194473496106,0leDvRPQ3lnv4J_3taazgg,https://s3-media2.fl.yelpcdn.com/bphoto/FO1QbqqxsRHqlGaGILsepw/o.jpg,1715 Palmetto Ave,Unit A,,Pacifica,US,CA,94044,Bunny,+16505571325,$,4.0,201,[],https://www.yelp.com/biz/bunny-pacifica?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
oasis-vietnamese-cuisine-pacifica-2,"['vietnamese', 'noodles', 'sandwiches']","['Vietnamese', 'Noodles', 'Sandwiches']",37.6473193915376,-122.490082941949,(650) 898-8269,2783.395785346932,oU5xNeRZ6jqgiTx9m7j0FQ,https://s3-media4.fl.yelpcdn.com/bphoto/VNLZSKZEg8OnDi4vzl4L7w/o.jpg,549 Oceana Blvd,Ste B,,Pacifica,US,CA,94044,Oasis Vietnamese Cuisine,+16508988269,,4.0,79,['pickup'],https://www.yelp.com/biz/oasis-vietnamese-cuisine-pacifica-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ben-tre-vietnamese-homestyle-cuisine-south-san-francisco,['vietnamese'],['Vietnamese'],37.6557878294219,-122.412228137255,(650) 952-2243,7634.0388614725225,6LgVPqC6HFU_q0KrIW1B1Q,https://s3-media2.fl.yelpcdn.com/bphoto/ClOgV4zuQObd34MNYt1wXA/o.jpg,398 Grand Ave,,,South San Francisco,US,CA,94080,Ben Tre Vietnamese Homestyle Cuisine,+16509522243,$$,4.0,1630,[],https://www.yelp.com/biz/ben-tre-vietnamese-homestyle-cuisine-south-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dinosaurs-pacifica-3,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.6338052,-122.4887896,(650) 557-1421,1276.4832209483202,ES-ZjFlRDy7uF0jCLsspVw,https://s3-media3.fl.yelpcdn.com/bphoto/_kW-jp5XK_7rNfLt-_y19w/o.jpg,50 Eureka Dr,,,Pacifica,US,CA,94044,Dinosaurs,+16505571421,$,4.0,290,['pickup'],https://www.yelp.com/biz/dinosaurs-pacifica-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-south-san-francisco-6,['vietnamese'],['Vietnamese'],37.6445117679066,-122.453340427818,(650) 872-2471,3919.3581398888964,6JztpCqROvBCdc0PPvKKgg,https://s3-media1.fl.yelpcdn.com/bphoto/PbiAiJ1reJKT7uPKS2JOSw/o.jpg,2288 Westborough Blvd,,,South San Francisco,US,CA,94080,Pho Saigon,+16508722471,$,2.5,649,[],https://www.yelp.com/biz/pho-saigon-south-san-francisco-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-de-nguyen-san-bruno-2,"['vietnamese', 'vegetarian', 'vegan']","['Vietnamese', 'Vegetarian', 'Vegan']",37.6261563,-122.4111054,(650) 873-1388,6785.981879351571,R6-KD8GqziSGDAs9W1mbDg,https://s3-media1.fl.yelpcdn.com/bphoto/R_vEUjA_OObCuxU8AcEjfA/o.jpg,586-A San Mateo Ave,,,San Bruno,US,CA,94066,Pho de Nguyen,+16508731388,$$,4.0,198,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-de-nguyen-san-bruno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
la-petite-camille-millbrae,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.6,-122.38849,(650) 692-4978,9092.174081404226,M2M29agT-o7mldTLX2cemQ,https://s3-media2.fl.yelpcdn.com/bphoto/-vPz58c8dIlUShOCYmP6Cw/o.jpg,170 El Camino Real,,,Millbrae,US,CA,94030,La Petite Camille,+16506924978,$$,3.5,592,['pickup'],https://www.yelp.com/biz/la-petite-camille-millbrae?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huynh-hiep-kevins-noodle-house-daly-city-2,"['vietnamese', 'noodles', 'seafood']","['Vietnamese', 'Noodles', 'Seafood']",37.682582,-122.488027,(415) 769-5788,6698.047723126575,sdSvTg0JHOy50l-6Zw_bqw,https://s3-media1.fl.yelpcdn.com/bphoto/x82L8VCsNdkp9ho2crdl3Q/o.jpg,188 Skyline Plz,,,Daly City,US,CA,94015,Pho Huynh Hiep - Kevin's Noodle House,+14157695788,$,3.5,205,[],https://www.yelp.com/biz/pho-huynh-hiep-kevins-noodle-house-daly-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
gao-viet-kitchen-and-bar-san-mateo,['vietnamese'],['Vietnamese'],37.5641,-122.32365,(650) 477-2524,15856.396664584718,7bEgQiicjij9gPVfHiJOeQ,https://s3-media3.fl.yelpcdn.com/bphoto/fqKKQldYrc49Hq76l1pqtQ/o.jpg,313 S San Mateo Dr,,,San Mateo,US,CA,94401,Gao Viet Kitchen & Bar,+16504772524,$$$,4.0,135,['restaurant_reservation'],https://www.yelp.com/biz/gao-viet-kitchen-and-bar-san-mateo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ben-tre-vietnamese-homestyle-cuisine-millbrae,"['vietnamese', 'soup', 'chicken_wings']","['Vietnamese', 'Soup', 'Chicken Wings']",37.60052,-122.39033,(650) 689-5588,8934.494865923749,T2xibSmmNFNcLtKVV6ppkg,https://s3-media1.fl.yelpcdn.com/bphoto/mhOZShWP3S4Gd_XQwT5jRg/o.jpg,219 El Camino Real,,,Millbrae,US,CA,94030,Ben Tre Vietnamese Homestyle Cuisine,+16506895588,$$,4.0,778,[],https://www.yelp.com/biz/ben-tre-vietnamese-homestyle-cuisine-millbrae?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
wicked-star-san-francisco,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.770997,-122.391432,(415) 521-6389,18549.183450804336,s10mApVcsXi6GHxOuVHEGw,https://s3-media4.fl.yelpcdn.com/bphoto/2kUQgGGPkd49TLo561ZdZA/o.jpg,601 Mission Bay Blvd N,,,San Francisco,US,CA,94158,Wicked Star,+14155216389,,5.0,2,[],https://www.yelp.com/biz/wicked-star-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bayhill-vietnamese-bistro-san-bruno-2,['vietnamese'],['Vietnamese'],37.6264979,-122.424924,(650) 588-9662,5460.455609740091,gea_Od6UOCVfG9c3PjX1UQ,https://s3-media1.fl.yelpcdn.com/bphoto/Xo9xwZ28M5V20xVuh0V7dw/o.jpg,851 Cherry Ave,,,San Bruno,US,CA,94066,Bayhill Vietnamese Bistro,+16505889662,$$,3.0,72,[],https://www.yelp.com/biz/bayhill-vietnamese-bistro-san-bruno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
