alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-mely-bellflower,['vietnamese'],['Vietnamese'],33.9035142213106,-118.134127557278,(562) 920-0224,2541.0849517064357,j9jEQSPdtJT6BoEiWi-8EA,https://s3-media3.fl.yelpcdn.com/bphoto/cRtv_M1Jl8R7suvyJo7seQ/o.jpg,14351 Clark Ave,,,Bellflower,US,CA,90706,Pho Mely,+15629200224,$,3.5,227,[],https://www.yelp.com/biz/pho-mely-bellflower?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hiccups-paramount-2,"['thai', 'coffee', 'vietnamese']","['Thai', 'Coffee & Tea', 'Vietnamese']",33.8862646387506,-118.160892200834,(562) 269-1811,1042.6026068299304,mYqHe3V9uqOHMtGz2yg0zw,https://s3-media4.fl.yelpcdn.com/bphoto/YG-Of3sV8-TTdBPt7hqmtA/o.jpg,16279 Paramount Blvd,Ste A1,,Paramount,US,CA,90723,Hiccups,+15622691811,$$,3.5,496,"['pickup', 'delivery']",https://www.yelp.com/biz/hiccups-paramount-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-sandwiches-bellflower,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",33.9040513721603,-118.142505088082,(562) 220-2699,1964.435037101173,FzxY0rI2jYyCMORAMVzY8A,https://s3-media1.fl.yelpcdn.com/bphoto/ZArPoL0pennJ4nZ8YHxZ4A/o.jpg,13540 Lakewood Blvd,,,Bellflower,US,CA,90242,Lee's Sandwiches,+15622202699,$,3.5,114,[],https://www.yelp.com/biz/lees-sandwiches-bellflower?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
treasure-pot-thai-restaurant-paramount,"['thai', 'seafood']","['Thai', 'Seafood']",33.888497,-118.150108,(562) 531-7337,1297.0762956229469,Xu8cefOnEt9ia5FGcnX6wg,https://s3-media3.fl.yelpcdn.com/bphoto/SMh1nr38YsxCgUxysUZFrQ/o.jpg,8540 Alondra Blvd,Ste B6,,Paramount,US,CA,90723,Treasure Pot Thai Restaurant,+15625317337,$,4.0,195,[],https://www.yelp.com/biz/treasure-pot-thai-restaurant-paramount?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lees-sandwiches-long-beach-7,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",33.874324,-118.168273,(562) 728-1088,2457.1179810717754,hXR4JnRtYtn22hLK295uyw,https://s3-media3.fl.yelpcdn.com/bphoto/AbDesI0hBNfZiXz7Gr7xuQ/o.jpg,6598 Cherry Ave,Ste B,,Long Beach,US,CA,90805,Lee's Sandwiches,+15627281088,$,3.5,214,"['pickup', 'delivery']",https://www.yelp.com/biz/lees-sandwiches-long-beach-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
michael-thy-donuts-bellflower-2,"['donuts', 'sandwiches']","['Donuts', 'Sandwiches']",33.9020730719294,-118.117599837256,(562) 991-1069,4089.055595674377,3tfWvUn5ZEWnYHFYSour1g,https://s3-media1.fl.yelpcdn.com/bphoto/DVxqJ1tbuZeBUTd1NqnOSw/o.jpg,10137 Rosecrans Ave,,,Bellflower,US,CA,90706,Michael-Thy Donut's,+15629911069,$,4.0,11,[],https://www.yelp.com/biz/michael-thy-donuts-bellflower-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-vietnam-truck-los-angeles-30,"['vietnamese', 'sandwiches', 'foodtrucks']","['Vietnamese', 'Sandwiches', 'Food Trucks']",33.95804,-118.3898,(949) 678-9281,21793.070019164097,sYZ-QjJ0BI1qV1aTRbXUJQ,https://s3-media1.fl.yelpcdn.com/bphoto/_leKuRTFcyjq0g3S2YN5_Q/o.jpg,,,,Los Angeles,US,CA,90045,Cafe Vietnam Truck,+19496789281,$,5.0,151,"['pickup', 'delivery']",https://www.yelp.com/biz/cafe-vietnam-truck-los-angeles-30?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kim-sun-kitchen-long-beach,"['chinese', 'cambodian']","['Chinese', 'Cambodian']",33.85545,-118.16875,(562) 428-0337,4529.07188412388,7dTsjbzaSZ2o2L-UACyI4Q,https://s3-media1.fl.yelpcdn.com/bphoto/hNRO_ut9dpBr69LI06Jgzg/o.jpg,5449 Cherry Ave,,,Long Beach,US,CA,90805,Kim Sun Kitchen,+15624280337,$,4.5,108,[],https://www.yelp.com/biz/kim-sun-kitchen-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
donut-house-compton-2,"['donuts', 'coffee', 'sandwiches']","['Donuts', 'Coffee & Tea', 'Sandwiches']",33.903325,-118.19436,(310) 632-7376,3175.7793939586477,uEiQp6KNCzNtjB3qYxnyng,https://s3-media3.fl.yelpcdn.com/bphoto/myvYJwg8AM5xCpVB2GWALQ/o.jpg,14309 S Atlantic Ave,,,Compton,US,CA,90221,Donut House,+13106327376,,5.0,1,[],https://www.yelp.com/biz/donut-house-compton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
grannys-donuts-lakewood-2,"['donuts', 'bubbletea', 'juicebars']","['Donuts', 'Bubble Tea', 'Juice Bars & Smoothies']",33.85719,-118.11669,(562) 925-7162,5931.008884747333,mTpNg4s0ktrATm2PUim_Ew,https://s3-media1.fl.yelpcdn.com/bphoto/7Kkf05b9h2qcPKRUnYEZAg/o.jpg,5550 Woodruff Ave,,,Lakewood,US,CA,90713,Granny's Donuts,+15629257162,$,4.5,80,[],https://www.yelp.com/biz/grannys-donuts-lakewood-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-chinese-express-long-beach,"['chinese', 'cambodian']","['Chinese', 'Cambodian']",33.8593903,-118.1662064,(562) 531-3838,4046.726528367425,mwHKCoEDsAR41ny1EZDKkg,https://s3-media3.fl.yelpcdn.com/bphoto/7R3V7WexrKPLoRgklslr7A/o.jpg,2150 E South St,Ste 105,,Long Beach,US,CA,90805,Golden Chinese Express,+15625313838,$,4.0,58,[],https://www.yelp.com/biz/golden-chinese-express-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
togo-s-sandwiches-lakewood,"['sandwiches', 'delis', 'hotdogs']","['Sandwiches', 'Delis', 'Fast Food']",33.8539549,-118.1385132,(562) 602-0597,5044.162311755314,MHPJcVFIprdehWqVqJIKuA,https://s3-media3.fl.yelpcdn.com/bphoto/0-zTvqVGJOJAb4S6Du7pkQ/o.jpg,4629 Candlewood St,,,Lakewood,US,CA,90712,Togo’s Sandwiches,+15626020597,$,3.5,82,['delivery'],https://www.yelp.com/biz/togo-s-sandwiches-lakewood?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
