alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
vietnamese-noodles-palmdale,"['noodles', 'vietnamese']","['Noodles', 'Vietnamese']",34.578918,-118.12663,(661) 265-8881,23586.844406645057,IJrsqPq-r5qTHHDt9TNCXQ,https://s3-media1.fl.yelpcdn.com/bphoto/vg-wYoTOonNnDBetH0Dnfw/o.jpg,230 E Palmdale Blvd,,,Palmdale,US,CA,93150,Vietnamese Noodles,+16612658881,$,4.5,76,[],https://www.yelp.com/biz/vietnamese-noodles-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
angkor-restaurant-palmdale,"['vietnamese', 'cambodian', 'chinese']","['Vietnamese', 'Cambodian', 'Chinese']",34.60315,-118.1870846,(661) 266-9400,29704.75558319672,Yh0Dblx5Ni96qHY4oMVyow,https://s3-media1.fl.yelpcdn.com/bphoto/Gu1bYHC-xtPVKa3AxMq2VQ/o.jpg,3135 Rancho Vista Blvd,Ste H,,Palmdale,US,CA,93551,Angkor Restaurant,+16612669400,$$,4.0,130,[],https://www.yelp.com/biz/angkor-restaurant-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-stop-lancaster,['vietnamese'],['Vietnamese'],34.689039484471,-118.167467856639,(661) 940-8887,33247.982016379276,spDB5fBlDV3bsvhEI_n5qQ,https://s3-media3.fl.yelpcdn.com/bphoto/pcrHBgk_dOaXlaur5oTY2g/o.jpg,2062 W Avenue J,,,Lancaster,US,CA,93536,Pho Stop,+16619408887,$,3.5,188,[],https://www.yelp.com/biz/pho-stop-lancaster?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hot-glendale,"['vietnamese', 'sandwiches', 'noodles']","['Vietnamese', 'Sandwiches', 'Noodles']",34.165173838165,-118.286616504192,(818) 696-2255,51893.21999294819,sKifOM8aY3w_bKw5tVmiYg,https://s3-media3.fl.yelpcdn.com/bphoto/T2jnp5SVA1fwRErWVxkbTw/o.jpg,6306 San Fernando Rd,,,Glendale,US,CA,91201,Pho Hot,+18186962255,$,4.5,372,[],https://www.yelp.com/biz/pho-hot-glendale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-palms-restaurant-palmdale,['thai'],['Thai'],34.5799,-118.11221,(661) 272-1267,22431.087516869367,FA1GsBT0UBXcaqBGWajWMg,https://s3-media4.fl.yelpcdn.com/bphoto/Lm1ju8cQOhPAOiy4hNseTg/o.jpg,957 E Palmdale Blvd,Ste 2,,Palmdale,US,CA,93550,Thai Palms Restaurant,+16612721267,$,4.5,119,[],https://www.yelp.com/biz/thai-palms-restaurant-palmdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
boba-cove-and-cafe-lancaster-4,"['cafes', 'bubbletea']","['Cafes', 'Bubble Tea']",34.6900465030404,-118.173603162105,(661) 945-2929,33751.26979214991,UkKv1JiFBACI8XYTYCYpvQ,https://s3-media3.fl.yelpcdn.com/bphoto/CUDNdklhzg-RgiO0DdSadg/o.jpg,44445 Valley Central Way,,,Lancaster,US,CA,93536,Boba Cove & Cafe,+16619452929,$,4.5,362,['pickup'],https://www.yelp.com/biz/boba-cove-and-cafe-lancaster-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
little-hang-pasadena-4,"['foodstands', 'vietnamese']","['Food Stands', 'Vietnamese']",34.14595,-118.10085,(714) 548-0574,41053.40906771188,4cF21S-T9X66ixeHbyaEhA,https://s3-media2.fl.yelpcdn.com/bphoto/UklX2lMiUCqlQQigW5oT8Q/o.jpg,,,,Pasadena,US,CA,91107,Little Hang,+17145480574,,5.0,5,[],https://www.yelp.com/biz/little-hang-pasadena-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
aj-noodles-glendale,"['vietnamese', 'ramen']","['Vietnamese', 'Ramen']",34.22229,-118.24916,(818) 248-2488,45004.53087485589,0Vz2syFa9XcblzbXro4R0A,https://s3-media3.fl.yelpcdn.com/bphoto/xcA6JhMmZ_W5-tsb_RRazQ/o.jpg,4121 Pennsylvania Ave,,,Glendale,US,CA,91214,AJ Noodles,+18182482488,$,4.5,287,[],https://www.yelp.com/biz/aj-noodles-glendale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-season-la-cañada-flintridge,['vietnamese'],['Vietnamese'],34.21601,-118.22559,(818) 249-0001,43968.12851572771,bCyH6NLDFKQu9JycC-Qkrw,https://s3-media1.fl.yelpcdn.com/bphoto/2NQufa7n5n4yEbyGc-NPaA/o.jpg,2222 Foothill Blvd,,,La Cañada Flintridge,US,CA,91011,Pho Season,+18182490001,$$,4.0,304,[],https://www.yelp.com/biz/pho-season-la-ca%C3%B1ada-flintridge?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-22-la-crescenta,['vietnamese'],['Vietnamese'],34.20506,-118.226309,(818) 957-2121,44848.03869766291,uVfFcNssLVXbrQNThjisPA,https://s3-media2.fl.yelpcdn.com/bphoto/FQTQIjpA4Xrk-57fbsCYLQ/o.jpg,2230 Honolulu Ave,,,La Crescenta,US,CA,91214,Pho 22,+18189572121,$,3.5,230,[],https://www.yelp.com/biz/pho-22-la-crescenta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-vietnam-truck-los-angeles-30,"['vietnamese', 'sandwiches', 'foodtrucks']","['Vietnamese', 'Sandwiches', 'Food Trucks']",33.95804,-118.3898,(949) 678-9281,76005.29020105638,sYZ-QjJ0BI1qV1aTRbXUJQ,https://s3-media1.fl.yelpcdn.com/bphoto/_leKuRTFcyjq0g3S2YN5_Q/o.jpg,,,,Los Angeles,US,CA,90045,Cafe Vietnam Truck,+19496789281,$,5.0,151,"['delivery', 'pickup']",https://www.yelp.com/biz/cafe-vietnam-truck-los-angeles-30?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-fortune-express-la-crescenta,"['hotdogs', 'chinese']","['Fast Food', 'Chinese']",34.22063,-118.23477,(818) 330-7789,44153.72111911477,xKjcpg3HjhBWblaSieJPsQ,https://s3-media4.fl.yelpcdn.com/bphoto/e2fR6pnnsqp9XhwntThhYQ/o.jpg,2550 Foothill Blvd,,,La Crescenta,US,CA,91214,Golden Fortune Express,+18183307789,$,4.0,51,[],https://www.yelp.com/biz/golden-fortune-express-la-crescenta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fruit-love-pasadena,"['juicebars', 'coffee', 'sandwiches']","['Juice Bars & Smoothies', 'Coffee & Tea', 'Sandwiches']",34.169714,-118.1323814,(626) 714-7200,42700.061576834334,k970G0qBD42hpy8W5MJGvw,https://s3-media1.fl.yelpcdn.com/bphoto/WQh6lzem1nyU_aFICF2-ig/o.jpg,1373 N Lake Ave,,,Pasadena,US,CA,91104,Fruit Love,+16267147200,$,4.5,57,[],https://www.yelp.com/biz/fruit-love-pasadena?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tiffanys-coffee-glendale,"['coffee', 'breakfast_brunch', 'sandwiches']","['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",34.15862,-118.26384,(818) 242-4432,50951.22046230189,rtJyuHW6NyBzKQ_Yzz7-cw,https://s3-media2.fl.yelpcdn.com/bphoto/_2Zoe5NO8I4xpl7y9YVs_A/o.jpg,900 N Pacific Ave,Ste A,,Glendale,US,CA,91203,Tiffany's Coffee,+18182424432,$,3.5,224,[],https://www.yelp.com/biz/tiffanys-coffee-glendale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
