alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-king-good-auburn,['vietnamese'],['Vietnamese'],38.9252186,-121.0855054,(530) 888-6868,12421.67147236365,N6Srot1d7lyguiP2_Y875g,https://s3-media2.fl.yelpcdn.com/bphoto/sSPozUzphsHTvcUWLkllGw/o.jpg,1501 Grass Valley Hwy,,,Auburn,US,CA,95603,Pho King Good,+15308886868,$,4.0,372,[],https://www.yelp.com/biz/pho-king-good-auburn?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-cali-rocklin-5,"['vietnamese', 'juicebars', 'noodles']","['Vietnamese', 'Juice Bars & Smoothies', 'Noodles']",38.8049965076175,-121.271195429911,(916) 259-2086,8714.309352379018,_ntbt2Fixf-M6Igwgj5vyQ,https://s3-media1.fl.yelpcdn.com/bphoto/3KjzuAr7KjIl5rFFoBmlCg/o.jpg,2209 Sunset Blvd,Ste 903,,Rocklin,US,CA,95765,Pho Cali,+19162592086,$,4.5,915,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-cali-rocklin-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hang-roseville,"['vietnamese', 'desserts', 'noodles']","['Vietnamese', 'Desserts', 'Noodles']",38.78426,-121.28672,(916) 771-2565,11108.313917690097,WQ6OYDEH-1k9yx0tbqI3_g,https://s3-media3.fl.yelpcdn.com/bphoto/O3T3p1IT0coxHvOjJAGiow/o.jpg,916 Pleasant Grove Blvd,Ste 150,,Roseville,US,CA,95678,Pho Hang,+19167712565,$,4.0,385,[],https://www.yelp.com/biz/pho-hang-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dt-noodle-roseville,['vietnamese'],['Vietnamese'],38.7607903,-121.308283,(916) 797-8883,14198.517035110459,6Bl8hhg9WS6OrIuCKL5Ilw,https://s3-media1.fl.yelpcdn.com/bphoto/DTswU_CbdNLJAyWyN-ZDNQ/o.jpg,5015 Foothills Blvd,Ste 3B,,Roseville,US,CA,95747,DT Noodle,+19167978883,$,4.5,204,[],https://www.yelp.com/biz/dt-noodle-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kt-noodles-rocklin,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.7868976239632,-121.2515071,(916) 624-3469,8630.21480909872,pkFwB_n2w8CWZ-dU4XAvnQ,https://s3-media1.fl.yelpcdn.com/bphoto/nWSZ_-vxuL3TSMFHFbglMQ/o.jpg,3101 Sunset Blvd,Ste B,,Rocklin,US,CA,95677,KT Noodles,+19166243469,$,4.0,328,[],https://www.yelp.com/biz/kt-noodles-rocklin?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-rocklin,['vietnamese'],['Vietnamese'],38.7978310485016,-121.290047850092,(916) 780-2999,10528.706097205897,LcFmtuEEdXwUpb_rlm0QEg,https://s3-media2.fl.yelpcdn.com/bphoto/8_x_rEMx83t0seOqrEI7Ug/o.jpg,6827 Lonetree Blvd,Ste D-104,,Rocklin,US,CA,95765,Pho Saigon,+19167802999,$,4.0,204,[],https://www.yelp.com/biz/pho-saigon-rocklin?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vegan-asian-cuisine-rocklin,"['vegan', 'vietnamese', 'asianfusion']","['Vegan', 'Vietnamese', 'Asian Fusion']",38.7829,-121.26379,(916) 259-1588,9688.96599667562,3hE2D2dN1gBVFZ7dSUZNig,https://s3-media2.fl.yelpcdn.com/bphoto/e1Z6uLaE7YnbuwOXVYEuig/o.jpg,6661 Stanford Ranch Rd,Ste E,,Rocklin,US,CA,95677,Pho Vegan Asian Cuisine,+19162591588,$,4.5,277,[],https://www.yelp.com/biz/pho-vegan-asian-cuisine-rocklin?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hot-rocklin-3,"['soup', 'vietnamese', 'sandwiches']","['Soup', 'Vietnamese', 'Sandwiches']",38.7973297,-121.2922267,(916) 781-2858,10802.477387345245,kc-rgQ8YDCQYqhBhQTE0dQ,https://s3-media1.fl.yelpcdn.com/bphoto/tEXxMfHYVZhHA4Sa_6dixg/o.jpg,6696 Lonetree Blvd,Ste 500,,Rocklin,US,CA,95765,Pho Hot,+19167812858,$,3.5,289,[],https://www.yelp.com/biz/pho-hot-rocklin-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hotpot-express-citrus-heights,"['hotpot', 'thai', 'asianfusion']","['Hot Pot', 'Thai', 'Asian Fusion']",38.707164,-121.313571,(916) 735-8512,18907.36007735951,Anl8-wx5UISxmrWo-wyDxA,https://s3-media2.fl.yelpcdn.com/bphoto/kQqlhFZtsQ2n8-n66UO8nw/o.jpg,6456 Antelope Rd,,,Citrus Heights,US,CA,95621,Hotpot Express,+19167358512,$$,4.5,259,[],https://www.yelp.com/biz/hotpot-express-citrus-heights?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tam-folsom,['vietnamese'],['Vietnamese'],38.69106,-121.125731,(916) 542-7913,17720.483848025862,5j4bdMWUCZmvWicxuGHClQ,https://s3-media3.fl.yelpcdn.com/bphoto/gg5pUtMaIJRK5R5ZX3RuGw/o.jpg,25004 Blue Ravine Rd,Ste 121,,Folsom,US,CA,95630,Pho Tam,+19165427913,$$,3.5,130,[],https://www.yelp.com/biz/pho-tam-folsom?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bobo-cafe-auburn,['vietnamese'],['Vietnamese'],38.9087362446227,-121.07607690279,(530) 887-5494,11792.775487918854,GsrhjjIxvYOc5MLAu5Aehg,https://s3-media1.fl.yelpcdn.com/bphoto/9z3ChIcOBdx-LhAbukuRqw/o.jpg,213 Palm Ave,,,Auburn,US,CA,95603,Bobo Cafe,+15308875494,$,3.0,52,[],https://www.yelp.com/biz/bobo-cafe-auburn?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-peppers-roseville-2,['thai'],['Thai'],38.73039,-121.27321,(916) 297-7296,14813.138488393019,zr3L56X16cBMLeirv5DI1A,https://s3-media2.fl.yelpcdn.com/bphoto/F6zcx795bQ92mw8PTFGbzw/o.jpg,970 Sunrise Ave,Ste 120,,Roseville,US,CA,95661,Thai Peppers,+19162977296,$$,4.5,122,"['pickup', 'delivery']",https://www.yelp.com/biz/thai-peppers-roseville-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pinto-thai-bistro-roseville,['thai'],['Thai'],38.7841691,-121.2726349,(916) 780-1500,10160.38692500252,DsYXU8O2HqRxmqxmiZGrXQ,https://s3-media1.fl.yelpcdn.com/bphoto/xFCFjE_lDHMIzHS5C8sWcQ/o.jpg,9700 Fairway Dr,Ste 100,,Roseville,US,CA,95678,Pinto Thai Bistro,+19167801500,$$,4.0,305,['pickup'],https://www.yelp.com/biz/pinto-thai-bistro-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
liu-mandarin-kitchen-auburn,['chinese'],['Chinese'],38.89493,-121.07778,(530) 745-4098,10795.930903803803,zv4sA5zIOsfaK7J8tvQJdQ,https://s3-media4.fl.yelpcdn.com/bphoto/Y3oIDcl5QTweD9scYA1dWQ/o.jpg,167 Sacramento St,,,Auburn,US,CA,95603,Liu Mandarin Kitchen,+15307454098,$$,4.5,223,[],https://www.yelp.com/biz/liu-mandarin-kitchen-auburn?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
twin-dragon-mandarin-cuisine-auburn,"['chinese', 'noodles']","['Chinese', 'Noodles']",38.9088735,-121.074365,(530) 888-6190,11932.379511344954,zql_GpPl1GoKUi1eYxySTg,https://s3-media3.fl.yelpcdn.com/bphoto/Lx_dLCT4azUtw9_j3hiwUw/o.jpg,520 Auburn Ravine Rd,,,Auburn,US,CA,95603,Twin Dragon Mandarin Cuisine,+15308886190,$$,3.5,129,[],https://www.yelp.com/biz/twin-dragon-mandarin-cuisine-auburn?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
khun-suda-roseville-3,"['thai', 'seafood', 'noodles']","['Thai', 'Seafood', 'Noodles']",38.7447,-121.25968,(916) 782-2745,12832.683765117898,p3uP8bx40dBMX2--QNuZvg,https://s3-media1.fl.yelpcdn.com/bphoto/yhrPq_GgFKHoyCTq7wBQZg/o.jpg,1825 Douglas Blvd,,,Roseville,US,CA,95661,Khun Suda,+19167822745,$$,4.0,301,['pickup'],https://www.yelp.com/biz/khun-suda-roseville-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bambu-asian-cuisine-roseville,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",38.7767,-121.29142,(916) 772-8688,11950.66844150296,OyGa2Xwpv32G-9OtMA9vWw,https://s3-media2.fl.yelpcdn.com/bphoto/PbyRlYqO6lYQWfoQ2qhbKQ/o.jpg,1090 Pleasant Grove Blvd,,,Roseville,US,CA,95678,Bambu Asian Cuisine,+19167728688,$$,3.5,168,[],https://www.yelp.com/biz/bambu-asian-cuisine-roseville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-thai-kitchen-roseville-2,['thai'],['Thai'],38.7530926018765,-121.251939624905,(916) 781-7811,11690.876825557427,zH7Af9l3wBSNoX7joFKCLA,https://s3-media2.fl.yelpcdn.com/bphoto/Tw80UgTa-tqfLgrj5sVngQ/o.jpg,1465 Eureka Rd,Ste 140,,Roseville,US,CA,95661,My Thai Kitchen,+19167817811,$$,4.0,1039,"['pickup', 'delivery']",https://www.yelp.com/biz/my-thai-kitchen-roseville-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
