alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-ha-moreno-valley,['vietnamese'],['Vietnamese'],33.9167760313033,-117.228916858949,(951) 488-9898,13283.255056007096,wC3iRNoY3wdQ-0NfI4UIsw,https://s3-media4.fl.yelpcdn.com/bphoto/yv8Tli4VfXwRmtRz9NLCFg/o.jpg,24853 Alessandro Blvd,Ste 3,,Moreno Valley,US,CA,92553,Pho Ha,+19514889898,$,3.5,401,[],https://www.yelp.com/biz/pho-ha-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-vietnamese-restaurant-moreno-valley,['vietnamese'],['Vietnamese'],33.9362763,-117.264601,(951) 472-0430,15718.445397806952,Mw9vjVPgp5_YpFveslrQiA,https://s3-media2.fl.yelpcdn.com/bphoto/6gzAuxtBUZPiX8aZaUA5HA/o.jpg,12625 Frederick St,Ste K6,,Moreno Valley,US,CA,92553,Pho Le Vietnamese Restaurant,+19514720430,,4.5,103,[],https://www.yelp.com/biz/pho-le-vietnamese-restaurant-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-shack-noodles-and-grill-moreno-valley,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.938002,-117.248156,(951) 243-6837,15744.85325731922,yBGs8XfgCOLx25JLaK7EKA,https://s3-media1.fl.yelpcdn.com/bphoto/fRzjN90mZPa1jKnvowbDBg/o.jpg,23715 Sunnymead Blvd,Ste B,,Moreno Valley,US,CA,92553,Pho Shack Noodles & Grill,+19512436837,$,4.0,216,[],https://www.yelp.com/biz/pho-shack-noodles-and-grill-moreno-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ngon-restaurant-lake-elsinore,['vietnamese'],['Vietnamese'],33.69018,-117.34221,(951) 471-8191,15628.188844526512,hnTIoiNq-WuJQbC0CkICDQ,https://s3-media4.fl.yelpcdn.com/bphoto/WB_rmoZ59l3keXZrGzfINg/o.jpg,18285 Collier Ave,,,Lake Elsinore,US,CA,92530,Pho Ngon Restaurant,+19514718191,,4.5,59,[],https://www.yelp.com/biz/pho-ngon-restaurant-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huynh-riverside,['vietnamese'],['Vietnamese'],33.9449917547207,-117.415257823375,(951) 354-2799,23504.322242225026,C7VheQF-xzdnBI_V1t4g-w,https://s3-media1.fl.yelpcdn.com/bphoto/zH18ni3sIth2NoWiRHflyg/o.jpg,5180 Arlington Ave,,,Riverside,US,CA,92504,Pho Huynh,+19513542799,$,4.0,284,[],https://www.yelp.com/biz/pho-huynh-riverside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fusion-restaurant-and-bar-riverside,"['vietnamese', 'asianfusion', 'italian']","['Vietnamese', 'Asian Fusion', 'Italian']",33.95083,-117.39691,(951) 530-8272,22811.936766790586,Fv-gmnmnOiMjE6ZE45X4uw,https://s3-media2.fl.yelpcdn.com/bphoto/3yUXUEBqKF3RAwh9aHi0QA/o.jpg,6749 Brockton Ave,,,Riverside,US,CA,92506,Fusion Restaurant & Bar,+19515308272,$$,4.5,93,[],https://www.yelp.com/biz/fusion-restaurant-and-bar-riverside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-neighbors-lake-elsinore,['vietnamese'],['Vietnamese'],33.6547362373382,-117.298637218773,(951) 674-6789,16980.091009579995,5PzZTgjJihyJ6w5WWrV6vg,https://s3-media2.fl.yelpcdn.com/bphoto/Rej3EKjCuwDEPt6LmuMfHA/o.jpg,32245 Mission Trl,,,Lake Elsinore,US,CA,92530,Pho' Neighbors,+19516746789,$,4.5,115,[],https://www.yelp.com/biz/pho-neighbors-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
signature-pho-and-desserts-canyon-lake,"['vietnamese', 'desserts']","['Vietnamese', 'Desserts']",33.6714542520775,-117.253183465958,(951) 746-2635,14124.00455239134,cvL_YWx3LJHV6uxR_fEPTg,https://s3-media3.fl.yelpcdn.com/bphoto/i_tB3aDZvZdG9UHvlV3HIg/o.jpg,31574 Railroad Canyon Rd,Ste A,,Canyon Lake,US,CA,92587,Signature Pho & Desserts,+19517462635,$$,4.0,249,['pickup'],https://www.yelp.com/biz/signature-pho-and-desserts-canyon-lake?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-7-riverside-4,['vietnamese'],['Vietnamese'],33.93948,-117.28058,(951) 235-3377,16423.20267794113,lBrCVdc48dDxrSnr1B9CpA,https://s3-media2.fl.yelpcdn.com/bphoto/KqSJKpoTtPhutrev14Fk8A/o.jpg,2851 Canyon Springs Pkwy,Ste C1,,Riverside,US,CA,92507,Pho Ha #7,+19512353377,$,4.0,78,[],https://www.yelp.com/biz/pho-ha-7-riverside-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-non-la-lake-elsinore,['vietnamese'],['Vietnamese'],33.6862329401939,-117.36704756741,(951) 674-2689,17499.201283037626,yp2QL_KmLMuIFEfwjnrilg,https://s3-media3.fl.yelpcdn.com/bphoto/xBBCFBCpvtZlUAHv6DUH3A/o.jpg,16738 Lakeshore Dr,,,Lake Elsinore,US,CA,92530,Pho Non La,+19516742689,$$,3.5,133,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-non-la-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
